BCF-ch U14,Rhyl,1969.??.??,?,"Speelman, Jonathan S","Fletcher, John",,,C57,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Bc4', 'Nc6'], ['Ng5', 'd5'], ['exd5', 'Nxd5'], ['Nxf7', 'Kxf7'], ['Qf3+', 'Ke6'], ['Nc3', 'Nb4\n'], ['d4', 'c6'], ['Qe4', 'Kf7'], ['a3', 'Qa5'], ['axb4', 'Qxa1'], ['Nxd5', 'Qxc1+'], ['Ke2', 'Qxh1'], ['Nc7+', 'Ke7\n'], ['Qxe5+', 'Kd7'], ['Nxa8', 'Qxg2'], ['Qc7+', '']]",1-0
BCF-ch,Brighton,1972.08.25,11,"Trangmar, Alan G","Speelman, Jonathan S",,,A00,"[['d4', '']]",1-0
Islington op,Islington,1972.12.15,1,"Pachman, Ludek","Speelman, Jonathan S",,,E61,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['Bg5', 'd6'], ['e3', 'O-O'], ['Be2', 'c5'], ['Nf3', 'h6'], ['Bh4', 'Qa5\n'], ['O-O', 'g5'], ['Bg3', 'Nh5'], ['Rc1', 'Nxg3'], ['hxg3', 'Nd7'], ['a3', 'Nf6'], ['Nd2', 'Bf5'], ['d5', 'e6\n'], ['e4', 'Bh7'], ['Re1', 'Rae8'], ['Bd3', 'Qd8'], ['Qc2', 'exd5'], ['cxd5', 'Ng4'], ['Rf1', 'Ne5'], ['Bb5', 'Re7\n'], ['Rce1', 'a6'], ['Be2', 'g4'], ['f4', 'gxf3'], ['gxf3', 'f5'], ['f4', 'Nd7'], ['Bd3', 'Bd4+'], ['Kg2', 'Nf6\n'], ['exf5', 'Ng4'], ['Nd1', 'Qe8'], ['Nf3', 'Rxe1'], ['Rxe1', 'Qh5'], ['Nh4', '']]",1-0
Islington op,Islington,1972.12.16,2,"Speelman, Jonathan S","Hemingway, TK.",,,C10,"[['e4', 'Nc6'], ['Nf3', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['e5', 'b6'], ['Bd3', 'Bb7'], ['Bd2', 'Qd7'], ['O-O', 'O-O-O\n'], ['Ne2', 'f5'], ['exf6', 'gxf6'], ['Re1', 'Bxd2'], ['Qxd2', 'e5'], ['dxe5', 'Nxe5'], ['Ned4', 'Nxd3'], ['Qxd3', 'Ne7\n'], ['b4', 'Kb8'], ['b5', 'Ng6'], ['a4', 'Nf4'], ['Qf5', 'Qxf5'], ['Nxf5', 'd4'], ['N5xd4', 'Nxg2'], ['Re6', 'Rhg8\n'], ['Kf1', 'Bd5'], ['Nc6+', 'Ka8'], ['Nxd8', 'Bc4+'], ['Kg1', 'Nh4+'], ['Kh1', 'Bd5'], ['Rxf6', 'Nxf3'], ['Rd1', 'Nd2+\n'], ['f3', 'Ne4']]",0-1
BCF-ch,Eastbourne,1973.??.??,1,"Speelman, Jonathan S","Keene, Raymond D",,,C10,"[['e4', 'e6'], ['Nf3', 'd5'], ['Nc3', 'dxe4'], ['Nxe4', 'Be7'], ['d4', 'Nf6'], ['Nxf6+', 'Bxf6'], ['Bc4', 'Nd7'], ['O-O', 'O-O\n'], ['Qe2', 'c5'], ['dxc5', 'Qc7'], ['Re1', 'a6'], ['Ng5', 'Nxc5'], ['Ne4', 'Nxe4'], ['Qxe4', 'Bd7'], ['Bf4', 'Qb6\n'], ['Bd3', 'g6'], ['Be5', 'Bc6'], ['Qf4', 'Bxe5'], ['Qxe5', 'Rad8'], ['Rad1', 'Rd5'], ['Qf6', 'Rfd8'], ['h4', 'Qc7\n'], ['h5', 'Rxh5']]",0-1
BCF-ch,Eastbourne,1973.??.??,2,"Bennett, Gerald H","Speelman, Jonathan S",,,E97,"[['c4', 'g6'], ['Nc3', 'Bg7'], ['d4', 'd6'], ['e4', 'Nf6'], ['Be2', 'O-O'], ['Nf3', 'e5'], ['O-O', 'Nc6'], ['d5', 'Ne7\n'], ['b4', 'Ne8'], ['c5', 'h6'], ['Nd2', 'f5'], ['f3', 'f4'], ['Nc4', 'g5'], ['a4', 'Rf7'], ['a5', 'Bf8'], ['cxd6', 'cxd6\n'], ['Bd2', 'h5'], ['Be1', 'Rg7'], ['h3', 'Nf6'], ['Nb5', 'Ng6'], ['Bf2', 'g4'], ['hxg4', 'hxg4'], ['Nxa7', 'g3\n'], ['Bb6', 'Qe7'], ['Nxc8', 'Rxc8'], ['Re1', 'Nd7'], ['Kf1', 'Nxb6'], ['Nxb6', 'Qh4'], ['Bb5', 'Qh1+'], ['Ke2', 'Qxg2+\n'], ['Kd3', 'Rcc7'], ['Qe2', 'Qxe2+'], ['Kxe2', 'Rc2+'], ['Kd3', 'Rf2'], ['Rf1', 'Nh4'], ['Rxf2', 'gxf2']]",1/2-1/2
BCF-ch,Eastbourne,1973.??.??,3,"Speelman, Jonathan S","Harman, Ronald FA",,,B17,"[['e4', 'c6'], ['d4', 'd5'], ['Nc3', 'dxe4'], ['Nxe4', 'Nd7'], ['Bc4', 'Ngf6'], ['Nxf6+', 'Nxf6'], ['c3', 'g6'], ['Nf3', 'Bg7\n'], ['O-O', 'O-O'], ['Re1', 'Nd5'], ['Bg5', 'Bf6'], ['Qd2', 'e6'], ['Bxf6', 'Qxf6'], ['Re4', 'Ne7'], ['Rae1', 'Nf5\n'], ['Bd3', 'Rd8'], ['Re5', 'b6'], ['Qf4', 'Qg7'], ['Bxf5', 'gxf5'], ['R5e3', 'f6'], ['Nh4', 'Qf7'], ['Rg3+', 'Kh8\n'], ['Qh6', 'Rg8'], ['Rxg8+', 'Kxg8'], ['Re3', 'f4'], ['Qxf4', 'Bb7'], ['Qg4+', 'Kf8'], ['Qxe6', 'Qxe6'], ['Rxe6', 'Kf7\n'], ['Re1', 'Rd8'], ['Nf5', 'Rd7'], ['Ne3', 'Ba6'], ['f3', 'Bd3'], ['Kf2', 'c5'], ['dxc5', 'bxc5'], ['Rd1', 'f5\n'], ['Nc4', 'Ke6'], ['Re1+', 'Kf6'], ['Ne5', 'Rd5'], ['Nxd3', 'Rxd3'], ['Ke2', 'Rd7'], ['Rd1', 'Rg7'], ['g3', 'c4\n'], ['Ke3', 'Re7+'], ['Kf4', 'Re2'], ['Rd6+', 'Ke7'], ['Rh6', 'Rxb2'], ['Rxh7+', 'Kf6'], ['Rxa7', 'Rxh2\n'], ['Ra4', '']]",1-0
BCF-ch,Eastbourne,1973.??.??,4,"Sully, David John","Speelman, Jonathan S",,,E30,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Bg5', 'c5'], ['d5', 'h6'], ['Bh4', 'b5'], ['dxe6', 'fxe6'], ['cxb5', 'O-O\n'], ['e3', 'd5'], ['a3', 'Bxc3+'], ['bxc3', 'Qa5'], ['Bxf6', 'Rxf6'], ['Qd2', 'Nd7'], ['Nf3', 'c4'], ['a4', 'Nc5\n'], ['Qc2', 'Ne4'], ['Rc1', 'Bd7'], ['Be2', 'a6'], ['O-O', 'axb5'], ['axb5', 'Bxb5'], ['Nd2', 'Nxd2'], ['Qxd2', 'Be8\n'], ['e4', 'Qc5'], ['exd5', 'exd5'], ['Bf3', 'Bf7'], ['Rfd1', 'Kh8'], ['h3', 'Raa6'], ['Ra1', 'Bg8'], ['Rxa6', 'Rxa6']]",1/2-1/2
BCF-ch,Eastbourne,1973.??.??,5,"Speelman, Jonathan S","Hutchings, Stuart J",,,B25,"[['e4', 'c5'], ['Nc3', 'd6'], ['g3', 'Nc6'], ['Bg2', 'g6'], ['d3', 'Bg7'], ['f4', 'e6'], ['Nf3', 'Nge7'], ['O-O', 'O-O\n'], ['Be3', 'Nd4'], ['Qd2', 'Rb8'], ['Rae1', 'f5'], ['Bf2', 'Nec6'], ['Nxd4', 'cxd4'], ['Ne2', 'Bd7'], ['h3', 'Qb6\n'], ['Rb1', 'Rbc8'], ['Rfc1', 'Qb4'], ['Qd1', 'Qa4'], ['c4', 'Qxd1+'], ['Rxd1', '']]",1/2-1/2
BCF-ch,Eastbourne,1973.??.??,6,"Holloway, Nigel J","Speelman, Jonathan S",,,E62,"[['Nf3', 'd6'], ['d4', 'Nf6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['O-O', 'O-O'], ['c4', 'c6'], ['Nc3', 'Qa5'], ['h3', 'e5'], ['e4', 'exd4\n'], ['Nxd4', 'Qc5'], ['Nc2', 'Qxc4'], ['Qxd6', 'Nbd7'], ['Be3', 'Nb6'], ['Rfd1', 'Qe6'], ['Qxe6', 'Bxe6\n'], ['Nd4', 'Bc4'], ['b3', 'Ba6'], ['a4', 'Rfe8'], ['a5', 'Nc8'], ['Rac1', 'Bf8'], ['f4', 'Bb4'], ['e5', 'Bxc3\n'], ['Rxc3', 'Nd5'], ['Bxd5', 'cxd5'], ['Rc7', 'b6'], ['Nc6', 'Bb5'], ['Nd4', 'Ba6'], ['axb6', 'axb6'], ['Ra1', 'Ne7\n'], ['g4', '']]",1-0
BCF-ch,Eastbourne,1973.??.??,7,"Speelman, Jonathan S","Ludgate, Alan",,,B07,"[['e4', 'g6'], ['d4', 'Bg7'], ['Nc3', 'd6'], ['Be3', 'Nf6'], ['Qd2', 'Nbd7'], ['Bh6', 'Bxh6'], ['Qxh6', 'e5'], ['Nf3', 'exd4\n'], ['Nxd4', 'Ng4'], ['Qd2', 'O-O'], ['O-O-O', 'Nc5'], ['f3', 'Nf6'], ['Qh6', 'Qe7'], ['h4', 'Be6'], ['h5', 'Rfe8\n'], ['Nxe6', 'Nxe6'], ['Bc4', 'Qf8'], ['hxg6', 'Qxh6+'], ['Rxh6', 'hxg6'], ['Nd5', 'Kg7']]",1/2-1/2
