BCF-ch U14,Rhyl,1969.??.??,?,"Speelman, Jonathan S","Fletcher, John",,,C57,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Bc4', 'Nc6'], ['Ng5', 'd5'], ['exd5', 'Nxd5'], ['Nxf7', 'Kxf7'], ['Qf3+', 'Ke6'], ['Nc3', 'Nb4\n'], ['d4', 'c6'], ['Qe4', 'Kf7'], ['a3', 'Qa5'], ['axb4', 'Qxa1'], ['Nxd5', 'Qxc1+'], ['Ke2', 'Qxh1'], ['Nc7+', 'Ke7\n'], ['Qxe5+', 'Kd7'], ['Nxa8', 'Qxg2'], ['Qc7+', '']]",1-0
BCF-ch,Morecambe,1981.08.03,1,"James, David","Speelman, Jonathan S",,,E12,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['a3', 'Bb7'], ['Nc3', 'g6'], ['d5', 'Bg7'], ['e4', 'O-O'], ['Be2', 'c6'], ['Bg5', 'h6\n'], ['Bh4', 'g5'], ['Bg3', 'cxd5'], ['cxd5', 'Na6'], ['dxe6', 'dxe6'], ['Bd6', 'Nc5'], ['Bxf8', 'Qxf8'], ['e5', 'Nd5\n'], ['O-O', 'g4'], ['Nd2', 'Nf4'], ['Bxg4', 'Bxg2'], ['Re1', 'Ncd3'], ['Re3', 'Nxe5'], ['Rg3', 'Rd8'], ['Qa4', 'Neg6\n'], ['Rd1', 'Ba8'], ['Ndb1', 'h5'], ['Rxd8', 'Qxd8'], ['Qd1', 'Bd4'], ['Bf3', 'h4'], ['Rg4', 'e5'], ['Kf1', 'Qc8\n'], ['Nd2', 'Bxc3'], ['Bxa8', 'Bxd2'], ['Bf3', 'Qc1']]",0-1
BCF-ch,Morecambe,1981.08.04,2,"Speelman, Jonathan S","Byway, Paul",,,B06,"[['d4', 'g6'], ['e4', 'Bg7'], ['Nc3', 'd6'], ['Nge2', 'Nc6'], ['d5', 'Ne5'], ['f4', 'Ng4'], ['h3', 'N4f6'], ['g4', 'e6\n'], ['dxe6', 'fxe6'], ['Be3', 'Ne7'], ['Qd2', 'b6'], ['Bg2', 'Bb7'], ['Nd4', 'Qd7'], ['f5', 'exf5'], ['exf5', 'O-O-O\n'], ['Ne6', 'gxf5'], ['Nxg7', 'fxg4'], ['hxg4', 'Bxg2'], ['Qxg2', 'Qxg4'], ['Rg1', 'Qxg2'], ['Rxg2', 'Rhg8\n'], ['Kd2', 'Nf5'], ['Rag1', 'Nh4'], ['Rf2', 'Rd7'], ['Rxf6', 'Rgxg7'], ['Ne2', 'Rgf7'], ['Rgf1', 'Rxf6\n'], ['Rxf6', 'Ng6'], ['b3', 'Kb7'], ['Nd4', 'Ne5'], ['Bf4', 'a5'], ['a4', 'Nc6'], ['Ne6', 'Nb4'], ['Bg5', 'Nc6\n'], ['Rf8', 'Ne5'], ['Bf6', 'Ng6'], ['Rg8', 'Kc6'], ['Nd8+', 'Kd5'], ['Ke3', 'b5'], ['axb5', 'Kc5'], ['Ne6+', 'Kxb5\n'], ['Nd4+', 'Kb4'], ['Rb8+', 'Kc3'], ['Rb5', 'Rf7']]",1/2-1/2
BCF-ch,Morecambe,1981.08.05,3,"Ady, Jonathan James","Speelman, Jonathan S",,,B12,"[['e4', 'c6'], ['d4', 'd5'], ['e5', 'Bf5'], ['Nc3', 'e6'], ['g4', 'Bg6'], ['Nge2', 'Bb4'], ['h4', 'Be4'], ['Rh3', 'h6'], ['a3', 'Bxc3+\n'], ['Nxc3', 'Bh7'], ['Bd3', 'Bxd3'], ['Qxd3', 'Nd7'], ['Bd2', 'Nf8'], ['h5', 'Qd7'], ['O-O-O', 'Ne7'], ['f4', 'O-O-O\n'], ['Na4', 'b6'], ['Bb4', 'Kb7']]",1/2-1/2
BCF-ch,Morecambe,1981.08.06,4,"Speelman, Jonathan S","Hartston, William R",,,D16,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['c4', 'c6'], ['Nc3', 'dxc4'], ['a4', 'Na6'], ['e4', 'Bg4'], ['Bxc4', 'e6'], ['Be3', 'Be7\n'], ['h3', 'Bh5'], ['O-O', 'O-O'], ['g4', 'Bg6'], ['Ne5', 'Nb4'], ['Qe2', 'c5'], ['dxc5', 'Qc7'], ['Nxg6', 'hxg6\n'], ['Rac1', 'a6'], ['Rfd1', 'Rfd8'], ['Kg2', 'Bxc5']]",1/2-1/2
BCF-ch,Morecambe,1981.08.07,5,"Wells, Peter K","Speelman, Jonathan S",,,E15,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['g3', 'Ba6'], ['b3', 'Bb4+'], ['Bd2', 'Be7'], ['Bg2', 'c6'], ['O-O', 'O-O\n'], ['Qc2', 'd5'], ['Rc1', 'Nbd7'], ['a4', 'Rc8'], ['Na3', 'Bxa3'], ['Rxa3', 'c5'], ['Qa2', 'dxc4'], ['bxc4', 'cxd4\n'], ['a5', 'Bb7'], ['Nxd4', 'Bxg2'], ['Kxg2', 'Nc5'], ['Nf3', 'Qc7'], ['Kg1', 'Qc6'], ['axb6', 'axb6'], ['Qb2', 'Nfd7\n'], ['Be3', 'Rfd8'], ['Qb1', 'e5'], ['Ra7', 'e4'], ['Nd4', 'Qg6'], ['Bf4', 'Nf8'], ['Be3', 'Ncd7'], ['Nb5', 'Ne5\n'], ['Nc7', 'Qg4'], ['Nd5', 'Kh8'], ['Nxb6', 'Rc6'], ['Ra8', 'Rxa8'], ['Nxa8', 'Qxe2'], ['Qxe4', 'Re6'], ['Qc2', 'Qh5\n'], ['Kg2', 'Qf3+'], ['Kg1', 'Qxa8']]",0-1
BCF-ch,Morecambe,1981.08.08,6,"Speelman, Jonathan S","Taulbut, Shaun M",,,E05,"[['d4', 'e6'], ['g3', 'Nf6'], ['Bg2', 'd5'], ['Nf3', 'Be7'], ['O-O', 'O-O'], ['c4', 'dxc4'], ['Qc2', 'a6'], ['Qxc4', 'b5\n'], ['Qc2', 'Bb7'], ['Bd2', 'Nbd7'], ['Ba5', 'Rc8'], ['Nbd2', 'Nb8'], ['Rac1', 'Nc6'], ['Nb3', 'Nxa5'], ['Nxa5', 'Be4\n'], ['Nc6', 'Bxc2'], ['Nxd8', 'Be4'], ['Nc6', 'Bxc6'], ['Rxc6', 'Nd5'], ['Rfc1', 'Bd6'], ['Rxa6', 'Ra8'], ['Rxa8', 'Rxa8\n'], ['a3', 'b4'], ['axb4', 'Nxb4'], ['Nd2', 'Ra4'], ['Bf1', 'Kf8'], ['e3', 'e5'], ['dxe5', 'Bxe5'], ['Nc4', 'Bf6\n'], ['Kg2', 'Ra2'], ['Rb1', 'g6'], ['Kf3', 'Ra8'], ['Rd1', 'Nc6'], ['Rd7', 'Ra7'], ['Rd5', 'Rb7'], ['Rd2', 'Rb4\n'], ['Kg2', 'Ne5'], ['Na5', 'Ra4'], ['Nb3', 'Be7'], ['Rc2', 'Rb4'], ['Nc5', 'Bd6'], ['Na6', 'Rb3'], ['h3', 'h5\n'], ['Nc5', 'Rb4'], ['Na6', 'Rb3'], ['Nc5', 'Rb4'], ['b3', 'g5'], ['Be2', 'g4'], ['Rc3', 'Ke7'], ['Nd3', 'Nxd3\n'], ['Rxd3', 'f5'], ['Rd5', 'Rxb3'], ['hxg4', 'Rb2'], ['Bd3', 'h4'], ['gxh4', 'fxg4'], ['e4', 'g3']]",1/2-1/2
BCF-ch,Morecambe,1981.08.10,7,"Bellin, Robert","Speelman, Jonathan S",,,A48,"[['d4', 'Nf6'], ['Nf3', 'c5'], ['e3', 'g6'], ['Be2', 'Bg7'], ['O-O', 'O-O'], ['b3', 'cxd4'], ['exd4', 'd5'], ['Bb2', 'Nc6\n'], ['Nbd2', 'Bf5'], ['c3', 'Ne4'], ['Ne1', 'Qb6'], ['Nxe4', 'Bxe4'], ['Nd3', 'Bxd3'], ['Qxd3', 'e5'], ['dxe5', 'Rad8\n'], ['Qb5', 'Qxb5'], ['Bxb5', 'Bxe5'], ['Rfe1', 'Bf6'], ['Rad1', 'a6'], ['Bf1', 'd4'], ['cxd4', 'Bxd4'], ['Ba3', 'Rfe8\n'], ['Rxe8+', 'Rxe8'], ['g3', 'Rd8'], ['Kg2', 'Kg7'], ['Be2', 'f5'], ['Bf3', 'Kf7'], ['Rc1', 'Be5'], ['Bxc6', 'bxc6\n'], ['Bb4', 'Rc8'], ['Rc4', 'Ke6'], ['Ba3', 'Kd5'], ['Rc5+', 'Ke6'], ['Ra5', 'Ra8'], ['Kf3', 'Bc7'], ['Ra4', 'Bb6\n'], ['Bc1', 'Kd5'], ['Be3', 'Bxe3'], ['Kxe3', 'c5'], ['Kf4', 'h6'], ['h4', 'a5'], ['h5', 'gxh5'], ['Kxf5', 'Rf8+\n'], ['Kg6', 'Rxf2'], ['Kxh5', 'Rh2+'], ['Kg4', 'h5+'], ['Kf3', 'Kc6'], ['Rxa5', 'h4'], ['g4', 'Rb2'], ['Ke4', 'h3\n'], ['Ra6+', 'Kb5'], ['Rh6', 'h2'], ['a4+', '']]",1/2-1/2
BCF-ch,Morecambe,1981.08.11,8,"Speelman, Jonathan S","Hodgson, Julian M",,,D30,"[['Nf3', 'c5'], ['g3', 'd5'], ['Bg2', 'Nc6'], ['d4', 'e6'], ['O-O', 'Nf6'], ['c4', 'Be7'], ['cxd5', 'exd5'], ['dxc5', 'Bxc5\n'], ['Bg5', 'd4'], ['Nbd2', 'O-O'], ['Rc1', 'Be7'], ['Nb3', 'h6'], ['Bf4', 'Nd5'], ['Be5', 'Nxe5'], ['Nxe5', 'Bf6\n'], ['Qxd4', 'Nb6'], ['Qxd8', 'Rxd8'], ['Nd3', 'Bg4'], ['Rfe1', 'Bxe2'], ['Rxe2', 'Rxd3'], ['Nc5', 'Rd4\n'], ['Nxb7', 'Kf8'], ['b3', 'Rc8'], ['Rxc8+', 'Nxc8'], ['Bh3', 'Nb6'], ['Na5', 'Rd6'], ['Rc2', 'g6'], ['Nc6', 'Nd5\n'], ['Bf1', 'Rd7'], ['Rd2', 'Rc7'], ['Nb8', 'Nb6'], ['a4', 'Kg7'], ['a5', 'Nc8'], ['Na6', 'Rb7'], ['b4', 'Ne7\n'], ['Bg2', 'Rb5'], ['Nc7', 'Rb8'], ['Rd7', 'Kf8'], ['b5', 'Bc3'], ['b6', 'axb6'], ['a6', 'Nc8'], ['Nb5', '']]",1-0
BCF-ch,Morecambe,1981.08.12,9,"Speelman, Jonathan S","Short, Nigel D",,,A45,"[['d4', 'g6'], ['g3', 'Bg7'], ['Bg2', 'Nf6'], ['e4', 'd6'], ['Ne2', 'O-O'], ['O-O', 'e5'], ['h3', 'c6'], ['c4', 'a6'], ['Qc2', 'b5\n'], ['Rd1', 'Qc7'], ['Be3', 'exd4'], ['Nxd4', 'bxc4'], ['Qxc4', 'Bb7'], ['Nb3', 'Nbd7'], ['Bf4', 'Ne8'], ['Nc3', 'Ne5\n'], ['Qa4', 'a5'], ['Rac1', 'c5'], ['Nd5', 'Qd8'], ['Ne3', 'Bc6'], ['Qa3', 'Qe7'], ['Nxc5', 'dxc5'], ['Qxc5', 'Ra7\n'], ['Bxe5', 'Qxe5'], ['Qxa7', 'Bxe4'], ['Qc5', 'Bxg2'], ['Qxe5', 'Bxe5'], ['Kxg2', 'Bxb2'], ['Rc5', '']]",1-0
BCF-ch,Morecambe,1981.08.13,10,"Pritchett, Craig William","Speelman, Jonathan S",,,B17,"[['e4', 'c6'], ['d4', 'd5'], ['Nd2', 'dxe4'], ['Nxe4', 'Nd7'], ['Bc4', 'Ngf6'], ['Ng5', 'e6'], ['Qe2', 'Nb6'], ['Bd3', 'h6\n'], ['N5f3', 'c5'], ['dxc5', 'Nbd7'], ['b4', 'b6'], ['Bb2', 'bxc5'], ['O-O-O', 'c4'], ['Bxc4', 'Bxb4'], ['Ne5', 'Qb6\n'], ['Ngf3', 'Rb8'], ['Nxd7', 'Nxd7'], ['Bb3', 'O-O'], ['Rd4', 'Nc5'], ['Rhd1', 'a5'], ['Ne5', 'f6'], ['Rg4', 'Rb7\n'], ['Ng6', 'Rff7'], ['Kb1', 'Nxb3'], ['axb3', 'e5'], ['Rg3', 'a4'], ['Qc4', 'Bf5'], ['Qxb4', 'Bxc2+'], ['Kc1', 'Bxd1\n'], ['Qxb6', 'Rxb6'], ['Kxd1', 'Rxb3'], ['Rxb3', 'axb3'], ['Bc3', 'Ra7'], ['Kc1', 'Kf7'], ['Nh4', 'Ra2'], ['Bb2', 'Ra4\n'], ['g3', 'Rc4+'], ['Kb1', 'Rc2'], ['f4', 'exf4'], ['gxf4', 'Rxh2'], ['Nf5', 'h5'], ['Nd4', 'h4']]",0-1
BCF-ch,Morecambe,1981.08.14,11,"Speelman, Jonathan S","Littlewood, Paul E",,,E63,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['c4', 'Bg7'], ['g3', 'O-O'], ['Bg2', 'd6'], ['O-O', 'Nc6'], ['Nc3', 'a6'], ['Bd2', 'Rb8\n'], ['Rc1', 'Bg4'], ['d5', 'Bxf3'], ['exf3', 'Nd4'], ['Be3', 'Nf5'], ['Bf4', 'c5'], ['dxc6', 'bxc6'], ['b3', 'Nd7\n'], ['Re1', 'e5'], ['Bd2', 'Nc5'], ['Ne4', 'Ne6'], ['b4', 'Nfd4'], ['a3', 'f5'], ['Nc3', '']]",1/2-1/2
Brighton,Brighton,1981.??.??,1,"Chandler, Murray G","Speelman, Jonathan S",,,C42,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Nxe5', 'd6'], ['Nf3', 'Nxe4'], ['d4', 'd5'], ['Bd3', 'Be7'], ['O-O', 'Nc6'], ['Re1', 'Bf5\n'], ['Nbd2', 'Nxd2'], ['Qxd2', 'Bxd3'], ['Qxd3', 'O-O'], ['c3', 'Qd6'], ['Bg5', 'Rfe8'], ['Bxe7', 'Nxe7'], ['Re3', 'Ng6\n'], ['Rae1', 'Qd7'], ['g3', 'Rxe3'], ['Rxe3', 'Re8'], ['Rxe8+', 'Qxe8'], ['h4', 'Nf8'], ['b3', 'f6'], ['Kg2', 'a6\n'], ['Nd2', 'Qg6'], ['Qxg6', '']]",1/2-1/2
Brighton,Brighton,1981.??.??,2,"Speelman, Jonathan S","Conquest, Stuart",,,B06,"[['Nf3', 'g6'], ['e4', 'Bg7'], ['d4', 'd6'], ['Bc4', 'Nf6'], ['Qe2', 'O-O'], ['O-O', 'Nfd7'], ['c3', 'c5'], ['d5', 'Nb6\n'], ['Bb3', 'Bg4'], ['Nbd2', 'Qc7'], ['h3', 'Bxf3'], ['Nxf3', 'c4'], ['Bc2', 'N8d7'], ['Be3', 'Rac8'], ['Nd4', 'Nc5\n'], ['h4', 'Qd8'], ['h5', 'e5'], ['dxe6', 'fxe6'], ['hxg6', 'hxg6'], ['Qg4', 'Qf6'], ['Rad1', 'Nbd7'], ['Nf3', 'Rc6\n'], ['e5', 'dxe5'], ['Bxg6', 'Rd8'], ['Qh5', 'Nf8'], ['Rxd8', '']]",1-0
Brighton,Brighton,1981.??.??,3,"Taulbut, Shaun M","Speelman, Jonathan S",,,B30,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['Bb5', 'e6'], ['O-O', 'Nge7'], ['Re1', 'Ng6'], ['c3', 'a6'], ['Bf1', 'Be7'], ['d4', 'cxd4\n'], ['cxd4', 'd5'], ['e5', 'O-O'], ['Nc3', 'f6'], ['exf6', 'Bxf6'], ['Be3', 'Bd7'], ['Rc1', 'Kh8'], ['Bd3', 'Be8\n'], ['Na4', 'b6'], ['b3', 'Ra7'], ['Qd2', 'Be7'], ['Ng5', 'Bb4'], ['Qd1', 'Qf6'], ['Rf1', 'h6'], ['Nxb6', 'Ba3\n'], ['Rc3', 'Bb2'], ['Rxc6', 'Bxc6'], ['Nf3', 'Bb5'], ['Qc2', 'Bxd3'], ['Qxd3', 'Ba3'], ['Qc2', 'Qf7'], ['h3', 'Rc7\n'], ['Qd3', 'Bd6'], ['Qxa6', 'Rc6'], ['a4', 'Qe7'], ['h4', 'Nxh4'], ['Ne5', 'Bxe5'], ['dxe5', 'd4'], ['Bd2', 'Rc2\n'], ['Nc4', 'Nxg2'], ['Qd6', 'Qf7'], ['Qxd4', 'Qf3'], ['Ne3', 'Nf4']]",0-1
Brighton,Brighton,1981.??.??,4,"Speelman, Jonathan S","Burger, Karl",,,E17,"[['d4', 'Nf6'], ['Nf3', 'e6'], ['g3', 'b6'], ['Bg2', 'Bb7'], ['c4', 'Be7'], ['O-O', 'O-O'], ['d5', 'exd5'], ['Nh4', 'c6\n'], ['cxd5', 'Nxd5'], ['Nf5', 'Nf6'], ['e4', 'd5'], ['Nc3', 'Nbd7'], ['exd5', 'cxd5'], ['Nxd5', 'Bxd5'], ['Bxd5', 'Nxd5\n'], ['Qxd5', '']]",1/2-1/2
Brighton,Brighton,1981.??.??,5,"Arnason, Jon L","Speelman, Jonathan S",,,B17,"[['e4', 'c6'], ['d4', 'd5'], ['Nd2', 'dxe4'], ['Nxe4', 'Nd7'], ['Bc4', 'Ngf6'], ['Ng5', 'e6'], ['Qe2', 'Nb6'], ['Bd3', 'h6\n'], ['N5f3', 'c5'], ['dxc5', 'Nbd7'], ['b4', 'b6'], ['Nd4', 'Nd5'], ['Bb2', 'Nxb4'], ['c6', 'Nxd3+'], ['Qxd3', 'Nc5\n'], ['Qf3', 'Ba6'], ['O-O-O', 'Qc7'], ['Nge2', 'Be7'], ['Kb1', 'Rc8'], ['Nc3', 'O-O'], ['Ncb5', 'Qb8'], ['c7', 'Rxc7\n'], ['Nxc7', 'Qxc7'], ['Nc6', 'Rc8'], ['Nxe7+', 'Qxe7'], ['Qg4', 'f6'], ['Rhe1', 'Bb7'], ['Re3', 'Kh8'], ['Qg6', 'Na4\n'], ['Rd4', 'Nxb2'], ['Kxb2', 'e5'], ['Rh4', 'e4'], ['Rxh6+', 'Kg8'], ['Reh3', '']]",1/2-1/2
Brighton,Brighton,1981.??.??,6,"Speelman, Jonathan S","Short, Nigel D",,,A46,"[['d4', 'Nf6'], ['Nf3', 'd6'], ['g3', 'Nc6'], ['Bg2', 'e5'], ['c4', 'h6'], ['Nc3', 'Bg4'], ['d5', 'Ne7'], ['e4', 'Ng6'], ['h3', 'Bd7\n'], ['Be3', '']]",1/2-1/2
Brighton,Brighton,1981.??.??,7,"Sigurjonsson, Gudmundur","Speelman, Jonathan S",,,E05,"[['Nf3', 'Nf6'], ['c4', 'e6'], ['g3', 'd5'], ['d4', 'Be7'], ['Bg2', 'O-O'], ['O-O', 'dxc4'], ['Qc2', 'a6'], ['Qxc4', 'b5\n'], ['Qc2', 'Bb7'], ['Bd2', 'Be4'], ['Qc1', 'Qc8'], ['Bg5', 'Nbd7'], ['Nbd2', 'Bb7'], ['Nb3', 'a5'], ['Bxf6', 'Bxf6\n'], ['Nc5', 'Bd5'], ['Rd1', 'Nxc5'], ['Qxc5', 'Qb7'], ['Rac1', 'Rac8'], ['Ne1', 'Rfd8'], ['e3', 'c6'], ['b3', 'Be7']]",1/2-1/2
Brighton,Brighton,1981.??.??,8,"Speelman, Jonathan S","Westerinen, Heikki MJ",,,A07,"[['Nf3', 'd5'], ['g3', 'Nf6'], ['Bg2', 'c6'], ['d3', 'Nbd7'], ['O-O', 'e5'], ['b3', 'Bd6'], ['Bb2', 'O-O'], ['e3', 'Re8\n'], ['Nbd2', 'b5'], ['a4', 'Bb7'], ['Nh4', 'Qb6'], ['e4', 'a6'], ['Kh1', 'Rad8'], ['Qe2', 'Bb4'], ['Ndf3', 'Bf8\n'], ['Nd2', 'Bb4']]",1/2-1/2
Brighton,Brighton,1981.??.??,9,"Tisdall, Jonathan D","Speelman, Jonathan S",,,E94,"[['d4', 'g6'], ['c4', 'Bg7'], ['Nc3', 'd6'], ['e4', 'Nd7'], ['Nf3', 'e5'], ['Be2', 'Ngf6'], ['Be3', 'O-O'], ['O-O', 'Ng4\n'], ['Bg5', 'f6'], ['Bc1', 'Nh6'], ['Qc2', 'c6'], ['Rd1', 'Qe7'], ['b4', 'Nf7'], ['b5', 'Rd8'], ['bxc6', 'bxc6\n'], ['Ba3', 'exd4'], ['Nxd4', 'Bb7'], ['Rab1', 'Nc5'], ['Nb3', 'Nxb3'], ['Qxb3', 'Bc8'], ['c5', 'Be6'], ['cxd6', 'Nxd6\n'], ['Qa4', 'Bf8'], ['Rbc1', 'Qe8'], ['Qa6', 'Bf7'], ['Qa4', 'a6']]",1/2-1/2
Dortmund,Dortmund,1981.??.??,?,"Langeweg, Kick","Speelman, Jonathan S",,,E12,"[['d4', 'Nf6'], ['Nf3', 'e6'], ['c4', 'b6'], ['Nc3', 'Bb7'], ['a3', 'g6'], ['d5', 'Bg7'], ['g3', 'O-O'], ['Bg2', 'c6'], ['dxe6', 'dxe6\n'], ['Bf4', 'c5'], ['Nb5', 'Qxd1+'], ['Rxd1', 'a6'], ['Nd6', 'Bc6'], ['O-O', 'Ra7'], ['Rd3', 'Nfd7'], ['Bc1', 'Rd8\n'], ['Rfd1', 'Bxf3'], ['exf3', 'Ne5'], ['R3d2', 'Nec6'], ['Ne4', 'Nd4'], ['b4', 'f5'], ['Ng5', 'Rad7'], ['f4', 'cxb4\n'], ['axb4', 'Bf8'], ['Bd5', 'exd5']]",0-1
Dortmund,Dortmund,1981.??.??,?,"Speelman, Jonathan S","Ftacnik, Lubomir",,,D79,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['g3', 'd5'], ['Bg2', 'Bg7'], ['O-O', 'O-O'], ['c4', 'c6'], ['cxd5', 'cxd5'], ['Nc3', 'Ne4\n'], ['Ne5', 'Nxc3'], ['bxc3', 'Nc6'], ['Nxc6', '']]",1/2-1/2
Dortmund,Dortmund,1981.??.??,?,"Speelman, Jonathan S","Kurajica, Bojan",,,A46,"[['d4', 'Nf6'], ['Nf3', 'e6'], ['g3', 'b5'], ['Bg2', 'Bb7'], ['Qd3', 'a6'], ['Bg5', 'c5'], ['dxc5', 'Bxc5'], ['O-O', 'd5\n'], ['Nfd2', 'Nbd7'], ['e4', 'Be7'], ['Qe2', 'Nxe4'], ['Bxe7', 'Qxe7'], ['Nxe4', 'dxe4'], ['Bxe4', '']]",1/2-1/2
Dortmund,Dortmund,1981.??.??,?,"Paulsen, Dirk","Speelman, Jonathan S",,,E32,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Qc2', 'O-O'], ['Nf3', 'd6'], ['g3', 'Qe7'], ['Bg2', 'e5'], ['Bg5', 'exd4\n'], ['Nxd4', 'Qe5'], ['Bxf6', 'Qxf6'], ['Rd1', 'Nc6'], ['Nxc6', 'bxc6'], ['Bxc6', 'Bf5'], ['e4', 'Bg4'], ['Rd3', 'Rab8\n'], ['O-O', 'Bxc3'], ['Rxc3', 'Qd4'], ['c5', 'dxc5'], ['b3', 'Rfd8'], ['Rxc5', 'Be6'], ['Bd5', 'Bxd5'], ['exd5', 'Rxd5\n'], ['Rxc7', 'g6'], ['Re1', 'Rbd8'], ['Re4', 'Qa1+'], ['Kg2', 'Rd1'], ['Qc4', 'Rg1+'], ['Kh3', 'Qg7'], ['Ree7', 'Rf8\n'], ['Kg4', 'Qh6'], ['Kf3', 'Qh5+'], ['g4', 'Qh3+'], ['Ke2', 'Rxg4'], ['Qd5', 'Rf4'], ['Rxa7', 'Qh4'], ['Qc5', 'Rd8\n'], ['Re5', '']]",0-1
Dortmund,Dortmund,1981.??.??,?,"Speelman, Jonathan S","Kuzmin, Gennadi P",,,D79,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['g3', 'Bg7'], ['Bg2', 'd5'], ['O-O', 'O-O'], ['c4', 'c6'], ['cxd5', 'cxd5'], ['Ne5', 'Ng4\n'], ['Nxg4', 'Bxg4'], ['Nc3', '']]",1/2-1/2
Dortmund,Dortmund,1981.??.??,?,"Speelman, Jonathan S","Suba, Mihai",,,A43,"[['d4', 'Nf6'], ['Nf3', 'c5'], ['d5', 'e6'], ['Nc3', 'd6'], ['e4', 'a6'], ['dxe6', 'Bxe6'], ['Ng5', 'b5'], ['Nxe6', 'fxe6\n'], ['g3', 'Nc6'], ['Bg2', 'Qc7'], ['O-O', 'Be7'], ['Ne2', 'Kf7'], ['Nf4', 'Rhe8'], ['a4', 'b4'], ['g4', 'h6'], ['h4', 'g5\n'], ['Nh3', 'Nh7'], ['f4', 'Kg7'], ['hxg5', 'hxg5'], ['fxg5', 'Ne5'], ['g6', 'Nxg6'], ['Qd2', 'Nhf8'], ['Nf4', 'Nxf4\n'], ['Qxf4', 'Bd8'], ['e5', 'd5'], ['Qh6+', 'Kg8'], ['Rxf8+', 'Rxf8'], ['Qxe6+', 'Qf7'], ['Qxf7+', 'Rxf7\n'], ['Bxd5', 'Rc8'], ['Be3', 'Kg7'], ['Bxf7', 'Kxf7'], ['Rf1+', 'Kg7'], ['Kg2', 'Be7'], ['e6', 'Kg6'], ['Rf5', 'Rc6\n'], ['Re5', 'Kf6'], ['Re4', 'Rd6'], ['Kf3', 'Rd1'], ['b3', 'Rd5'], ['Bf2', 'Kg6'], ['Ke2', 'Kg5'], ['Bg3', 'Rd8\n'], ['Kf3', 'Kg6'], ['Rf4', 'Rd6'], ['Rf5', 'Rd2'], ['Rf7', 'Bf6'], ['Rf8', 'Rxc2'], ['Be5', 'Be7'], ['Rg8+', 'Kh6\n'], ['Re8', 'c4'], ['Rxe7', '']]",1-0
Dortmund,Dortmund,1981.??.??,?,"Speelman, Jonathan S","Sznapik, Aleksander",,,B07,"[['e4', 'g6'], ['d4', 'Bg7'], ['Nc3', 'd6'], ['Nge2', 'Nf6'], ['g3', 'O-O'], ['Bg2', 'e5'], ['O-O', 'Nc6'], ['dxe5', 'dxe5\n'], ['Bg5', 'Be6'], ['Qc1', 'Nd4'], ['Nxd4', 'Qxd4'], ['Rd1', 'Qc5'], ['h3', 'c6'], ['Na4', 'Qa5'], ['b3', 'Rad8\n'], ['Qe3', 'Rxd1+'], ['Rxd1', 'Nd7'], ['c4', 'Re8'], ['Qc1', 'Bf8'], ['c5', 'Qc7'], ['Be3', 'Rd8'], ['Qc3', 'Be7\n'], ['Rd2', 'Nf8'], ['Rxd8', 'Bxd8'], ['Nb2', 'Nd7'], ['a3', 'b6'], ['Nd3', '']]",1/2-1/2
Dortmund,Dortmund,1981.??.??,?,"Speelman, Jonathan S","Tatai, Stefano",,,A34,"[['c4', 'c5'], ['Nf3', 'Nf6'], ['Nc3', 'b6'], ['e4', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Bb7'], ['Nd5', 'e6'], ['Nxf6+', 'Qxf6\n'], ['Be3', 'Qd8'], ['Qa4+', 'Nd7'], ['Be2', 'Be7'], ['Nc6', 'Bxc6'], ['Qxc6', 'O-O'], ['Rd1', 'Rc8'], ['Qa4', 'Rc7\n'], ['O-O', 'Qa8'], ['f3', 'Rfc8'], ['Rd2', 'h6']]",1/2-1/2
