WchT U26,Dresden,1969.??.??,?,"Aijala, Jouko","Ljubojevic, Ljubomir",,,B79,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Bc4', 'Bd7'], ['Bb3', 'g6'], ['f3', 'Bg7\n'], ['Be3', 'Qa5'], ['Qd2', 'O-O'], ['O-O-O', 'Rfc8'], ['h4', 'Ne5'], ['g4', 'b5'], ['h5', 'Nc4'], ['Bxc4', 'bxc4\n'], ['hxg6', 'fxg6'], ['Qh2', 'Rab8'], ['Nd5', 'c3'], ['Nxf6+', 'exf6'], ['Qxh7+', 'Kf7'], ['Nf5', 'gxf5\n'], ['Rxd6', 'cxb2+'], ['Kb1', 'Qa4'], ['Rd2', 'Rh8']]",0-1
Milan sf1,Milan,1975.??.??,4,"Ljubojevic, Ljubomir","Portisch, Lajos",,,C85,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Bxc6', 'dxc6'], ['Qe1', 'Nd7'], ['Na3', 'Bxa3\n'], ['bxa3', 'O-O'], ['d3', 'Re8'], ['Qc3', 'Qe7'], ['Be3', 'c5'], ['Nd2', 'b6'], ['f4', 'exf4'], ['Bxf4', 'Ne5\n'], ['h3', 'Nc6'], ['Nc4', 'Be6'], ['Ne3', 'Qd7'], ['Rf2', 'f6'], ['g4', 'Re7'], ['Kh2', 'Rd8'], ['Rg1', 'Qd4\n'], ['Qxd4', 'Nxd4'], ['g5', 'Rf8'], ['Rgf1', 'Ref7'], ['Bg3', 'fxg5'], ['Rxf7', 'Rxf7'], ['Rxf7', 'Kxf7\n'], ['Bxc7', 'Bxa2'], ['Bxb6', 'Bb1'], ['Bxc5', 'Nxc2'], ['Ng2', 'Na1'], ['Ne1', 'Nb3'], ['Be3', 'h6'], ['Kg3', 'Na5\n'], ['Kf3', 'Nc6'], ['Ke2', 'Ne5'], ['Bd4', 'Ng6'], ['Ke3', 'Ba2'], ['Kf3', 'Be6'], ['Kg3', 'Nf4'], ['Be3', 'Nh5+\n'], ['Kg2', 'Ke7'], ['Nf3', 'g4'], ['hxg4', 'Bxg4'], ['Ne5', 'Bd1'], ['Kf2', 'Nf6']]",1/2-1/2
Milan 3pl,Milan,1975.??.??,4,"Ljubojevic, Ljubomir","Petrosian, Tigran V",,,A08,"[['e4', 'e6'], ['d3', 'd5'], ['Nd2', 'c5'], ['Ngf3', 'Nc6'], ['g3', 'Nge7'], ['Bg2', 'g6'], ['O-O', 'Bg7'], ['Re1', 'b6\n'], ['a3', 'h6'], ['Rb1', 'a5'], ['h4', 'Ba6'], ['exd5', 'Nxd5'], ['Nc4', 'O-O'], ['Nce5', 'Rc8'], ['Nxc6', 'Rxc6\n'], ['c4', 'Ne7'], ['Bf4', 'b5'], ['Qc1', 'h5'], ['Ne5', 'Rc8'], ['b4', 'cxb4'], ['axb4', 'a4'], ['Qe3', 'Nf5\n'], ['Qa7', 'Ra8'], ['Qc5', 'Rc8'], ['Nc6', 'Qd7'], ['cxb5', 'Bb7'], ['Be5', 'Bxe5'], ['Nxe5', 'Qd8'], ['Nc6', 'Qxd3\n'], ['Be4', 'Qd6'], ['Qxd6', 'Nxd6'], ['Ne7+', 'Kg7'], ['Nxc8', 'Nxe4'], ['Nb6', 'Nd2'], ['Nxa4', 'Rb8'], ['Rbc1', 'Nf3+\n'], ['Kf1', 'Nxe1'], ['Kxe1', 'Ra8'], ['Nc5', 'Bd5'], ['b6', 'Rb8'], ['Nd7', 'Ra8'], ['Rc7', 'Ra1+'], ['Kd2', 'Ra2+\n'], ['Ke3', 'e5'], ['b7', 'Ra3+'], ['Kd2', 'Ra2+'], ['Kc3', '']]",1-0
Milan,Milan,1975.??.??,4,"Mariotti, Sergio","Ljubojevic, Ljubomir",,,A05,"[['Nf3', 'Nf6'], ['g3', 'b5'], ['Bg2', 'Bb7'], ['O-O', 'e6'], ['b3', 'c5'], ['c4', 'bxc4'], ['bxc4', 'Be7'], ['Nc3', 'Nc6\n'], ['Rb1', 'Rb8'], ['d3', 'O-O'], ['Qa4', 'Ba8'], ['Ba3', 'Rb6'], ['Rxb6', 'axb6'], ['Rb1', 'd6'], ['Bc1', 'Na5\n'], ['Nb5', 'Qd7'], ['Qc2', 'Bc6'], ['e4', 'Re8'], ['Bf4', 'Ba8'], ['Nc3', 'Nc6'], ['a3', 'Qc7'], ['Qe2', 'Nd7\n'], ['Nb5', 'Qb8'], ['h4', 'Bb7'], ['Bh3', 'Ba6'], ['Nc3', 'Qc7'], ['Bg5', 'Bf8'], ['Be3', 'Qd8'], ['Qd1', 'Qc7\n'], ['Ne1', 'g6'], ['h5', 'Bg7'], ['Ne2', 'Bb7'], ['hxg6', 'hxg6'], ['f4', 'd5'], ['e5', 'dxc4'], ['dxc4', 'Na5\n'], ['Qc2', 'Ba6'], ['Nf3', 'Nxc4'], ['Bc1', 'Rd8'], ['Ng5', 'Nf8'], ['Bg2', 'Nxe5']]",0-1
Milan 3pl,Milan,1975.??.??,5,"Petrosian, Tigran V","Ljubojevic, Ljubomir",,,D35,"[['d4', 'e6'], ['c4', 'Nf6'], ['Nc3', 'd5'], ['cxd5', 'exd5'], ['Bg5', 'Nbd7'], ['e3', 'c6'], ['Bd3', 'Bd6'], ['Nf3', 'Nf8\n'], ['Bh4', 'Ng6'], ['Bg3', 'O-O'], ['Rb1', 'Re8'], ['Qc2', 'Nf4'], ['Bxf4', 'Bxf4'], ['O-O', 'Bd6'], ['Rfe1', 'Bg4\n'], ['Nd2', 'Bh5']]",1/2-1/2
Milan,Milan,1975.??.??,5,"Ljubojevic, Ljubomir","Petrosian, Tigran V",,,C97,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['h3', 'Na5'], ['Bc2', 'c5'], ['d4', 'Qc7'], ['Nbd2', 'Bd7'], ['Nf1', 'Nc4'], ['b3', 'Nb6'], ['Ne3', 'c4'], ['bxc4', 'Nxc4\n'], ['Nxc4', 'bxc4'], ['Ba3', 'Rfe8'], ['Rb1', 'Bf8'], ['Qe2', 'Rab8'], ['Rxb8', 'Rxb8'], ['Nd2', 'Rc8'], ['Bb4', 'g6\n'], ['Qf3', 'Bg7'], ['Rd1', 'Be6'], ['dxe5', 'dxe5'], ['Nf1', 'Rd8'], ['Ne3', 'Rxd1+']]",1/2-1/2
Milan,Milan,1975.??.??,6,"Smejkal, Jan","Ljubojevic, Ljubomir",,,D34,"[['c4', 'c5'], ['Nf3', 'Nf6'], ['Nc3', 'e6'], ['d4', 'd5'], ['cxd5', 'exd5'], ['g3', 'Nc6'], ['Bg2', 'Be7'], ['O-O', 'O-O\n'], ['Bg5', 'Be6'], ['dxc5', 'Bxc5'], ['Rc1', 'Be7'], ['Nd4', 'h6'], ['Be3', 'Ng4'], ['Bf4', 'g5'], ['Nxe6', 'fxe6\n'], ['Bd2', 'Nce5'], ['e3', 'Nf6'], ['Nb5', 'Nc4'], ['b3', 'Nxd2'], ['Qxd2', 'Qb6'], ['Nd4', 'Rac8'], ['Qd3', 'Kg7\n'], ['Bh3', 'g4'], ['Bg2', 'Bc5'], ['Ne2', 'Bd6'], ['Rc2', 'Be5'], ['Rfc1', 'Rxc2'], ['Qxc2', 'Rf7'], ['Qc8', 'Rf8\n'], ['Qc2', 'Rf7'], ['Nf4', 'Bxf4'], ['exf4', 'Qd6'], ['Qc3', 'Rd7'], ['Qd4', 'b6'], ['h3', 'h5'], ['hxg4', 'hxg4\n'], ['Bf1', 'Rc7'], ['Re1', 'Kf7'], ['Bd3', 'Rc8'], ['Kg2', 'Rh8'], ['Rc1', 'Re8'], ['Bb5', 'Re7'], ['Rc6', 'Qb8\n'], ['f5', 'Qh8'], ['fxe6+', 'Rxe6'], ['Rc7+', 'Re7'], ['Rxe7+', 'Kxe7'], ['Qe5+', 'Kf7'], ['Qc7+', 'Ke6\n'], ['Qxa7', 'Qd8'], ['Kf1', 'Qd6'], ['Qb7', 'Ke5'], ['Qc8', 'Kd4'], ['Qc1', 'Ne4'], ['Qe3+', 'Ke5'], ['Qf4+', 'Kd4\n'], ['Qxd6', 'Nxd6'], ['Bd7', 'Kc3'], ['Bxg4', 'd4'], ['Bf3', 'd3'], ['g4', 'Nf7'], ['Ke1', 'Ng5'], ['Bd1', 'Nh3\n'], ['a4', 'Kd4'], ['b4', 'Kc4'], ['b5', 'Kc5'], ['f3', 'Nf4'], ['Kd2', 'Kc4'], ['g5', 'Ng6'], ['Ke3', 'Ne7'], ['f4', 'Nd5+\n'], ['Ke4', 'Nc3+'], ['Kf3', 'Nxd1'], ['g6', 'Nc3'], ['g7', 'd2'], ['g8=Q+', 'Kb4'], ['Qf8+', 'Kxa4'], ['Qa8+', 'Kb4\n'], ['Qf8+', 'Ka4'], ['Qa8+', 'Kb4'], ['Qf8+', 'Ka4']]",1/2-1/2
Milan 3pl,Milan,1975.??.??,6,"Ljubojevic, Ljubomir","Petrosian, Tigran V",,,A08,"[['e4', 'e6'], ['d3', 'c5'], ['Nf3', 'Nc6'], ['g3', 'd5'], ['Nbd2', 'g6'], ['Bg2', 'Bg7'], ['O-O', 'Nge7'], ['Re1', 'b6\n'], ['a3', 'h6'], ['Rb1', 'a5'], ['h4', 'a4'], ['exd5', 'exd5'], ['Nf1', 'O-O'], ['Bf4', 'Ra7'], ['c3', 'Kh7'], ['Rc1', 'Nf5\n'], ['Rc2', 'Re8']]",1/2-1/2
Milan,Milan,1975.??.??,7,"Ljubojevic, Ljubomir","Portisch, Lajos",,,C44,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['c3', 'd5'], ['exd5', 'Qxd5'], ['cxd4', 'Bb4+'], ['Nc3', 'Nf6'], ['Be2', 'Ne4\n'], ['Bd2', 'Bxc3'], ['bxc3', 'O-O'], ['O-O', 'Nxd2'], ['Nxd2', 'Bf5'], ['Qb3', 'Qa5'], ['Nc4', 'Qa6'], ['Qb2', 'Ne7\n'], ['Ne3', 'Qb6'], ['Qa3', 'Qd6'], ['Qxd6', 'cxd6'], ['Bf3', 'Rab8'], ['Rfe1', 'Rfc8'], ['Nxf5', 'Nxf5\n'], ['Rab1', 'g6'], ['Rb3', 'Rc7'], ['Kf1', '']]",1/2-1/2
Milan,Milan,1975.??.??,8,"Ljubojevic, Ljubomir","Unzicker, Wolfgang",,,A01,"[['b3', 'e5'], ['Bb2', 'Nc6'], ['e3', 'Nf6'], ['Bb5', 'd6'], ['Ne2', 'Bd7'], ['d4', 'exd4'], ['Nxd4', 'Nxd4'], ['Bxd7+', 'Qxd7\n'], ['Qxd4', 'Be7'], ['O-O', 'O-O'], ['c4', 'd5'], ['Rd1', 'Rfd8'], ['Nc3', 'c5'], ['Qf4', 'Qe6'], ['Nb5', 'Ne8\n'], ['Qg3', 'g6'], ['Nc7', 'Nxc7'], ['Qxc7', 'dxc4'], ['bxc4', 'Bd6'], ['Qa5', 'Qxc4'], ['g3', 'b6'], ['Qa3', 'Bf8\n'], ['Rxd8', 'Rxd8'], ['Qxa7', 'Qc2'], ['Bf6', 'Rd6'], ['Be7', 'Bxe7'], ['Qxe7', 'Rd1+'], ['Rxd1', 'Qxd1+\n'], ['Kg2', 'Qd5+'], ['e4', 'Qc6'], ['f3', 'h5'], ['a3', 'c4'], ['Qd8+', 'Kg7'], ['Qd4+', 'Kh7'], ['Qc3', 'b5\n'], ['h4', 'Kg8'], ['Kf2', 'Qc5+'], ['Kg2', 'Qd6'], ['Kf2', 'Qd1'], ['Ke3', 'Qg1+'], ['Kf4', 'Qc5'], ['g4', 'hxg4\n'], ['Kxg4', 'Qh5+'], ['Kg3', 'Qh8'], ['e5', 'Kh7'], ['Qd4', 'Qc8'], ['Qf4', 'Qf5'], ['Qd4', 'Qc8'], ['Qf4', 'Qe6\n'], ['Qd4', 'Kg8'], ['Qd8+', 'Kg7'], ['Qd4', 'Kh7'], ['Qc5', 'Qd7'], ['Qd6', 'Qc8'], ['Qe7', 'Qe6'], ['Qc7', 'Kg7\n'], ['Qc5', 'Qd7'], ['Qb6', 'Qd5'], ['Qf6+', 'Kf8'], ['Kf4', 'Ke8'], ['Kg3', 'Kd7'], ['Kf2', 'Qe6'], ['Qf4', 'Kc6\n'], ['Ke2', 'Qd5'], ['Qf6+', 'Kb7'], ['Ke3', 'Qd3+'], ['Kf2', 'Qd2+'], ['Kf1', 'Qd5'], ['Ke2', 'Qd3+'], ['Kf2', 'Qd2+\n'], ['Kf1', 'Qd7'], ['Ke2', 'Ka7'], ['Ke1', 'Qd5'], ['Ke2', 'Kb8'], ['Qe7', 'Kc8'], ['Ke1', 'c3'], ['Qd6', 'Qxd6\n'], ['exd6', 'Kd7'], ['Kd1', 'Kxd6'], ['Kc2', 'Ke5'], ['Kxc3', 'Kf4'], ['Kb4', 'Kxf3'], ['Kxb5', 'Kg3'], ['a4', 'f5\n'], ['a5', 'f4'], ['a6', 'f3'], ['a7', 'f2'], ['a8=Q', 'f1=Q+'], ['Kc5', 'Kxh4'], ['Qh8+', 'Kg3'], ['Kb4', 'g5\n'], ['Qc3+', 'Qf3'], ['Qe1+', 'Kh3'], ['Ka5', 'g4'], ['Qe6', 'Qc3+'], ['Ka4', 'Qd4+'], ['Ka5', 'Qf4'], ['Qd7', 'Qe4\n'], ['Qc8', 'Kg2'], ['Qc3', 'g3'], ['Qb2+', 'Kf3'], ['Qc3+', 'Kg4'], ['Qg7+', 'Kh3'], ['Qh8+', 'Qh4\n'], ['Qc8+', 'Kh2'], ['Qc7', 'Qg5+'], ['Ka4', 'Kh3'], ['Qc3', 'Qf4+'], ['Ka5', 'Kg4'], ['Qe1', 'g2\n'], ['Qe2+', 'Kh3'], ['Qh5+', 'Qh4'], ['Qf5+', 'Qg4'], ['Qh7+', 'Kg3'], ['Qc7+', 'Kh4'], ['Qh2+', 'Kg5\n'], ['Qg1', 'Qf5+'], ['Ka4', 'Qf1'], ['Qc5+', 'Kg4'], ['Qc8+', 'Qf5'], ['Qg8+', 'Kf3'], ['Qb3+', 'Kf4\n'], ['Qb8+', 'Qe5'], ['Qf8+', 'Ke4'], ['Qa8+', 'Qd5'], ['Qe8+', 'Kd3'], ['Qe1', 'Qe4+']]",0-1
Milan,Milan,1975.??.??,9,"Browne, Walter S","Ljubojevic, Ljubomir",,,A33,"[['c4', 'Nf6'], ['Nc3', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nc6'], ['g3', 'Bc5'], ['e3', 'O-O'], ['Bg2', 'd5\n'], ['cxd5', 'exd5'], ['O-O', 'Bg4'], ['Nxc6', 'bxc6'], ['Qc2', 'Qc8'], ['Bd2', 'Bh3'], ['Rac1', 'Bd6'], ['e4', 'Bxg2\n'], ['Kxg2', 'Qb7'], ['Rfe1', 'Rfe8'], ['exd5', 'cxd5'], ['Rxe8+', 'Rxe8'], ['Na4', 'h5'], ['Qc6', 'Qxc6\n'], ['Rxc6', 'Be5'], ['Rc1', 'Bd4'], ['Re1', 'Rc8'], ['Nc3', 'a6'], ['f3', 'Nd7'], ['Rd1', 'Nb6'], ['Be1', 'Be3\n'], ['Bf2', 'Bxf2'], ['Kxf2', 'Nc4'], ['Nxd5', 'Nxb2'], ['Rd2', 'Rb8'], ['Ne7+', 'Kh7'], ['Nc6', 'Rb6'], ['Ne5', 'f6\n'], ['Nd7', 'Rb5'], ['a4', 'Rb4'], ['Nc5', 'a5'], ['Rc2', 'Kg6'], ['Ke2', 'Nxa4'], ['Nxa4', 'Rxa4'], ['Ke3', 'Rb4\n'], ['Rc5', 'Rb3+'], ['Kf4', 'a4'], ['h4', 'a3'], ['Ra5', 'f5'], ['Ra6+', 'Kh7'], ['Ra4', 'Kg6'], ['Ra6+', 'Kf7\n'], ['g4', 'fxg4'], ['fxg4', 'hxg4'], ['Kxg4', 'Ke7'], ['h5', 'Kd7'], ['Ra7+', 'Kc6'], ['Rxg7', 'Kb6'], ['Rg8', 'Rb4+\n'], ['Kh3', '']]",1/2-1/2
Milan,Milan,1975.??.??,10,"Ljubojevic, Ljubomir","Gligoric, Svetozar",,,C95,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['h3', 'Nb8'], ['d4', 'Nbd7'], ['Nbd2', 'Bb7'], ['Bc2', 'Re8'], ['Nf1', 'Bf8'], ['Ng3', 'g6'], ['a4', 'c5\n'], ['d5', 'Nb6'], ['Qe2', 'Nxa4'], ['Bxa4', 'bxa4'], ['Rxa4', 'Nd7'], ['c4', 'Nb6'], ['Ra3', 'a5'], ['Bg5', 'f6\n'], ['Bd2', 'a4'], ['Nh2', 'Bc8'], ['Ng4', 'Qe7'], ['Rea1', 'Bd7'], ['Ne3', 'Reb8'], ['Qd3', 'Bg7'], ['Nd1', 'Qf8\n'], ['Rb1', 'Nc8'], ['Nc3', 'Qd8'], ['b3', 'axb3'], ['Rxa8', 'Rxa8'], ['Rxb3', 'Nb6'], ['Nge2', 'Bc8'], ['Nb5', 'f5\n'], ['Nec3', 'f4'], ['Ra3', 'Rxa3'], ['Nxa3', 'Nd7'], ['Nab5', 'Nf6'], ['Na7', 'Bd7'], ['Ncb5', 'Qb6'], ['f3', 'Qa6\n'], ['Nc6', 'Qa8'], ['Qf1', 'Qa2'], ['Qc1', 'Bf8']]",1/2-1/2
Milan,Milan,1975.??.??,11,"Tal, Mihail","Ljubojevic, Ljubomir",,,D47,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['c4', 'e6'], ['Nc3', 'c6'], ['e3', 'Nbd7'], ['Bd3', 'dxc4'], ['Bxc4', 'b5'], ['Bd3', 'b4\n'], ['Ne4', 'Bb7'], ['Nxf6+', 'Nxf6'], ['e4', 'Be7'], ['Qe2', 'Qb6'], ['O-O', 'Rc8'], ['Bg5', 'h6'], ['Bh4', 'c5\n'], ['Ne5', 'g5'], ['Bg3', 'cxd4'], ['Nc4', 'Rxc4'], ['Bxc4', 'Nxe4'], ['Be5', 'O-O'], ['Rad1', 'Rd8'], ['Bd3', 'Nc5\n'], ['Qh5', 'Nxd3'], ['Rxd3', 'Qb5'], ['Qe2', 'Ba6'], ['Rfd1', 'Qd5'], ['h4', 'Bxd3'], ['Rxd3', 'f6'], ['Bxd4', 'e5\n'], ['Rd2', 'Qxa2'], ['Qe4', 'Bf8'], ['Be3', 'Rxd2'], ['Bxd2', 'a5'], ['Qc6', 'Kf7'], ['Be3', 'gxh4'], ['Qd7+', 'Be7\n'], ['Bc5', 'Qe6'], ['Qa7', 'b3'], ['Bxe7', 'Qxe7'], ['Qxa5', 'Qd7'], ['Qb4', 'Qd1+'], ['Kh2', 'h5'], ['Qb7+', 'Kg6\n'], ['Qe4+', 'Kg5'], ['Qe3+', 'Kf5'], ['Qh6', 'Ke6'], ['Qf8', 'Qc2'], ['Qg8+', 'Kd6'], ['Qd8+', 'Kc5'], ['Qe7+', 'Kc4\n'], ['Qxf6', 'Qxb2'], ['Qc6+', 'Kd3'], ['Qd5+', 'Ke2'], ['f4', 'Qc3'], ['fxe5', 'b2'], ['Qe4+', 'Kd2'], ['Qf4+', 'Qe3\n'], ['Qb4+', 'Kc2'], ['Qc4+', 'Kd1'], ['Qa4+', 'Kd2'], ['Qb4+', 'Qc3'], ['Qf4+', 'Kc2'], ['Qf5+', 'Qd3'], ['Qf2+', 'Kc3\n'], ['Qc5+', 'Qc4'], ['Qe3+', 'Kc2'], ['Qf2+', 'Kb3'], ['Qf3+', 'Ka2'], ['Qa8+', 'Kb1'], ['Qf3', 'Ka1'], ['Qa3+', 'Qa2\n'], ['Qc3', 'Qa4'], ['Kh1', 'Ka2'], ['Qd2', 'Qe4'], ['Qa5+', 'Kb3'], ['Qb5+', 'Kc2']]",0-1
JUG-ch,Novi Sad,1975.??.??,?,"Ivkov, Borislav","Ljubojevic, Ljubomir",,,A77,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'e6'], ['Nc3', 'exd5'], ['cxd5', 'd6'], ['Nf3', 'g6'], ['e4', 'Bg7'], ['Be2', 'O-O\n'], ['O-O', 'Re8'], ['Nd2', 'Nbd7'], ['h3', 'a6'], ['a4', 'Rb8'], ['a5', 'Qc7'], ['Re1', 'b5'], ['axb6', 'Nxb6\n'], ['Ra3', 'c4'], ['Qc2', 'Nfd7'], ['Nd1', 'Bb7'], ['Nxc4', 'Nf6'], ['Be3', 'Nxc4'], ['Qxc4', 'Qxc4'], ['Bxc4', 'Rxe4\n'], ['Bxa6', 'Bxa6'], ['Rxa6', 'Nxd5']]",1/2-1/2
JUG-ch,Novi Sad,1975.??.??,?,"Ljubojevic, Ljubomir","Raicevic, Vladimir",,,C00,"[['e4', 'e6'], ['d3', 'd5'], ['Nd2', 'b6'], ['Ngf3', 'Bb7'], ['c3', 'Ne7'], ['Qc2', 'c5'], ['a3', 'Nbc6'], ['b4', 'Ng6\n'], ['bxc5', 'Bxc5'], ['h4', 'dxe4'], ['Nxe4', 'Be7'], ['d4', 'h6'], ['h5', 'Nf8'], ['Rh3', 'Rc8'], ['Bd3', 'f5\n'], ['Ng3', 'Na5'], ['Ne2', 'Qd5'], ['Rb1', 'Nc4'], ['a4', 'Bf6'], ['Rb4', 'Nd6'], ['Nf4', 'Qa5'], ['Qb3', 'Ne4\n'], ['Bb5+', 'Kf7'], ['Bc4', 'Re8'], ['Ne5+', 'Bxe5'], ['Rb5', 'Bxf4'], ['Bxf4', 'Qxb5'], ['Qxb5', 'Ke7\n'], ['Re3', 'Rc8'], ['f3', 'Nf6'], ['Qb3', 'Rxc4'], ['Qxc4', 'Nd5'], ['Re2', '']]",1-0
JUG-ch,Novi Sad,1975.??.??,?,"Nicevski, Risto","Ljubojevic, Ljubomir",,,B51,"[['e4', 'c5'], ['Nf3', 'd6'], ['Bb5+', 'Nd7'], ['d4', 'Nf6'], ['Nc3', 'a6'], ['Bxd7+', 'Nxd7'], ['O-O', 'e6'], ['Bg5', 'Qc7\n'], ['Re1', 'cxd4'], ['Nxd4', 'h6'], ['Nxe6', 'fxe6'], ['Qh5+', '']]",1-0
JUG-ch,Novi Sad,1975.??.??,?,"Matulovic, Milan","Ljubojevic, Ljubomir",,,B99,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'Nf6'], ['Nc3', 'cxd4'], ['Nxd4', 'a6'], ['Bg5', 'e6'], ['f4', 'Be7'], ['Qf3', 'h6\n'], ['Bh4', 'Qc7'], ['O-O-O', 'Nbd7'], ['Be2', 'Rg8'], ['Bg3', 'b5'], ['e5', 'Bb7'], ['Qf1', 'dxe5'], ['fxe5', 'Nd5\n'], ['Nxe6', 'fxe6'], ['Nxd5', 'Bxd5'], ['Rxd5', 'Rc8'], ['Rd2', 'Bb4'], ['Qf4', 'Bxd2+'], ['Qxd2', 'Nb6\n'], ['Bd3', 'Nd5'], ['Rd1', 'Rf8'], ['Bg6+', 'Ke7'], ['Be4', 'Qc5'], ['Bxd5', 'exd5'], ['Kb1', 'b4'], ['Qd3', 'Rc6\n'], ['Rc1', 'Qc4'], ['Qh7', 'Qe4'], ['Qxe4', 'dxe4'], ['Re1', 'Rc4'], ['b3', 'Rd4'], ['Kc1', 'Ke6'], ['Re3', 'Rf1+\n'], ['Kb2', 'Rdd1'], ['Be1', 'Rfxe1'], ['Rxe1', 'Rxe1']]",0-1
JUG-ch,Novi Sad,1975.??.??,?,"Matanovic, Aleksandar","Ljubojevic, Ljubomir",,,B04,"[['e4', 'Nf6'], ['e5', 'Nd5'], ['d4', 'd6'], ['Nf3', 'Nb6'], ['a4', 'Bg4'], ['a5', 'N6d7'], ['exd6', 'cxd6'], ['h3', 'Bh5\n'], ['Be2', 'e6'], ['c3', 'Be7'], ['O-O', 'O-O'], ['Re1', 'a6'], ['d5', 'Bxf3'], ['Bxf3', 'e5'], ['Nd2', 'Nf6\n'], ['b4', 'Nbd7'], ['c4', 'Ne8'], ['Be2', 'Rc8'], ['Qb3', 'Kh8'], ['Bb2', 'f5'], ['Nf3', 'Bf6'], ['Rac1', 'g5\n'], ['Bf1', 'Ng7'], ['c5', 'g4'], ['hxg4', 'fxg4'], ['Nd2', 'g3'], ['fxg3', 'Bg5'], ['Ne4', 'Bxc1'], ['Rxc1', 'dxc5\n'], ['bxc5', 'Qxa5'], ['Qxb7', 'Qa4'], ['Ng5', 'Rb8'], ['Qc6', 'Qb3'], ['Qh6', 'Nf6'], ['Ne6', 'Qxg3'], ['Bxe5', '']]",1-0
JUG-ch,Novi Sad,1975.??.??,?,"Ljubojevic, Ljubomir","Vukic, Milan",,,B05,"[['e4', 'Nf6'], ['e5', 'Nd5'], ['d4', 'd6'], ['Nf3', 'Bg4'], ['Be2', 'e6'], ['h3', 'Bh5'], ['O-O', 'Be7'], ['c4', 'Nb6\n'], ['Nc3', 'O-O'], ['Be3', 'd5'], ['b3', 'dxc4'], ['bxc4', 'Nc6'], ['Rb1', 'Bxf3'], ['Bxf3', 'Nxc4'], ['Rxb7', 'N6a5\n'], ['Rb1', 'Rb8'], ['Qa4', 'c6'], ['Ne4', 'Nb2'], ['Qc2', 'Nac4'], ['Rxb2', 'Nxb2'], ['Rb1', 'Nc4'], ['Rxb8', 'Nxe3\n'], ['Rxd8', 'Nxc2'], ['Rd7', 'Bd8'], ['Bd1', 'Na3'], ['Rxa7', 'Nb5'], ['Rd7', 'Bb6'], ['a4', 'Nxd4'], ['a5', 'Rd8\n'], ['axb6', 'Rxd7'], ['Nc5', 'Rd8'], ['b7', 'Rb8'], ['f4', 'f6'], ['Kf2', 'fxe5'], ['fxe5', 'Kf7'], ['g4', 'Ke7\n'], ['Ke3', 'Nb5'], ['Bf3', 'Na3'], ['Kd3', 'Rd8+'], ['Kc3', 'Nb5+'], ['Kb4', 'Nd4'], ['Be4', 'Rb8'], ['Kc4', 'Nb5\n'], ['Bxc6', 'Nc7'], ['Kb4', 'Nd5+'], ['Bxd5', 'exd5'], ['Kc3', '']]",1-0
JUG-ch,Novi Sad,1975.??.??,?,"Ljubojevic, Ljubomir","Gligoric, Svetozar",,,A34,"[['Nf3', 'Nf6'], ['c4', 'c5'], ['Nc3', 'e6'], ['e4', 'Nc6'], ['h3', 'd5'], ['cxd5', 'exd5'], ['e5', 'Ne4'], ['Bb5', 'Be7\n'], ['Qa4', 'Nxc3'], ['Bxc6+', 'bxc6'], ['dxc3', 'O-O'], ['O-O', 'Bf5'], ['Qxc6', 'Rb8'], ['Qa4', 'Rb6'], ['Re1', 'Rg6\n'], ['Kh2', 'Be4'], ['Bf4', 'Qb6'], ['Re2', 'Bxf3'], ['gxf3', 'd4'], ['cxd4', 'cxd4'], ['Rd1', 'Bc5'], ['b4', 'Qb7\n'], ['Qb3', 'Bb6'], ['a4', 'a6'], ['Rd3', 'Qd7'], ['Re4', 'Rd8'], ['Be3', 'Qe8'], ['Bd2', 'Qc6'], ['Re1', 'h6\n'], ['Bf4', 'Qd7'], ['Rc1', 'Qf5'], ['Bg3', 'Re6'], ['f4', '']]",1/2-1/2
