Breslau m,Breslau,1848.??.??,7,"Anderssen, Adolf","Harrwitz, Daniel",,,B21,"[['e4', 'c5'], ['d4', 'cxd4'], ['Nf3', 'e5'], ['Bc4', 'Nc6'], ['Ng5', 'Nh6'], ['f4', 'd6'], ['O-O', 'Bg4'], ['Bxf7+', 'Ke7\n'], ['Qe1', 'Nxf7'], ['fxe5', 'Nfxe5'], ['c3', 'd3'], ['h3', 'Be6'], ['Be3', 'Kd7'], ['Nd2', 'Be7'], ['Nxe6', 'Kxe6\n'], ['Qd1', 'Kd7'], ['Bd4', 'Bf6'], ['b4', 'Nxd4'], ['cxd4', 'Nc6'], ['Qg4+', 'Kc7'], ['Rac1', 'Bxd4+'], ['Kh1', 'Kb8\n'], ['Nb3', 'Bf6'], ['Rxc6', 'bxc6'], ['e5', 'Bxe5'], ['Na5', 'Qe8'], ['Qc4', 'c5'], ['Qd5', '']]",1-0
Breslau m,Breslau,1848.??.??,8,"Harrwitz, Daniel","Anderssen, Adolf",,,C44,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['c3', 'd5'], ['Bb5', 'dxe4'], ['Nxe5', 'Qd5'], ['Qa4', 'Ne7'], ['f4', 'exf3'], ['Nxf3', 'Be6\n'], ['O-O', 'O-O-O'], ['d4', 'Qh5'], ['c4', 'Bg4'], ['d5', 'Nf5'], ['Bf4', 'Bc5+'], ['Kh1', 'Nce7'], ['b4', 'Bd4\n'], ['Nxd4', 'Nxd4'], ['Nc3', 'Kb8'], ['Be3', 'Nxb5'], ['Nxb5', 'a6'], ['Nxc7', 'Kxc7'], ['d6+', 'Kxd6'], ['Bf4+', 'Ke6\n'], ['Rae1+', 'Be2'], ['Rf2', 'Nf5'], ['Rexe2+', 'Kf6'], ['Be5+', 'Kg6'], ['g4', 'Qxg4'], ['Rg2', '']]",1-0
Breslau m,Breslau,1848.??.??,9,"Anderssen, Adolf","Harrwitz, Daniel",,,B21,"[['e4', 'c5'], ['d4', 'cxd4'], ['Nf3', 'e5'], ['Bc4', 'Qc7'], ['Bb3', 'Bb4+'], ['c3', 'dxc3'], ['O-O', 'Nf6'], ['Bxf7+', 'Kxf7\n'], ['Qb3+', 'd5'], ['Qxb4', 'dxe4'], ['Ng5+', 'Kg6'], ['Nxc3', 'Nc6'], ['Qc4', 'Bf5'], ['f4', 'h6'], ['Ngxe4', 'Nxe4\n'], ['Nxe4', 'b5'], ['Qe2', 'Nd4'], ['Qd3', 'Qc6'], ['Re1', 'Nc2'], ['Bd2', 'Rhd8'], ['Qf3', 'Bxe4'], ['Rxe4', 'Nxa1\n'], ['fxe5', 'Kh7'], ['Bc3', 'Qb6+'], ['Kh1', 'Rf8'], ['Qd3', 'Rad8'], ['Qb1', 'Qg6'], ['h3', 'Rf2'], ['Re1', 'Nc2\n'], ['Rg1', 'Rd3']]",0-1
Breslau m,Breslau,1848.??.??,10,"Harrwitz, Daniel","Anderssen, Adolf",,,C33,"[['e4', 'e5'], ['f4', 'exf4'], ['Bc4', 'Qh4+'], ['Kf1', 'g5'], ['Nc3', 'Bg7'], ['Nf3', 'Qh5'], ['Nd5', 'Kd8'], ['d4', 'c6\n'], ['Nc3', 'd6'], ['h4', 'h6'], ['Kg1', 'g4'], ['Ne1', 'f3'], ['Be3', 'f5'], ['gxf3', 'gxf3'], ['Kf2', 'Nf6'], ['Qxf3', 'Qxf3+\n'], ['Kxf3', 'fxe4+'], ['Ke2', 'd5'], ['Bb3', 'Ng4'], ['Ng2', 'Nxe3'], ['Kxe3', 'Bg4'], ['Raf1', 'h5'], ['Nf4', 'Bh6\n'], ['Ne2', 'Rf8'], ['Rh2', 'Na6'], ['c4', 'Nc7']]",0-1
Berlin,Berlin,1850.??.??,?,"Nathan, S.","Anderssen, Adolf",,,C39,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['h4', 'g4'], ['Ne5', 'h5'], ['Bc4', 'Nh6'], ['d4', 'd6'], ['Nd3', 'f3'], ['g3', 'd5\n'], ['exd5', 'Bd6'], ['Kf2', 'Nf5'], ['Re1+', 'Kf8'], ['Ne5', 'f6'], ['Ng6+', 'Kg7'], ['Nf4', 'c5'], ['dxc6', 'Nxc6\n'], ['c3', 'Ne5'], ['Be6', 'Nxg3'], ['Qc2', 'Qe8'], ['Bxc8', 'Rxc8'], ['Kxg3', 'Rh6'], ['Nd2', 'Nd3']]",0-1
Berlin m2,Berlin,1851.??.??,?,"Anderssen, Adolf","Dufresne, Jean",,,B44,"[['e4', 'c5'], ['d4', 'cxd4'], ['Nf3', 'Nc6'], ['Nxd4', 'e6'], ['Nf3', 'Nge7'], ['Bd3', 'Ng6'], ['O-O', 'Bc5'], ['Nc3', 'a6\n'], ['Ne2', 'O-O'], ['Ng3', 'd6'], ['Kh1', 'Kh8'], ['Ng5', 'h6'], ['Qh5', 'Kg8'], ['Nf3', 'Qf6'], ['Rb1', 'Nce5\n'], ['Nxe5', 'Qxe5'], ['Qg4', 'Qf6'], ['f4', 'Qh4'], ['Qe2', 'Bd7'], ['f5', 'exf5'], ['exf5', 'Rae8'], ['Qd1', 'Ne5\n'], ['Rf4', 'Nxd3'], ['cxd3', 'Qd8'], ['d4', 'Bb4'], ['Bd2', 'Qa5'], ['Bxb4', 'Qxb4'], ['Nh5', 'f6'], ['a3', 'Qc4\n'], ['h3', 'Qe2'], ['Qb3+', 'Rf7'], ['Rg4', 'Kf8'], ['Qg3', 'Re3'], ['Qxd6+', 'Kg8'], ['Nxf6+', 'Rxf6'], ['Qxf6', 'Rxh3+\n'], ['gxh3', 'Bc6+'], ['Qxc6', 'bxc6'], ['Rbg1', 'Qf3+'], ['Kh2', 'Qxf5'], ['Rxg7+', 'Kf8'], ['Rg8+', 'Ke7\n'], ['R1g7+', 'Ke6'], ['Re8+', 'Kd6'], ['Rd8+', 'Ke6']]",1/2-1/2
Berlin m1,Berlin,1851.??.??,?,"Anderssen, Adolf","Mayet, Carl",,,C52,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['d4', 'exd4'], ['O-O', 'd3'], ['Ng5', 'Nh6\n'], ['e5', 'Nxe5'], ['Re1', 'Qe7'], ['f4', 'Bb6+'], ['Kh1', 'Nhg4'], ['Nh3', 'd6'], ['Bxd3', 'O-O'], ['fxe5', 'Nxe5\n'], ['Nf4', 'c6'], ['Nd2', 'g5'], ['Qh5', 'f5'], ['Bc4+', 'Kg7'], ['Nf3', 'h6'], ['Nxe5', 'Qf6'], ['Ng4', 'fxg4\n'], ['Re7+', '']]",1-0
Berlin m1,Berlin,1851.??.??,?,"Anderssen, Adolf","Mayet, Carl",,,C52,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['O-O', 'Nf6'], ['d4', 'exd4'], ['e5', 'd5\n'], ['Bb5', 'Ne4'], ['Ba3', 'Bxc3'], ['Nxd4', 'Bxa1'], ['Nxc6', 'bxc6'], ['Bxc6+', 'Bd7'], ['Qxd5', 'Rb8\n'], ['e6', 'Nd6'], ['Bxd7+', 'Kf8'], ['Bxd6+', 'cxd6'], ['Qxd6+', 'Kg8'], ['e7', 'Qb6'], ['Qxb8+', 'Qxb8\n'], ['e8=Q+', 'Qxe8'], ['Bxe8', 'g6'], ['Na3', 'Bf6'], ['Nb5', 'Kg7'], ['Re1', '']]",1-0
Berlin m1,Berlin,1851.??.??,?,"Anderssen, Adolf","Mayet, Carl",,,C52,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['d4', 'exd4'], ['O-O', 'd3'], ['Ng5', 'Nh6\n'], ['e5', 'Bb6'], ['Kh1', 'Nxe5'], ['Re1', 'd6'], ['f4', 'Ng4'], ['Nh3', 'O-O'], ['fxe5', 'Nxe5'], ['Bg5', 'Qe8\n'], ['Qh5', 'Qc6'], ['Bb3', 'Bg4'], ['Qh4', 'h5'], ['Nd2', 'Rae8'], ['Nf4', 'Qxc3'], ['Ne4', 'Qd4'], ['Nxh5', 'Bxh5\n'], ['Qxh5', 'd2'], ['Nf6+', 'gxf6'], ['Bxf6', 'dxe1=Q+'], ['Rxe1', 'Qh4'], ['Qxh4', 'Ng6'], ['Qg3', 'Rxe1+\n'], ['Qxe1', 'd5'], ['Bxd5', 'c6'], ['Bb3', 'Bd8'], ['Qg3', 'Bxf6'], ['Qxg6+', 'Bg7'], ['h4', '']]",1-0
Berlin m1,Berlin,1851.??.??,?,"Mayet, Carl","Anderssen, Adolf",,,C64,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Bc5'], ['c3', 'Nf6'], ['Bxc6', 'dxc6'], ['O-O', 'Bg4'], ['h3', 'h5'], ['hxg4', 'hxg4\n'], ['Nxe5', 'g3'], ['d4', 'Nxe4'], ['Qg4', 'Bxd4'], ['Qxe4', 'Bxf2+']]",0-1
