URS-ch U18,Alma-Ata,1991.??.??,?,"Kasimdzhanov, Rustam","Appolonov, Sergei",,,B40,"[['e4', 'e6'], ['d3', 'c5'], ['Nf3', 'Nc6'], ['Nbd2', 'd6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['O-O', 'Rb8'], ['c3', 'b5'], ['a4', 'a6\n'], ['Re1', 'Nge7'], ['Nf1', 'O-O'], ['Bg5', 'b4'], ['Qc2', 'h6'], ['Be3', 'Bd7'], ['e5', 'Qc7'], ['exd6', 'Qxd6\n'], ['N1d2', 'Nd5'], ['Nc4', 'Nxe3'], ['Rxe3', 'Qc7'], ['Rae1', 'Ne7'], ['Nfe5', 'b3'], ['Qe2', 'Bxa4'], ['Nxf7', 'Rxf7\n'], ['Rxe6', 'Rd8'], ['Rxe7', 'Qxe7'], ['Qxe7', 'Rxe7'], ['Rxe7', 'Rxd3'], ['Be4', 'Rd1+'], ['Kg2', 'Bb5\n'], ['Ne3', 'Rd6'], ['Bd5+', 'Rxd5'], ['Nxd5', 'Bc6'], ['c4', 'Bxb2'], ['Kf1', 'Bd4'], ['Re1', 'Bd7'], ['Ke2', 'a5\n'], ['Kd2', 'a4'], ['Nb6', 'a3'], ['Nxd7', 'a2'], ['Nxc5', 'Bxc5'], ['Kc3', 'Bb4+'], ['Kxb3', 'Bxe1'], ['Kxa2', 'Bxf2\n'], ['Kb3', 'Kf7'], ['Kc3', 'Ke6'], ['Kd3', 'Ke5'], ['Ke2', 'Bc5'], ['Kf3', 'Kf5'], ['h3', 'Bd6'], ['g4+', 'Ke5\n'], ['h4', 'Bc5'], ['h5', '']]",0-1
Wch U20,Yerevan,1999.09.30,13,"Kasimdzhanov, Rustam","Naumann, Alexander",,,A16,"[['Nf3', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['Qa4+', 'Bd7'], ['Qb3', 'dxc4'], ['Qxc4', 'Bg7'], ['e4', 'O-O'], ['e5', 'Ne8\n'], ['d4', 'c6'], ['Qb3', 'b5'], ['Be2', 'Be6'], ['Qd1', 'Nc7'], ['O-O', 'b4'], ['Ne4', 'Bd5'], ['Qc2', 'Nd7'], ['Be3', 'Ne6\n'], ['h4', 'a5'], ['h5', 'Qb8'], ['Neg5', 'c5'], ['hxg6', 'hxg6'], ['Nxe6', 'Bxe6'], ['Qe4', 'cxd4'], ['Bxd4', 'Rc8\n'], ['Rfe1', 'Nf8'], ['Ng5', 'Qc7'], ['Bf3', 'Rab8'], ['b3', 'Rb5'], ['Be2', 'Rbb8'], ['Ba6', 'Rd8'], ['Rac1', 'Qd7\n'], ['Nxe6', 'Nxe6'], ['Be3', 'Nc7'], ['Bc4', 'e6'], ['Bg5', 'Rdc8'], ['Rcd1', 'Qe8'], ['Rd3', 'Na8'], ['Qh4', 'Rc5\n'], ['Rh3', 'Rxe5'], ['Rxe5', 'Bxe5'], ['Bf6', '']]",1-0
Bundesliga 9900,Germany,1999.10.09,1,"Smejkal, Jan","Kasimdzhanov, Rustam",,,E63,"[['Nf3', 'g6'], ['c4', 'Bg7'], ['d4', 'Nf6'], ['g3', 'O-O'], ['Bg2', 'd6'], ['O-O', 'Nc6'], ['Nc3', 'a6'], ['h3', 'Bd7\n'], ['Be3', 'Rb8'], ['Rc1', 'b5'], ['b3', 'bxc4'], ['bxc4', 'Na5'], ['Nd5', 'Rb2'], ['Qd3', 'Rxa2'], ['Nxf6+', 'Bxf6\n'], ['Bh6', 'Re8'], ['e4', 'Ra4'], ['e5', 'Bh8'], ['Rfe1', 'Bf5'], ['Qe2', 'c5'], ['g4', 'Bc8'], ['dxc5', 'dxc5\n'], ['Ng5', 'Bg7'], ['Bxg7', 'Kxg7'], ['Ne4', 'Qc7'], ['Nf6', 'Rd8'], ['Nd5', 'Qa7'], ['Rc3', 'Be6'], ['h4', 'h6\n'], ['h5', 'g5'], ['f4', 'Bxd5'], ['Bxd5', 'e6'], ['Bg2', 'gxf4'], ['g5', 'hxg5'], ['h6+', 'Kh8'], ['Qh5', 'Qe7\n'], ['Rd1', 'Rd4']]",0-1
Bundesliga 9900,Germany,1999.10.10,2,"Kasimdzhanov, Rustam","Teske, Henrik",,,D30,"[['Nf3', 'd5'], ['c4', 'e6'], ['d4', 'c6'], ['Nbd2', 'Nf6'], ['e3', 'Nbd7'], ['Bd3', 'b6'], ['O-O', 'Bb7'], ['e4', 'dxe4\n'], ['Nxe4', 'Be7'], ['Bf4', 'Nxe4'], ['Bxe4', 'O-O'], ['Ne5', 'Nxe5'], ['Bxe5', 'Bd6'], ['Qc2', 'f5'], ['Bf3', 'Bxe5\n'], ['dxe5', 'Qc7'], ['Rfe1', 'Rad8'], ['c5', 'Rd4'], ['Rac1', 'Rfd8'], ['Qb3', 'Kf7'], ['Rc4', 'bxc5'], ['Rxc5', 'Qb6\n'], ['Qxb6', 'axb6'], ['Rc3', 'Rd2'], ['Rb3', 'b5'], ['h4', 'R8d4'], ['g3', 'Rc4'], ['Re2', '']]",1/2-1/2
VAM Hoogeveen op,Hoogeveen,1999.10.15,1,"Kasimdzhanov, Rustam","Jens, Jonitz",,,A65,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['f3', 'O-O'], ['Be3', 'c5'], ['Nge2', 'Nc6'], ['d5', 'Ne5\n'], ['Ng3', 'e6'], ['Be2', 'exd5'], ['cxd5', 'a6'], ['a4', 'h5'], ['O-O', 'h4'], ['Nh1', 'Nh7'], ['f4', 'Nd7'], ['Nf2', 'f5\n'], ['Bd3', 'fxe4'], ['Bxe4', 'Re8'], ['Qd3', 'Ndf8'], ['Rae1', 'Qf6'], ['g4', 'hxg3'], ['hxg3', 'b5'], ['Bg2', 'Qd8\n'], ['Bc1', 'Bf5'], ['Be4', 'c4'], ['Qc2', 'Qd7'], ['Bxf5', 'gxf5'], ['Ncd1', 'Ng6'], ['Ne3', 'Ne7'], ['Bd2', 'Bd4\n'], ['Rd1', 'Nf6'], ['Bc3', 'Bxc3'], ['Qxc3', 'Kf7'], ['Nh3', 'Ne4'], ['Ng5+', 'Nxg5'], ['fxg5', 'Kg8'], ['Qf6', 'Rf8\n'], ['Qh6', 'Rf7'], ['Ng4', 'Qa7+'], ['Kg2', 'fxg4'], ['Rxf7', 'Kxf7'], ['Qe6+', 'Ke8'], ['Rh1', 'Qd4'], ['Re1', 'Qd2+']]",0-1
VAM Hoogeveen op,Hoogeveen,1999.10.16,2,"Vistisen, Lars","Kasimdzhanov, Rustam",,,B08,"[['e4', 'g6'], ['d4', 'Bg7'], ['Nf3', 'd6'], ['Be3', 'Nf6'], ['Nc3', 'O-O'], ['Qd2', 'c6'], ['Bh6', 'Bg4'], ['Bxg7', 'Kxg7\n'], ['Ng5', 'e5'], ['h3', 'Bc8'], ['O-O-O', 'Nbd7'], ['Bc4', 'Qe7'], ['Rhe1', 'b5'], ['Bf1', 'h6'], ['Nf3', 'Bb7\n'], ['g4', 'Rad8'], ['g5', 'hxg5'], ['Qxg5', 'Rh8'], ['Nh4', 'Kf8'], ['f4', 'Rh5'], ['Qg3', 'exf4'], ['Qf2', 'b4\n'], ['Nf5', 'Qe6'], ['d5', 'Qe5'], ['dxc6', 'bxc3'], ['cxb7', 'gxf5'], ['exf5', 'cxb2+'], ['Kb1', 'Ne4'], ['Rxe4', 'Qxe4\n'], ['Bg2', 'f3'], ['Rxd6', 'fxg2'], ['Rxd7', 'Re8'], ['Qc5+', 'Kg8'], ['Kxb2', 'Rxf5'], ['Qc8', 'Qb4+']]",0-1
VAM Hoogeveen op,Hoogeveen,1999.10.17,3,"Kasimdzhanov, Rustam","Van Kooten, Luuk",,,D94,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['Nf3', 'Bg7'], ['e3', 'O-O'], ['Bd2', 'e6'], ['Be2', 'b6'], ['O-O', 'Bb7\n'], ['cxd5', 'exd5'], ['b4', 'c6'], ['Qb3', 'Nbd7'], ['a4', 'Qe7'], ['Bc1', 'Rfe8'], ['Ba3', 'Qe6'], ['b5', 'c5\n'], ['dxc5', 'Nxc5'], ['Qb4', 'Nfe4'], ['Bb2', 'a5'], ['bxa6', 'Nxa6'], ['Bxa6', 'Bxa6'], ['Nb5', 'Bxb5\n'], ['axb5', 'Bxb2'], ['Qxb2', 'Nd6'], ['Ra6', 'Nc4'], ['Qa2', 'Rxa6'], ['bxa6', 'Ra8'], ['Nd4', 'Qd7'], ['Rb1', 'Qa7\n'], ['Ra1', 'Na5'], ['Nb5', 'Qd7'], ['Nc3', 'Rxa6'], ['Nxd5', 'Qd6'], ['Rd1', 'Ra7'], ['Qb2', 'Rd7'], ['Qd4', 'Nc6\n'], ['Ne7+', '']]",1-0
VAM Hoogeveen op,Hoogeveen,1999.10.18,4,"Goloshchapov, Alexander","Kasimdzhanov, Rustam",,,B08,"[['e4', 'g6'], ['d4', 'Bg7'], ['Nc3', 'c6'], ['Nf3', 'd6'], ['Be3', 'Nf6'], ['h3', 'O-O'], ['Qd2', 'b5'], ['Bd3', 'Nbd7\n'], ['O-O', 'Bb7'], ['e5', 'Ne8'], ['Bh6', 'c5'], ['Bxg7', 'Nxg7'], ['exd6', 'Bxf3'], ['gxf3', 'cxd4'], ['Nxb5', 'e5\n'], ['f4', 'Qh4'], ['Rfe1', 'Ne6'], ['fxe5', 'Ng5'], ['Nxd4', 'Nxh3+'], ['Kf1', 'Qxd4'], ['Re4', 'Qxb2'], ['Rae1', 'Nc5\n'], ['Rb4', 'Qxa2'], ['Bc4', 'Qa5'], ['c3', 'Qd8'], ['Qe3', 'a5'], ['Rb5', 'Qh4'], ['Rxc5', 'Nf4'], ['Qf3', 'Rab8\n'], ['Rxa5', 'Rb2'], ['Ra7', 'Nh3'], ['Be2', 'Nf4'], ['Bc4', 'Nh3'], ['Be2', 'Nf4'], ['Bc4', 'Nh3'], ['Be2', '']]",1/2-1/2
VAM Hoogeveen op,Hoogeveen,1999.10.19,5,"Kasimdzhanov, Rustam","Bosch, Jeroen",,,D34,"[['d4', 'd5'], ['c4', 'e6'], ['Nf3', 'c5'], ['cxd5', 'exd5'], ['g3', 'Nc6'], ['Bg2', 'Nf6'], ['O-O', 'Be7'], ['Nc3', 'O-O\n'], ['dxc5', 'Bxc5'], ['Bg5', 'd4'], ['Bxf6', 'Qxf6'], ['Nd5', 'Qd8'], ['Nd2', 'Re8'], ['Rc1', 'Bb6'], ['Nc4', 'Bg4\n'], ['Re1', 'Ba5'], ['Nxa5', 'Qxa5'], ['b4', 'Nxb4'], ['Qxd4', 'Nxd5'], ['Qxg4', 'Rad8'], ['Red1', 'Nf6\n'], ['Qc4', 'b5'], ['Qc2', 'h6'], ['Bf3', 'Rxd1+'], ['Rxd1', 'Rd8'], ['Rc1', 'b4'], ['Qc7', 'Qxc7'], ['Rxc7', 'Rd7\n'], ['Rc8+', 'Kh7'], ['Rc5', 'Rd1+'], ['Kg2', 'Ra1'], ['Rc2', 'g5'], ['h3', 'Kg7'], ['Bc6', 'a5'], ['e4', 'Re1\n'], ['Kf3', 'Rd1'], ['Ke2', 'Rd8'], ['Ke3', 'Rd1'], ['Rc5', 'Ra1'], ['e5', 'Ng8'], ['Bd5', 'Ne7'], ['Bc4', 'Rc1\n'], ['Kd3', 'a4'], ['Rc7', 'Kf8'], ['f4', 'gxf4'], ['gxf4', 'Nd5'], ['Rc8+', 'Kg7'], ['f5', 'Rd1+'], ['Ke4', 'Nc3+\n'], ['Kf3', 'b3'], ['axb3', 'a3'], ['f6+', 'Kg6'], ['Rg8+', 'Kh7'], ['Rg7+', 'Kh8'], ['Rxf7', 'a2'], ['Ra7', 'a1=Q\n'], ['Rxa1', 'Rxa1'], ['e6', '']]",1-0
VAM Hoogeveen op,Hoogeveen,1999.10.20,6,"Gofshtein, Leonid D","Kasimdzhanov, Rustam",,,E92,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nf3', 'O-O'], ['Be2', 'e5'], ['Be3', 'Ng4'], ['Bg5', 'f6\n'], ['Bh4', 'g5'], ['Bg3', 'Nh6'], ['d5', 'f5'], ['exf5', 'g4'], ['Nd2', 'Bxf5'], ['Nde4', 'Nd7'], ['Bd3', 'Kh8\n'], ['O-O', 'a5'], ['Qe1', 'Bg6'], ['Qe2', 'Qe7'], ['a3', 'a4'], ['Rad1', 'Nb6'], ['Rfe1', 'Rad8'], ['Rb1', 'Ra8\n'], ['Qd1', 'Rg8'], ['b4', 'axb3'], ['Qxb3', 'Nf5'], ['c5', 'dxc5'], ['d6', 'Nxd6'], ['Nxc5', 'Bxd3'], ['Nxd3', 'Nbc4\n'], ['Ra1', 'b5'], ['Ra2', 'c6'], ['a4', 'h5'], ['Rae2', 'bxa4'], ['Nxa4', 'Ra5'], ['Nac5', 'Qf7'], ['Qc2', 'h4\n'], ['Nxe5', 'Nxe5'], ['Bxe5', 'Bxe5'], ['Rxe5', 'Ra2'], ['Rh5+', 'Qxh5'], ['Qxa2', 'Qxc5'], ['Qe6', 'Nf5\n'], ['Re5', 'Qd6']]",0-1
VAM Hoogeveen op,Hoogeveen,1999.10.21,7,"Kasimdzhanov, Rustam","Berelovich, Aleksandar",,,A35,"[['Nf3', 'Nf6'], ['c4', 'c5'], ['Nc3', 'Nc6'], ['g3', 'd5'], ['d4', 'cxd4'], ['Nxd4', 'dxc4'], ['Nxc6', 'Qxd1+'], ['Nxd1', 'bxc6\n'], ['Bg2', 'Nd5'], ['Ne3', 'e6'], ['Nxc4', 'Ba6'], ['Na5', 'Rc8'], ['Bd2', 'Be7'], ['Rc1', 'c5'], ['b3', 'O-O\n'], ['O-O', 'Rc7'], ['Nc4', 'Nb6'], ['Ba5', 'Bxc4'], ['Rxc4', 'Nxc4'], ['Bxc7', 'Rc8'], ['Bf4', 'g5'], ['Bc1', 'Nb6\n'], ['Bb7', 'Rc7'], ['Ba6', 'c4'], ['bxc4', 'Nxc4'], ['Rd1', 'Bf6'], ['f4', '']]",1/2-1/2
VAM Hoogeveen op,Hoogeveen,1999.10.22,8,"Neverov, Valeriy","Kasimdzhanov, Rustam",,,E66,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nf3', 'Bg7'], ['g3', 'O-O'], ['Bg2', 'd6'], ['O-O', 'Nc6'], ['Nc3', 'a6'], ['d5', 'Na5\n'], ['Nd2', 'c5'], ['Qc2', 'Rb8'], ['b3', 'b5'], ['Bb2', 'Bh6'], ['f4', 'bxc4'], ['bxc4', 'e5'], ['Rae1', 'exf4\n'], ['gxf4', 'Nh5'], ['e3', 'Bg7'], ['Nd1', 'Bf5'], ['Qc1', 'Bxb2'], ['Nxb2', 'Qf6'], ['Nd1', 'Bd3'], ['Rf3', 'Nxc4\n'], ['e4', 'Nxf4'], ['Nxc4', 'Qd4+'], ['Nf2', 'Rb1'], ['Qxb1', 'Bxb1'], ['Rxf4', 'Bxa2'], ['Ne3', 'Qd2'], ['Kf1', 'Rb8\n'], ['Rf3', 'Rb1'], ['Rxb1', 'Bxb1'], ['Kg1', 'Qd4'], ['Nfg4', 'Bxe4'], ['Nf6+', 'Kh8'], ['Rf2', 'Bxg2'], ['Nxg2', 'a5\n'], ['Ne1', 'a4'], ['Nc2', 'Qe5'], ['Kg2', 'a3'], ['Nxa3', 'Qg5+']]",0-1
VAM Hoogeveen op,Hoogeveen,1999.10.23,9,"Gurevich, Mikhail","Kasimdzhanov, Rustam",,,E97,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nf3', 'O-O'], ['Be2', 'e5'], ['O-O', 'Nc6'], ['d5', 'Ne7\n'], ['Nd2', 'a5'], ['a3', 'Bd7'], ['b3', 'c6'], ['Ra2', 'Bh6'], ['Rc2', 'c5'], ['Ndb1', 'Bg7'], ['Rb2', 'Ne8'], ['b4', 'b6\n'], ['bxc5', 'bxc5'], ['Qb3', 'f5'], ['Qb6', 'Qc8'], ['Bg5', 'Rf7'], ['Nd2', 'Bf8'], ['Rfb1', 'h6'], ['Bxe7', 'Bxe7\n'], ['Qb7', 'Qd8'], ['Qxa8', 'Qxa8'], ['Rb8', 'Qa7'], ['R1b7', 'Qxb7'], ['Rxb7', 'Bg5'], ['Ndb1', 'Bc1'], ['Bd3', 'Nf6\n'], ['exf5', 'Bxf5'], ['Rb8+', 'Rf8'], ['Rxf8+', 'Kxf8'], ['Bxf5', 'gxf5'], ['Ne2', 'Bb2'], ['Ng3', 'f4\n'], ['Nf5', 'Nd7'], ['Nxd6', 'Nb6'], ['Nb7', 'Nxc4'], ['d6', 'Ke8'], ['Nxc5', 'Nxd6'], ['Kf1', 'Nc4'], ['a4', 'Ke7\n'], ['Ke2', 'Kd6'], ['Nb3', 'e4'], ['N1d2', 'Nxd2'], ['Kxd2', 'Ba3'], ['Kc3', 'f3'], ['gxf3', 'Bb4+'], ['Kd4', 'exf3\n'], ['Ke4', 'Bc3'], ['h3', 'h5'], ['Kxf3', 'Kd5'], ['Kf4', 'Kc4'], ['Nxa5+', 'Bxa5'], ['Kg5', 'Be1'], ['Kxh5', '']]",1/2-1/2
Bundesliga 9900,Germany,1999.11.06,3,"Kasimdzhanov, Rustam","Poldauf, Dirk",,,E87,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['f3', 'O-O'], ['Be3', 'e5'], ['d5', 'Nh5'], ['Qd2', 'f5'], ['O-O-O', 'Nd7\n'], ['Bd3', 'a6'], ['Nge2', 'Nc5'], ['Bc2', 'b5'], ['b4', 'Nd7'], ['cxb5', 'axb5'], ['Nxb5', 'Rxa2'], ['Nec3', 'Ra8\n'], ['Kb2', 'fxe4'], ['fxe4', 'Ndf6'], ['h3', 'Rb8'], ['Kb3', 'Ng3'], ['Na7', 'Nxh1'], ['Nc6', 'Qe8'], ['Nxb8', 'Ng3\n'], ['Nc6', 'Bd7'], ['b5', 'Nfh5'], ['Bd3', 'Nf4'], ['Bc4', 'h5'], ['Ra1', 'Kh7'], ['Ra7', 'Qc8'], ['h4', 'g5\n'], ['hxg5', 'Be8'], ['Bf2', 'h4'], ['Bxg3', 'hxg3'], ['Ne7', 'Qd8'], ['Nf5', 'Bg6'], ['Nxg3', 'Rf7'], ['Nf5', 'Bxf5\n'], ['exf5', 'Qxg5'], ['b6', 'Qd8'], ['Qa2', 'Qb8'], ['Qa6', 'e4'], ['Nb5', 'Qd8'], ['bxc7', 'Rxc7'], ['Rxc7', 'Qf6\n'], ['Qxd6', '']]",1-0
Bundesliga 9900,Germany,1999.11.07,4,"Georgiev, Vladimir","Kasimdzhanov, Rustam",,,E70,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Bd3', 'O-O'], ['Nge2', 'Nc6'], ['O-O', 'Nh5'], ['Be3', 'e5\n'], ['d5', 'Ne7'], ['Qd2', 'f5'], ['exf5', 'gxf5'], ['Ng3', 'Nf6'], ['f4', 'Ng4'], ['fxe5', 'Nxe3'], ['Qxe3', 'Bxe5\n'], ['Qg5+', 'Kh8'], ['Rf3', 'Bd7'], ['Raf1', 'Ng6'], ['Qxd8', 'Raxd8'], ['Nxf5', 'Bxc3'], ['bxc3', 'Ne5\n'], ['g4', 'Nxf3+'], ['Rxf3', 'Rde8'], ['Kf2', 'a6'], ['Rf4', 'Re5'], ['h4', 'h5']]",0-1
8th Sonnevanck,Wijk aan Zee NED,1999.11.30,1,"Kasimdzhanov,R","Jonkman,H",,,D39,"[['c4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['Nf3', 'dxc4'], ['e4', 'Bb4'], ['Bg5', 'c5'], ['Bxc4', 'cxd4'], ['Nxd4', 'Bxc3+\n'], ['bxc3', 'Qa5'], ['Bb5+', 'Bd7'], ['Bxf6', 'gxf6'], ['Qb3', 'a6'], ['Be2', 'Nc6'], ['O-O', 'Qc7'], ['Rab1', 'Na5\n'], ['Qa3', 'Rc8'], ['Rfd1', 'Qc5'], ['Qxc5', 'Rxc5'], ['c4', 'Rc7'], ['Nb3', 'Nxc4'], ['Bxc4', 'Rxc4'], ['Na5', 'Rc7\n'], ['Rxb7', 'Rxb7'], ['Nxb7', 'Ke7'], ['Nc5', 'Bb5'], ['a4', 'Rc8']]",1/2-1/2
8th Sonnevanck,Wijk aan Zee NED,1999.12.01,2,"Jonkman,H","Kasimdzhanov,R",,,B19,"[['e4', 'c6'], ['d4', 'd5'], ['Nd2', 'dxe4'], ['Nxe4', 'Bf5'], ['Ng3', 'Bg6'], ['h4', 'h6'], ['Nf3', 'Nf6'], ['Ne5', 'Bh7\n'], ['Bd3', 'Bxd3'], ['Qxd3', 'Nbd7'], ['f4', 'e6'], ['Bd2', 'Bd6'], ['O-O-O', 'O-O'], ['Kb1', 'Qc7'], ['Qf3', 'Rad8\n'], ['c4', 'c5'], ['Nxd7', 'Rxd7'], ['d5', 'exd5'], ['cxd5', 'Re8'], ['Bc3', 'Bxf4'], ['Nf5', 'Be5'], ['d6', 'Qb6\n'], ['Bxe5', 'Rxe5'], ['Nxg7', 'Rxd6'], ['Qg3', 'Ng4'], ['Qxg4', 'Rg6'], ['Qc8+', 'Kxg7'], ['Rd8', 'Qf6\n'], ['g4', 'Re2']]",0-1
8th Sonnevanck,Wijk aan Zee NED,1999.12.02,3,"Kasimdzhanov,R","Jonkman,H",,,D36,"[['c4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['cxd5', 'exd5'], ['Bg5', 'Be7'], ['e3', 'O-O'], ['Bd3', 'Nbd7'], ['Nf3', 'Re8\n'], ['O-O', 'c6'], ['Qc2', 'Nf8'], ['h3', 'Nh5'], ['Bxe7', 'Qxe7'], ['Rab1', 'Be6'], ['b4', 'Rac8'], ['Rfc1', 'g6\n'], ['b5', 'c5'], ['dxc5', 'Rxc5'], ['Qa4', 'Rec8'], ['Ne2', 'Rxc1+'], ['Nxc1', 'Rc3'], ['Qd1', 'Nd7'], ['Qd2', 'Qa3\n'], ['Nb3', 'Rc8'], ['Nfd4', 'Ne5'], ['Be2', 'Nf6'], ['Qa5', 'Qxa5'], ['Nxa5', 'Rc7'], ['b6', 'axb6'], ['Rxb6', 'Rc1+\n'], ['Kh2', 'Ra1'], ['Rb2', 'b6'], ['Nc2', 'Rxa2'], ['Rxa2', 'bxa5'], ['Rxa5', 'Ne4'], ['Kg1', 'Kg7'], ['Nd4', 'Nc3\n'], ['Bf1', 'Kf6'], ['g4', 'Nd7'], ['f3', 'Nd1'], ['Ra3', 'Nb2'], ['Kf2', 'h5'], ['Ra7', 'hxg4'], ['hxg4', 'Ne5\n'], ['g5+', '']]",1-0
8th Sonnevanck,Wijk aan Zee NED,1999.12.03,4,"Jonkman,H","Kasimdzhanov,R",,,C02,"[['e4', 'e6'], ['d4', 'd5'], ['e5', 'c5'], ['c3', 'Nc6'], ['Nf3', 'Qb6'], ['Be2', 'cxd4'], ['cxd4', 'Nh6'], ['Nc3', 'Nf5\n'], ['Na4', 'Qa5+'], ['Bd2', 'Bb4'], ['Bc3', 'a6'], ['g4', 'Nfe7'], ['O-O', 'Bxc3'], ['Nxc3', 'f6'], ['Qd2', 'O-O\n'], ['Bd3', 'Bd7'], ['Rae1', 'fxe5'], ['Nxe5', 'Nxe5'], ['Rxe5', 'Rf7'], ['Rd1', 'Nc6'], ['Rh5', 'g6'], ['Rh3', 'Qd8\n'], ['Be2', 'Qf8'], ['Qe3', 'Re8'], ['Rf3', 'e5'], ['Rxf7', 'Qxf7'], ['dxe5', 'Rxe5'], ['Qg3', 'Qe6'], ['Bf3', 'd4\n'], ['Na4', 'b5'], ['Nb6', 'Be8'], ['a4', 'Kg7'], ['Kg2', 'Nb4'], ['Rxd4', 'Nc2'], ['Rd1', 'Ne1+'], ['Rxe1', 'Rxe1\n'], ['Qc7+', 'Qe7'], ['Qc8', 'bxa4'], ['Nd5', 'Qe6'], ['Qb7+', 'Bf7'], ['Ne3', 'Qf6'], ['Qc7', 'h6'], ['h4', 'Rxe3\n'], ['fxe3', 'Qxb2+'], ['Kg3', 'Qb3'], ['Qe5+', 'Kg8'], ['h5', 'gxh5'], ['Qd4', 'Qb8+'], ['Kh3', 'h4']]",0-1
8th Sonnevanck,Wijk aan Zee NED,1999.12.06,5,"Kasimdzhanov,R","Jonkman,H",,,D20,"[['d4', 'd5'], ['c4', 'dxc4'], ['e4', 'Nf6'], ['e5', 'Nd5'], ['Bxc4', 'Nb6'], ['Bb3', 'Nc6'], ['Ne2', 'Bf5'], ['Nbc3', 'e6\n'], ['O-O', 'Qd7'], ['a3', 'O-O-O'], ['Be3', 'h5'], ['Ba2', 'h4'], ['b4', 'f6'], ['exf6', 'gxf6'], ['Nf4', 'Bh6\n'], ['d5', 'Bxf4'], ['Bxf4', 'exd5'], ['Rc1', 'Ne5'], ['Qd4', 'Bh3'], ['f3', 'Rhg8'], ['Rc2', 'Qf5'], ['Re2', 'Nc6\n'], ['Qd2', 'Nc4'], ['Qc1', 'Nd4'], ['Ref2', 'Ne6'], ['Nxd5', 'Rxd5'], ['Bxc4', 'Nxf4'], ['Bxd5', 'Rxg2+\n'], ['Rxg2', 'Bxg2'], ['Re1', 'Qg5'], ['Be6+', 'Kb8'], ['Bg4', 'Ne2+'], ['Kxg2', 'h3+'], ['Kf2', 'Qxc1'], ['Rxc1', 'Nxc1\n'], ['Bxh3', 'a5'], ['Bf5', 'axb4'], ['axb4', 'Na2'], ['h4', 'Nxb4'], ['h5', 'Nc6'], ['h6', 'Ne5'], ['h7', 'Nf7\n'], ['Be6', 'Nh8'], ['Ke3', 'c5'], ['Ke4', 'Kc7'], ['Kf5', 'Kd6'], ['Kxf6', 'b5'], ['Ba2', 'c4'], ['Kg7', 'Ke7\n'], ['Kxh8', 'Kf8'], ['f4', 'Kf7'], ['Bb1', 'Kf8'], ['Be4', 'b4'], ['Bd5', 'b3'], ['Bxc4', 'b2'], ['Ba2', '']]",1-0
8th Sonnevanck,Wijk aan Zee NED,1999.12.07,6,"Jonkman,H","Kasimdzhanov,R",,,C07,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'c5'], ['exd5', 'Qxd5'], ['Ngf3', 'cxd4'], ['Bc4', 'Qd6'], ['O-O', 'Nf6'], ['Nb3', 'Nc6\n'], ['Re1', 'Bd7'], ['Bg5', 'O-O-O'], ['Qe2', 'Qc7'], ['Nbxd4', 'Nxd4'], ['Nxd4', 'Bd6'], ['h3', 'h6'], ['Bd2', 'Kb8\n'], ['Bc3', 'Ne4'], ['Qxe4', 'Qxc4'], ['Rad1', 'e5'], ['Nc6+', 'Qxc6'], ['Qxc6', 'Bxc6'], ['Rxd6', 'Rxd6\n'], ['Bxe5', 'Rd8'], ['Rd1', 'Kc7'], ['c4', 'f6'], ['Bg3', 'Bxg2'], ['Rxd6', 'Rxd6'], ['c5', 'Bxh3'], ['Bxd6+', 'Kc6\n'], ['Bf8', 'Be6'], ['a3', 'g6']]",1/2-1/2
