St Petersburg m,St Petersburg,1880.??.??,?,"Schiffers, Emanuel Stepanovich","Chigorin, Mikhail",,,C45,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Nxd4', 'Bc5'], ['Be3', 'Qf6'], ['c3', 'Nge7'], ['Bc4', 'd6'], ['O-O', 'Ne5\n'], ['Be2', 'Qg6'], ['Nd2', 'Bh3'], ['Bf3', 'h5'], ['Kh1', 'Nxf3'], ['Qxf3', 'Bg4'], ['Qf4', 'O-O-O'], ['Nb5', 'Be2\n'], ['Bxc5', 'Bxb5'], ['c4', 'Bc6'], ['Bd4', 'f5'], ['f3', 'h4']]",0-1
St Petersburg m,St Petersburg,1880.??.??,?,"Chigorin, Mikhail","Schiffers, Emanuel Stepanovich",,,C45,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Nxd4', 'Bc5'], ['Be3', 'Qf6'], ['c3', 'Nge7'], ['Bc4', 'd6'], ['O-O', 'Ne5\n'], ['Be2', 'Qg6'], ['f4', 'Qxe4'], ['Qd2', 'Ng4'], ['Bxg4', 'Bxg4'], ['Re1', 'Qd5'], ['Nb5', 'O-O-O'], ['Nxa7+', 'Kb8\n'], ['Bxc5', 'Qxc5+'], ['Qf2', 'Nd5'], ['Qxc5', 'dxc5'], ['Nb5', 'Nxf4'], ['c4', 'Nd3'], ['Re7', 'c6'], ['N5c3', 'Be6\n'], ['Na3', 'Nf4'], ['Rf1', 'Ng6'], ['Rexf7', 'Bxf7'], ['Rxf7', 'Rhg8'], ['h3', 'Rd2'], ['Ne4', 'Rxb2'], ['Nxc5', 'Rd8\n'], ['Nd7+', 'Kc8'], ['Nc5', 'Rd1+'], ['Kh2', 'Rdd2']]",0-1
St Petersburg m,St Petersburg,1880.??.??,?,"Chigorin, Mikhail","Schiffers, Emanuel Stepanovich",,,C45,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Nxd4', 'Bc5'], ['Be3', 'Qf6'], ['c3', 'Nge7'], ['Bc4', 'd6'], ['f4', 'Qg6\n'], ['O-O', 'Qxe4'], ['Re1', 'Qg6'], ['Nxc6', 'Bxe3+'], ['Rxe3', 'bxc6'], ['Qe2', 'Qf6'], ['Nd2', 'd5'], ['Bd3', 'Be6\n'], ['Rf1', 'g6'], ['Nb3', 'O-O'], ['g4', 'Rae8'], ['Nc5', 'd4'], ['g5', 'Qh8'], ['Rxe6', 'fxe6'], ['Qxe6+', 'Kg7\n'], ['Re1', 'dxc3'], ['Qxe7+', 'Rxe7'], ['Rxe7+', 'Rf7'], ['Ne6+', 'Kg8'], ['Re8+', 'Rf8'], ['Rxf8+', '']]",1-0
DSB-02.Kongress,Berlin,1881.??.??,1,"Chigorin, Mikhail","Wittek, Alexander",,,C44,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['c3', 'd5'], ['Qa4', 'f6'], ['Bb5', 'Ne7'], ['d3', 'a6'], ['Nbd2', 'Bd7'], ['Bxc6', 'Bxc6\n'], ['Qc2', 'Ng6'], ['Nf1', 'Be7'], ['Ng3', 'O-O'], ['h4', 'Re8'], ['Nf5', 'Bf8'], ['Bd2', 'dxe4'], ['dxe4', 'Nf4\n'], ['Bxf4', 'Bxe4'], ['Qb3+', 'Bd5'], ['c4', 'exf4+'], ['Kf1', 'Be4'], ['Rd1', 'Qc8'], ['N5d4', 'c5'], ['Ne2', 'Qf5\n'], ['Ne1', 'Rad8'], ['f3', 'Bc6'], ['Rxd8', 'Rxd8'], ['h5', 'Bd6'], ['Rh4', 'Bc7'], ['Qc3', 'Rd1'], ['Kf2', 'Qb1\n'], ['Nxf4', 'Be5'], ['Qa5', 'Bd4+'], ['Kg3', 'Rxe1'], ['Rh1', 'Rxh1'], ['Qd8+', 'Kf7'], ['Qc7+', 'Ke8'], ['Qc8+', 'Ke7\n'], ['Nd5+', 'Kf7'], ['Qc7+', 'Ke6'], ['Qc8+', 'Ke5'], ['Qc7+', 'Kf5'], ['Ne7+', 'Ke6']]",0-1
DSB-02.Kongress+,Berlin,1881.??.??,2,"Chigorin, Mikhail","Pitschel, Karl",,,C34,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'Nf6'], ['e5', 'Nh5'], ['Be2', 'Rg8'], ['d4', 'd5'], ['O-O', 'g5'], ['Qd3', 'h6\n'], ['Qh7', 'Rg6'], ['Bd3', 'Rb6'], ['b3', 'Re6'], ['Bf5', 'Ra6'], ['Bxc8', 'Qxc8'], ['Nc3', 'Qd8'], ['Bd2', 'Re6\n'], ['Nxd5', 'c6'], ['Nf6+', 'Nxf6'], ['exf6', 'Qxf6'], ['Rae1', 'Nd7'], ['Rxe6+', 'fxe6'], ['Ba5', 'b6\n'], ['Bc3', 'Qe7'], ['Qg6+', 'Kd8'], ['Re1', 'Qf6'], ['Qxf6+', 'Nxf6'], ['Rxe6', 'Nd5'], ['Rxc6', 'Kd7'], ['Ne5+', 'Ke7\n'], ['Bb2', 'Bg7'], ['Ba3+', 'Ke8'], ['Re6+', '']]",1-0
DSB-02.Kongress,Berlin,1881.??.??,3,"Chigorin, Mikhail","Schmid, Carl Friedrich",,,C38,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'Bg7'], ['d4', 'd6'], ['O-O', 'h6'], ['c3', 'Ne7'], ['g3', 'g4'], ['Nh4', 'f3\n'], ['Na3', 'O-O'], ['Bf4', 'Nbc6'], ['h3', 'Na5'], ['Qd2', 'Nxc4'], ['Nxc4', 'h5'], ['Bh6', 'Ng6'], ['Nf5', 'Bxf5\n'], ['exf5', 'Nh8'], ['Bxg7', 'Kxg7'], ['hxg4', 'hxg4'], ['Qf4', 'Rg8'], ['Rae1', 'Kh7'], ['Kf2', 'Rg5'], ['Rh1+', 'Kg7\n'], ['f6+', 'Kg6'], ['Rh7', 'Qxf6'], ['Rh6+', 'Kxh6'], ['Qxf6+', 'Rg6'], ['Rh1+', '']]",1-0
DSB-02.Kongress,Berlin,1881.??.??,4,"Schallopp, Emil","Chigorin, Mikhail",,,C45,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Nxd4', 'Bc5'], ['Be3', 'Qf6'], ['c3', 'Nge7'], ['Qd2', 'Bxd4'], ['cxd4', 'd5\n'], ['e5', 'Qg6'], ['Na3', 'Bf5'], ['f3', 'h5'], ['Bb5', 'O-O'], ['O-O', 'Nd8'], ['Rac1', 'c6'], ['Be2', 'Ne6\n'], ['Nc2', 'f6'], ['exf6', 'Rxf6'], ['Ne1', 'Re8'], ['Kh1', 'Nd8'], ['g3', 'Bh3'], ['Rg1', 'Nf5'], ['Bf4', 'Nxd4\n'], ['Be3', 'Nxe2'], ['Qxe2', 'Rfe6'], ['Qc2', 'Bf5'], ['Qa4', 'Rxe3'], ['Ng2', 'Rxf3'], ['Nh4', 'Qg4']]",0-1
DSB-02.Kongress,Berlin,1881.??.??,5,"Mason, James","Chigorin, Mikhail",,,A80,"[['e3', 'f5'], ['d4', 'e6'], ['Nf3', 'Nf6'], ['Be2', 'b6'], ['O-O', 'Bb7'], ['c4', 'd5'], ['Nc3', 'Bd6'], ['b3', 'O-O'], ['Bb2', 'Nbd7\n'], ['Nb5', 'Ne4'], ['Nxd6', 'cxd6'], ['Nd2', 'dxc4'], ['Nxe4', 'Bxe4'], ['f3', 'Bb7'], ['bxc4', 'Rf6'], ['Ba3', 'Rg6\n'], ['Rf2', 'Nf6'], ['Qb3', 'Qd7'], ['Rd1', 'Rc8'], ['Bb4', 'Ba6'], ['Bf1', 'Ne8'], ['Bd3', 'Qc7'], ['Rc1', 'd5\n'], ['c5', 'Bxd3'], ['Qxd3', 'Rh6'], ['g3', 'Nd6'], ['Bd2', 'Nc4'], ['cxb6', 'axb6'], ['e4', 'Rf6'], ['exd5', 'exd5\n'], ['Bf4', 'Qd7'], ['Re2', 'Re8'], ['Be5', 'Rc6'], ['Rce1', 'g6'], ['Qb3', 'Rce6'], ['f4', 'Ra8'], ['Rc1', 'Ra3\n'], ['Qb4', 'Ra5'], ['Rec2', 'Qb5'], ['Qb3', 'Re7'], ['Qf3', 'Rea7'], ['Qg2', 'Qb4'], ['Qe2', 'Ra3'], ['g4', 'Re7\n'], ['gxf5', 'Nxe5'], ['dxe5', 'Qd4+'], ['Kh1', 'Re3'], ['Qg2', 'Kf7'], ['Rc6', 'Qd3'], ['Rxg6', 'Re1+'], ['Rxe1', 'hxg6\n'], ['Qxg6+', 'Kf8'], ['Rg1', 'Qe4+'], ['Qg2', 'Rc7'], ['Qxe4', 'dxe4'], ['Re1', 'Rc4'], ['Kg2', 'Rc2+'], ['Kg3', 'Rc3+\n'], ['Kg4', '']]",1-0
DSB-02.Kongress,Berlin,1881.??.??,6,"Chigorin, Mikhail","Riemann, Fritz",,,C52,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['d4', 'exd4'], ['O-O', 'dxc3'], ['Qb3', 'Qf6\n'], ['e5', 'Qg6'], ['Nxc3', 'Nge7'], ['Ba3', 'O-O'], ['Ne2', 'd6'], ['Bd3', 'Bf5'], ['Nh4', 'Qe6'], ['Nxf5', 'Nxf5\n'], ['Qc2', 'g6'], ['exd6', 'Nxd6'], ['Rab1', 'Rad8'], ['Rb3', 'Rfe8'], ['Bb2', 'Nc8'], ['Bc4', 'Qe4'], ['Rf3', 'Rd7\n'], ['Re3', 'Nd6'], ['Rxe4', 'Nxe4'], ['Ng3', 'Nd2'], ['Rd1', 'Red8'], ['Nf1', 'Nd4'], ['Bxd4', 'Rxd4'], ['Nxd2', 'Rxd2\n'], ['Rxd2', 'Rxd2'], ['Qb3', 'Bb6'], ['Bxf7+', 'Kf8'], ['Qb4+', 'Rd6'], ['Bb3', 'Kg7'], ['Qc4', 'Rf6'], ['h4', 'Bxf2+\n'], ['Kh2', 'c6'], ['Qb4', 'Kh6'], ['Kh3', 'b5'], ['g4', 'g5'], ['Qc3', 'Rf8'], ['hxg5+', 'Kg6'], ['Bc2+', 'Kf7\n'], ['Qf6+', 'Ke8'], ['Qxc6+', '']]",1-0
DSB-02.Kongress,Berlin,1881.??.??,7,"Schwarz, Jacques","Chigorin, Mikhail",,,C62,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Nc3', 'Nf6'], ['Bb5', 'd6'], ['d4', 'Bd7'], ['dxe5', 'dxe5'], ['O-O', 'Bd6'], ['Bg5', 'Ne7\n'], ['Bxd7+', 'Qxd7'], ['Qe2', 'O-O'], ['Bxf6', 'gxf6'], ['Nh4', 'Kh8'], ['Qf3', 'Qe6'], ['Nd5', 'Ng6'], ['Qh5', 'Rg8\n'], ['Nf5', 'c6'], ['Nde3', 'Nf4'], ['Qf3', 'Bc5'], ['Kh1', 'Rg6'], ['a3', 'Rag8'], ['g3', 'Bxe3'], ['fxe3', 'Nh3\n'], ['Qh5', 'Ng5'], ['Nh4', 'R6g7'], ['Nf5', 'Rg6'], ['Qh4', 'Rf8'], ['b3', 'c5'], ['c4', 'Qb6'], ['Ne7', 'Qxb3\n'], ['Nxg6+', 'fxg6'], ['Rxf6', 'Rxf6'], ['Qxg5', 'Kg7'], ['Qxe5', 'Qxc4'], ['Rd1', 'Qe6'], ['Qxc5', 'Qxe4+\n'], ['Kg1', 'Qf3'], ['Qd4', 'Qf2+'], ['Kh1', 'h5'], ['e4', 'Qxd4'], ['Rxd4', 'Rb6'], ['Kg2', 'Kf6'], ['Rd3', 'a5\n'], ['Rd5', 'Rb2+'], ['Kf3', 'a4'], ['Kf4', 'Rb3'], ['Rd6+', 'Kf7'], ['Ke5', 'g5'], ['Rd7+', 'Ke8'], ['Ke6', 'h4\n'], ['g4', 'Rb6+'], ['Rd6', 'Rb2'], ['Rd4', 'b5'], ['Rd5', 'Rxh2'], ['Rxb5', 'Kd8'], ['Rxg5', 'Re2'], ['Rd5+', 'Kc7\n'], ['Rd4', 'h3'], ['Rxa4', 'h2'], ['Ra7+', 'Kc6'], ['Rh7', 'Rxe4+'], ['Kf5', 'Re2'], ['Kf4', 'Kd5'], ['Rh3', 'Ra2\n'], ['Kf5', 'Rf2+'], ['Kg6', 'Ke5'], ['g5', 'Kf4'], ['Rh6', 'Kg3'], ['Kg7', 'Rf4'], ['Rxh2', 'Kxh2'], ['g6', 'Kg3\n'], ['Kh6', 'Rh4+'], ['Kg5', 'Rg4+'], ['Kf6', 'Kh4'], ['g7', 'Kh5'], ['Kf7', 'Rf4+'], ['Ke7', '']]",1/2-1/2
