New Orleans,New Orleans,1857.??.??,?,"Paulsen, Louis","Morphy, Paul ",,,C64,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Nc3', 'Bc5'], ['Bb5', 'd6'], ['d4', 'exd4'], ['Nxd4', 'Bd7'], ['Nxc6', 'bxc6'], ['Ba4', 'Qf6\n'], ['O-O', 'Ne7'], ['Be3', 'Bxe3'], ['fxe3', 'Qh6'], ['Qd3', 'Ng6'], ['Rae1', 'Ne5'], ['Qe2', 'O-O'], ['h3', 'Kh8\n'], ['Nd1', 'g5'], ['Nf2', 'Rg8'], ['Nd3', 'g4'], ['Nxe5', 'dxe5'], ['hxg4', 'Bxg4'], ['Qf2', 'Rg6'], ['Qxf7', 'Be6']]",0-1
USA-01.Congress,New York,1857.??.??,3,"Calthrop, S.","Paulsen, Louis",,,C40,"[['e4', 'e5'], ['Nf3', 'd5'], ['exd5', 'e4'], ['Bb5+', 'c6'], ['dxc6', 'bxc6'], ['Qe2', 'cxb5'], ['Qxe4+', 'Qe7'], ['Qxe7+', 'Bxe7\n'], ['Nc3', 'a6'], ['O-O', 'Nf6'], ['d4', 'O-O'], ['Bg5', 'Ra7'], ['Rfe1', 'Be6'], ['Rad1', 'h6'], ['Bxf6', 'Bxf6\n'], ['Ne4', 'Bd8'], ['h3', 'Bd5'], ['b3', 'Re7'], ['Nfd2', 'Rfe8'], ['f3', 'f5'], ['c4', 'Ba8'], ['d5', 'fxe4']]",0-1
USA-01.Congress,New York,1857.??.??,4,"Morphy, Paul ","Paulsen, Louis",,,B40,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Bc5'], ['Nb3', 'Bb6'], ['Nc3', 'Nc6'], ['Bf4', 'e5'], ['Bg3', 'Nge7\n'], ['Bc4', 'O-O'], ['Nb5', 'a6'], ['Nd6', 'Bc7'], ['a4', 'Ng6'], ['Qd2', 'Qf6'], ['Rd1', 'Nf4'], ['O-O', 'h5\n'], ['Nxc8', 'Raxc8'], ['Qxd7', 'Nd4'], ['Nxd4', 'exd4'], ['Qf5', 'Qxf5'], ['exf5', 'Be5'], ['Bxf4', 'Bxf4\n'], ['Rxd4', 'Be5'], ['Re4', 'Bxb2'], ['Rb1', 'Rfd8'], ['g3', 'Rd4'], ['Bd3', 'Rxe4'], ['Bxe4', 'Rc4'], ['Bxb7', 'Rxc2\n'], ['Bxa6', 'Bd4'], ['Rf1', 'Ra2'], ['Bb5', 'Kh7'], ['Bc4', 'Rxa4'], ['Bxf7', 'h4'], ['Kg2', 'Ra1'], ['Bg6+', 'Kg8\n'], ['Rxa1', 'Bxa1']]",1/2-1/2
USA-01.Congress,New York,1857.??.??,5,"Morphy, Paul ","Paulsen, Louis",,,B40,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Bc5'], ['Be3', 'Qb6'], ['Nb5', 'Nf6'], ['Bxc5', 'Qxc5'], ['Nd6+', 'Ke7\n'], ['Nxc8+', 'Rxc8'], ['Bd3', 'Nc6'], ['O-O', 'h5'], ['Nd2', 'h4'], ['h3', 'g5'], ['a3', 'Rg8'], ['b4', 'Qb6\n'], ['Nc4', 'Qc7'], ['f3', 'Ne5'], ['Nxe5', 'Qxe5'], ['Qd2', 'Rg7'], ['Rad1', 'Rd8'], ['Qf2', 'b6'], ['f4', 'gxf4\n'], ['Qxf4', 'Qg5'], ['Rf2', 'Qxf4'], ['Rxf4', 'Rdg8'], ['Rd2', 'Rh8'], ['e5', 'Nd5'], ['Rd4', 'f6'], ['exf6+', 'Nxf6\n'], ['Rc4', 'Kd8'], ['a4', 'Nd5'], ['Be4', 'Nc7'], ['Bf3', 'd5'], ['Rc6', 'Rd7'], ['Bg4', 'Rh6'], ['Re2', 'Ke7\n'], ['Kh2', 'Kf7'], ['g3', 'hxg3+'], ['Kxg3', 'Re7'], ['h4', 'Ne8'], ['h5', 'Nf6'], ['Rcxe6', 'Rxe6'], ['Bxe6+', 'Kg7\n'], ['Bg4', 'Nxh5+'], ['Bxh5', 'Rxh5'], ['Re7+', 'Kf6'], ['Rxa7', 'Ke5'], ['Ra6', 'Rg5+'], ['Kf3', 'Rf5+\n'], ['Ke2', 'b5'], ['axb5', 'Rf4'], ['c3', 'd4'], ['c4', 'Rh4'], ['c5', 'Rh2+'], ['Kd3', 'Rh3+'], ['Kc2', 'Rh2+\n'], ['Kb3', 'Rh3+'], ['Ka4', 'Kd5'], ['Rd6+', 'Kc4'], ['c6', 'Rh1'], ['Rxd4+', 'Kxd4'], ['c7', 'Rh8'], ['b6', 'Kc4\n'], ['b7', '']]",1-0
USA-01.Congress,New York,1857.??.??,6,"Paulsen, Louis","Morphy, Paul ",,,C48,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Nc3', 'Nf6'], ['Bb5', 'Bc5'], ['O-O', 'O-O'], ['Nxe5', 'Re8'], ['Nxc6', 'dxc6'], ['Bc4', 'b5\n'], ['Be2', 'Nxe4'], ['Nxe4', 'Rxe4'], ['Bf3', 'Re6'], ['c3', 'Qd3'], ['b4', 'Bb6'], ['a4', 'bxa4'], ['Qxa4', 'Bd7\n'], ['Ra2', 'Rae8'], ['Qa6', 'Qxf3'], ['gxf3', 'Rg6+'], ['Kh1', 'Bh3'], ['Rd1', 'Bg2+'], ['Kg1', 'Bxf3+\n'], ['Kf1', 'Bg2+'], ['Kg1', 'Bh3+'], ['Kh1', 'Bxf2'], ['Qf1', 'Bxf1'], ['Rxf1', 'Re2'], ['Ra1', 'Rh6'], ['d4', 'Be3']]",0-1
USA-01.Congress,New York,1857.??.??,7,"Morphy, Paul ","Paulsen, Louis",,,B40,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Bc5'], ['Be3', 'Qb6'], ['Nc3', 'Qxb2'], ['Ndb5', 'Bxe3'], ['Rb1', 'Qxb1\n'], ['Nxb1', 'Bf4'], ['g3', 'a6'], ['gxf4', 'axb5'], ['Nc3', 'Ne7'], ['Nxb5', 'O-O'], ['Nd6', 'Nbc6'], ['Rg1', 'Rxa2\n'], ['f5', 'f6'], ['Bc4', 'Ra4'], ['f4', 'b6'], ['fxe6', 'dxe6'], ['Nxc8', 'Nxc8'], ['Bxe6+', 'Kh8'], ['Bxc8', 'Rxc8\n'], ['Qd7', 'Ne7'], ['Qxe7', 'Ra1+'], ['Kf2', 'Rxc2+'], ['Ke3', '']]",1-0
USA-01.Congress,New York,1857.??.??,8,"Paulsen, Louis","Morphy, Paul ",,,C47,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Nc3', 'Nf6'], ['d4', 'Bb4'], ['Bb5', 'Nxe4'], ['Qd3', 'd5'], ['Nxe5', 'O-O'], ['O-O', 'Nxe5\n'], ['dxe5', 'Bxc3'], ['bxc3', 'c6'], ['Ba4', 'Qa5'], ['Bb3', 'Qxc3'], ['Bf4', 'Bf5'], ['Rac1', 'g5'], ['Qxc3', 'Nxc3\n'], ['Bxg5', 'Ne2+'], ['Kh1', 'Nxc1'], ['Rxc1', 'Rfe8'], ['Bf6', 'b5'], ['f3', 'a5'], ['a3', 'Be6'], ['Rd1', 'b4\n'], ['axb4', 'axb4'], ['h3', 'c5'], ['c3', 'bxc3'], ['Bc2', 'Ra2'], ['Rc1', 'Rea8'], ['Bg5', 'Ra1'], ['Bb1', 'c2\n'], ['Bxc2', 'Rxc1+'], ['Bxc1', 'Ra1']]",0-1
Chicago sim,Chicago,1858.??.??,?,"Paulsen, Louis",NN,,,C55,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Nf6'], ['d4', 'd5'], ['exd5', 'Nxd5'], ['dxe5', 'Be6'], ['O-O', 'Bc5'], ['Nbd2', 'O-O\n'], ['Ne4', 'Bb6'], ['Bg5', 'Qd7'], ['Qe2', 'Qe8'], ['Rad1', 'Nde7'], ['Bd3', 'Ng6'], ['Qd2', 'Ncxe5'], ['Nxe5', 'f5\n'], ['Nxg6', 'Qxg6'], ['Ng3', 'Qf7'], ['b3', 'f4'], ['Ne4', 'h6'], ['Bh4', 'Rae8'], ['Kh1', 'Qh5'], ['Nf6+', 'gxf6\n'], ['Qxf4', 'f5'], ['Rde1', 'Bd7'], ['Rxe8', 'Rxe8'], ['Bf6', 'Kf7'], ['Bb2', 'Be6'], ['Re1', 'Bd5'], ['Rf1', 'Rg8\n'], ['f3', 'Be6'], ['g4', 'Qh3'], ['Qe5', 'Rg6'], ['c4', 'c5'], ['Qh8', 'Ke7'], ['Qh7+', 'Bf7'], ['Re1+', 'Kf8\n'], ['Qh8+', 'Bg8'], ['Rf1', 'Bc7'], ['Be5', 'Bd8'], ['Rf2', 'Bh4'], ['Bf1', '']]",1-0
Chicago sim,Chicago,1858.??.??,?,"Paulsen, Louis",NN,,,C45,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Nxd4', 'Nxd4'], ['Qxd4', 'Ne7'], ['Bc4', 'd6'], ['Nc3', 'Bd7'], ['Nd5', 'Nc6\n'], ['Qc3', 'Rc8'], ['O-O', 'h6'], ['f4', 'Ne7'], ['Be3', 'b5'], ['Bb3', 'c5'], ['Nxe7', 'Qxe7'], ['a3', 'c4'], ['Ba2', 'Bc6\n'], ['e5', 'dxe5'], ['fxe5', 'Bd5'], ['b4', 'Qb7'], ['Rf2', 'Rc6'], ['Rd1', 'Be6'], ['Bc1', 'Be7'], ['Qg3', 'g5\n'], ['c3', 'Rg8'], ['Bb1', 'Rc7'], ['Re1', 'h5'], ['h4', 'Bg4'], ['Bf5', 'gxh4'], ['Qh2', 'Bf3'], ['e6', 'fxe6\n'], ['Bxe6', 'Rg6'], ['Bf5', 'Rg8'], ['Bf4', 'Rd7'], ['Bxd7+', 'Kxd7'], ['Rd2+', 'Kc8'], ['Rf2', 'Bg4'], ['Bd6', 'Bd8\n'], ['Qe5', 'Bb6'], ['Bc5', 'Bc7'], ['Qe7', 'Qd5'], ['Rf7', 'Bd8'], ['Qxa7', 'Rg6'], ['Bd4', 'Bh3'], ['Qc5+', 'Qxc5\n'], ['bxc5', 'Rxg2+'], ['Kh1', 'Rg8'], ['Rg1', 'Bg4'], ['Be5', 'Bg5'], ['a4', 'Be3'], ['Rb1', 'Be6'], ['Rc7+', 'Kd8\n'], ['Rd1+', 'Ke8'], ['Bf6', 'Rg1+'], ['Rxg1', 'Bxg1'], ['Kxg1', '']]",1-0
Pittsburgh sim,Pittsburgh,1859.??.??,?,"Paulsen, Louis",NN,,,C42,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Bc4', 'b6'], ['O-O', 'Bb7'], ['Nxe5', 'd5'], ['exd5', 'Nxd5'], ['Nc3', 'c6'], ['Re1', 'Be7\n'], ['d4', 'O-O'], ['Qh5', 'Nd7'], ['Nxd5', 'cxd5'], ['Bd3', 'g6'], ['Qh6', 'Bf6'], ['f4', 'Qe7'], ['Bd2', 'Rfe8\n'], ['Nxg6', 'Bxd4+'], ['Kh1', 'Qf6'], ['Ne7+', 'Rxe7'], ['Bxh7+', 'Kh8'], ['Bg6+', 'Kg8'], ['Rxe7', 'Qxe7\n'], ['Qh7+', 'Kf8'], ['Re1', 'Qf6'], ['f5', 'Ne5'], ['Bh6+', 'Ke7'], ['Bg7', 'Qd6'], ['Bxe5', 'Bxe5'], ['Qxf7+', 'Kd8\n'], ['Qxb7', 'Rc8'], ['Qf7', 'Rxc2'], ['Qe8+', 'Kc7'], ['Rxe5', 'Rc1+'], ['Re1', 'Rxe1+'], ['Qxe1', 'Qc5\n'], ['f6', 'Qf8'], ['Qe7+', '']]",1-0
Pittsburgh sim,Pittsburgh,1859.??.??,?,NN,"Paulsen, Louis",,,C58,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Nf6'], ['Ng5', 'd5'], ['exd5', 'Na5'], ['Bb5+', 'c6'], ['dxc6', 'bxc6'], ['Qf3', 'Qb6\n'], ['Ba4', 'Bg4'], ['Qe3', 'Bc5'], ['Qxe5+', 'Kd7'], ['O-O', 'Bxf2+'], ['Kh1', 'Rae8'], ['Qf4', 'Bc5'], ['Nxf7', 'Rhf8\n'], ['Ne5+', 'Kd8'], ['Nxg4', 'Nxg4'], ['Qg5+', 'Be7'], ['Rxf8', 'Bxg5']]",0-1
