Paris,Paris,1821.??.??,?,"De Labourdonnais, Louis","Cochrane, James",,,C37,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'g4'], ['Ne5', 'Qh4+'], ['Kf1', 'f3'], ['g3', 'Qh3+'], ['Kf2', 'Qg2+\n'], ['Ke3', 'Bh6+'], ['Kd3', 'd5'], ['Bxd5', 'Na6'], ['c3', 'c6'], ['Bxf7+', 'Ke7'], ['Bb3', 'Nc5+'], ['Kc2', 'Nxe4\n'], ['Qf1', 'Bf5'], ['Qxg2', 'Nf2+'], ['d3', 'fxg2'], ['Rg1', 'Rd8'], ['Bxh6', 'Nxh6'], ['Rxg2', 'Nxd3'], ['Nxd3', 'Bxd3+\n'], ['Kc1', 'Rhf8'], ['Nd2', 'Nf5'], ['Bd1', 'Ne3'], ['Rg1', 'Bf1'], ['b3', 'Rf2'], ['Rxf1', 'Nxf1'], ['Nxf1', 'Rxd1+\n'], ['Kxd1', 'Rxf1+']]",0-1
London m1,London,1834.??.??,9,"McDonnell, Alexander","De Labourdonnais, Louis",,,B21,"[['e4', 'e6'], ['f4', 'd5'], ['e5', 'c5'], ['Nf3', 'Nc6'], ['c3', 'f6'], ['Na3', 'Nh6'], ['Nc2', 'Nf7'], ['d4', 'Qb6'], ['Ne3', 'cxd4\n'], ['cxd4', 'Bb4+'], ['Kf2', 'fxe5'], ['fxe5', 'O-O'], ['Kg3', 'Qc7'], ['h4', 'Ncxe5'], ['dxe5', 'Nxe5\n'], ['Kh3', 'Nxf3'], ['gxf3', 'd4'], ['Ng4', 'h5'], ['Nf2', 'Qe5'], ['Bd3', 'Bd6'], ['Ne4', 'Bc7'], ['Kg2', 'Bd7\n'], ['f4', 'Qf5'], ['Ng5', 'Bc6+'], ['Kg1', 'Qg4+'], ['Qxg4', 'hxg4'], ['Rh2', 'Bd5'], ['h5', 'Rxf4'], ['Bxf4', 'Bxf4\n'], ['Ne4', 'Be3+'], ['Kg2', 'Rf8'], ['Rf1', 'Rf5'], ['Rhh1', 'Re5'], ['Kg3', 'Bxe4'], ['Bxe4', 'Rxe4'], ['Rh4', 'e5\n'], ['Rxg4', 'Bf4+'], ['Kf3', 'Re3+'], ['Kf2', 'd3'], ['Rfg1', 'Re2+'], ['Kf3', 'Bh6'], ['Re4', 'Rxb2'], ['Rxe5', 'Rxa2\n'], ['Kg4', 'd2'], ['Rd5', 'Rc2'], ['Rg3', 'b5'], ['Rgd3', 'Rc1'], ['Kf5', 'Kh7'], ['Rxd2', 'Bxd2'], ['Rxd2', 'a5']]",0-1
London m1,London,1834.??.??,10,"De Labourdonnais, Louis","McDonnell, Alexander",,,D20,"[['d4', 'd5'], ['c4', 'dxc4'], ['e3', 'e5'], ['dxe5', 'Qxd1+'], ['Kxd1', 'Nc6'], ['f4', 'Be6'], ['Bd2', 'Bc5'], ['Nf3', 'h6\n'], ['Nc3', 'Rd8'], ['Ke1', 'Nge7'], ['Rc1', 'Bb4'], ['Nb5', 'Bxd2+'], ['Nxd2', 'Rd7'], ['Bxc4', 'Bxc4'], ['Rxc4', 'O-O\n'], ['Nf3', 'Rfd8'], ['Ke2', 'Nd5'], ['Nbd4', 'Nxd4+'], ['Rxd4', 'c5'], ['Rd2', 'Nb4'], ['a3', 'Rxd2+'], ['Nxd2', 'Nc6\n'], ['Nc4', 'b6'], ['Rd1', 'Rxd1'], ['Kxd1', 'Kf8'], ['Ke2', 'Ke7'], ['Kd3', 'Ke6'], ['Ke4', 'Ne7'], ['g4', 'g6\n'], ['a4', 'f5+'], ['exf6', 'Kxf6'], ['Ne5', 'Ke6'], ['Nxg6', 'Nc8'], ['f5+', 'Kd6'], ['h4', 'Kc7'], ['Ke5', 'Nd6\n'], ['f6', 'a6'], ['Ke6', 'b5'], ['axb5', 'axb5'], ['f7', 'Nxf7'], ['Kxf7', 'Kd6'], ['Nf4', 'c4'], ['g5', 'hxg5\n'], ['hxg5', 'b4'], ['Ne2', '']]",1-0
London m1,London,1834.??.??,11,"McDonnell, Alexander","De Labourdonnais, Louis",,,C33,"[['e4', 'e5'], ['f4', 'exf4'], ['Bc4', 'Qh4+'], ['Kf1', 'g5'], ['Nc3', 'Bg7'], ['d4', 'd6'], ['Be2', 'Nc6'], ['e5', 'Nge7\n'], ['Nb5', 'O-O'], ['Nxc7', 'Rb8'], ['Nf3', 'Qh6'], ['exd6', 'Nf5'], ['c3', 'Ng3+'], ['hxg3', 'Qxh1+'], ['Kf2', 'fxg3+\n'], ['Kxg3', 'Qxd1'], ['Bxd1', 'h6'], ['b3', 'b5'], ['Be3', 'f5'], ['d5', 'f4+'], ['Kh2', 'fxe3'], ['dxc6', 'g4\n'], ['Nd4', 'Be5+'], ['Kg1', 'Bxd6'], ['Ncxb5', 'Bc5'], ['b4', 'Bb6'], ['Nd6', 'Bxd4'], ['cxd4', 'Rxb4'], ['Nxc8', 'Rxc8\n'], ['d5', 'Kf7'], ['Bb3', 'Ke7'], ['Kf1', 'Re4'], ['Ke2', 'Rf8'], ['Kd3', 'Re5'], ['Re1', 'Kd6'], ['Rxe3', 'Rxe3+\n'], ['Kxe3', 'h5'], ['Ke4', 'h4'], ['Bd1', 'h3'], ['gxh3', 'gxh3'], ['Bf3', 'h2'], ['Bg2', 'Rf1']]",0-1
London m1,London,1834.??.??,12,"De Labourdonnais, Louis","McDonnell, Alexander",,,D20,"[['d4', 'd5'], ['c4', 'dxc4'], ['e3', 'e5'], ['Bxc4', 'exd4'], ['exd4', 'Nf6'], ['Nf3', 'Bd6'], ['O-O', 'O-O'], ['Bg5', 'h6\n'], ['Bh4', 'g5'], ['Bg3', 'Bg4'], ['Nc3', 'Nc6'], ['Qd3', 'Kg7'], ['Ne5', 'Bxe5'], ['dxe5', 'Nh5'], ['Nd5', 'Nxg3\n'], ['Qxg3', 'Bh5'], ['f4', 'Na5'], ['b3', 'Nxc4'], ['bxc4', 'c6'], ['Nf6', 'Qd4+'], ['Kh1', 'Bg6'], ['Rad1', 'Qxc4\n'], ['f5', 'Bh7'], ['Nd7', 'Rfd8'], ['e6', 'f6'], ['Qc7', 'Rdc8'], ['Qxb7', 'Qb5'], ['Rb1', 'Qxb7'], ['Rxb7', 'Kh8\n'], ['Nxf6', 'Bg8'], ['Rd1', 'Rd8'], ['Rdd7', 'Rxd7'], ['Rxd7', 'g4'], ['Kg1', 'a5'], ['e7', '']]",1-0
London m1,London,1834.??.??,13,"McDonnell, Alexander","De Labourdonnais, Louis",,,B21,"[['e4', 'c5'], ['f4', 'e6'], ['Nf3', 'Nc6'], ['c3', 'd5'], ['e5', 'f6'], ['Na3', 'Nh6'], ['Nc2', 'Qb6'], ['d4', 'cxd4'], ['cxd4', 'Bb4+\n'], ['Nxb4', 'Qxb4+'], ['Kf2', 'O-O'], ['a3', 'Qb6'], ['Kg3', 'Nxd4'], ['Nxd4', 'Qxd4'], ['Qxd4', 'Nf5+\n'], ['Kh3', 'Nxd4'], ['b4', 'fxe5'], ['fxe5', 'Nc6'], ['Bb2', 'Rf7'], ['Rb1', 'Bd7'], ['Bd3', 'Raf8'], ['Rhf1', 'a6\n'], ['Kg3', 'Rxf1'], ['Rxf1', 'Rxf1'], ['Bxf1', 'Ne7'], ['Bd3', 'Be8'], ['Kf4', 'Bg6'], ['Be2', 'Be4'], ['g3', 'Kf7\n'], ['Bd1', 'h6'], ['h4', 'Nf5'], ['h5', 'Ne7'], ['g4', 'Ke8'], ['Bd4', 'g6'], ['hxg6', 'Nxg6+'], ['Kg3', 'Bd3\n'], ['Ba4+', 'Ke7'], ['Bd1', 'Kf7'], ['Ba4', 'Ne7'], ['Kh4', 'b5'], ['Bd1', 'Nc6'], ['Bb2', 'Kg6'], ['Kg3', 'a5\n'], ['bxa5', 'Nxa5'], ['Kf4', 'Nc4'], ['Bc1', 'Bb1'], ['Bb3', 'Bd3'], ['Bd1', 'Kf7'], ['Bb3', 'd4'], ['a4', 'bxa4\n'], ['Bxa4', 'Ke7'], ['Bb3', 'Na5'], ['Bd1', 'Bg6'], ['Bd2', 'Nc4'], ['Bb4+', 'Kf7'], ['Ba4', 'd3'], ['Bc3', 'd2\n'], ['Bd1', 'Kg7'], ['Kf3', 'h5'], ['Kf4', 'h4'], ['Bd4', 'Bb1'], ['Kf3', 'Kg6'], ['Ke2', 'Be4'], ['Bf2', 'h3\n'], ['Bg3', 'Kg5'], ['Bh2', 'Kxg4'], ['Kf2+', 'Kf5'], ['Ke2', 'Bd5'], ['Kd3', 'Nxe5+'], ['Kxd2', 'Nc6'], ['Ke3', 'e5\n'], ['Kf2', 'Bg2'], ['Kg3', 'Ke4'], ['Bg4', 'Ke3'], ['Bxh3', 'Bxh3'], ['Kxh3', 'e4'], ['Kg2', 'Ke2'], ['Bf4', 'Ne7\n'], ['Bg5', 'Nf5'], ['Bf4', '']]",1/2-1/2
London m1,London,1834.??.??,14,"McDonnell, Alexander","De Labourdonnais, Louis",,,B21,"[['e4', 'c5'], ['f4', 'e6'], ['Nf3', 'd5'], ['e5', 'Nc6'], ['c3', 'f6'], ['Na3', 'Nh6'], ['Nc2', 'Qb6'], ['d4', 'Bd7'], ['Ne3', 'cxd4\n'], ['cxd4', 'Bb4+'], ['Kf2', 'O-O'], ['Kg3', 'fxe5'], ['fxe5', 'Be8'], ['Kh3', 'Bh5'], ['g4', 'Bg6'], ['Bg2', 'Be4\n'], ['g5', 'Nf5'], ['Nxf5', 'Rxf5'], ['Be3', 'Bxf3'], ['Bxf3', 'Nxe5'], ['Bg4', 'Nxg4'], ['Qxg4', 'Raf8\n'], ['Rhg1', 'Bd6'], ['Bc1', 'Rf3+'], ['Kh4', 'R8f4']]",0-1
London m1,London,1834.??.??,15,"De Labourdonnais, Louis","McDonnell, Alexander",,,D20,"[['d4', 'd5'], ['c4', 'dxc4'], ['e3', 'e5'], ['Bxc4', 'exd4'], ['exd4', 'Nf6'], ['Nc3', 'Be7'], ['Nf3', 'O-O'], ['h3', 'c6\n'], ['Be3', 'Bf5'], ['g4', 'Bg6'], ['Ne5', 'Nbd7'], ['Nxg6', 'hxg6'], ['h4', 'Nb6'], ['Bb3', 'Nfd5'], ['h5', 'Nxe3\n'], ['fxe3', 'Bh4+'], ['Kd2', 'gxh5'], ['Qf3', 'Bg5'], ['Raf1', 'Qxd4+'], ['Kc2', 'Qf6'], ['Rxh5', 'Qg6+\n'], ['e4', 'Nd5'], ['Rfh1', 'Bh6'], ['g5', 'f5'], ['Nxd5', 'cxd5'], ['Bxd5+', 'Kh7'], ['Rxh6+', 'gxh6'], ['Rxh6+', 'Qxh6\n'], ['gxh6', '']]",1-0
London m1,London,1834.??.??,16,"McDonnell, Alexander","De Labourdonnais, Louis",,,B21,"[['e4', 'c5'], ['f4', 'e6'], ['Nf3', 'Nc6'], ['c3', 'd5'], ['e5', 'f6'], ['Na3', 'Nh6'], ['Nc2', 'Qb6'], ['d4', 'Bd7'], ['Ne3', 'cxd4\n'], ['cxd4', 'Bb4+'], ['Kf2', 'O-O'], ['Kg3', 'fxe5'], ['fxe5', 'Rac8'], ['h4', 'Rxf3+'], ['gxf3', 'Nxd4\n'], ['Bd3', 'Rf8'], ['f4', 'Bc5'], ['Rf1', 'Bb5'], ['Bxb5', 'Qxb5'], ['Kh3', 'Ne2'], ['Ng2', 'Nf5'], ['Kh2', 'Neg3\n'], ['Rf3', 'Ne4'], ['Qf1', 'Qe8'], ['b4', 'Bd4'], ['Rb1', 'Qh5'], ['Rbb3', 'Rc8'], ['Be3', 'Rc2'], ['Kg1', 'Nxe3\n'], ['Rfxe3', 'Nd2'], ['Qd3', 'Rc1+'], ['Kh2', 'Nf1+'], ['Kh3', 'Nxe3'], ['Nxe3', 'Qf3+'], ['Kh2', 'Rh1+']]",0-1
London m1,London,1834.??.??,17,"De Labourdonnais, Louis","McDonnell, Alexander",,,D20,"[['d4', 'd5'], ['c4', 'dxc4'], ['e3', 'e5'], ['Bxc4', 'exd4'], ['exd4', 'Nf6'], ['Nc3', 'Be7'], ['Nf3', 'O-O'], ['Be3', 'c6\n'], ['h3', 'Nbd7'], ['Bb3', 'Nb6'], ['O-O', 'Nfd5'], ['a4', 'a5'], ['Ne5', 'Be6'], ['Bc2', 'f5'], ['Qe2', 'f4\n'], ['Bd2', 'Qe8'], ['Rae1', 'Bf7'], ['Qe4', 'g6'], ['Bxf4', 'Nxf4'], ['Qxf4', 'Bc4'], ['Qh6', 'Bxf1'], ['Bxg6', 'hxg6\n'], ['Nxg6', 'Nc8'], ['Qh8+', 'Kf7'], ['Qh7+', 'Kf6'], ['Nf4', 'Bd3'], ['Re6+', 'Kg5'], ['Qh6+', 'Kf5'], ['g4+', '']]",1-0
London m1,London,1834.??.??,18,"McDonnell, Alexander","De Labourdonnais, Louis",,,C33,"[['e4', 'e5'], ['f4', 'exf4'], ['Bc4', 'Qh4+'], ['Kf1', 'g5'], ['Nc3', 'Bg7'], ['d4', 'Nc6'], ['e5', 'Nge7'], ['Nf3', 'Qh5\n'], ['Ne4', 'h6'], ['Nf6+', 'Bxf6'], ['exf6', 'd5'], ['Bd3', 'Nf5'], ['Qe1+', 'Kd8'], ['Ne5', 'Nfxd4'], ['c3', 'Nxe5\n'], ['Qxe5', 'Nc6'], ['Qxd5+', 'Ke8'], ['Bb5', 'Be6'], ['Bxc6+', 'Kf8'], ['Qc5+', 'Kg8'], ['Bf3', 'Qg6'], ['Qd4', 'c5\n'], ['Qe5', 'Re8'], ['Be2', 'f3'], ['Kf2', 'fxe2'], ['Be3', 'b6'], ['h4', 'Bd7'], ['Qd5', 'Qxf6+'], ['Kxe2', 'Bg4+\n'], ['Kd2', 'Rd8']]",0-1
