Paris,Paris,1821.??.??,?,"De Labourdonnais, Louis","Cochrane, James",,,C37,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'g4'], ['Ne5', 'Qh4+'], ['Kf1', 'f3'], ['g3', 'Qh3+'], ['Kf2', 'Qg2+\n'], ['Ke3', 'Bh6+'], ['Kd3', 'd5'], ['Bxd5', 'Na6'], ['c3', 'c6'], ['Bxf7+', 'Ke7'], ['Bb3', 'Nc5+'], ['Kc2', 'Nxe4\n'], ['Qf1', 'Bf5'], ['Qxg2', 'Nf2+'], ['d3', 'fxg2'], ['Rg1', 'Rd8'], ['Bxh6', 'Nxh6'], ['Rxg2', 'Nxd3'], ['Nxd3', 'Bxd3+\n'], ['Kc1', 'Rhf8'], ['Nd2', 'Nf5'], ['Bd1', 'Ne3'], ['Rg1', 'Bf1'], ['b3', 'Rf2'], ['Rxf1', 'Nxf1'], ['Nxf1', 'Rxd1+\n'], ['Kxd1', 'Rxf1+']]",0-1
London m1,London,1834.??.??,19,"De Labourdonnais, Louis","McDonnell, Alexander",,,C23,"[['e4', 'e5'], ['Bc4', 'Bc5'], ['Qe2', 'd6'], ['d3', 'Nf6'], ['h3', 'Nc6'], ['c3', 'Ne7'], ['Bb3', 'Ng6'], ['g3', 'c6'], ['f4', 'exf4\n'], ['gxf4', 'Bxg1'], ['Rxg1', 'Bxh3'], ['f5', 'Ne5'], ['Rg3', 'Bg4'], ['Qg2', 'h5'], ['d4', 'Ned7'], ['Bg5', 'Qb6\n'], ['Nd2', 'O-O'], ['Bf4', 'd5'], ['e5', 'Rfe8'], ['Be3', 'h4'], ['Rxg4', 'Nxg4'], ['Qxg4', 'Nxe5'], ['dxe5', 'Qxe3+\n'], ['Kd1', 'Rxe5'], ['Kc2', 'Qg3'], ['Qd4', 'Qe3'], ['Qxh4', 'Qh6'], ['Qxh6', 'gxh6'], ['Rf1', 'f6'], ['c4', 'Kf7\n'], ['cxd5', 'cxd5'], ['Kd3', 'Rg8'], ['Rf4', 'Ke7'], ['Nf3', 'Rg3'], ['Kd4', 'Kd6'], ['Bd1', 'b5'], ['b4', 'a6\n'], ['a4', 'h5'], ['axb5', 'axb5'], ['Bc2', 'Re2'], ['Bd3', 'Rb2'], ['Ke3', 'Rg4'], ['Nd4', 'Rxf4'], ['Kxf4', 'Rxb4\n'], ['Ke3', 'Kc5'], ['Ne6+', 'Kb6'], ['Nf4', 'Rxf4'], ['Kxf4', 'Kc5'], ['Be2', 'h4'], ['Kg4', 'b4'], ['Kxh4', 'Kd4\n'], ['Kg3', 'b3'], ['Bd1', 'b2'], ['Bc2', 'Ke3']]",0-1
London m1,London,1834.??.??,20,"McDonnell, Alexander","De Labourdonnais, Louis",,,C33,"[['e4', 'e5'], ['f4', 'exf4'], ['Bc4', 'Qh4+'], ['Kf1', 'd6'], ['d4', 'Bg4'], ['Qd3', 'Nc6'], ['Bxf7+', 'Kxf7'], ['Qb3+', 'Kg6\n'], ['Qxb7', 'Nxd4'], ['Qxa8', 'Nf6'], ['Na3', 'f3'], ['g3', 'Bh3+'], ['Ke1', 'Qg4'], ['Be3', 'd5'], ['Qxa7', 'Nc6\n'], ['Qxc7', 'd4'], ['Bd2', 'Qxe4+'], ['Kd1', 'f2'], ['Nxh3', 'Qf3+'], ['Kc1', 'Qxh1+']]",0-1
London m1,London,1834.??.??,21,"De Labourdonnais, Louis","McDonnell, Alexander",,,C23,"[['e4', 'e5'], ['Bc4', 'Bc5'], ['Qe2', 'Nf6'], ['d3', 'Nc6'], ['c3', 'Ne7'], ['f4', 'exf4'], ['d4', 'Bb6'], ['Bxf4', 'd6\n'], ['Bd3', 'Ng6'], ['Be3', 'O-O'], ['h3', 'Re8'], ['Nd2', 'Qe7'], ['O-O-O', 'c5'], ['Kb1', 'cxd4'], ['cxd4', 'a5\n'], ['Ngf3', 'Bd7'], ['g4', 'h6'], ['Rdg1', 'a4'], ['g5', 'hxg5'], ['Bxg5', 'a3'], ['b3', 'Bc6'], ['Rg4', 'Ba5\n'], ['h4', 'Bxd2'], ['Nxd2', 'Ra5'], ['h5', 'Rxg5'], ['Rxg5', 'Nf4'], ['Qf3', 'Nxd3'], ['d5', 'Nxd5'], ['Rhg1', 'Nc3+\n'], ['Ka1', 'Bxe4'], ['Rxg7+', 'Kh8'], ['Qg3', 'Bg6'], ['hxg6', 'Qe1+'], ['Rxe1', 'Rxe1+'], ['Qxe1', 'Nxe1\n'], ['Rh7+', 'Kg8'], ['gxf7+', 'Kxh7'], ['f8=N+', 'Kh6'], ['Nb1', 'Nc2+']]",0-1
London m1,London,1834.??.??,22,"McDonnell, Alexander","De Labourdonnais, Louis",,,C33,"[['e4', 'e5'], ['f4', 'exf4'], ['Bc4', 'Qh4+'], ['Kf1', 'g5'], ['Nc3', 'Bg7'], ['d4', 'd6'], ['Nd5', 'Kd8'], ['Be2', 'Nc6\n'], ['e5', 'Nge7'], ['Nc3', 'Nf5'], ['Nf3', 'Qh6'], ['Ne4', 'f6'], ['exf6', 'Bxf6'], ['g4', 'Nfxd4'], ['Kg2', 'Bxg4\n'], ['h4', 'Bxf3+'], ['Bxf3', 'Nxf3'], ['Qxf3', 'Ne5'], ['Qb3', 'Qg6'], ['Qxb7', 'Rc8'], ['Bd2', 'gxh4+\n'], ['Kf1', 'Rg8'], ['Nxd6', 'cxd6'], ['Ba5+', 'Ke8'], ['Qxc8+', 'Kf7'], ['Qb7+', 'Be7'], ['Qd5+', 'Kf8\n'], ['Rd1', 'f3'], ['Rd2', 'h3'], ['Qa8+', 'Kf7'], ['Qd5+', 'Kf8'], ['Qa8+', 'Kg7'], ['Qxa7', 'Qg2+'], ['Rxg2+', 'fxg2+\n'], ['Kg1', 'Nf3+'], ['Kf2', 'gxh1=Q'], ['Qxe7+', 'Kh6'], ['Qxd6+', 'Kh5'], ['Qd5+', 'Rg5'], ['Qf7+', 'Kg4\n'], ['Qc4+', 'Nd4'], ['Qxd4+', 'Kh5'], ['Bb6', 'Qh2+'], ['Ke1', 'Re5+'], ['Kd1', 'Qe2+'], ['Kc1', 'Qe1+\n'], ['Qd1+', 'Qxd1+'], ['Kxd1', 'h2']]",0-1
London m1,London,1834.??.??,23,"De Labourdonnais, Louis","McDonnell, Alexander",,,D00,"[['d4', 'd5'], ['Bf4', 'c5'], ['e3', 'Nc6'], ['Nf3', 'Bg4'], ['Be2', 'Bxf3'], ['Bxf3', 'e6'], ['c4', 'Nf6'], ['Nc3', 'cxd4\n'], ['exd4', 'dxc4'], ['O-O', 'Be7'], ['Bxc6+', 'bxc6'], ['Qa4', 'O-O'], ['Qxc4', 'Rc8'], ['a3', 'Bd6'], ['Bg3', 'Bxg3\n'], ['fxg3', 'Nd5'], ['Rae1', 'Qg5'], ['Ne4', 'Qe7'], ['b4', 'a5'], ['Nc5', 'axb4'], ['axb4', 'Rb8'], ['Na6', 'Rb6\n'], ['b5', 'Qa3'], ['Qc5', 'Qxc5'], ['Nxc5', 'Rxb5'], ['Nd7', 'Rc8'], ['Ne5', 'Rb7'], ['Rc1', 'Rbc7'], ['Rc5', 'f6\n'], ['Nc4', 'Kf8'], ['Ra1', 'Ke7'], ['Ra6', 'Nb4'], ['Ra4', 'Rb8'], ['Na5', 'Nd3'], ['Kf1', 'Nxc5'], ['dxc5', 'Rb5']]",0-1
London m1,London,1834.??.??,24,"McDonnell, Alexander","De Labourdonnais, Louis",,,C23,"[['e4', 'e5'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['f4', 'd5'], ['exd5', 'e4'], ['Ne2', 'Nf6'], ['O-O', 'O-O'], ['Nbc3', 'c6\n'], ['dxc6', 'Nxc6'], ['Kh1', 'Bg4'], ['Qe1', 'e3'], ['dxe3', 'Bxe2'], ['Bxe2', 'Ne4'], ['Bb2', 'Qa5'], ['Bd3', 'Bxc3\n'], ['Bxc3', 'Nxc3'], ['Qh4', 'f5'], ['Rf3', 'Ne4'], ['Rh3', 'h6'], ['Rf1', 'Qc5'], ['Qh5', 'Qd6'], ['g4', 'Rae8\n'], ['Bc4+', 'Kh7'], ['g5', 'Na5'], ['gxh6', 'g6'], ['Qe2', 'Nxc4'], ['Qxc4', 'Nd2'], ['Qc3', 'Qc6+'], ['Qxc6', 'bxc6\n'], ['Rd1', 'Rd8']]",0-1
London m1,London,1834.??.??,25,"De Labourdonnais, Louis","McDonnell, Alexander",,,D00,"[['f4', 'd5'], ['d4', 'c5'], ['e3', 'e6'], ['Nf3', 'Nc6'], ['c4', 'cxd4'], ['exd4', 'dxc4'], ['Bxc4', 'Nf6'], ['Nc3', 'Be7\n'], ['O-O', 'O-O'], ['Kh1', 'a6'], ['Be3', 'b5'], ['Bd3', 'Bb7'], ['Ne5', 'Kh8'], ['Bc2', 'Nb4'], ['Bb3', 'Nbd5\n'], ['Nxd5', 'Nxd5'], ['Qe2', 'f6'], ['Nf3', 'Qe8'], ['Rae1', 'Bd6'], ['Bd2', 'Nxf4'], ['Bxf4', 'Bxf4'], ['Bxe6', 'Qh5\n'], ['g4', 'Qh6'], ['d5', 'Rae8'], ['Qg2', 'Re7'], ['Nd4', 'g6'], ['Nc6', 'Rc7'], ['Re4', 'g5'], ['Nd4', 'Rd8\n'], ['Nf5', 'Qf8'], ['Rd1', 'Rc5'], ['Red4', 'Be5'], ['R4d2', 'Rc4'], ['Ne3', 'Rc7'], ['Qf3', 'Bf4'], ['Rd3', 'Qd6\n'], ['Nf5', 'Qxe6'], ['dxe6', 'Bxf3+'], ['Kg1', 'Rxd3'], ['Rxd3', 'Rc8'], ['e7', 'Re8'], ['Rxf3', 'Kg8'], ['Ra3', 'Kf7\n'], ['Rxa6', 'Rc8'], ['b3', 'Be5'], ['h3', 'b4'], ['Kg2', 'Bf4'], ['Kf3', 'Be5'], ['Ke4', 'Bf4'], ['Ra7', 'Be5\n'], ['Ng7', 'Re8'], ['Nxe8', 'Kxe8'], ['Kf5', 'Kf7'], ['Rb7', '']]",1-0
London m2,London,1834.??.??,26,"McDonnell, Alexander","De Labourdonnais, Louis",,,C52,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['O-O', 'd6'], ['d4', 'Bb6'], ['dxe5', 'Bg4\n'], ['Bb5', 'Bxf3'], ['Qxf3', 'dxe5'], ['Qg3', 'Qf6'], ['Bg5', 'Qe6'], ['Na3', 'Nf6'], ['Bxf6', 'gxf6'], ['Rad1', 'Bc5\n'], ['Qg7', 'Ke7'], ['Bc4', 'Rag8'], ['Qxg8', 'Rxg8'], ['Bxe6', 'fxe6'], ['Nc2', 'Rg4'], ['Rfe1', 'f5'], ['exf5', 'exf5\n'], ['Ne3', 'Bxe3'], ['Rxe3', 'Ke6'], ['Rh3', 'Rg7'], ['Rh6+', 'Ke7'], ['Rb1', 'Nd8'], ['f3', 'b6'], ['Rd1', 'Nf7\n'], ['Rc6', 'Rg8'], ['Rxc7+', 'Kf6'], ['Rxa7', 'Rc8'], ['Rdd7', 'Ng5'], ['Rdc7', '']]",1-0
London m2,London,1834.??.??,27,"De Labourdonnais, Louis","McDonnell, Alexander",,,A03,"[['f4', 'd5'], ['d4', 'c5'], ['e3', 'Nc6'], ['Nf3', 'Nf6'], ['c4', 'Bg4'], ['cxd5', 'Bxf3'], ['Qxf3', 'Qxd5'], ['Qxd5', 'Nxd5\n'], ['Bb5', 'cxd4'], ['exd4', 'Nb4'], ['Na3', 'O-O-O'], ['Bxc6', 'Nxc6'], ['Be3', 'Nxd4'], ['O-O-O', 'e5\n'], ['Nc4', 'Bc5'], ['Bxd4', 'exd4'], ['Rhe1', 'f6'], ['Re6', 'Rhe8'], ['Rde1', 'Rxe6'], ['Rxe6', 'Kd7'], ['f5', 'Re8\n'], ['Rxe8', 'Kxe8'], ['Kc2', 'Kd7'], ['Kd3', 'Kc6'], ['Ke4', 'Kb5'], ['Nd2', 'Kb4'], ['Kd3', 'Bd6'], ['Nf3', 'Be5\n'], ['h4', 'Kc5'], ['Ke4', 'h5'], ['Nd2', 'b5'], ['Nb3+', 'Kc4'], ['Na5+', 'Kb4'], ['Nc6+', 'Kc4'], ['Na5+', 'Kb4\n'], ['Nc6+', 'Kc5'], ['Na5', 'b4'], ['Nb3+', 'Kc4'], ['Nd2+', 'Kb5'], ['b3', 'a5'], ['Kd5', 'Bf4'], ['Nc4', 'd3\n'], ['Nb2', 'd2'], ['Ke4', 'Be5'], ['Nd1', 'Bg3'], ['Ke3', 'Be1'], ['Ke2', 'Kc5'], ['Ne3', 'Kd4'], ['Nc4', 'Kc3\n'], ['Kd1', 'a4'], ['Na5', 'axb3'], ['axb3', 'Bxh4'], ['Nc4', 'Bg5']]",0-1
London m2,London,1834.??.??,28,"McDonnell, Alexander","De Labourdonnais, Louis",,,B21,"[['e4', 'c5'], ['f4', 'Nc6'], ['Nf3', 'e6'], ['c3', 'd5'], ['e5', 'f6'], ['Na3', 'Nh6'], ['Nc2', 'Qb6'], ['d4', 'cxd4'], ['cxd4', 'Bb4+\n'], ['Kf2', 'Bd7'], ['h4', 'fxe5'], ['fxe5', 'O-O'], ['Kg3', 'Nf5+'], ['Kh3', 'Be7'], ['Bd3', 'Qd8'], ['g4', 'Nxh4\n'], ['Nxh4', 'Bxh4'], ['g5', 'Bxg5'], ['Qh5', 'Bh6'], ['Bxh6', 'gxh6'], ['Rag1+', 'Kh8'], ['Qxh6', 'Qe7\n'], ['Rg3', 'Rg8'], ['Qf6+', 'Qxf6'], ['exf6', 'e5+'], ['Kg2', 'e4'], ['Be2', 'Rxg3+'], ['Kxg3', 'Rg8+'], ['Kh4', 'Rg2\n'], ['Rf1', 'Kg8'], ['Bd1', 'Be6'], ['b4', 'a6'], ['a4', 'Rh2+'], ['Kg5', 'b5'], ['axb5', 'axb5'], ['Bh5', 'Rxc2\n'], ['Ra1', 'Nd8'], ['Ra7', 'e3'], ['Rg7+', 'Kf8'], ['Kh6', 'Nf7+'], ['Bxf7', 'Bxf7'], ['Rg3', 'Rh2+'], ['Kg5', 'e2\n'], ['Re3', 'Bh5']]",0-1
London m2,London,1834.??.??,29,"De Labourdonnais, Louis","McDonnell, Alexander",,,C54,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['c3', 'd6'], ['d3', 'Nf6'], ['b4', 'Bb6'], ['a4', 'a6'], ['b5', 'Ne7'], ['h3', 'Ng6\n'], ['Qe2', 'Be6'], ['Na3', 'O-O'], ['g4', 'd5'], ['Ba2', 'dxe4'], ['dxe4', 'Bxa2'], ['Rxa2', 'Nd7'], ['Nc4', 'Re8\n'], ['h4', 'Nc5'], ['Rd2', 'Qc8'], ['Rd5', 'Nxa4'], ['h5', 'Nf4'], ['Bxf4', 'Nxc3'], ['Qd3', 'Nxd5'], ['Qxd5', 'exf4\n'], ['Ng5', 'Re7'], ['h6', 'g6'], ['Nxb6', 'cxb6'], ['Qd4', 'Qf8'], ['Qf6', 'Rd7'], ['Ke2', 'Rad8'], ['e5', 'Rd2+\n'], ['Kf3', 'Rxf2+'], ['Kxf2', 'Qc5+'], ['Kg2', 'Rd2+'], ['Kh3', 'Qe3+'], ['Nf3', 'Qxf3+'], ['Kh4', 'Qxh1+\n'], ['Kg5', 'Kf8'], ['Qh8+', 'Ke7'], ['Qf6+', 'Ke8'], ['Qh8+', 'Kd7'], ['e6+', 'fxe6'], ['Qg7+', 'Kd6'], ['Qf8+', 'Kc7\n'], ['Qxf4+', 'Rd6'], ['Qf7+', 'Kc8'], ['Qg8+', 'Rd8'], ['Qxh7', 'Qd5+'], ['Kh4', 'Qh1+'], ['Kg5', 'Rd5+\n'], ['Kf6', 'Qf3+'], ['Kxg6', 'Qe4+']]",0-1
London m2,London,1834.??.??,30,"McDonnell, Alexander","De Labourdonnais, Louis",,,C24,"[['e4', 'e5'], ['Bc4', 'Nf6'], ['d4', 'exd4'], ['e5', 'Qe7'], ['Qe2', 'Ng8'], ['Nf3', 'Nc6'], ['c3', 'd6'], ['cxd4', 'Bg4\n'], ['Bb5', 'd5'], ['Nc3', 'Qe6'], ['h3', 'Bxf3'], ['Qxf3', 'O-O-O'], ['Bxc6', 'Qxc6'], ['Qxf7', 'Bb4'], ['Bd2', 'Ne7\n'], ['O-O', 'Rdf8'], ['Qh5', 'Nf5'], ['a3', 'Bxc3'], ['Bxc3', 'g6'], ['Qd1', 'h5'], ['Rc1', 'Qe6'], ['f4', 'h4\n'], ['Rf3', 'Rfg8'], ['Qe1', 'Kb8'], ['Qd2', 'Rh7'], ['Qd3', 'Rhg7'], ['Bd2', 'a6'], ['b4', 'Qb6'], ['Bc3', 'Ng3\n'], ['a4', 'Ne4'], ['b5', 'g5'], ['f5', 'g4'], ['hxg4', 'Rxg4'], ['Rc2', 'h3'], ['Rxh3', 'Rg3'], ['Rxg3', 'Rxg3\n'], ['a5', 'Qh6'], ['Bd2', 'Qh3'], ['Qf1', 'Rg8'], ['f6', 'Qh5'], ['f7', 'Rf8'], ['e6', 'Ng3'], ['Qf3', 'Qh1+\n'], ['Kf2', 'Ne4+'], ['Ke2', 'Qb1'], ['e7', 'Qxb5+'], ['Qd3', 'Ng3+'], ['Kd1', '']]",1-0
London m2,London,1834.??.??,31,"De Labourdonnais, Louis","McDonnell, Alexander",,,D20,"[['d4', 'd5'], ['c4', 'dxc4'], ['e3', 'e5'], ['Bxc4', 'exd4'], ['exd4', 'Nf6'], ['Nc3', 'Be7'], ['Nf3', 'O-O'], ['O-O', 'c6\n'], ['h3', 'Nbd7'], ['Be3', 'Nb6'], ['Bb3', 'Nfd5'], ['Qe2', 'Kh8'], ['Rae1', 'Bd6'], ['Bc2', 'f5'], ['Ne5', 'f4\n'], ['Qh5', 'Nf6'], ['Ng6+', 'Kg8'], ['Bb3+', 'Nbd5'], ['Nxd5', 'cxd5'], ['Bxd5+', 'Nxd5'], ['Qxd5+', 'Rf7\n'], ['Ne5', 'Be6'], ['Qxe6', 'Bxe5'], ['dxe5', 'fxe3'], ['Rxe3', 'Qe8'], ['Qxe8+', 'Rxe8'], ['f4', 'Rc7\n'], ['Rf2', 'Kf7'], ['g4', 'Rc5'], ['Rfe2', 'a5'], ['Kf2', 'b5'], ['Kf3', 'b4'], ['a3', 'Rb8'], ['axb4', 'Rxb4\n'], ['Rc3', '']]",1-0
London m2,London,1834.??.??,32,"McDonnell, Alexander","De Labourdonnais, Louis",,,B21,"[['e4', 'c5'], ['f4', 'e6'], ['Nf3', 'Nc6'], ['c3', 'd5'], ['e5', 'f6'], ['Na3', 'Nh6'], ['Nc2', 'Qb6'], ['d4', 'Bd7'], ['h4', 'cxd4\n'], ['cxd4', 'Nf5'], ['Kf2', 'h5'], ['g3', 'O-O-O'], ['Kg2', 'Be7'], ['a3', 'Be8'], ['b4', 'Kb8'], ['b5', 'Na5\n'], ['Ne3', 'Bg6'], ['Bd3', 'Nxe3+'], ['Bxe3', 'Be4'], ['Bxe4', 'dxe4'], ['Nd2', 'fxe5'], ['fxe5', 'Qxb5\n'], ['Qf1', 'Qd3'], ['Qxd3', 'exd3'], ['Rhb1', 'Rc8'], ['Kf3', 'Rc3'], ['Rb5', 'Bd8'], ['Ke4', 'a6'], ['Rbb1', 'Be7\n'], ['a4', 'Rd8'], ['Rb6', 'Rc6'], ['Rab1', 'Kc7'], ['Rxc6+', 'Nxc6'], ['Rf1', 'Bb4'], ['Rf7+', 'Rd7'], ['Rxd7+', 'Kxd7\n'], ['Nf3', 'Be7'], ['Kxd3', 'Nb4+'], ['Ke4', 'Nd5'], ['Bd2', 'b5'], ['axb5', 'axb5'], ['Kd3', 'Ke8'], ['Bg5', 'Bxg5\n'], ['Nxg5', 'Kd7'], ['Ne4', 'Kc6'], ['Nc5', 'Nc7'], ['Ke4', 'b4'], ['Kd3', 'Kd5'], ['Ne4', 'Nb5'], ['g4', 'hxg4\n'], ['h5', 'Nxd4'], ['h6', 'gxh6'], ['Nf6+', 'Kxe5'], ['Nxg4+', 'Kd5']]",0-1
London m2,London,1834.??.??,33,"De Labourdonnais, Louis","McDonnell, Alexander",,,D20,"[['d4', 'd5'], ['c4', 'dxc4'], ['e3', 'e5'], ['Bxc4', 'exd4'], ['exd4', 'Nf6'], ['Nf3', 'Be7'], ['O-O', 'O-O'], ['h3', 'Nbd7\n'], ['Nc3', 'Nb6'], ['Bb3', 'c6'], ['Be3', 'Nfd5'], ['Qe2', 'f5'], ['Rae1', 'f4'], ['Bxf4', 'Rxf4'], ['Qxe7', 'Qxe7\n'], ['Rxe7', 'Kf8'], ['Re4', 'Rf6'], ['Nxd5', 'cxd5'], ['Re3', 'Bf5'], ['Ne5', 'h6'], ['Rc1', 'Rd8'], ['Rc7', 'Bc8\n'], ['Rg3', 'Bd7'], ['Bxd5', 'Nxd5'], ['Rxd7', 'Rxd7'], ['Nxd7+', '']]",1-0
London m2,London,1834.??.??,34,"McDonnell, Alexander","De Labourdonnais, Louis",,,B21,"[['e4', 'c5'], ['f4', 'e6'], ['Nf3', 'd5'], ['e5', 'Nc6'], ['c3', 'f6'], ['Na3', 'Nh6'], ['Nc2', 'Qb6'], ['d4', 'Bd7'], ['h4', 'O-O-O\n'], ['a3', 'Kb8'], ['b4', 'cxd4'], ['cxd4', 'Nf5'], ['Kf2', 'h5'], ['Bd3', 'Nh6'], ['Bd2', 'Ng4+'], ['Kg3', 'Rc8\n'], ['Qe2', 'Be7'], ['a4', 'g5'], ['a5', 'Qc7'], ['b5', 'gxf4+'], ['Kh3', 'Nxd4'], ['Ncxd4', 'fxe5'], ['b6', 'Qd6\n'], ['Nxe5', 'Qxe5'], ['Qxe5+', 'Nxe5'], ['Bxf4', 'Bd6'], ['Bb5', 'Rc3+'], ['g3', 'Bc8'], ['bxa7+', 'Ka8\n'], ['a6', 'bxa6'], ['Bxa6', 'Nf7'], ['Bxd6', 'Nxd6'], ['Bxc8', 'Rhxc8'], ['Nxe6', 'Ne4'], ['Rhg1', 'Nf2+\n'], ['Kg2', 'Ng4'], ['Rgb1', 'Rc2+'], ['Kg1', 'Ne5'], ['Ra3', 'Rc1+'], ['Rxc1', 'Rxc1+'], ['Kg2', 'Rc2+\n'], ['Kf1', 'Rc6'], ['Nf4', 'd4'], ['Ke2', 'Rc2+'], ['Kd1', 'Rc4'], ['Nxh5', 'Ng4'], ['Nf4', 'Ne3+'], ['Ke2', 'Nf5\n'], ['Nd5', 'Nxg3+'], ['Kf3', 'Rc6'], ['Kxg3', '']]",1-0
London m3,London,1834.??.??,35,"McDonnell, Alexander","De Labourdonnais, Louis",,,C37,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'g4'], ['Nc3', 'gxf3'], ['Qxf3', 'Qf6'], ['Nd5', 'Qe5'], ['c3', 'Bh6\n'], ['d4', 'Qd6'], ['e5', 'Qc6'], ['Bb5', 'Qg6'], ['Nxc7+', 'Kd8'], ['Nxa8', 'Ne7'], ['O-O', 'Rg8'], ['Bd3', 'Qg7\n'], ['b4', 'Ng6'], ['Bxg6', 'Qxg6'], ['b5', 'd6'], ['b6', 'a6'], ['exd6', 'Nc6'], ['d7', 'Bxd7'], ['Nc7', 'Bg4\n'], ['Qd5+', 'Kc8'], ['Bxf4', 'Be6'], ['Nxe6', 'fxe6'], ['Qf3', 'Bxf4'], ['Rae1', 'e5'], ['Kh1', 'Qh6'], ['Qh3+', 'Qxh3\n'], ['gxh3', 'Bd2'], ['Rd1', 'Bxc3'], ['d5', 'Ne7'], ['Rf7', 'Bb4'], ['d6', 'Nc6'], ['Rc7+', 'Kb8'], ['Rxh7', 'e4\n'], ['Rh4', 'e3'], ['Re4', 'Bc5'], ['d7', 'Rd8'], ['h4', 'Bxb6'], ['h5', 'Kc7'], ['h6', 'e2'], ['Rxe2', 'Bd4\n'], ['h7', 'Kxd7'], ['Rg2', 'Rh8'], ['Rg7+', 'Kd6'], ['Rxb7', 'Kc5'], ['Kg2', 'Nd8'], ['Rd7', 'Ne6'], ['h4', 'Kc6\n'], ['R7xd4', 'Nxd4'], ['Rxd4', 'Rxh7'], ['Kg3', 'Kc5'], ['Rd2', 'a5'], ['Kg4', 'a4'], ['Rd3', 'Rb7'], ['h5', 'Rb4+\n'], ['Kg3', 'Rb1'], ['Rd2', 'Rg1+'], ['Rg2', 'Rh1'], ['Rh2', 'Rg1+'], ['Kh4', 'Rg8'], ['h6', 'Kb4'], ['Kh5', 'Ka3\n'], ['h7', 'Rb8'], ['Kg5', 'Rb5+'], ['Kf4', 'Rb8'], ['Ke4', 'Re8+'], ['Kd3', 'Rd8+'], ['Kc2', 'Rh8'], ['Kb1', 'Kb4\n'], ['Rh4+', 'Kc3'], ['Rh3+', 'Kc4'], ['Kb2', 'Kb4'], ['a3+', 'Kc4'], ['Rh4+', 'Kb5'], ['Kc3', 'Rc8+'], ['Kb2', 'Rh8\n'], ['Rb4+', 'Ka5'], ['Rb7', 'Ka6'], ['Rg7', 'Ka5'], ['Kc3', 'Rc8+'], ['Kd4', 'Rh8'], ['Rg5+', 'Kb6'], ['Rh5', 'Kc6\n'], ['Kc4', 'Kb6'], ['Kb4', 'Kc6'], ['Kxa4', 'Kb6'], ['Rh6+', 'Kc5'], ['Ka5', 'Ra8+'], ['Ra6', 'Rb8'], ['a4', 'Rc8\n'], ['Ra7', 'Rb8'], ['Rc7+', 'Kd6'], ['Rc1', 'Ra8+'], ['Kb5', 'Rb8+'], ['Ka6', 'Ra8+'], ['Kb7', 'Rh8'], ['Rh1', '']]",1-0
London m3,London,1834.??.??,36,"De Labourdonnais, Louis","McDonnell, Alexander",,,C53,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['c3', 'd6'], ['d4', 'exd4'], ['cxd4', 'Bb6'], ['Nc3', 'Nf6'], ['d5', 'Ne5\n'], ['Nxe5', 'dxe5'], ['Bg5', 'a6'], ['Qf3', 'Qd6'], ['Bxf6', 'Qxf6'], ['Qxf6', 'gxf6'], ['O-O-O', 'Bxf2\n'], ['Rhf1', 'Be3+'], ['Kc2', 'Rg8'], ['g3', 'Rg6'], ['d6', 'c6'], ['Bxf7+', 'Kxf7'], ['d7', 'Bxd7'], ['Rxd7+', 'Ke6\n'], ['Rxh7', 'Rh6'], ['Rxh6', 'Bxh6'], ['Rd1', 'b5'], ['Ne2', 'a5'], ['g4', 'Rg8'], ['h3', 'c5'], ['Rd3', 'Rc8\n'], ['Ng3', 'b4'], ['Nf5', 'Bf8'], ['h4', 'a4'], ['h5', 'c4'], ['Rh3', 'b3+'], ['axb3', 'cxb3+'], ['Kb1', 'Kf7\n'], ['h6', 'Kg8'], ['h7+', 'Kh8'], ['Ne3', 'a3'], ['bxa3', 'Bxa3'], ['Rh1', 'b2'], ['Nc2', 'Be7'], ['Kxb2', 'Rc4\n'], ['Re1', 'Kxh7'], ['Kb3', 'Rc8'], ['Ne3', 'Kg6'], ['Rf1', 'Rh8'], ['Rf3', 'Rc8'], ['Nd5', 'Bd8'], ['Rf5', 'Rc1']]",1/2-1/2
