Golden Gate op,San Francisco,1977.??.??,?,"De Firmian, Nick E","Bustamante, Richard",,,C15,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['Ne2', 'dxe4'], ['a3', 'Be7'], ['Nxe4', 'Nf6'], ['N2c3', 'O-O'], ['g3', 'Nc6\n'], ['Be3', 'Nxe4'], ['Nxe4', 'f5'], ['Nc3', 'Bf6'], ['Ne2', 'Qd5'], ['Rg1', 'e5'], ['Nc3', 'Qf7'], ['d5', 'Nd4\n'], ['f4', 'c5'], ['Kf2', 'Bd7'], ['a4', 'Kh8'], ['Bc4', 'Rae8'], ['Rf1', 'exf4'], ['Bxf4', 'Be5'], ['Kg1', 'Bxf4\n'], ['Rxf4', 'g5'], ['Rf2', 'Qe7'], ['Nb5', 'Bxb5'], ['Bxb5', 'Rd8'], ['c3', 'Nxb5'], ['axb5', 'f4'], ['gxf4', 'gxf4\n'], ['Qd3', 'Qg5+'], ['Rg2', 'Qxd5'], ['Qxd5', 'Rxd5'], ['c4', 'Rd4'], ['Rc2', 'f3'], ['Kf2', 'Rg4'], ['Ke3', 'Rg7\n'], ['Rf2', 'Re7+'], ['Kd3', 'b6'], ['Raf1', 'Rd8+'], ['Kc2', 'Rd4'], ['b3', 'Rh4'], ['Rxf3', 'Rxh2+'], ['Kc3', 'Rhe2\n'], ['Kd3', 'R2e6'], ['Rg1', 'Rg6'], ['Rh1', 'Kg7'], ['Kc3', 'h6'], ['Kd3', 'Re5'], ['Ra1', 'Re7'], ['Rh1', 'Rd6+\n'], ['Kc3', 'Rde6'], ['Kd3', 'Re1'], ['Rh2', 'Rg1'], ['Kc3', 'Ree1'], ['Rd2', 'Rc1+'], ['Kb2', 'Rb1+'], ['Ka2', 'Ra1+\n'], ['Kb2', 'Rgb1+'], ['Kc3', '']]",1/2-1/2
Golden Gate op,San Francisco,1977.??.??,?,"De Firmian, Nick E","Jones, Charles B",,,B89,"[['e4', 'c5'], ['Nf3', 'Nf6'], ['Nc3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'd6'], ['Bc4', 'e6'], ['Be3', 'a6'], ['Qe2', 'Be7\n'], ['O-O-O', 'Qc7'], ['Bb3', 'Na5'], ['g4', 'b5'], ['g5', 'Nxb3+'], ['axb3', 'Nd7'], ['Nf5', 'exf5'], ['Nd5', 'Qd8\n'], ['exf5', 'Bb7'], ['f6', 'gxf6'], ['Rhe1', 'Bxd5'], ['Rxd5', 'Rg8'], ['gxf6', 'Nxf6'], ['Rf5', 'Rb8'], ['Ba7', 'Rb7\n'], ['Bd4', 'Ng4'], ['Qf3', 'Qc8'], ['Rxf7', 'Ne5'], ['Bxe5', 'dxe5'], ['Kb1', 'Rf8'], ['Rxf8+', 'Bxf8'], ['Rxe5+', 'Re7\n'], ['Qh5+', 'Kd8'], ['Rxe7', 'Bxe7'], ['Qxh7', 'Qe6']]",1/2-1/2
Golden Gate op,San Francisco,1977.??.??,?,"Kurosaki, T.","De Firmian, Nick E",,,A36,"[['c4', 'Nf6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['Nc3', 'O-O'], ['d3', 'd6'], ['e3', 'c5'], ['Nge2', 'Nc6'], ['O-O', 'Bd7\n'], ['h3', 'Rb8'], ['Rb1', 'a6'], ['Kh2', 'b5'], ['b3', 'e5'], ['Bb2', 'Ne8'], ['Nd5', 'Nc7'], ['Qd2', 'Nxd5'], ['cxd5', 'Ne7\n'], ['f4', 'exf4'], ['Nxf4', 'Nf5'], ['Bxg7', 'Nxg7'], ['e4', 'b4'], ['d4', 'cxd4'], ['Qxd4', 'Qa5'], ['Rf2', 'Qc7\n'], ['Nd3', 'a5'], ['Rc1', 'Qb7'], ['Rfc2', 'Rbc8'], ['Nb2', 'Bb5'], ['Nc4', 'Bxc4'], ['Rxc4', 'Rxc4'], ['Qxc4', 'Qe7\n'], ['Qc7', 'Qe5'], ['Rc6', 'Ne8'], ['Qxa5', 'f5'], ['exf5', 'Rxf5'], ['Qa7', 'Qe2'], ['Rc8', 'Kf8'], ['Qxh7', 'Rf2\n'], ['Qh8+', 'Kf7'], ['Qh7+', 'Kf6'], ['Qh8+', 'Kf5'], ['g4+', 'Kg5'], ['h4+', 'Kxg4'], ['Rc4+', 'Kf5'], ['Qf8+', 'Nf6\n'], ['Qc8+', 'Nd7'], ['Qxd7+', 'Kf6'], ['Qxd6+', 'Kg7'], ['Rc7+', 'Kh6'], ['Qg3', 'Rxg2+'], ['Qxg2', 'Qe5+\n'], ['Qg3', 'Qe2+'], ['Qg2', 'Qe5+'], ['Qg3', 'Qe2+'], ['Kh3', 'Qf1+'], ['Qg2', 'Qf5+'], ['Qg4', 'Qf1+']]",1/2-1/2
Lloyds Bank op,London,1978.??.??,?,"De Firmian, Nick E","Patterson, Nicholas J",,,B97,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Bg5', 'e6'], ['f4', 'Qb6'], ['Qd2', 'Qxb2\n'], ['Nb3', 'Qa3'], ['Bd3', 'Nc6'], ['O-O', 'Be7'], ['Rae1', 'h6'], ['Bh4', 'O-O'], ['Rf3', 'Bd7'], ['e5', 'dxe5\n'], ['fxe5', 'Nd5'], ['Nxd5', 'exd5'], ['Rg3', 'Qb4'], ['Rxg7+', 'Kxg7'], ['Bf6+', 'Bxf6'], ['exf6+', 'Kg8\n'], ['Qxh6', 'Qxe1+'], ['Bf1', '']]",1-0
Lloyds Bank op,London,1978.??.??,?,"Forintos, Gyozo V","De Firmian, Nick E",,,E38,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Qc2', 'c5'], ['dxc5', 'Na6'], ['a3', 'Bxc3+'], ['Qxc3', 'Nxc5'], ['b4', 'Nce4\n'], ['Qd4', 'd5'], ['c5', 'b6'], ['f3', 'bxc5'], ['bxc5', 'Qa5+'], ['Qb4', 'Qxb4+'], ['axb4', 'Nc3'], ['Bb2', 'Nb5\n'], ['e3', 'Bd7'], ['Be5', 'O-O'], ['Ne2', 'a5'], ['bxa5', 'Rfc8'], ['Nd4', 'Nc3'], ['Kd2', 'Rxc5'], ['Nb3', 'Nce4+\n'], ['fxe4', 'Nxe4+'], ['Ke1', 'Rc2'], ['Rg1', 'f6'], ['Bd3', 'Rcc8'], ['Bd4', 'e5'], ['Bb6', '']]",1-0
Lloyds Bank op,London,1978.??.??,?,"Kraidman, Yair","De Firmian, Nick E",,,E43,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['e3', 'b6'], ['Bd3', 'Bb7'], ['Nf3', 'O-O'], ['O-O', 'c5'], ['Na4', 'cxd4\n'], ['a3', 'Be7'], ['exd4', 'd6'], ['Bg5', 'Nbd7'], ['Re1', 'd5'], ['Bxf6', 'Bxf6'], ['c5', 'bxc5'], ['Nxc5', 'Nxc5\n'], ['dxc5', 'Qc7'], ['Qc2', 'g6'], ['Rac1', 'Rac8'], ['Qe2', 'Qa5'], ['Ne5', 'Rc7'], ['Rc3', 'Rxc5'], ['b4', 'Rxc3\n'], ['bxa5', 'Bxe5'], ['Qxe5', 'Rxd3'], ['h4', 'h5'], ['Rc1', 'Ba6'], ['Rc7', 'Rxa3'], ['Rxa7', 'Rxa5'], ['Qd6', 'Ra1+\n'], ['Kh2', 'Ra2'], ['Rxa6', 'Rxf2'], ['Qg3', 'Rf5'], ['Rd6', 'Kh7'], ['Rd7', 'Rc8'], ['Qd6', 'Kg8'], ['Re7', 'Rf8\n'], ['Ra7', 'Rc8'], ['Ra3', 'Kg7'], ['Qd7', 'Rb8'], ['Qc7', 'Re8'], ['Kg3', 'Kg8'], ['Rf3', 'Rxf3+'], ['gxf3', 'e5\n'], ['Qd7', 'Re6'], ['Qxd5', 'Kf8'], ['Qd8+', 'Kg7'], ['Kf2', 'Rf6'], ['Qc7', 'Rf5'], ['Ke3', 'Kg8'], ['Qc3', 'Kf8\n'], ['Ke4', 'Ke7'], ['Kd5', 'Kf8'], ['Qc8+', 'Kg7'], ['Qxf5', 'gxf5'], ['Kxe5', 'f4'], ['Kf5', 'f6'], ['Kxf4', 'Kg6\n'], ['Ke4', 'Kg7'], ['Kf5', 'Kf7'], ['f4', 'Ke7'], ['Kg6', 'Ke6'], ['Kxh5', 'Kf5'], ['Kh6', 'Kxf4'], ['Kg6', 'Kg4\n'], ['h5', 'f5'], ['h6', '']]",1-0
Lloyds Bank op,London,1978.??.??,?,"MacPherson, HD.","De Firmian, Nick E",,,E18,"[['g3', 'Nf6'], ['Bg2', 'd5'], ['Nf3', 'e6'], ['c4', 'Be7'], ['O-O', 'O-O'], ['d4', 'b6'], ['cxd5', 'exd5'], ['Nc3', 'Bb7\n'], ['Bg5', 'h6'], ['Bxf6', 'Bxf6'], ['Rc1', 'Na6'], ['e3', 'Qd7'], ['Qd2', 'c5'], ['dxc5', 'bxc5'], ['Rfd1', 'Rad8\n'], ['Qc2', 'Rfe8'], ['e4', 'Bxc3'], ['bxc3', 'Rxe4'], ['Ng5', 'hxg5'], ['Bxe4', 'Qe7'], ['Bg2', 'Bc6'], ['Re1', 'Qf6\n'], ['Qe2', 'c4'], ['Qe7', 'Rd7'], ['Qa3', 'Nc7'], ['Qxa7', 'Kh7'], ['Qe3', 'Ne6'], ['Qb6', 'Rd6'], ['a4', 'g4\n'], ['a5', 'd4'], ['Bxc6', 'Ng5'], ['Qb1+', 'g6'], ['Bg2', 'd3'], ['Re3', 'Qf5'], ['Rd1', 'Qxa5'], ['Qc1', 'Kg7\n'], ['Qd2', 'Qf5'], ['Ree1', 'Nf3+'], ['Bxf3', 'gxf3'], ['Qe3', 'Rf6'], ['Kh1', 'Qh3'], ['Rg1', 'Rf5'], ['g4', 'Rf6\n'], ['Qe5', 'g5'], ['Qg3', 'Qh6'], ['Rge1', 'Rf4'], ['Re3', 'Qf6'], ['Rc1', 'Kg6'], ['Rd1', 'Qxc3'], ['Qh3', '']]",1-0
Lloyds Bank op,London,1978.??.??,?,"De Firmian, Nick E","Balinas, Rosendo Carrean",,,C60,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nge7'], ['O-O', 'd6'], ['d4', 'a6'], ['Ba4', 'Bd7'], ['d5', 'Nb8'], ['c4', 'b5\n'], ['Bc2', 'Ng6'], ['Nc3', 'Be7'], ['b4', 'a5'], ['bxa5', 'bxc4'], ['Nd2', 'Bg5'], ['Nxc4', 'Bxc1'], ['Rxc1', 'O-O\n'], ['Qd2', 'Nf4'], ['g3', 'Nh3+'], ['Kh1', 'Na6'], ['Qe3', 'g5'], ['Ne2', 'Bb5'], ['Bd3', 'Nc5'], ['Nxe5', 'Nxd3\n'], ['Nxd3', 'f5'], ['Nd4', 'Bxd3'], ['Qxd3', 'fxe4'], ['Qe3', 'Qd7'], ['Ne6', 'Rf3'], ['Qxe4', 'Nxf2+'], ['Rxf2', 'Rxf2\n'], ['Qe3', 'Rf5'], ['Rxc7', 'Qb5'], ['Rc1', 'Qxd5+'], ['Kg1', 'Re5'], ['Nc7', 'Qxa5'], ['Qd4', 'Rf8'], ['Nd5', 'Qxd5']]",0-1
Lone Pine op,Lone Pine,1979.??.??,1,"Sigurjonsson, Gudmundur","De Firmian, Nick E",,,B92,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Be2', 'e5'], ['Nb3', 'Be7'], ['O-O', 'O-O\n'], ['Be3', 'Be6'], ['f4', 'exf4'], ['Rxf4', 'Nc6'], ['Nd5', 'Bxd5'], ['exd5', 'Ne5'], ['Rb4', 'Qc8'], ['a4', 'Re8\n'], ['Na5', 'Rb8'], ['Ra3', 'Bd8'], ['Rc3', 'Qd7'], ['Nb3', 'Rc8'], ['Rxc8', 'Qxc8'], ['Bf2', 'a5'], ['Rb5', 'Nc4\n'], ['Bxc4', 'Qxc4'], ['Rxb7', 'Nxd5'], ['Qd3', 'Qxd3'], ['cxd3', 'Nb4'], ['d4', 'Nd3'], ['Nd2', 'Bf6'], ['Ne4', 'Nxf2\n'], ['Nxf6+', 'gxf6'], ['Kxf2', 'Re4']]",1/2-1/2
Lone Pine op,Lone Pine,1979.??.??,2,"De Firmian, Nick E","Diesen, Mark C",,,B07,"[['Nf3', 'g6'], ['e4', 'd6'], ['d4', 'Bg7'], ['Nc3', 'Nf6'], ['g3', 'O-O'], ['Bg2', 'Nbd7'], ['O-O', 'e5'], ['b3', 'Re8\n'], ['Bb2', 'c6'], ['Re1', 'b5'], ['d5', 'cxd5'], ['Nxd5', 'Bb7'], ['Nxf6+', 'Nxf6'], ['Qd3', 'Qb6']]",1/2-1/2
