Nikolaev,Nikolaev,1983.??.??,?,"Rashkovsky, Nukhim N","Smirin, Ilia",,,E04,"[['Nf3', 'Nf6'], ['c4', 'e6'], ['g3', 'd5'], ['d4', 'dxc4'], ['Bg2', 'c5'], ['O-O', 'Nc6'], ['Qa4', 'Bd7'], ['dxc5', 'Ne5\n'], ['Qc2', 'Nxf3+'], ['Bxf3', 'Qc8'], ['Be3', 'Bxc5'], ['Bxb7', 'Qxb7'], ['Bxc5', 'Rc8'], ['Ba3', 'h5'], ['h4', 'Qe4\n'], ['Qd2', 'Bc6'], ['f3', 'Qe5'], ['Kf2', 'Rd8'], ['Qb4', 'Rd7'], ['Qc5', 'Qxc5+'], ['Bxc5', 'Rc7'], ['Bd6', 'Rb7\n'], ['Ba3', 'Kd7'], ['Rd1+', 'Kc8'], ['Rc1', 'Bb5'], ['b3', 'Rc7'], ['Bd6', 'Rc6'], ['Na3', '']]",1-0
Sokolsky mem,Minsk,1985.??.??,?,"Smirin, Ilia","Mochalov, Evgeny V",,,B50,"[['e4', 'c5'], ['Nf3', 'd6'], ['b4', 'cxb4'], ['d4', 'Bg4'], ['Bc4', 'e6'], ['O-O', 'Be7'], ['a3', 'bxa3'], ['h3', 'Bh5\n'], ['d5', 'e5'], ['g4', 'Bg6'], ['Bd3', 'Nd7'], ['Nxa3', 'Ngf6'], ['Nd2', 'O-O'], ['Nac4', 'Nc5'], ['f3', 'Ne8\n'], ['Kg2', 'Bg5'], ['Nb3', 'Nxd3'], ['cxd3', 'Bxc1'], ['Qxc1', 'b6'], ['Qa3', 'f5'], ['gxf5', 'Bh5'], ['Qc1', 'Rc8\n'], ['Qe3', 'Rf7'], ['f4', 'exf4'], ['Rxf4', 'b5'], ['Ncd2', 'Rc2'], ['Nd4', 'Rb2'], ['Ne6', 'Qc8'], ['Rf2', 'Qc3\n'], ['Ra6', 'Rc2'], ['Nd4', 'Rb2'], ['Rc6', 'Qa3'], ['Ne6', 'Rf6'], ['Rc8', 'h6'], ['Qg3', 'g5'], ['fxg6', 'Rxf2+\n'], ['Qxf2', 'Bf3+'], ['Kh2', '']]",1-0
Sokolsky mem,Minsk,1985.??.??,?,"Malaniuk, Vladimir P","Smirin, Ilia",,,B58,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Be2', 'e5'], ['Nf3', 'h6'], ['O-O', 'Be7\n'], ['b3', 'O-O'], ['Bb2', 'Be6'], ['Re1', 'Rc8'], ['Bf1', 'Bg4'], ['h3', 'Bh5'], ['Re3', 'a6'], ['a4', 'Nb8'], ['Be2', 'Bg6\n'], ['Nh2', 'Rxc3'], ['Bxc3', 'Nxe4'], ['Qd5', 'Qc7'], ['Qc4', 'Qxc4'], ['Bxc4', 'Rc8'], ['Be1', 'Bg5'], ['Re2', 'Nc6\n'], ['Nf3', 'Be7'], ['Rd1', 'Nf6'], ['Bc3', 'Nd8'], ['Bb4', 'Ne4'], ['Nxe5', 'dxe5'], ['Bxe7', 'Nc6'], ['Rd7', 'Nd4\n'], ['Rxe4', 'Bxe4'], ['Bd6', 'Rxc4'], ['bxc4', 'f6'], ['a5', 'Bc6'], ['Rc7', 'Nxc2'], ['Bc5', 'Ne1'], ['Rc8+', 'Kf7\n'], ['Rf8+', 'Kg6'], ['f3', 'Nd3'], ['Ba3', 'e4'], ['fxe4', 'Bxe4'], ['Bd6', 'Bc6'], ['Rc8', 'Kf7'], ['Rc7+', 'Kg8\n'], ['Kf1', 'Nb2'], ['Kf2', 'Nxc4'], ['Bb4', 'Ne5'], ['Bc3', 'Nd7'], ['Bd4', 'Kf7'], ['g3', 'Ke6'], ['Rc8', 'Kf7\n'], ['Bc3', 'Bd5'], ['Bb4', 'Bc6'], ['Ba3', 'Ne5'], ['Rf8+', 'Kg6'], ['Bd6', 'Nd7'], ['Rc8', 'Kf7'], ['g4', 'Ke6\n'], ['Ba3', 'Kf7'], ['Kg3', 'g5'], ['h4', 'Kg7'], ['h5', 'Kf7'], ['Bb4', 'Kg7'], ['Re8', 'Kf7'], ['Re7+', 'Kg8\n'], ['Bd6', 'Kh8'], ['Kf2', 'Kg8'], ['Ke3', 'Kh8'], ['Kd4', 'Kg8'], ['Bc7', 'Kh8'], ['Bd8', 'Kg8'], ['Bc7', 'Kh8\n'], ['Re1', 'Kg8'], ['Bd8', 'Kf7'], ['Rf1', 'Kg7'], ['Rf2', 'Bh1']]",1/2-1/2
Sokolsky mem,Minsk,1985.??.??,?,"Yuferov, Sergey  N","Smirin, Ilia",,,E97,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Be2', 'O-O'], ['Nf3', 'e5'], ['O-O', 'Nc6'], ['d5', 'Ne7\n'], ['Nd2', 'c5'], ['dxc6', 'bxc6'], ['b4', 'd5'], ['Ba3', 'Re8'], ['Re1', 'h6'], ['Bf1', 'dxe4'], ['Ndxe4', 'Nxe4\n'], ['Nxe4', 'Nf5'], ['Bb2', 'Nd4'], ['c5', 'Rb8'], ['Nd6', 'Re7'], ['Bc4', 'Rxb4'], ['Qd2', 'Rxb2'], ['Qxb2', 'Be6\n'], ['Rac1', 'Qd7'], ['Qb8+', 'Kh7'], ['Bxe6', 'Qxe6'], ['Nc4', 'Qg4'], ['h3', 'Qf4'], ['Rc3', 'Nb5'], ['Rcc1', 'Nd4\n'], ['Rc3', 'Nb5'], ['Rcc1', 'Nd4'], ['Ne3', 'f5'], ['Rc4', 'Qg5'], ['Kf1', 'f4'], ['Ng4', 'f3'], ['Qd8', 'Ne6\n'], ['Qd6', 'h5'], ['Ne3', 'Nd4'], ['g3', 'h4'], ['Ng4', 'Re6'], ['Qd7', 'Re7'], ['Qd8', 'Ne2'], ['Nh2', 'e4\n'], ['Nxf3', 'Nxg3+'], ['fxg3', 'Qxg3'], ['Qxe7', 'Qxf3+'], ['Kg1', 'Qg3+'], ['Kf1', 'Qxh3+'], ['Kg1', 'Qg3+\n'], ['Kf1', 'Qf3+'], ['Kg1', '']]",1/2-1/2
Sokolsky mem,Minsk,1985.??.??,?,"Smirin, Ilia","Litvinov, Vladimir",,,C99,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'O-O'], ['c3', 'd6\n'], ['h3', 'Na5'], ['Bc2', 'c5'], ['d4', 'Qc7'], ['Nbd2', 'cxd4'], ['cxd4', 'Bb7'], ['d5', 'Rac8'], ['Bb1', 'Nh5\n'], ['Nf1', 'Nf4'], ['Kh2', 'Qd7'], ['Ne3', 'Bd8'], ['b3', 'g6'], ['Ba3', 'Ba8'], ['Bb2', 'Bb6'], ['Qd2', 'f6\n'], ['Ng4', 'Nb7'], ['b4', 'Nd8'], ['a4', 'h5'], ['Ne3', 'Nf7'], ['axb5', 'Ng5'], ['Nxg5', 'fxg5'], ['bxa6', 'Nxh3\n'], ['Rf1', 'Rf4'], ['gxh3', 'Rcf8'], ['Ra3', 'g4'], ['Nd1', 'gxh3'], ['Qe2', 'Qf7'], ['Bc1', 'g5'], ['Rxh3', 'g4\n'], ['Rg3', 'Qf6'], ['Ne3', 'Qh4+'], ['Kg1', 'Rf3'], ['Bd3', 'Bxe3'], ['Bxe3', 'Rxg3+'], ['fxg3', 'Qxg3+\n'], ['Kh1', 'Qh3+'], ['Kg1', '']]",1/2-1/2
Sokolsky mem,Minsk,1985.??.??,?,"Ryskin, Alexander","Smirin, Ilia",,,B92,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Be2', 'e5'], ['Nb3', 'Be7'], ['Be3', 'O-O\n'], ['O-O', 'Nbd7'], ['a4', 'Qc7'], ['f3', 'h6'], ['Qd2', 'Nb6'], ['a5', 'Nc4'], ['Bxc4', 'Qxc4'], ['Na4', 'Be6\n'], ['Nb6', 'Qb5'], ['Nxa8', 'Rxa8'], ['Nc1', 'd5'], ['exd5', 'Nxd5'], ['Nd3', 'Rc8'], ['Bf2', 'Bg5'], ['Qe2', 'g6\n'], ['Rfe1', 'Bf5'], ['Qxe5', 'Rxc2'], ['Qe8+', 'Qxe8'], ['Rxe8+', 'Kh7'], ['Nc5', 'Nf4'], ['Ne4', 'Bd7\n'], ['Nxg5+', 'hxg5'], ['Re7', 'Be6'], ['Rxb7', 'Bd5'], ['Rb4', 'Bc6'], ['Rd1', 'f5'], ['h4', 'Ne2+'], ['Kf1', 'Kh6\n'], ['hxg5+', 'Kh5'], ['Ke1', 'Nc1'], ['Rd2', '']]",1-0
URS-ch otbor,Minsk,1986.??.??,?,"Smirin, Ilia","Temirbaev, Serik",,,C15,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['Qd3', 'dxe4'], ['Qxe4', 'Nf6'], ['Qh4', 'Nc6'], ['Nf3', 'Be7'], ['a3', 'Nd5\n'], ['Qg3', 'Bf6'], ['Bb5', 'Bd7'], ['Be3', 'Nce7'], ['Bd3', 'Nxe3'], ['fxe3', 'Nd5'], ['Nxd5', 'exd5'], ['O-O', 'O-O\n'], ['c4', 'c6'], ['Ne5', 'Be6'], ['c5', 'g6'], ['b4', 'a6'], ['a4', 'Bh4'], ['Qf3', 'Bg5'], ['Qf2', 'f6'], ['Nf3', 'Bh6\n'], ['a5', 'Qe7'], ['Rae1', 'Rae8'], ['Nh4', 'Qg7'], ['Kh1', 'Re7'], ['e4', 'dxe4'], ['Rxe4', 'Bd5'], ['Rxe7', 'Qxe7\n'], ['Qg3', 'Qg7'], ['Nf3', 'Re8'], ['Re1', 'Rxe1+'], ['Qxe1', 'Qd7'], ['Be4', 'Bf7'], ['Bd3', 'Qe6'], ['Qxe6', 'Bxe6\n'], ['Ne1', 'Bd2'], ['Nc2', 'Kf8'], ['Kg1', 'Bb3'], ['Kf2', 'Bc3'], ['g4', 'Ke7'], ['Ke2', 'Bxc2'], ['Bxc2', 'Bxb4\n'], ['h4', 'Bxa5'], ['h5', 'gxh5'], ['gxh5', 'h6'], ['Bf5', 'Kd8'], ['Kd3', 'Kc7'], ['Be6', 'Be1'], ['Ke4', 'Bf2\n'], ['Bb3', 'a5'], ['Bd1', 'f5+'], ['Ke5', 'f4'], ['Ke4', 'Be3'], ['d5', 'Bxc5'], ['dxc6', 'Kxc6'], ['Kxf4', 'Kb5\n'], ['Bf3', 'b6'], ['Bd5', 'Kb4'], ['Ke4', 'b5'], ['Kd3', 'Ka3'], ['Kc2', 'a4']]",0-1
URS-ch otbor,Minsk,1986.??.??,?,"Smirin, Ilia","Yermolinsky, Alex",,,B84,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Be3', 'e6'], ['a4', 'Be7'], ['a5', 'O-O\n'], ['Be2', 'Nbd7'], ['O-O', 'Qc7'], ['Nb3', 'Nc5'], ['Nxc5', 'dxc5'], ['f4', 'Rd8'], ['Qe1', 'Bd7'], ['Qf2', 'Bc6\n'], ['Bf3', 'Rac8'], ['Kh1', 'b5'], ['axb6', 'Qxb6'], ['e5', 'Nd5'], ['Nxd5', 'Bxd5'], ['b3', 'Qc6'], ['Bxd5', 'Qxd5\n'], ['Rxa6', 'c4'], ['Ra7', 'Bf8'], ['f5', 'cxb3'], ['fxe6', 'Qxe6'], ['cxb3', 'Rd7'], ['Rxd7', '']]",1/2-1/2
URS-ch otbor,Minsk,1986.??.??,?,"Smirin, Ilia","Sveshnikov, Evgeny",,,B30,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['Bb5', 'e6'], ['O-O', 'Nge7'], ['b3', 'a6'], ['Bxc6', 'Nxc6'], ['Bb2', 'd5'], ['exd5', 'Qxd5\n'], ['Nc3', 'Qd7'], ['Re1', 'b5'], ['Ne4', 'Bb7'], ['c4', 'bxc4'], ['bxc4', 'O-O-O'], ['Rb1', 'f6'], ['Ba3', 'Nd4\n'], ['Nxd4', 'Qxd4'], ['Qa4', 'Rd7'], ['Rxb7', 'Rxb7'], ['Qc6+', 'Kb8'], ['Bxc5', 'Bxc5'], ['Nxc5', 'Rb2\n'], ['Nb3', 'Qa7'], ['Nc5', 'Qe7'], ['Nxa6+', 'Ka7'], ['Nc7', 'Rb6'], ['Qa4+', 'Kb8'], ['Qa8+', 'Kxc7'], ['Qxh8', 'Rb2\n'], ['Qa8', 'Qc5'], ['Qg8', 'Qe7'], ['g3', 'e5'], ['d4', 'h6'], ['dxe5', 'fxe5'], ['Qd5', 'Qf6'], ['Qxe5+', 'Qxe5\n'], ['Rxe5', 'Kd6'], ['Ra5', 'Rc2'], ['Ra7', 'g5'], ['Ra6+', 'Ke5'], ['Rxh6', 'Rxa2'], ['h4', '']]",1-0
URS-ch otbor,Minsk,1986.??.??,?,"Smirin, Ilia","Oll, Lembit",,,B90,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Be3', 'e6'], ['a4', 'Be7'], ['g3', 'b6\n'], ['Bg2', 'Bb7'], ['O-O', 'Qc7'], ['g4', 'h6'], ['f4', 'g6'], ['Qe2', 'h5'], ['f5', 'gxf5'], ['exf5', 'e5'], ['g5', 'Rg8\n'], ['Nf3', 'Ng4'], ['f6', 'Bd8'], ['Bd2', 'b5'], ['h3', 'b4'], ['Ne4', 'Qc6'], ['Nh4', 'd5'], ['Ng3', 'Bb6+\n'], ['Kh1', 'Rh8'], ['hxg4', 'hxg4'], ['Qxe5+', '']]",1-0
URS-ch otbor,Minsk,1986.??.??,?,"Smirin, Ilia","Naumkin, Igor",,,C15,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['Qd3', 'c5'], ['exd5', 'exd5'], ['a3', 'Bxc3+'], ['Qxc3', 'c4'], ['Qg3', 'Qf6\n'], ['Ne2', 'Nc6'], ['Bg5', 'Qf5'], ['Bh4', 'Qg6'], ['Qe3+', 'Qe6'], ['Qg5', 'g6'], ['O-O-O', 'f6'], ['Qe3', 'Qxe3+\n'], ['fxe3', 'f5'], ['g4', 'Nge7'], ['Nf4', 'O-O'], ['Bg2', 'fxg4'], ['Nxd5', 'Nf5'], ['Be1', 'Bd7'], ['Rf1', 'Rad8\n'], ['e4', 'Nfxd4'], ['Bh4', 'Kg7'], ['Bxd8', 'Rxd8'], ['Rf2', 'Bc8'], ['Ne3', 'Be6'], ['Rfd2', 'Kf6'], ['Kb1', 'Bc8\n'], ['Nxc4', 'b5'], ['e5+', 'Nxe5'], ['Ne3', '']]",1-0
