London Simpsons,London,1851.??.??,?,Blackburne/Steel,Zukertort/Hoffer,,,C54,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['c3', 'Nf6'], ['d3', 'd6'], ['Nbd2', 'a6'], ['Bb3', 'h6'], ['Nf1', 'Ne7\n'], ['Be3', 'Ng6'], ['Qd2', 'Qe7'], ['Ng3', 'Bd7'], ['O-O', 'O-O-O'], ['c4', 'Bg4'], ['Bd1', 'Nh5'], ['Nd4', 'Bxd1\n'], ['Ndf5', 'Qd7'], ['Raxd1', 'Ngf4'], ['Nxh5', 'Nxh5'], ['b4', 'Bxe3'], ['fxe3', 'g6'], ['Nh4', 'Ng7'], ['b5', 'axb5\n'], ['Qa5', 'Kb8'], ['Rb1', 'Ne6'], ['Rxb5', 'c6'], ['Rb6', 'Qc7'], ['Rfb1', 'Rd7'], ['Qa3', 'Qc8'], ['Ra6', 'Nc7\n'], ['Rxc6', 'Rg8'], ['Nf3', 'f5'], ['Nd2', 'Rf7'], ['c5', 'dxc5'], ['Nc4', 'Rd8'], ['Nb6', 'bxc6'], ['Nd7+', '']]",1-0
Breslau m,Breslau,1865.??.??,?,"Zukertort, Johannes Hermann","Anderssen, Adolf",,,C37,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'g4'], ['O-O', 'Qe7'], ['Nc3', 'gxf3'], ['d4', 'd6'], ['Nd5', 'Qd7\n'], ['Qxf3', 'Nc6'], ['Qxf4', 'Nd8'], ['e5', 'c6'], ['Nf6+', 'Nxf6'], ['Qxf6', 'Rg8'], ['exd6', 'Bxd6'], ['Bg5', 'Qe7\n'], ['Bxf7+', 'Nxf7'], ['Rae1', 'Nxg5'], ['Rxe7+', 'Bxe7'], ['Re1', 'Be6'], ['Rxe6', 'Nxe6'], ['Qxe6', 'Rg6\n'], ['Qh3', 'Rg7'], ['Qb3', 'O-O-O'], ['Qe6+', 'Rd7'], ['a4', 'Bd8'], ['b4', 'Bc7'], ['c4', 'Kb8'], ['Qe3', 'Rde7\n'], ['Qc3', 'h5'], ['b5', 'cxb5'], ['axb5', 'Bf4'], ['g3', 'Re3'], ['Qb4', 'Re8'], ['c5', 'h4'], ['d5', 'Be3+\n'], ['Kg2', 'hxg3'], ['hxg3', 'Rf7'], ['Qc3', 'Rf2+'], ['Kh3', 'Rf1'], ['c6', 'Rh1+'], ['Kg2', 'Rg1+'], ['Kh3', 'Bf2\n'], ['Qf6', 'Rxg3+'], ['Kh2', 'Reg8'], ['Qd6+', 'Ka8'], ['cxb7+', 'Kxb7'], ['Qc6+', 'Kb8'], ['Qd6+', '']]",1/2-1/2
Breslau m,Breslau,1865.??.??,?,"Zukertort, Johannes Hermann","Anderssen, Adolf",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Bc5'], ['d4', 'exd4'], ['O-O', 'd6'], ['cxd4', 'Bb6\n'], ['d5', 'Na5'], ['Bb2', 'Ne7'], ['Bd3', 'O-O'], ['Nc3', 'Ng6'], ['Ne2', 'c5'], ['Qd2', 'f6'], ['Kh1', 'Bc7\n'], ['Rac1', 'Rb8'], ['Ng3', 'Rf7'], ['Nf5', 'Bxf5'], ['exf5', 'Ne5'], ['Nxe5', 'dxe5'], ['Be4', 'Qd6'], ['Rc3', 'b5\n'], ['Qe2', 'c4'], ['Rh3', 'h6'], ['f4', 'b4'], ['Rff3', 'c3'], ['Bc1', 'Nb7'], ['fxe5', 'fxe5'], ['Rfg3', 'Kf8\n'], ['Rg6', 'Rf6'], ['Bxh6', 'Rxg6'], ['fxg6', 'gxh6'], ['Qf3+', 'Ke7'], ['Qf7+', 'Kd8'], ['g7', '']]",1-0
Breslau m,Breslau,1865.??.??,?,"Zukertort, Johannes Hermann","Anderssen, Adolf",,,C65,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['d3', 'd6'], ['Bxc6+', 'bxc6'], ['h3', 'g6'], ['Nc3', 'Bg7'], ['Ne2', 'O-O\n'], ['O-O', 'Nh5'], ['g4', 'Qf6'], ['Kg2', 'Nf4+'], ['Bxf4', 'exf4'], ['Ned4', 'c5'], ['Nb3', 'g5'], ['c3', 'h5\n'], ['Nfd2', 'Qh6'], ['f3', 'f6'], ['Na5', 'Kf7'], ['Rb1', 'Be6'], ['c4', 'Rh8'], ['Rh1', 'Rh7'], ['b4', 'Rah8\n'], ['bxc5', 'dxc5'], ['Qg1', 'Bf8'], ['Nb7', 'Bc8'], ['Nxc5', 'hxg4'], ['fxg4', 'Qxh3+'], ['Rxh3', 'Rxh3\n'], ['Qd4', 'Rh2+'], ['Kf1', 'Bxg4']]",0-1
Breslau m,Breslau,1865.??.??,?,"Zukertort, Johannes Hermann","Anderssen, Adolf",,,C37,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'g4'], ['O-O', 'Qe7'], ['Nc3', 'Qc5+'], ['d4', 'Qxc4'], ['Ne5', 'Qe6\n'], ['Nd5', 'Kd8'], ['Nxf4', 'Qe8'], ['Nd5', 'f6'], ['Nxg4', 'Bg7'], ['Ngxf6', 'Nxf6'], ['Bg5', 'Qg6'], ['Bh4', 'Qxe4\n'], ['Qh5', 'Rf8'], ['Rae1', 'Qxd4+'], ['Kh1', 'c6'], ['Rxf6', 'cxd5'], ['Rxf8+', 'Kc7'], ['Bg3+', 'd6'], ['Bf2', 'Qc4\n'], ['Rxc8+', 'Kxc8'], ['Qe8+', 'Kc7'], ['Re7+', '']]",1-0
Breslau m,Breslau,1865.??.??,?,"Anderssen, Adolf","Zukertort, Johannes Hermann",,,C37,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'g4'], ['O-O', 'gxf3'], ['Qxf3', 'Qe7'], ['d4', 'Nc6'], ['Nc3', 'Nxd4\n'], ['Qd3', 'Ne6'], ['Nd5', 'Qc5+'], ['Kh1', 'c6'], ['b4', 'Qd6'], ['e5', 'Qxe5'], ['Bxf4', 'Nxf4'], ['Nxf4', 'Kd8\n'], ['Bxf7', 'Kc7'], ['Rae1', 'Qg5'], ['Re8', 'Nh6'], ['Qd4', 'Bg7'], ['Qd2', 'Rxe8'], ['Nd5+', 'Qxd5'], ['Bxd5', 'cxd5\n'], ['Qg5', 'Bf8'], ['Qxd5', 'Re6'], ['Qc4+', 'Rc6'], ['Qf4+', 'Bd6'], ['Qxh6', 'Bxb4'], ['Qxh7', 'b6'], ['Rf4', 'Bc5\n'], ['h4', 'Bb7'], ['Rf7', 'Rd6'], ['h5', 'Rd2'], ['Rg7', 'Rf8'], ['Kh2', 'Rff2'], ['Qg8', 'Rxc2'], ['h6', 'Rxg2+\n'], ['Kh3', 'Rc3+']]",0-1
Breslau m,Breslau,1865.??.??,?,"Zukertort, Johannes Hermann","Anderssen, Adolf",,,C37,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'g4'], ['O-O', 'gxf3'], ['Qxf3', 'Qf6'], ['e5', 'Qxe5'], ['d3', 'Bh6\n'], ['Nc3', 'Ne7'], ['Bd2', 'c6'], ['Rae1', 'Qc5+'], ['Kh1', 'd5'], ['Qh5', 'Qd6'], ['Bxd5', 'cxd5'], ['Nxd5', 'Nc6\n'], ['Bc3', 'Bd7'], ['Rxe7+', 'Nxe7'], ['Re1', 'Bf8'], ['Bb4', 'Qh6'], ['Qe5', 'Bc6'], ['Bxe7', 'Bxd5'], ['Bf6+', 'Be6\n'], ['Qb5+', '']]",1-0
Breslau m,Breslau,1865.??.??,?,"Zukertort, Johannes Hermann","Anderssen, Adolf",,,C37,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'g4'], ['O-O', 'gxf3'], ['Qxf3', 'Qf6'], ['e5', 'Qxe5'], ['d3', 'Bh6\n'], ['Nc3', 'Ne7'], ['Bd2', 'c6'], ['Rae1', 'Qc5+'], ['Kh1', 'd5'], ['Bxd5', 'cxd5'], ['Nxd5', 'Be6'], ['Nf6+', 'Kd8\n'], ['Qxb7', 'Nec6'], ['Rxf4', 'Bc8'], ['Rd4+', 'Nxd4'], ['Ba5+', 'Qxa5'], ['Qe7+', '']]",1-0
Breslau m,Breslau,1865.??.??,?,"Zukertort, Johannes Hermann","Anderssen, Adolf",,,C37,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'g4'], ['O-O', 'Qe7'], ['Nc3', 'Qc5+'], ['d4', 'Qxc4'], ['Ne5', 'Qe6\n'], ['Nd5', 'Na6'], ['Nxf4', 'Qd6'], ['Nd5', 'f6'], ['Qxg4', 'fxe5'], ['Qh5+', 'Qg6'], ['Qxe5+', 'Ne7'], ['Rxf8+', 'Kxf8\n'], ['Qxe7+', 'Kg8'], ['Nf6+', 'Qxf6'], ['Qxf6', 'h5'], ['Bh6', '']]",1-0
Breslau m,Breslau,1865.??.??,?,"Zukertort, Johannes Hermann","Anderssen, Adolf",,,C37,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'g4'], ['O-O', 'Qe7'], ['Nc3', 'gxf3'], ['d4', 'd6'], ['Nd5', 'Qd7\n'], ['Qxf3', 'Nc6'], ['Qxf4', 'Nd8'], ['Qg3', 'f6'], ['Qxg8', 'Rxg8'], ['Nxf6+', 'Ke7'], ['Nxg8+', 'Ke8'], ['Nf6+', 'Ke7\n'], ['Nxd7', 'Bxd7'], ['Bg5+', '']]",1-0
Breslau m,Breslau,1865.??.??,?,"Anderssen, Adolf","Zukertort, Johannes Hermann",,,C39,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['h4', 'g4'], ['Ne5', 'h5'], ['Bc4', 'Rh7'], ['d4', 'd6'], ['Nd3', 'f3'], ['gxf3', 'Be7\n'], ['Be3', 'Bxh4+'], ['Kd2', 'Bg5'], ['f4', 'Bh6'], ['Nc3', 'Nf6'], ['Qg1', 'Nc6'], ['b4', 'b6'], ['d5', 'Ne7\n'], ['Re1', 'Bb7'], ['f5', 'Bg7'], ['Bg5', 'Qd7'], ['Qd4', 'c5'], ['bxc5', 'bxc5'], ['Qf2', 'a6'], ['e5', 'dxe5\n'], ['Nxe5', 'Qd6'], ['Nd3', 'Bh6'], ['Bxh6', 'Rxh6'], ['Rxe7+', 'Kxe7'], ['Qe3+', 'Kd7'], ['Nxc5+', 'Kc7\n'], ['Nxb7', 'Kxb7'], ['Rb1+', 'Kc7'], ['Bxa6', 'Qxa6'], ['Qe7+', 'Kc8'], ['Qf8+', 'Kd7'], ['Qxf7+', 'Kd8\n'], ['Qf8+', 'Ne8'], ['Re1', '']]",1-0
