London Simpsons,London,1851.??.??,?,Blackburne/Steel,Zukertort/Hoffer,,,C54,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['c3', 'Nf6'], ['d3', 'd6'], ['Nbd2', 'a6'], ['Bb3', 'h6'], ['Nf1', 'Ne7\n'], ['Be3', 'Ng6'], ['Qd2', 'Qe7'], ['Ng3', 'Bd7'], ['O-O', 'O-O-O'], ['c4', 'Bg4'], ['Bd1', 'Nh5'], ['Nd4', 'Bxd1\n'], ['Ndf5', 'Qd7'], ['Raxd1', 'Ngf4'], ['Nxh5', 'Nxh5'], ['b4', 'Bxe3'], ['fxe3', 'g6'], ['Nh4', 'Ng7'], ['b5', 'axb5\n'], ['Qa5', 'Kb8'], ['Rb1', 'Ne6'], ['Rxb5', 'c6'], ['Rb6', 'Qc7'], ['Rfb1', 'Rd7'], ['Qa3', 'Qc8'], ['Ra6', 'Nc7\n'], ['Rxc6', 'Rg8'], ['Nf3', 'f5'], ['Nd2', 'Rf7'], ['c5', 'dxc5'], ['Nc4', 'Rd8'], ['Nb6', 'bxc6'], ['Nd7+', '']]",1-0
Berlin m,Berlin,1871.??.??,3,"Anderssen, Adolf","Zukertort, Johannes Hermann",,,C52,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['d4', 'exd4'], ['O-O', 'dxc3'], ['Qb3', 'Qf6\n'], ['e5', 'Qg6'], ['Nxc3', 'Nge7'], ['Ne2', 'b5'], ['Bd3', 'Qe6'], ['Qb2', 'Ng6'], ['Nf4', 'Qe7'], ['Nd5', 'Qe6\n'], ['Qxb5', 'O-O'], ['Ba3', 'Rb8'], ['Qc5', 'Bb6'], ['Nxb6', 'axb6'], ['Qc2', 'Re8'], ['Rae1', 'Bb7'], ['Bc4', 'Qg4\n'], ['Re4', 'Qf5'], ['Bd3', 'Nf4'], ['Nh4', 'Qg4'], ['Bc1', 'g5'], ['Rxf4', 'gxf4'], ['Nf5', 'Re6'], ['f3', 'Qh5\n'], ['Bxf4', 'Rc8'], ['Qf2', 'Kh8'], ['g4', 'Qh3'], ['Qe3', 'f6'], ['Be4', 'd6'], ['exf6', 'd5'], ['Bh6', '']]",1-0
Berlin m,Berlin,1871.??.??,5,"Anderssen, Adolf","Zukertort, Johannes Hermann",,,C52,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['d4', 'exd4'], ['O-O', 'dxc3'], ['Qb3', 'Qf6\n'], ['e5', 'Qg6'], ['Nxc3', 'Nge7'], ['Ne2', 'b5'], ['Bd3', 'Qe6'], ['Qb2', 'Ng6'], ['Nf4', 'Qe7'], ['Nd5', 'Qe6\n'], ['Qxb5', 'O-O'], ['Ba3', 'Rb8'], ['Qc5', 'Bb7'], ['Rad1', 'Rfe8'], ['Be4', 'Bb6'], ['Qc1', 'Ncxe5'], ['Ng5', 'Qg4\n'], ['h3', 'Qh4'], ['Nxb6', 'Bxe4'], ['f4', 'Bxg2'], ['Kxg2', 'axb6'], ['Rde1', 'Nd3']]",0-1
Berlin m,Berlin,1871.??.??,6,"Zukertort, Johannes Hermann","Anderssen, Adolf",,,C30,"[['e4', 'e5'], ['Nc3', 'Bc5'], ['Bc4', 'Nf6'], ['f4', 'd6'], ['Nf3', 'c6'], ['d3', 'Qe7'], ['fxe5', 'dxe5'], ['Rf1', 'Bg4\n'], ['h3', 'Bh5'], ['Bg5', 'Nbd7'], ['Qd2', 'O-O-O'], ['O-O-O', 'Bb4'], ['Rde1', 'b5'], ['Bb3', 'Nc5'], ['Bxf6', 'gxf6\n'], ['Nh4', 'a5'], ['Nf5', 'Qc7'], ['Qe3', 'a4'], ['a3', 'Bxc3'], ['bxc3', 'Nxb3+'], ['cxb3', 'axb3'], ['Kb2', 'Kb7\n'], ['Ra1', 'Qa5'], ['Ng3', 'Bg6'], ['Rxf6', 'Rd7'], ['Qc5', 'Rc8'], ['Rd1', 'Qd8'], ['Rf3', 'f6'], ['Kxb3', 'Bf7+\n'], ['Kc2', 'Qg8'], ['Rb1', 'Ba2'], ['Rb2', 'Rg7'], ['Rxf6', 'Rcc7'], ['Rf8', 'Qe6'], ['Nf5', 'Rxg2+'], ['Kc1', 'Rg6\n'], ['a4', 'Rcg7'], ['Nxg7', 'Rxg7'], ['axb5', 'Qh6+'], ['Rd2', '']]",1-0
Berlin m,Berlin,1871.??.??,7,"Anderssen, Adolf","Zukertort, Johannes Hermann",,,C52,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['d4', 'exd4'], ['O-O', 'dxc3'], ['Qb3', 'Qf6\n'], ['e5', 'Qg6'], ['Nxc3', 'Nge7'], ['Ne2', 'b5'], ['Bd3', 'Qe6'], ['Qb2', 'Ng6'], ['Nf4', 'Qe7'], ['Nd5', 'Qe6\n'], ['Be4', 'O-O'], ['Qc2', 'Bb7'], ['Rb1', 'a6'], ['Nf4', 'Nxf4'], ['Bxh7+', 'Kh8'], ['Bxf4', 'Nb4'], ['Rxb4', 'Bxb4\n'], ['Bf5', 'Qc4'], ['Qxc4', 'bxc4'], ['Rc1', 'd5'], ['Rb1', 'a5'], ['a3', 'Bc8'], ['Bxc8', 'Rfxc8'], ['axb4', 'axb4\n'], ['e6', 'fxe6'], ['Be5', 'c5'], ['h4', 'c3'], ['Ng5', 'c2'], ['Rc1', 'b3'], ['Nxe6', 'd4']]",0-1
GBR tour sim,Great Britain,1872.??.??,?,"De Vere, Cecil Valentine","Zukertort, Johannes Hermann",,,C80,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Nxe4'], ['Re1', 'Nc5'], ['Bxc6', 'dxc6'], ['Nxe5', 'Be7\n'], ['Nc3', 'O-O'], ['d4', 'Ne6'], ['d5', 'cxd5'], ['Qxd5', 'Bb4'], ['Qb3', 'a5'], ['Be3', 'Ra6'], ['Rad1', 'Qf6\n'], ['a3', 'Bxa3'], ['Qxa3', 'Qxe5'], ['Rd5', 'Qf6'], ['Rxa5', 'Rxa5'], ['Qxa5', 'b6'], ['Qd5', 'Qg6'], ['Rc1', 'Re8\n'], ['h3', 'Nf8'], ['Kh2', 'Bd7'], ['Qf3', 'Bc6'], ['Qg3', 'Qxg3+'], ['Kxg3', 'Re6'], ['Kh2', 'Rg6'], ['f3', 'f5\n'], ['Ne2', 'Re6'], ['Nd4', 'Rxe3'], ['Nxc6', 'Kf7'], ['Rd1', 'Ne6'], ['Nd8+', 'Nxd8'], ['Rxd8', 'f4'], ['h4', 'c5\n'], ['Rd2', '']]",1/2-1/2
London it,London,1872.??.??,?,"Zukertort, Johannes Hermann",Hiber,,,C30,"[['e4', 'e5'], ['Nc3', 'Bc5'], ['Bc4', 'Nf6'], ['f4', 'd6'], ['Nf3', 'Bg4'], ['fxe5', 'Bxf3'], ['Qxf3', 'dxe5'], ['Na4', 'Qd6\n'], ['Nxc5', 'Qxc5'], ['d3', 'Nc6'], ['c3', 'Qe7'], ['O-O', 'O-O-O'], ['b4', 'b6'], ['a4', 'a5'], ['b5', 'Nb8\n'], ['Ba3', 'Qe8'], ['Qg3', 'Rg8'], ['Rf5', 'Nbd7'], ['Rg5', 'g6'], ['Rf1', 'Nh5'], ['Qh3', 'f6'], ['Bxg8', 'Qxg8\n'], ['Rxh5', 'gxh5'], ['Be7', 'Re8'], ['Bxf6', 'Qg4'], ['Qxg4', 'hxg4'], ['Rf5', 'Nxf6'], ['Rxf6', 'Rd8\n'], ['Rc6', 'Rxd3'], ['Kf2', 'Rd2+'], ['Kg3', 'Kd7'], ['Rh6', 'Ra2'], ['Rxh7+', 'Kd8'], ['Kxg4', 'Rxa4'], ['Kf5', 'Ra2\n'], ['g4', 'a4'], ['g5', 'a3'], ['g6', 'Rf2+'], ['Ke6', 'Rf8'], ['g7', 'Re8+'], ['Kd5', 'a2'], ['Rh8', 'a1=Q\n'], ['Rxe8+', 'Kxe8'], ['g8=Q+', 'Ke7'], ['Qe6+', 'Kd8'], ['Qxe5', 'Qa2+'], ['Kc6', 'Qa8+']]",0-1
London m,London,1872.??.??,?,"Steinitz, William","Zukertort, Johannes Hermann",,,C37,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['Bc4', 'g4'], ['Ne5', 'Qh4+'], ['Kf1', 'Nh6'], ['d4', 'f3'], ['Nc3', 'd6\n'], ['Nd3', 'Bg7'], ['g3', 'Qd8'], ['Nf4', 'O-O'], ['h3', 'Nc6'], ['Nh5', 'gxh3'], ['Nd5', 'Ng4'], ['c3', 'Ne7\n'], ['Ndf4', 'Ng6'], ['Nxh3', 'Be6'], ['Bxe6', 'fxe6'], ['Ng5', 'Bh6'], ['Qb3', 'Bxg5'], ['Qxe6+', 'Rf7\n'], ['Qxg4', 'Bxc1'], ['Rxc1', 'Qe8'], ['c4', 'd5'], ['e5', 'dxc4'], ['Rxc4', 'Qb5'], ['b3', 'Qa6'], ['Nf6+', 'Rxf6\n'], ['exf6', 'Qxf6'], ['Rxc7', 'Re8'], ['Qd7', 'Qa6+'], ['Rc4', 'Re7'], ['Qd5+', 'Kg7'], ['Rh2', 'b5'], ['Rc6', 'Qb7\n'], ['Rxh7+', 'Kxh7'], ['Qh5+', 'Kg8'], ['Rxg6+', 'Rg7'], ['Rh6', 'Kf8'], ['Rh8+', 'Ke7'], ['Qe5+', 'Kf7\n'], ['Qe8+', 'Kf6'], ['Rh6+', 'Kf5'], ['Qe5+', 'Kg4'], ['Qf4+', '']]",1-0
London m,London,1872.??.??,?,"Steinitz, William","Zukertort, Johannes Hermann",,,A09,"[['Nf3', 'd5'], ['g3', 'c5'], ['Bg2', 'Nc6'], ['O-O', 'e5'], ['c4', 'd4'], ['d3', 'Bd6'], ['e3', 'Nge7'], ['exd4', 'cxd4\n'], ['a3', 'a5'], ['Nbd2', 'Ng6'], ['Re1', 'O-O'], ['Qc2', 'Re8'], ['b3', 'h6'], ['Rb1', 'Be6'], ['h4', 'Rc8'], ['c5', 'Bb8\n'], ['Nc4', 'f6'], ['Bd2', 'Kh8'], ['b4', 'axb4'], ['axb4', 'Na7'], ['Qc1', 'Nb5'], ['Nh2', 'Qe7'], ['Ra1', 'Rc7\n'], ['Ra5', 'Bd7'], ['Nb6', 'Bc6'], ['Qc4', 'Na7'], ['Nd5', 'Bxd5'], ['Qxd5', 'f5'], ['Qf3', 'Qf6'], ['h5', 'Ne7\n'], ['g4', 'f4'], ['Qe4', 'Nec6'], ['Raa1', 'Rce7'], ['Qg6', 'Qf8'], ['Nf3', 'Re6'], ['Nh4', 'Rf6'], ['Be4', 'Qg8\n'], ['Bd5', 'Ne7'], ['Qxf6', 'gxf6'], ['Bxg8', 'Rxg8'], ['f3', 'f5'], ['Bxf4', 'Nec6'], ['Ng6+', 'Kh7'], ['Bxe5', 'Nxe5\n'], ['Rxe5', 'Bxe5'], ['Rxa7', '']]",1-0
London it,London,1872.??.??,?,"Wisker, John","Zukertort, Johannes Hermann",,,A02,"[['f4', 'e5'], ['fxe5', 'd6'], ['exd6', 'Bxd6'], ['Nf3', 'Nh6'], ['d3', 'Ng4'], ['c3', 'Nc6'], ['Qa4', 'O-O'], ['Bg5', 'Qe8\n'], ['Na3', 'a6'], ['Nc4', 'Bc5'], ['d4', 'Be7'], ['h3', 'Nf6'], ['Qc2', 'b5'], ['Ncd2', 'h6'], ['Bxf6', 'Bxf6\n'], ['Kf2', 'Bb7'], ['e4', 'Qd8'], ['Bd3', 'Re8'], ['Rhe1', 'Qb8'], ['e5', 'Be7'], ['Ne4', 'Qa7'], ['Qd2', 'Rad8\n'], ['Nf6+', 'Bxf6'], ['exf6', 'Qb6'], ['Qf4', 'Nb8'], ['fxg7', 'Bxf3'], ['gxf3', 'Nd7'], ['Rg1', 'Ne5'], ['Bc2', 'Rd6\n'], ['Rae1', 'Rde6'], ['Rxe5', 'Rxe5'], ['Qxe5', '']]",1-0
London m,London,1872.??.??,?,"Steinitz, William","Zukertort, Johannes Hermann",,,C25,"[['e4', 'e5'], ['Nc3', 'Nc6'], ['f4', 'exf4'], ['d4', 'Qh4+'], ['Ke2', 'd5'], ['exd5', 'Bg4+'], ['Nf3', 'O-O-O'], ['dxc6', 'Bc5\n'], ['cxb7+', 'Kb8'], ['Nb5', 'Nf6'], ['Kd3', 'Qh5'], ['Kc3', 'Bxd4+'], ['Nbxd4', 'Qc5+'], ['Kb3', 'Qb6+\n'], ['Bb5', 'Bxf3'], ['Qxf3', 'Rxd4'], ['Qc6', 'Qa5'], ['c3', 'Rd6'], ['Qc4', 'a6'], ['Ba4', 'Nd5'], ['Ka3', 'g5\n'], ['b4', 'Qb6'], ['Qd4', 'Qxd4'], ['cxd4', 'Nb6'], ['Bb2', 'Nc4+'], ['Kb3', 'Nxb2'], ['Kxb2', 'Rxd4'], ['Kc3', 'Rhd8\n'], ['Rad1', 'R4d6'], ['Rxd6', 'Rxd6'], ['Rd1', 'Rf6'], ['Bc2', 'Kxb7'], ['Bxh7', 'Kb6'], ['h3', 'f3'], ['gxf3', 'Rxf3+\n'], ['Rd3', 'Rf2'], ['a4', 'a5'], ['bxa5+', 'Kxa5'], ['Rd5+', 'Kb6'], ['a5+', 'Ka7'], ['Bd3', 'Rf3'], ['Rxg5', 'Rxh3\n'], ['Rf5', 'Rh7'], ['Rc5', 'f5'], ['Rxf5', 'Re7'], ['Rg5', 'Rd7'], ['Re5', 'Rg7'], ['Re8', 'Rg1'], ['Be4', 'Rc1+\n'], ['Kb4', 'c5+'], ['Kb5', '']]",1-0
London it,London,1872.??.??,?,"Blackburne, Joseph Henry","Zukertort, Johannes Hermann",,,C39,"[['e4', 'e5'], ['f4', 'exf4'], ['Nf3', 'g5'], ['h4', 'g4'], ['Ne5', 'Bg7'], ['d4', 'Nf6'], ['Bc4', 'd5'], ['exd5', 'O-O\n'], ['Nc3', 'c5'], ['dxc6', 'Nxc6'], ['Nxc6', 'bxc6'], ['Bxf4', 'Nh5'], ['Be5', 'Bxe5'], ['dxe5', 'Qb6'], ['Qd2', 'Qc5\n'], ['Qg5+', 'Ng7'], ['Bd3', 'Re8'], ['O-O-O', 'Rxe5'], ['Qh6', 'Bf5'], ['Bxf5', 'Rxf5'], ['Ne4', 'Qe5'], ['Rhe1', 'Rb8\n'], ['Nc3', 'Qc7'], ['Qd6', 'Qb7'], ['b3', 'Ne6'], ['Ne4', 'Qb4'], ['Rf1', 'Ra5'], ['Nf6+', 'Kh8'], ['Nd7', 'Qxd6\n'], ['Rxd6', 'Rb7'], ['Rxf7', 'Nc5'], ['Rxc6', 'Kg8'], ['Re7', 'Nxd7'], ['Rc8+', 'Nf8'], ['Rxb7', 'Rxa2\n'], ['Kd2', 'Ra1'], ['Ke2', 'Ra6'], ['Ke3', 'h5'], ['Ke4', 'Rf6'], ['Rxa7', '']]",1-0
London m,London,1872.??.??,2,"Steinitz, William","Zukertort, Johannes Hermann",,,C52,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['d4', 'exd4'], ['O-O', 'dxc3'], ['Qb3', 'Qf6\n'], ['Bg5', 'Qg6'], ['Nxc3', 'Bxc3'], ['Qxc3', 'Nf6'], ['Bd3', 'O-O'], ['Rae1', 'b5'], ['e5', 'Nd5'], ['Qc2', 'Qh5\n'], ['a3', 'h6'], ['Bd2', 'Nde7'], ['Re4', 'Ng6'], ['Rfe1', 'Bb7'], ['g4', 'Qh3'], ['R1e3', 'f5'], ['exf6', 'Rxf6\n'], ['Bf1', 'Qxf3'], ['Qb3+', 'd5'], ['Rxf3', 'Rxf3'], ['Qxf3', 'dxe4'], ['Qxe4', 'Nge5'], ['f4', 'Nc4'], ['Qe6+', 'Kh8\n'], ['Bc3', 'N6e5'], ['Bxc4', '']]",1-0
London m,London,1872.??.??,9,"Zukertort, Johannes Hermann","Steinitz, William",,,C52,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['d4', 'exd4'], ['O-O', 'd3'], ['Qb3', 'Qf6\n'], ['e5', 'Qg6'], ['Nbd2', 'Nge7'], ['Re1', 'b5'], ['Bxb5', 'Rb8'], ['Qa4', 'Bxc3'], ['Rb1', 'a6'], ['Bxc6', 'Qxc6\n'], ['Qxc6', 'Nxc6'], ['Rxb8', 'Nxb8'], ['Re3', 'Nc6'], ['Rxd3', 'Bb4'], ['Bb2', 'a5'], ['Ne4', 'Ba6'], ['Re3', 'O-O\n'], ['Nh4', 'Rb8'], ['Nf5', 'Bd2'], ['Rb3', 'Rxb3'], ['axb3', 'Bb4'], ['Neg3', 'Bd3'], ['Ne3', 'Bc5'], ['Ngf5', 'g6\n'], ['Nh6+', 'Kf8'], ['Nhg4', 'Bd4'], ['Bxd4', 'Nxd4'], ['Nf6', 'Ke7'], ['Ned5+', 'Kd8'], ['Nxh7', 'Bc2\n'], ['b4', 'a4'], ['Kf1', 'Nb5'], ['Ng5', 'a3']]",0-1
London m,London,1872.??.??,11,"Zukertort, Johannes Hermann","Steinitz, William",,,C52,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['d4', 'exd4'], ['O-O', 'd3'], ['Qb3', 'Qf6\n'], ['Bg5', 'Qg6'], ['Bxd3', 'Nh6'], ['Nbd2', 'O-O'], ['Rad1', 'Bb6'], ['Bxh6', 'Qxh6'], ['e5', 'd5'], ['exd6', 'cxd6\n'], ['Ne4', 'Bg4'], ['Qd5', 'Rad8'], ['Neg5', 'g6'], ['Bc4', 'Qg7'], ['Rfe1', 'h6'], ['Ne4', 'Bxf3'], ['gxf3', 'Kh7\n'], ['f4', 'f5'], ['Nxd6', 'Qxc3'], ['Re6', 'Bd4'], ['Rde1', 'Bg7'], ['R1e3', 'Qa1+'], ['Kg2', 'Qd4'], ['Rg3', 'Qxd5+\n'], ['Bxd5', 'Rf6'], ['Rxf6', 'Bxf6'], ['Bxc6', 'bxc6'], ['Nc4', 'Rd4'], ['Ne5', 'Rxf4'], ['Nxc6', 'Ra4\n'], ['Rb3', 'a6'], ['Rb7+', 'Kg8'], ['Nb4', 'a5'], ['Nd5', 'Bg7'], ['Ne7+', 'Kh7'], ['Nd5', 'g5'], ['Ne7', 'Rf4\n'], ['a3', 'h5'], ['Rb5', '']]",1/2-1/2
GBR tour sim,Great Britain,1873.??.??,?,"Hunter, Jenkins","Zukertort, Johannes Hermann",,,C45,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Nxd4', 'Qh4'], ['Nf3', 'Qxe4+'], ['Be2', 'Bb4+'], ['c3', 'Be7'], ['O-O', 'Nf6\n'], ['Re1', 'O-O'], ['Bd3', 'Qg4'], ['h3', 'Qh5'], ['Nbd2', 'd5'], ['Nf1', 'Bd6'], ['Ng3', 'Bxg3'], ['fxg3', 'd4\n'], ['Bg5', 'dxc3'], ['bxc3', 'h6'], ['g4', 'Bxg4'], ['hxg4', 'Nxg4'], ['Be3', 'Rad8'], ['Qc2', 'Nce5'], ['Bf5', 'Nxf3+\n'], ['gxf3', 'Nxe3'], ['Rxe3', 'Qg5+'], ['Kf2', 'Rd5'], ['Bd3', 'Qh4+'], ['Ke2', 'Qh2+'], ['Ke1', 'Qg1+']]",0-1
GBR tour sim,Great Britain,1874.??.??,?,Taylor,"Zukertort, Johannes Hermann",,,C51,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Bc5'], ['d4', 'exd4'], ['O-O', 'd6'], ['cxd4', 'Bb6\n'], ['Nc3', 'Na5'], ['Bg5', 'Ne7'], ['Nd5', 'f6'], ['Bxf6', 'gxf6'], ['Nxf6+', 'Kf8'], ['Ng5', 'Nf5'], ['Ngxh7+', 'Rxh7\n'], ['Nxh7+', 'Kg7'], ['Qg4+', 'Kxh7'], ['exf5', 'Nxc4'], ['Qg6+', 'Kh8'], ['f6', 'Qf8'], ['Rae1', 'Ne5\n'], ['dxe5', 'dxe5'], ['Re4', '']]",1-0
England cg,England,1875.??.??,?,"Potter, William","Zukertort, Johannes Hermann",,,A03,"[['f4', 'd5'], ['e3', 'Nf6'], ['Nf3', 'e6'], ['Be2', 'Bd6'], ['O-O', 'O-O'], ['d3', 'b6'], ['h3', 'c5'], ['Qe1', 'Nc6'], ['g4', 'e5\n'], ['Qh4', 'e4'], ['Ne1', 'Ne7'], ['Nc3', 'exd3'], ['cxd3', 'd4'], ['Ne4', 'dxe3'], ['Nxf6+', 'gxf6'], ['Bxe3', 'Ng6\n'], ['Qg3', 'f5'], ['g5', 'Re8'], ['Nc2', 'Bb7'], ['Rae1', 'Qc7'], ['Bd2', 'Re7'], ['Bd1', 'Rae8'], ['Rxe7', 'Rxe7\n'], ['h4', 'c4'], ['h5', 'cxd3'], ['hxg6', 'dxc2'], ['gxf7+', 'Rxf7'], ['Bh5', 'Re7'], ['Qb3+', 'Kf8'], ['Qh3', 'Qc5+\n'], ['Kh2', 'Re1'], ['Qb3', 'Bd5'], ['Qd3', 'c1=Q'], ['Bxc1', 'Rxc1'], ['Qxf5+', 'Kg8'], ['Rxc1', 'Qf2+\n'], ['Kh3', 'Bg2+'], ['Kg4', 'Bf3+'], ['Kh3', 'Qg2+'], ['Kh4', 'Qf2+'], ['Kh3', 'Bg2+'], ['Kg4', 'Bf3+'], ['Kh3', 'Qg2+\n'], ['Kh4', 'Qf2+'], ['Kh3', 'Qg2+'], ['Kh4', 'Qh2+'], ['Qh3', 'Qxf4+'], ['Bg4', 'Bxg4'], ['Qxg4', '']]",1/2-1/2
England cg,England,1875.??.??,?,"Zukertort, Johannes Hermann","Steinitz, William",,,C52,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['b4', 'Bxb4'], ['c3', 'Ba5'], ['O-O', 'Nh6'], ['d4', 'exd4'], ['cxd4', 'O-O\n'], ['d5', 'Ne7'], ['Bg5', 'd6'], ['Qc1', 'Ng4'], ['h3', 'Nf6'], ['Bxf6', 'gxf6'], ['Qh6', 'Ng6'], ['Nbd2', 'Kh8\n'], ['Rad1', 'Rg8'], ['Bb3', 'Rg7'], ['Nd4', 'f5'], ['exf5', 'Qh4'], ['Qxh4', 'Nxh4'], ['g4', 'Bxf5'], ['Nc4', 'Bb4\n'], ['Nxf5', 'Nxf5'], ['Kh2', 'Ne7'], ['Rd3', 'f5'], ['f3', 'Rf8'], ['Ne3', 'f4'], ['Nc2', 'Bc5'], ['Nd4', 'Bxd4\n'], ['Rxd4', 'Ng6'], ['Re4', 'Ne5'], ['Kg2', 'h5'], ['Rd1', 'h4'], ['Rdd4', 'Rgf7'], ['Ra4', 'a6'], ['Bc2', 'Kg7\n'], ['Kf2', 'Kh6'], ['Rab4', 'b6'], ['Ra4', 'a5'], ['Rad4', 'Kg5'], ['Ba4', 'Re7'], ['Bd1', 'Rff7'], ['Ba4', 'Rg7\n'], ['Rxf4', 'Nd3+'], ['Rxd3', 'Kxf4'], ['Rd4+', 'Ke5'], ['Ke3', 'Kf6+'], ['Kf2', 'Ke5']]",1/2-1/2
England cg,England,1875.??.??,?,"Wisker, John","Zukertort, Johannes Hermann",,,C80,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Nxe4'], ['Re1', 'Nc5'], ['Bxc6', 'dxc6'], ['d4', 'Ne6\n'], ['Nxe5', 'Be7'], ['Be3', 'O-O'], ['Nc3', 'f6'], ['Nf3', 'f5'], ['Qd3', 'f4'], ['Bd2', 'Bd6'], ['Ne4', 'Kh8\n'], ['c4', 'b5'], ['b3', 'Bb7'], ['Bc3', 'Qd7'], ['Rad1', 'Qf7'], ['Qe2', 'Rfe8'], ['c5', 'Be7'], ['Ne5', 'Qf5\n'], ['Rd3', 'Rad8'], ['g4', 'Qf8'], ['Rh3', 'Kg8'], ['Qd3', 'g6'], ['b4', 'Bf6'], ['Nf3', 'Bc8'], ['d5', 'Bg7\n'], ['d6', 'cxd6'], ['cxd6', 'Nc7'], ['Rxh7', 'Kxh7'], ['Nfg5+', 'Kg8'], ['Qh3', 'Bh6'], ['Nf6+', 'Qxf6\n'], ['Rxe8+', 'Nxe8'], ['Bxf6', 'Bxg5'], ['Bxg5', '']]",1-0
London m2,London,1876.??.??,?,"Zukertort, Johannes Hermann","Blackburne, Joseph Henry",,,C29,"[['e4', 'e5'], ['Nc3', 'Nf6'], ['f4', 'd5'], ['d3', 'd4'], ['fxe5', 'dxc3'], ['exf6', 'Qxf6'], ['bxc3', 'Qxc3+'], ['Bd2', 'Qf6\n'], ['Nf3', 'Nc6'], ['Be2', 'Bc5'], ['c3', 'Bg4'], ['d4', 'Bxf3'], ['Bxf3', 'Nxd4'], ['cxd4', 'Qxd4'], ['Rf1', 'O-O-O\n'], ['Rb1', 'f5'], ['Qc2', 'Rhe8'], ['Qb2', 'Rxe4+'], ['Bxe4', 'Qxe4+'], ['Kd1', 'Be3'], ['Re1', 'Qa4+']]",0-1
London m2,London,1876.??.??,?,"Zukertort, Johannes Hermann","Blackburne, Joseph Henry",,,C01,"[['e4', 'e6'], ['d4', 'd5'], ['exd5', 'exd5'], ['Nf3', 'Nf6'], ['Bd3', 'Bd6'], ['O-O', 'O-O'], ['Nc3', 'Nc6'], ['Nb5', 'Be7\n'], ['Bf4', 'a6'], ['Nxc7', 'Ra7'], ['Be5', 'b5'], ['Nxb5', 'axb5'], ['Bxb5', 'Qb6'], ['a4', 'Ne4'], ['c3', 'Bg4\n'], ['Bf4', 'Bd6'], ['Bxd6', 'Nxd6'], ['Bxc6', 'Bxf3'], ['Qxf3', 'Qxc6'], ['b3', 'Ne4'], ['Rfc1', 'Rb7'], ['b4', 'Qc4\n'], ['Qe3', 'Re8'], ['f3', 'Nf6'], ['Qf4', 'Rbe7'], ['b5', 'Re6'], ['h4', 'Nh5'], ['Qg5', 'g6'], ['Rab1', 'f6\n'], ['Qg4', 'f5'], ['Qg5', 'Kg7'], ['Rb4', 'Re1+']]",0-1
London m2,London,1876.??.??,?,"Blackburne, Joseph Henry","Zukertort, Johannes Hermann",,,C45,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Nxd4', 'Nf6'], ['Nxc6', 'bxc6'], ['Bd3', 'd5'], ['Qe2', 'Be7'], ['Nc3', 'O-O\n'], ['O-O', 'Re8'], ['e5', 'Bg4'], ['Qd2', 'Nd7'], ['f4', 'Nc5'], ['f5', 'Nxd3'], ['cxd3', 'g6'], ['f6', 'Bf8\n'], ['Qg5', 'Qd7'], ['Rf4', 'Bf5'], ['d4', 'c5'], ['Rh4', 'Bd3'], ['Qg3', 'cxd4'], ['Rxd4', 'Bc4'], ['Rh4', 'Qf5\n'], ['Bf4', 'd4'], ['Na4', 'Bb5'], ['b3', 'Bxa4'], ['bxa4', 'Rab8'], ['Re1', 'Rb1'], ['Bc1', 'Bb4'], ['Rf1', 'Qxf1+\n'], ['Kxf1', 'Rxc1+'], ['Ke2', 'Rxe5+'], ['Qxe5', 'Re1+'], ['Kd3', 'Rxe5'], ['Rxd4', 'Bd6']]",0-1
