GMA-qual,Belgorod,1989.??.??,?,"Karpman, Vadim","Tiviakov, Sergei",,,E18,"[['Nf3', 'Nf6'], ['c4', 'b6'], ['g3', 'Bb7'], ['Bg2', 'e6'], ['O-O', 'Be7'], ['d4', 'O-O'], ['Nc3', 'Ne4'], ['Bd2', 'f5\n'], ['d5', 'Bf6'], ['Rc1', 'Na6'], ['e3', 'Nac5'], ['Nd4', 'Nd6'], ['Na4', 'exd5'], ['cxd5', 'Bxd4'], ['exd4', 'Nce4\n'], ['Bf4', 'Bxd5'], ['Bxd6', 'cxd6'], ['Nc3', 'Nxc3'], ['Rxc3', 'Bxg2'], ['Kxg2', 'Rc8'], ['Qb3+', 'Kh8\n'], ['Rfc1', 'Rxc3'], ['Rxc3', 'Qa8+'], ['d5', 'Qe8'], ['Re3', 'Qf7'], ['Qd3', 'h6'], ['Rf3', 'Qf6']]",1/2-1/2
GMA-qual,Belgorod,1989.??.??,?,"Geller, Alexander G","Tiviakov, Sergei",,,E15,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['g3', 'Ba6'], ['b3', 'Bb4+'], ['Bd2', 'c5'], ['Bxb4', 'cxb4'], ['a3', 'bxa3\n'], ['Bg2', 'Bb7'], ['O-O', 'O-O'], ['Nxa3', 'a5'], ['Nb5', 'd5'], ['Ne5', 'Na6'], ['Rc1', 'Qe7'], ['cxd5', 'Nxd5\n'], ['e4', 'Nf6'], ['Qe2', 'Qb4'], ['Nc6', 'Bxc6'], ['Rxc6', 'Qxb3'], ['e5', 'Nd5'], ['Be4', 'Nab4'], ['Rb1', 'Qxb1+\n'], ['Bxb1', 'Nxc6'], ['Nd6', 'g6'], ['Qd2', 'a4'], ['Qh6', 'Nxd4'], ['Ba2', 'Nf3+'], ['Kg2', 'Nxe5'], ['Ne4', 'f6\n'], ['f4', 'Ng4'], ['Qh3', 'Kg7'], ['Kf3', 'h5'], ['Qg2', 'Rac8'], ['Qb2', 'Nge3'], ['Qb5', 'Nf5'], ['Qxa4', 'Ra8']]",0-1
Frunze op,Frunze,1989.??.??,?,"Tiviakov, Sergei","Korsunsky, Rostislav R",,,B22,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['c3', 'Nf6'], ['e5', 'Nd5'], ['d4', 'cxd4'], ['cxd4', 'd6'], ['Bc4', 'Nb6'], ['Bb5', 'dxe5\n'], ['Nxe5', 'Bd7'], ['Nc3', 'Nxe5'], ['dxe5', 'Bxb5'], ['Nxb5', 'Qxd1+'], ['Kxd1', 'Nd5'], ['Ke2', 'a6'], ['Rd1', 'O-O-O\n'], ['Nd4', 'e6'], ['Bd2', 'b6'], ['Rac1+', 'Kb7'], ['Rc4', 'Bc5'], ['Nf3', 'Rd7'], ['Ng5', 'Rhd8'], ['Rdc1', 'h6\n'], ['Ne4', 'Be7'], ['g3', 'Bf8'], ['a3', 'f5'], ['exf6', 'gxf6'], ['R1c2', 'h5'], ['Rc6', 'Re8'], ['Be3', 'f5\n'], ['Ng5', 'Bc5'], ['Rxe6', 'Rde7'], ['Rxe7+', 'Rxe7'], ['Kf3', 'Nxe3'], ['fxe3', 'Bxe3'], ['h4', 'Bd4\n'], ['Kf4', 'Be5+'], ['Kxf5', 'Bxg3'], ['Ne6', 'Bxh4'], ['Nd8+', 'Ka8'], ['Rc8+', 'Ka7'], ['Nc6+', 'Kb7\n'], ['Nxe7', 'Bxe7'], ['Rh8', 'Bc5'], ['Rxh5', 'b5'], ['Ke4', 'Bf2'], ['Rf5', 'Bg1'], ['Rf1', 'Bc5'], ['Kd5', 'Be3\n'], ['Rf7+', 'Kb6'], ['Rf3', 'Bg1'], ['Rf1', 'Be3'], ['Ke4', 'Bg5'], ['Rf5', 'Bc1'], ['Rf2', 'Bg5'], ['Kd4', 'Bc1\n'], ['Re2', 'Ka5'], ['Kc3', 'Kb6'], ['Kd4', 'Ka5'], ['Rc2', 'Bh6'], ['Rg2', 'Bc1'], ['Rc2', 'Bh6'], ['Rc7', 'Kb6\n'], ['Re7', 'Bc1'], ['Re6+', 'Kb7'], ['Re2', 'Kb6'], ['Kd5', 'Bg5'], ['Re6+', 'Kb7'], ['Kc5', 'Bd8'], ['b3', 'Bh4\n'], ['Rb6+', 'Ka7'], ['Kc6', 'Bf2'], ['Rb7+', 'Ka8'], ['Rf7', 'Bg1'], ['Rf4', 'Ka7'], ['a4', 'bxa4'], ['Rxa4', 'Bf2\n'], ['b4', 'Be3'], ['b5', 'Kb8'], ['Rxa6', '']]",1-0
Frunze op,Frunze,1989.??.??,?,"Tiviakov, Sergei","Shirov, Alexei",,,B66,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Bg5', 'e6'], ['Qd2', 'a6'], ['O-O-O', 'h6\n'], ['Bf4', 'Bd7'], ['Nxc6', 'Bxc6'], ['f3', 'd5'], ['Qe1', 'Bb4'], ['a3', 'Ba5'], ['b4', 'Bb6'], ['exd5', 'Bxd5\n'], ['Be5', 'O-O'], ['Qh4', 'Be3+'], ['Kb2', 'Bg5'], ['Qd4', 'Bc6'], ['Bd3', 'Qxd4'], ['Bxd4', 'Rfd8'], ['Ne2', 'Nd5\n'], ['h4', 'Bf6'], ['Bxf6', 'gxf6']]",1/2-1/2
Frunze op,Frunze,1989.??.??,?,"Tiviakov, Sergei","Nenashev, Alexander",,,C86,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Qe2', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['h3', 'Be6'], ['Bxe6', 'fxe6'], ['d4', 'Qe8'], ['a4', 'Rb8'], ['axb5', 'axb5'], ['dxe5', 'Nxe5'], ['Nd4', 'Qd7\n'], ['f4', 'Nc6'], ['Nxb5', 'Nxe4'], ['Qxe4', 'Rxb5'], ['Re1', 'Nd8'], ['Na3', 'Ra5'], ['b4', 'd5'], ['Qe2', 'Ra8\n'], ['Be3', 'Bd6'], ['Qd2', 'Qf7'], ['Nb5', 'Nb7'], ['Rf1', 'Qd7'], ['Rxa8', 'Rxa8'], ['Qd3', 'Bf8'], ['Nd4', 'c5\n'], ['bxc5', 'Nxc5'], ['Qb5', 'Qxb5'], ['Nxb5', 'Ra2'], ['f5', 'Re2'], ['Bf2', 'e5'], ['Re1', 'Rb2'], ['Nc7', 'Nd3\n'], ['Rd1', 'Nxf2'], ['Rxd5', 'Ne4'], ['Ne6', 'Bd6'], ['c4', 'Rc2'], ['Ra5', 'Rxc4'], ['Ra8+', 'Kf7'], ['Ra7+', 'Kf6\n'], ['Nxg7', '']]",0-1
Frunze op,Frunze,1989.??.??,?,"Tiviakov, Sergei","Magomedov, Magaram",,,B19,"[['e4', 'c6'], ['d4', 'd5'], ['Nd2', 'dxe4'], ['Nxe4', 'Bf5'], ['Ng3', 'Bg6'], ['h4', 'h6'], ['Nf3', 'Nd7'], ['h5', 'Bh7\n'], ['Bd3', 'Bxd3'], ['Qxd3', 'Qc7'], ['Bd2', 'Ngf6'], ['O-O-O', 'e6'], ['Ne4', 'O-O-O'], ['g3', 'Nc5'], ['Nxc5', 'Bxc5\n'], ['Qe2', 'Bb6'], ['Bf4', 'Qe7'], ['c4', 'Rhe8'], ['Qe5', 'Bc7'], ['Qxc7+', 'Qxc7'], ['Bxc7', 'Kxc7'], ['Rh4', 'Re7\n'], ['Ne5', 'Nh7'], ['Re1', 'Ng5'], ['f4', 'Nh7'], ['Nf3', 'f5'], ['g4', 'fxg4'], ['Rxg4', 'Nf6'], ['Rh4', 'b5\n'], ['b3', 'bxc4'], ['bxc4', 'c5'], ['dxc5', 'Nd7'], ['Rg4', 'Nxc5'], ['Reg1', 'Kb6'], ['Rxg7', 'Rxg7'], ['Rxg7', 'Nd3+\n'], ['Kc2', 'Nxf4'], ['Rh7', 'Rd3'], ['Nd2', 'Rh3'], ['Rxh6', 'Rxh5'], ['Rxh5', '']]",1/2-1/2
Frunze op,Frunze,1989.??.??,?,"Epishin, Vladimir","Tiviakov, Sergei",,,E12,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['Nc3', 'Bb7'], ['a3', 'd5'], ['cxd5', 'Nxd5'], ['Qc2', 'Nxc3'], ['bxc3', 'c5\n'], ['e4', 'Nd7'], ['Bf4', 'cxd4'], ['cxd4', 'Rc8'], ['Qb1', 'Be7'], ['Bd3', 'O-O'], ['O-O', 'Rc3'], ['Rc1', 'Rxc1+\n'], ['Bxc1', 'e5'], ['d5', 'f5'], ['Bc4', 'Bf6'], ['Be3', 'Qc8'], ['Qa2', 'Kh8'], ['Rd1', 'Nc5'], ['exf5', 'Ne4\n'], ['Rc1', 'Qd7'], ['Bb3', 'Nd6'], ['Re1', 'Nxf5'], ['Bd2', 'Re8'], ['Qc2', 'Nd6'], ['Ng5', 'Bxg5'], ['Bxg5', 'Nf7\n'], ['Be3', 'Rd8'], ['Rd1', 'Nd6'], ['Qd3', 'Qb5'], ['h3', 'Qxd3'], ['Rxd3', 'Kg8'], ['a4', 'Kf7'], ['Bc1', 'e4\n'], ['Rd1', 'a6'], ['Ba3', 'b5'], ['axb5', 'axb5'], ['Rd4', 'Kf6'], ['Bb2', 'Kf7'], ['Ba3', 'Kf6'], ['Bb4', 'Nc4\n'], ['Bxc4', 'bxc4'], ['d6', 'Ke6'], ['Rxc4', 'Rc8'], ['Rd4', 'Rc1+'], ['Kh2', 'Bc6'], ['d7', '']]",1-0
Frunze op,Frunze,1989.??.??,?,"Tiviakov, Sergei","Itkis, Boris",,,B07,"[['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'g6'], ['Bg5', 'c6'], ['Qd2', 'h6'], ['Bh4', 'b5'], ['Bd3', 'Nbd7'], ['f4', 'e5'], ['dxe5', 'dxe5\n'], ['Nf3', 'Be7'], ['fxe5', 'Nh7'], ['Bxe7', 'Qxe7'], ['Qxh6', 'Nxe5'], ['O-O-O', 'Nxf3'], ['gxf3', 'Qg5+\n'], ['Qxg5', 'Nxg5'], ['f4', 'Ne6'], ['Rdf1', 'Rh4'], ['f5', 'Nf4'], ['fxg6', 'Nxg6'], ['Ne2', 'Ne5'], ['Rfg1', 'Ke7\n'], ['Rg8', 'Bb7'], ['Rxa8', 'Bxa8'], ['Nd4', 'Rh3'], ['Bf1', 'Rh5'], ['Nf5+', 'Kf6'], ['h4', 'Rh8'], ['Be2', 'c5\n'], ['Rh2', 'a6'], ['Kd2', 'Ke6'], ['Ke3', 'Bc6'], ['h5', 'f6'], ['Rg2', 'Rh7'], ['h6', 'Be8'], ['Rg7', 'Bg6\n'], ['Bh5', 'Rxg7'], ['hxg7', 'Kf7'], ['Bxg6+', 'Nxg6'], ['b4', 'cxb4'], ['Kd4', 'Ne5'], ['Kc5', 'Nc4'], ['Kxb4', 'Nd2\n'], ['Ka5', 'Nxe4'], ['Kxa6', 'Nc3'], ['Ka5', 'Nxa2'], ['Kxb5', 'Nc3+'], ['Kc4', 'Ne2'], ['c3', 'Nf4'], ['Kb5', 'Ne6']]",1-0
Frunze op,Frunze,1989.??.??,?,"Tiviakov, Sergei","Anastasian, Ashot",,,B33,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Qb6'], ['Nb3', 'Nf6'], ['Nc3', 'e6'], ['Bd3', 'a6'], ['Be3', 'Qc7\n'], ['f4', 'd6'], ['Qf3', 'Be7'], ['g4', 'b5'], ['g5', 'Nd7'], ['O-O-O', 'Nc5'], ['Nxc5', 'dxc5'], ['e5', 'Bb7\n'], ['Be4', 'Rd8'], ['h4', 'Rxd1+'], ['Rxd1', 'O-O'], ['h5', 'Rd8'], ['Rxd8+', 'Nxd8'], ['Bxb7', 'Qxb7'], ['Qxb7', 'Nxb7\n'], ['Ne4', 'Kf8'], ['c4', 'b4'], ['a3', 'bxa3'], ['bxa3', 'Ke8'], ['Kc2', 'Kd7'], ['Kd3', 'Kc6'], ['Bf2', 'g6\n'], ['Be1', 'Kd7'], ['hxg6', 'hxg6'], ['Nf2', 'Bd8'], ['Ng4', 'Be7'], ['Kc2', 'Bd8'], ['Bd2', 'Ke8'], ['Kb3', '']]",1/2-1/2
Frunze op,Frunze,1989.??.??,?,"Kanstler, Boris","Tiviakov, Sergei",,,E27,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['a3', 'Bxc3+'], ['bxc3', 'O-O'], ['f3', 'b6'], ['e4', 'Ne8'], ['Nh3', 'Ba6\n'], ['Bg5', 'f6'], ['Bh4', 'Nc6'], ['e5', 'Na5'], ['Qa4', 'd6'], ['Nf2', 'd5'], ['cxd5', 'Bxf1'], ['Rxf1', 'Qxd5\n'], ['Nd3', 'fxe5'], ['Nxe5', 'Nd6'], ['Qd7', 'Nac4'], ['Nc6', 'Kh8'], ['Be7', 'Rfe8'], ['Rf2', 'Qb5'], ['Bxd6', 'cxd6\n'], ['Re2', 'Rec8'], ['d5', 'exd5'], ['Kf2', 'Na5'], ['Nb8', 'Qc5+'], ['Kg3', 'Raxb8'], ['Rae1', 'Qc6'], ['Qf7', 'Rf8\n'], ['Qh5', 'Qxc3'], ['Re8', 'Rbxe8'], ['Rxe8', 'Qf6']]",0-1
