Staffordshire op,Staffordshire,1975.??.??,5,"Short, Nigel D","Evans, JS.",,,B02,"[['e4', 'd5'], ['exd5', 'Nf6'], ['Nc3', 'Nxd5'], ['Nxd5', 'Qxd5'], ['d4', 'Nc6'], ['Be3', 'e5'], ['dxe5', 'Qxe5'], ['c3', 'Bd6\n'], ['Nf3', 'Bg4'], ['Nxe5', 'Bxd1'], ['Nxc6', 'Ba4'], ['Nd4', 'Bd7'], ['Nb5', 'Be5'], ['f4', 'a6'], ['Nd4', 'Bd6\n'], ['O-O-O', 'O-O'], ['Bd3', 'Rae8'], ['Rhe1', 'Bg4'], ['Be2', 'Rxe3'], ['Bxg4', 'Rxe1'], ['Rxe1', 'Bxf4+\n'], ['Kc2', 'Bxh2'], ['Bf3', 'c5'], ['Nf5', 'b6'], ['Ne7+', 'Kh8'], ['Nd5', 'b5'], ['Re7', 'f5'], ['Ra7', 'g5\n'], ['Rxa6', 'g4'], ['Be2', 'Rd8'], ['Rh6', 'Bg1'], ['Rh1', 'Bf2'], ['Rd1', 'c4'], ['b3', 'Ra8'], ['Kb2', 'Re8\n'], ['Bf1', 'Re4'], ['bxc4', 'bxc4'], ['Nf6', 'Re6'], ['Nh5', 'Rb6+'], ['Kc2', 'h6'], ['Bxc4', 'Kh7'], ['Nf4', 'Kg7\n'], ['Rd7+', 'Kh8'], ['a4', 'Rc6'], ['Bd5', 'Rf6'], ['Kb3', 'Be3'], ['Rd8+', 'Kh7'], ['Bg8+', 'Kh8'], ['Nh5', 'Bb6\n'], ['Rc8', 'Rd6'], ['Be6+', 'Bd8'], ['Bxf5', 'Kg8'], ['Nf6+', 'Kf7'], ['Nxg4', 'Bb6'], ['Kb4', 'h5'], ['Nh2', 'Rd2\n'], ['Be4', 'Rb2+'], ['Kc4', 'Ke7'], ['Rh8', 'Ra2'], ['Kb3', 'Re2'], ['Bf3', 'Re3'], ['Nf1', 'Re1'], ['Nd2', 'Bc7\n'], ['Rxh5', 'Bf4'], ['Ne4', 'Rb1+'], ['Ka2', 'Rb8'], ['a5', 'Bc1'], ['g4', 'Rb2+'], ['Ka1', 'Rb3'], ['Bd1', 'Ra3+\n'], ['Kb1', 'Be3'], ['Kb2', '']]",1-0
World Cup,Barcelona,1989.??.??,?,"Jussupow, Artur","Short, Nigel D",,,D55,"[['Nf3', 'd5'], ['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Be7'], ['Bg5', 'h6'], ['Bxf6', 'Bxf6'], ['e3', 'O-O'], ['Qb3', 'c6\n'], ['Rd1', 'Nd7'], ['Bd3', 'b6'], ['O-O', 'Bb7'], ['Rfe1', 'Re8'], ['Bb1', 'Rc8'], ['cxd5', 'exd5'], ['e4', 'Nf8\n'], ['e5', 'Be7'], ['Qc2', 'Rc7'], ['a3', 'Bc8'], ['h3', 'g6'], ['Qd2', 'Kg7'], ['Nh2', 'Ne6'], ['Ne2', 'Ba6\n'], ['Nf4', 'Nxf4'], ['Qxf4', 'c5'], ['Nf3', 'Bc8'], ['dxc5', 'bxc5'], ['Ba2', 'Be6'], ['Re2', 'Rd7'], ['Bb3', 'Qa5\n'], ['Qa4', 'Qb6'], ['Rxd5', 'Red8']]",0-1
World Cup,Barcelona,1989.??.??,?,"Hjartarson, Johann","Short, Nigel D",,,A25,"[['c4', 'e5'], ['g3', 'd6'], ['Bg2', 'Nc6'], ['Nc3', 'g6'], ['Rb1', 'a5'], ['a3', 'Bg7'], ['d3', 'f5'], ['e3', 'Nf6'], ['b4', 'axb4\n'], ['axb4', 'O-O'], ['b5', 'Ne7'], ['Qb3', 'Kh8'], ['Nge2', 'g5'], ['O-O', 'f4'], ['exf4', 'gxf4'], ['gxf4', 'Ng6\n'], ['fxe5', 'Ng4'], ['Ne4', 'Bxe5'], ['h3', 'Nh2'], ['Bg5', 'Qe8'], ['d4', 'Nxf1'], ['dxe5', 'Qxe5'], ['Rxf1', 'Qg7\n'], ['N2g3', 'Be6'], ['Nh5', 'Qe5'], ['Bf6+', 'Rxf6'], ['Nexf6', 'Qd4'], ['Qe3', 'Qxe3'], ['fxe3', 'Bxc4\n'], ['Rc1', 'Ne5'], ['Bxb7', 'Rb8'], ['Bd5', 'Bxb5'], ['Rxc7', 'Bd3'], ['e4', 'Nf3+'], ['Kf2', 'Ng5'], ['Ke3', 'Bb1\n'], ['h4', '']]",1-0
Belgrade,Belgrade,1989.??.??,?,"Nikolic, Predrag","Short, Nigel D",,,D58,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['Nc3', 'Be7'], ['Bg5', 'h6'], ['Bh4', 'O-O'], ['e3', 'b6'], ['Be2', 'Bb7\n'], ['Bxf6', 'Bxf6'], ['cxd5', 'exd5'], ['O-O', 'Re8'], ['b4', 'c6'], ['Qb3', 'Qd6'], ['a4', 'Nd7'], ['a5', 'Rad8\n'], ['axb6', 'axb6'], ['Ra7', 'Qb8'], ['Rfa1', 'b5'], ['Ne1', 'Nb6'], ['Nd3', 'Na4'], ['Ra5', 'Bxd4'], ['exd4', 'Nxc3\n'], ['Qxc3', 'Rxe2'], ['Ne5', 'f6'], ['Qd3', 'Rb2'], ['Qc3', 'Re2'], ['Qd3', 'Rb2']]",1/2-1/2
Belgrade,Belgrade,1989.??.??,?,"Popovic, Petar","Short, Nigel D",,,B80,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nc6'], ['Nc3', 'a6'], ['g3', 'd6'], ['Bg2', 'Bd7'], ['O-O', 'Nf6\n'], ['a4', 'Be7'], ['Nb3', 'O-O'], ['f4', 'b5'], ['axb5', 'Qb6+'], ['Kh1', 'axb5'], ['Rxa8', 'Rxa8'], ['e5', 'Ne8\n'], ['f5', 'Rd8'], ['exd6', 'Nxd6'], ['fxe6', 'fxe6'], ['Qe2', 'Nc4'], ['Rd1', 'N6e5'], ['Nd4', 'Be8'], ['Nf3', 'Bh5\n'], ['b3', 'Bxf3'], ['Bxf3', 'Nxf3'], ['Rxd8+', 'Bxd8'], ['Qxf3', 'Ne5'], ['Qe4', 'Bf6'], ['Be3', 'Qa6'], ['Bg1', 'Nf7\n'], ['Ne2', 'g6'], ['Nf4', 'Be5'], ['Nd3', 'Ng5'], ['Qg2', 'Bd6'], ['h4', 'Nf7'], ['Bd4', 'Qc8'], ['Kh2', 'e5\n'], ['Bg1', 'Qf5'], ['Nc5', 'Bxc5'], ['Bxc5', 'e4'], ['Be3', 'Ne5'], ['Bf4', 'Nf3+'], ['Kh1', 'Nxh4'], ['Qe2', 'g5\n'], ['Bb8', 'Nf3'], ['Kg2', 'h5'], ['Qd1', 'h4'], ['gxh4', 'gxh4'], ['c4', 'h3+'], ['Kh1', 'bxc4'], ['Qd8+', 'Kf7\n'], ['bxc4', 'e3'], ['Qc7+', 'Kg6'], ['Qb6+', 'Kh5'], ['Qb5', 'Kg4'], ['Qxf5+', 'Kxf5'], ['Ba7', 'e2'], ['Bf2', 'Ke4']]",0-1
Belgrade,Belgrade,1989.??.??,?,"Short, Nigel D","Damljanovic, Branko",,,C86,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Qe2', 'b5'], ['Bb3', 'O-O'], ['c3', 'd6\n'], ['d4', 'Bg4'], ['Rd1', 'exd4'], ['cxd4', 'd5'], ['e5', 'Ne4'], ['h3', 'Bh5'], ['Nc3', 'Nxc3'], ['bxc3', 'Qd7\n'], ['Bf4', 'Nd8'], ['g4', 'Bg6'], ['Bg3', 'Ne6'], ['h4', 'h6'], ['Nh2', 'f5'], ['Bc2', 'c5'], ['Nf1', 'cxd4\n'], ['cxd4', 'Bh7'], ['gxf5', 'Bxf5'], ['Bxf5', 'Rxf5'], ['Ne3', 'Rf7'], ['Qg4', 'Raf8'], ['Rd3', 'Bd8'], ['Rad1', 'Kh7\n'], ['Kh1', 'g6'], ['Ng2', '']]",1/2-1/2
Belgrade,Belgrade,1989.??.??,?,"Short, Nigel D","Jussupow, Artur",,,C82,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Nxe4'], ['d4', 'b5'], ['Bb3', 'd5'], ['dxe5', 'Be6\n'], ['c3', 'Bc5'], ['Nbd2', 'O-O'], ['Bc2', 'Nxf2'], ['Rxf2', 'f6'], ['exf6', 'Bxf2+'], ['Kxf2', 'Qxf6'], ['Nf1', 'Ne5\n'], ['Be3', 'Rae8'], ['Bc5', 'Nxf3'], ['gxf3', 'Rf7'], ['Bd3', 'Bh3'], ['Ng3', 'h5'], ['Bf1', 'Bg4'], ['Bg2', 'h4\n'], ['Nf1', 'h3'], ['Bh1', 'Re4'], ['Ng3', 'Rf4'], ['Kg1', 'Qc6'], ['Be3', 'Bxf3'], ['Qf1', 'Re4'], ['Qd3', 'Rg4\n'], ['Bd4', 'Be4'], ['Qe2', 'Qg6'], ['Bxe4', 'dxe4'], ['a4', 'Rf3'], ['axb5', 'axb5'], ['b4', 'Rgxg3+'], ['hxg3', 'Rxg3+\n'], ['Kh1', 'e3']]",0-1
Belgrade,Belgrade,1989.??.??,?,"Short, Nigel D","Kasparov, Gary",,,B82,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['f4', 'e6'], ['Qf3', 'Nbd7'], ['g4', 'h6\n'], ['Be2', 'Qb6'], ['Nb3', 'Qc7'], ['Qg2', 'Rb8'], ['Be3', 'b5'], ['g5', 'hxg5'], ['fxg5', 'Nh5'], ['g6', 'Ne5\n'], ['gxf7+', 'Qxf7'], ['Rf1', 'Qg6'], ['Qxg6+', 'Nxg6'], ['Nd4', 'Ne5'], ['a3', 'Bd7'], ['O-O-O', 'Rc8\n'], ['Bg5', 'Nf6'], ['Bf4', 'Nc4'], ['Bxc4', 'Rxc4'], ['e5', 'dxe5'], ['Bxe5', 'Ng4'], ['Bf4', 'Bc5'], ['Ne4', 'e5\n'], ['Nxc5', 'Rxc5'], ['Rfe1', 'O-O'], ['Nb3', 'Rxc2+'], ['Kxc2', 'Bf5+'], ['Kc3', 'exf4'], ['Rd2', 'Rc8+\n'], ['Kb4', 'Ne3'], ['Rc1', 'Rxc1'], ['Nxc1', 'f3'], ['Kc5', 'Ng4'], ['Ne2', 'fxe2'], ['Rxe2', 'Kf7'], ['Kb6', 'b4\n'], ['axb4', 'Bd3'], ['Rg2', 'Ne5'], ['Kc5', 'Bb5'], ['Kd4', 'Nd3'], ['Kc3', 'Kf6'], ['Rg3', 'Nf4'], ['Rg4', 'Ne6\n'], ['Kd2', 'g5'], ['Ke3', 'Kf5'], ['Rg3', 'Nf4'], ['Rf3', 'Ke5'], ['Rg3', 'Nd5+'], ['Kf2', 'Kf5'], ['Rf3+', 'Kg4\n'], ['Rg3+', 'Kh4'], ['Kf3', 'Nf6'], ['Kg2', 'Nh5'], ['Re3', 'Nf4+'], ['Kg1', 'Kg4'], ['Rg3+', 'Kf5'], ['Rf3', 'g4\n'], ['Re3', 'Nd5'], ['Rb3', 'Kf4'], ['Kf2', 'Nf6'], ['Ra3', 'Ne4+'], ['Kg2', 'Be2'], ['Rb3', 'Bf1+'], ['Kg1', 'Bc4\n'], ['Ra3', 'Ng5'], ['Rc3', 'Bd5'], ['Ra3', 'Be4'], ['Kf2', 'Bb7'], ['Rd3', 'Nh3+'], ['Ke1', 'Bc6'], ['Rd4+', 'Kf3\n'], ['Rd3+', 'Ke4'], ['Rg3', 'Kf4'], ['Ra3', 'Bb5'], ['Rc3', 'Ng5'], ['Rc8', 'Ke3'], ['Rh8', 'Nf3+'], ['Kd1', 'Be2+\n'], ['Kc2', 'Nxh2'], ['Rxh2', 'g3'], ['Rh3', 'Kf2'], ['Kd2', 'g2'], ['Rh2', 'Bb5'], ['Rh6', 'g1=Q'], ['Rf6+', 'Kg2\n'], ['Rg6+', 'Kf1'], ['Rxg1+', 'Kxg1'], ['Ke1', 'Kg2'], ['Kd1', 'Kf3'], ['Kd2', 'Ke4'], ['Kc3', 'Ke3'], ['Kc2', 'Ke2\n'], ['Kc1', 'Bd3'], ['b3', 'Ke1'], ['Kb2', 'Kd2'], ['Ka1', 'Kc2'], ['Ka2', 'Kc1'], ['Ka1', 'Bb1']]",0-1
Belgrade,Belgrade,1989.??.??,?,"Short, Nigel D","Kozul, Zdenko",,,B67,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'Nc6'], ['Bg5', 'e6'], ['Qd2', 'a6'], ['O-O-O', 'Bd7\n'], ['f4', 'b5'], ['Bxf6', 'gxf6'], ['Kb1', 'Qb6'], ['Nxc6', 'Bxc6'], ['Bd3', 'b4'], ['Ne2', 'h5'], ['Rhf1', 'a5\n'], ['f5', 'e5'], ['Ng1', 'Qc5'], ['Qe2', 'a4'], ['Bc4', 'Ke7'], ['Nh3', 'Bh6'], ['Rf3', 'Rhc8'], ['b3', 'axb3\n'], ['cxb3', 'Ra3'], ['Rfd3', 'Rca8'], ['Re1', 'Qa7'], ['Qxh5', 'Be8'], ['Qxh6', 'Rxa2'], ['Rd2', 'Rxd2\n'], ['Qxd2', 'Qa1+'], ['Kc2', 'Ra2+'], ['Kd3', 'Qd4+']]",0-1
Belgrade,Belgrade,1989.??.??,?,"Short, Nigel D","Ljubojevic, Ljubomir",,,B81,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'e6'], ['g4', 'h6'], ['h4', 'Nc6'], ['Rg1', 'h5\n'], ['gxh5', 'Nxh5'], ['Be3', 'Nf6'], ['Nf3', 'a6'], ['Qe2', 'Qc7'], ['O-O-O', 'b5'], ['Ng5', 'Qa5'], ['f4', 'b4\n'], ['Nb1', 'Qxa2'], ['e5', 'dxe5'], ['fxe5', 'Nd5'], ['Bg2', 'Be7'], ['Nxf7', 'Kxf7'], ['Be4', 'Ke8'], ['Rxg7', 'Bd7\n'], ['Qg4', 'Kd8'], ['Bxd5', 'exd5'], ['e6', 'Be8'], ['Bb6+', 'Kc8'], ['Qf4', 'Ra7'], ['Bxa7', 'Rxh4'], ['Qg3', 'Qc4\n'], ['Rxe7', '']]",1-0
Belgrade,Belgrade,1989.??.??,?,"Timman, Jan H","Short, Nigel D",,,B32,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'e5'], ['Nb5', 'd6'], ['c4', 'Be7'], ['N1c3', 'a6'], ['Na3', 'Be6\n'], ['Nc2', 'Rc8'], ['b3', 'Nf6'], ['Be2', 'O-O'], ['O-O', 'b5'], ['cxb5', 'axb5'], ['Bf3', 'Nb4'], ['Nxb4', 'Rxc3\n'], ['Bd2', 'Rc8'], ['Qe2', 'Qb6'], ['Rfd1', 'h6'], ['h3', 'Rc7'], ['Rac1', 'Rfc8'], ['Rxc7', 'Rxc7'], ['Qd3', 'Qb7\n'], ['Rc1', 'Bd8'], ['Rc2', 'Rxc2'], ['Nxc2', 'Bc7'], ['Nb4', 'Bd7'], ['Be3', 'Qa8'], ['Qc2', 'Ba5'], ['Bd2', 'Bb6\n'], ['Be3', 'Ba5'], ['Bd2', 'Bb6'], ['Be3', '']]",1/2-1/2
Belgrade,Belgrade,1989.??.??,?,"Hjartarson, Johann","Short, Nigel D",,,E05,"[['d4', 'e6'], ['Nf3', 'Nf6'], ['c4', 'd5'], ['g3', 'Be7'], ['Bg2', 'O-O'], ['O-O', 'dxc4'], ['Qc2', 'a6'], ['Qxc4', 'b5\n'], ['Qc2', 'Bb7'], ['Bd2', 'Nc6'], ['e3', 'Ra7'], ['e4', 'Qa8'], ['Re1', 'Nb4'], ['Qb3', 'a5'], ['e5', 'Ne4'], ['Bxb4', 'axb4\n'], ['Qd3', 'c5'], ['Qxb5', 'Rd8'], ['Qe2', 'cxd4'], ['Nfd2', 'd3'], ['Qf1', 'Nc5'], ['a3', 'h5'], ['Rc1', 'Bxg2\n'], ['Qxg2', 'Qb8'], ['Re1', 'Rd5'], ['f4', 'Ra6'], ['Kh1', 'Rd8'], ['Qf3', 'g6'], ['Ra2', 'Qc7'], ['Rc1', 'Qd7\n'], ['Kg2', 'Qd4'], ['b3', 'bxa3'], ['Rc4', 'Qd5'], ['Rxa3', 'Rxa3'], ['Nxa3', 'Nxb3'], ['Nxb3', 'd2'], ['Nxd2', 'Qxd2+\n'], ['Kh3', 'Qa2'], ['Ra4', 'Rd2']]",0-1
Belgrade,Belgrade,1989.??.??,?,"Ehlvest, Jaan","Short, Nigel D",,,C65,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Nf6'], ['O-O', 'Bc5'], ['c3', 'O-O'], ['d4', 'Bb6'], ['Qd3', 'd5'], ['Bxc6', 'bxc6\n'], ['Nxe5', 'Nxe4'], ['Nd2', 'Bf5'], ['Qf3', 'Qf6'], ['Nxc6', 'Rae8'], ['Nxe4', 'Rxe4'], ['Nb4', 'Qe6'], ['Nd3', 'c6\n'], ['Bd2', 'Re8'], ['Rae1', 'f6'], ['Qd1', 'Qf7'], ['Rxe4', 'Bxe4'], ['Nf4', 'g5'], ['Nh5', 'Bg6'], ['Ng3', 'h5\n'], ['Qf3', 'Bc7'], ['h3', 'Kh7'], ['Re1', 'Rxe1+'], ['Bxe1', 'f5'], ['Qe2', 'Bd6'], ['Nf1', 'Kg7'], ['f3', 'f4\n'], ['h4', 'Kh6'], ['hxg5+', 'Kxg5'], ['Bf2', 'Bf5'], ['Qe1', 'Kg6'], ['Nd2', 'Bd7'], ['Nb3', 'Bf5'], ['Kh2', 'Bd3\n'], ['Bh4', 'Bf5'], ['Qe2', 'Qe6'], ['Qa6', 'Qd7'], ['Na5', 'Bb1'], ['Nxc6', '']]",1-0
Belgrade,Belgrade,1989.??.??,?,"Agdestein, Simen","Short, Nigel D",,,E32,"[['d4', 'e6'], ['c4', 'Nf6'], ['Nc3', 'Bb4'], ['Qc2', 'O-O'], ['a3', 'Bxc3+'], ['Qxc3', 'b6'], ['Bg5', 'Bb7'], ['f3', 'd6\n'], ['e4', 'c5'], ['d5', 'Nbd7'], ['Nh3', 'h6'], ['Bf4', 'exd5'], ['cxd5', 'Re8'], ['O-O-O', 'Ne5'], ['Nf2', 'a6\n'], ['Bd2', 'b5'], ['Qa5', 'Qe7'], ['Kb1', 'Reb8'], ['Re1', 'Bc8'], ['Nd1', 'Bd7'], ['Ka1', 'b4'], ['axb4', 'c4\n'], ['Nc3', 'Qf8'], ['Kb1', 'Qc8'], ['Re3', 'Rb7'], ['Be2', 'Qb8'], ['Nd1', 'Rb5'], ['Qa2', 'Ne8'], ['f4', 'Ng4\n'], ['Rg3', 'Nef6'], ['Qxc4', 'Rb7'], ['Qd4', 'Qe8'], ['Bf3', 'Rc8'], ['h3', 'h5'], ['hxg4', 'hxg4'], ['Bc3', 'Rbc7\n'], ['Ne3', 'Rxc3'], ['bxc3', 'gxf3'], ['Qxf6', 'Qxe4+'], ['Kb2', '']]",1-0
KRO m,Hilversum,1989.??.??,1,"Timman, Jan H","Short, Nigel D",,,E05,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'd5'], ['g3', 'Be7'], ['Bg2', 'O-O'], ['O-O', 'dxc4'], ['Qc2', 'a6'], ['Qxc4', 'b5\n'], ['Qc2', 'Bb7'], ['Bd2', 'Nc6'], ['e3', 'Ra7'], ['Rc1', 'Qa8'], ['Ne1', 'Nb8'], ['Ba5', 'Rc8'], ['Nd2', 'Bxg2\n'], ['Nxg2', 'c5'], ['Bb6', 'Rd7'], ['Bxc5', 'a5'], ['a4', 'b4'], ['Nf4', 'Rdc7'], ['Nd3', 'Nbd7'], ['Qc4', 'h5\n'], ['h4', 'e5'], ['Nb3', 'Ne4'], ['Qb5', 'Ndxc5'], ['Ndxc5', 'Nxg3'], ['fxg3', 'Qf3'], ['Kh2', 'Qf2+'], ['Kh3', 'Bxh4\n'], ['Rg1', 'Bg5'], ['Rgf1', 'Qxb2'], ['Rab1', 'Qc2'], ['Qd3', 'Rxc5'], ['Nxc5', 'Rxc5'], ['Qf5', 'exd4\n'], ['Qxf7+', 'Kh7'], ['Rbc1', 'Qxc1'], ['Rxc1', 'Rxc1'], ['exd4', 'Kh6'], ['Qe6+', 'Bf6'], ['Qe3+', 'Bg5\n'], ['Qe5', 'Rc3'], ['Qxa5', 'h4'], ['Qxb4', 'Rxg3+'], ['Kh2', 'Rd3'], ['Qd6+', 'Kh5'], ['a5', 'Rd2+'], ['Kh3', 'Rd3+\n'], ['Kh2', 'Rd2+'], ['Kh1', 'Rd1+'], ['Kg2', 'Rd2+'], ['Kf3', 'h3'], ['Qc6', 'Rd3+'], ['Ke4', 'Ra3'], ['Kf5', 'Rxa5+\n'], ['d5', 'Bf6'], ['Qe8+', '']]",1-0
KRO m,Hilversum,1989.??.??,2,"Short, Nigel D","Timman, Jan H",,,B12,"[['e4', 'c6'], ['d4', 'd5'], ['e5', 'Bf5'], ['c3', 'e6'], ['Be2', 'c5'], ['a3', 'c4'], ['Nd2', 'Nc6'], ['Ngf3', 'Be7'], ['b3', 'cxb3\n'], ['Nxb3', 'Nh6'], ['a4', 'O-O'], ['a5', 'Rc8'], ['O-O', 'f6'], ['Bxh6', 'gxh6'], ['exf6', 'Bxf6'], ['Re1', 'Kh8\n'], ['Qd2', 'Bg7'], ['Qe3', 'Rc7'], ['a6', 'b6'], ['Bb5', 'Ne7'], ['Nbd2', 'Ng6'], ['Rac1', 'Re7'], ['Bd3', 'e5\n'], ['dxe5', 'Nxe5'], ['Bxf5', 'Rxf5'], ['Nd4', 'Nf3+'], ['N2xf3', 'Rxe3'], ['Rxe3', 'Rf7'], ['Rce1', 'Qd6\n'], ['Re8+', 'Rf8'], ['g3', 'Kg8'], ['Nh4', 'Bxd4'], ['cxd4', 'Qf6'], ['Rxf8+', 'Kxf8'], ['Re5', 'Qc6'], ['Nf5', 'b5\n'], ['Ne7', 'Qxa6'], ['Nxd5', 'Qa1+'], ['Kg2', 'Qxd4'], ['Rf5+', 'Kg7'], ['f3', '']]",0-1
KRO m,Hilversum,1989.??.??,3,"Timman, Jan H","Short, Nigel D",,,B31,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['Bb5', 'Qb6'], ['Ba4', 'g6'], ['O-O', 'Bg7'], ['c3', 'e6'], ['d4', 'cxd4'], ['cxd4', 'Nxd4\n'], ['Na3', 'Ne7'], ['Nc4', 'Qa6'], ['Nxd4', 'Qxc4'], ['Be3', 'O-O'], ['Rc1', 'Qb4'], ['a3', 'Qxb2'], ['Qd3', 'Qb6\n'], ['Nf5', 'Qd8'], ['Nxg7', 'Kxg7'], ['Qd6', 'Nc6'], ['Rfd1', 'f6'], ['Bxc6', 'bxc6'], ['e5', 'f5'], ['Rxc6', 'f4\n'], ['Bc5', 'Rf7'], ['f3', 'Bb7'], ['Rc7', 'Bd5'], ['Bxa7', 'Rc8'], ['Rxc8', 'Qxc8'], ['Bc5', 'Qa8'], ['Bb4', 'Qa7+\n'], ['Qc5', 'Qa8'], ['Rc1', 'g5'], ['h3', 'h5'], ['Qc8', 'Qxc8'], ['Rxc8', 'Bc6'], ['Kf2', 'Kh7'], ['Bd6', 'g4\n'], ['hxg4', 'hxg4'], ['fxg4', 'Rg7'], ['g3', 'Rxg4'], ['gxf4', 'Rxf4+']]",1/2-1/2
KRO m,Hilversum,1989.??.??,4,"Short, Nigel D","Timman, Jan H",,,C42,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Nxe5', 'd6'], ['Nf3', 'Nxe4'], ['d4', 'd5'], ['Bd3', 'Bd6'], ['O-O', 'O-O'], ['c4', 'c6\n'], ['cxd5', 'cxd5'], ['Nc3', 'Nxc3'], ['bxc3', 'Bg4'], ['Rb1', 'b6'], ['Rb5', 'Bc7'], ['c4', 'dxc4'], ['Be4', 'Nc6\n'], ['Rg5', 'Bxf3'], ['Qxf3', 'Qd6'], ['Rg3', 'Nxd4'], ['Qg4', 'g6'], ['Bxa8', 'Rxa8'], ['Rd1', 'Rd8'], ['Kf1', 'Qd5\n'], ['Re3', 'f5'], ['Qh4', 'f4'], ['Re7', 'h5'], ['Qf6', '']]",1-0
KRO m,Hilversum,1989.??.??,5,"Timman, Jan H","Short, Nigel D",,,B32,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'e5'], ['Nb5', 'd6'], ['c4', 'Be7'], ['N1c3', 'a6'], ['Na3', 'Be6\n'], ['Be2', 'Bg5'], ['Bxg5', 'Qxg5'], ['O-O', 'Rd8'], ['Nd5', 'h5'], ['Nc2', 'h4'], ['Qd3', 'Bxd5'], ['exd5', 'Nce7\n'], ['Qe3', 'Qxe3'], ['Nxe3', 'Nh6'], ['f4', 'exf4'], ['Rxf4', 'Ng6'], ['Re4+', 'Kd7'], ['Bg4+', 'Nxg4'], ['Rxg4', 'Rde8\n'], ['Nf5', 'Re2'], ['b4', 'h3'], ['c5', 'Ne5'], ['Rxg7', 'dxc5'], ['bxc5', 'hxg2'], ['Rxg2', 'Nf3+'], ['Kf1', 'Re5\n'], ['Nd6', 'Rxd5'], ['Nxb7', 'Nxh2+'], ['Kg1', 'Nf3+'], ['Kf2', 'Rh3'], ['Rg7', 'Ng5'], ['Rg1', 'Rd2+'], ['Kf1', 'Rc3']]",0-1
KRO m,Hilversum,1989.??.??,6,"Short, Nigel D","Timman, Jan H",,,C42,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Nxe5', 'd6'], ['Nf3', 'Nxe4'], ['d4', 'd5'], ['Bd3', 'Nc6'], ['O-O', 'Be7'], ['c4', 'Nb4\n'], ['Be2', 'O-O'], ['Nc3', 'Be6'], ['Be3', 'Bf5'], ['Rc1', 'Nxc3'], ['bxc3', 'Nxa2'], ['Rc2', 'Bxc2'], ['Qxc2', 'Nxc3\n'], ['Qxc3', 'c6'], ['Rb1', 'a5'], ['Rxb7', 'a4'], ['Ne5', 'Bd6'], ['Nxc6', 'Qc8'], ['Rb6', 'Ra6'], ['c5', 'Rxb6\n'], ['cxb6', 'Qb7'], ['Na7', 'Qxb6'], ['Nb5', 'Ra8'], ['Bc1', 'Bf8'], ['g3', 'g6'], ['Kg2', 'Qe6'], ['Bd3', 'Qc8\n'], ['Bb2', 'a3'], ['Ba1', 'Qxc3'], ['Nxc3', 'Rd8'], ['Bc2', 'Bg7'], ['Na2', 'Rc8'], ['Bb3', 'Rb8'], ['Bc2', 'Rc8\n'], ['Bb3', 'Rb8'], ['Bc2', '']]",1/2-1/2
