Staffordshire op,Staffordshire,1975.??.??,5,"Short, Nigel D","Evans, JS.",,,B02,"[['e4', 'd5'], ['exd5', 'Nf6'], ['Nc3', 'Nxd5'], ['Nxd5', 'Qxd5'], ['d4', 'Nc6'], ['Be3', 'e5'], ['dxe5', 'Qxe5'], ['c3', 'Bd6\n'], ['Nf3', 'Bg4'], ['Nxe5', 'Bxd1'], ['Nxc6', 'Ba4'], ['Nd4', 'Bd7'], ['Nb5', 'Be5'], ['f4', 'a6'], ['Nd4', 'Bd6\n'], ['O-O-O', 'O-O'], ['Bd3', 'Rae8'], ['Rhe1', 'Bg4'], ['Be2', 'Rxe3'], ['Bxg4', 'Rxe1'], ['Rxe1', 'Bxf4+\n'], ['Kc2', 'Bxh2'], ['Bf3', 'c5'], ['Nf5', 'b6'], ['Ne7+', 'Kh8'], ['Nd5', 'b5'], ['Re7', 'f5'], ['Ra7', 'g5\n'], ['Rxa6', 'g4'], ['Be2', 'Rd8'], ['Rh6', 'Bg1'], ['Rh1', 'Bf2'], ['Rd1', 'c4'], ['b3', 'Ra8'], ['Kb2', 'Re8\n'], ['Bf1', 'Re4'], ['bxc4', 'bxc4'], ['Nf6', 'Re6'], ['Nh5', 'Rb6+'], ['Kc2', 'h6'], ['Bxc4', 'Kh7'], ['Nf4', 'Kg7\n'], ['Rd7+', 'Kh8'], ['a4', 'Rc6'], ['Bd5', 'Rf6'], ['Kb3', 'Be3'], ['Rd8+', 'Kh7'], ['Bg8+', 'Kh8'], ['Nh5', 'Bb6\n'], ['Rc8', 'Rd6'], ['Be6+', 'Bd8'], ['Bxf5', 'Kg8'], ['Nf6+', 'Kf7'], ['Nxg4', 'Bb6'], ['Kb4', 'h5'], ['Nh2', 'Rd2\n'], ['Be4', 'Rb2+'], ['Kc4', 'Ke7'], ['Rh8', 'Ra2'], ['Kb3', 'Re2'], ['Bf3', 'Re3'], ['Nf1', 'Re1'], ['Nd2', 'Bc7\n'], ['Rxh5', 'Bf4'], ['Ne4', 'Rb1+'], ['Ka2', 'Rb8'], ['a5', 'Bc1'], ['g4', 'Rb2+'], ['Ka1', 'Rb3'], ['Bd1', 'Ra3+\n'], ['Kb1', 'Be3'], ['Kb2', '']]",1-0
BCF-ch,Brighton,1977.08.18,10,"Short, Nigel D","Flear, Glenn C",,,C84,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['d4', 'exd4'], ['O-O', 'Be7'], ['Re1', 'O-O'], ['e5', 'Ne8\n'], ['c3', 'd3'], ['Qxd3', 'd6'], ['Bxc6', 'bxc6'], ['Bf4', 'Bg4'], ['Nbd2', 'Qd7'], ['Rad1', 'f6'], ['e6', 'Bxe6\n'], ['Qe4', 'Kf7'], ['Nd4', 'Bd5'], ['Qxh7', 'Qg4'], ['g3', 'Bd8'], ['Nf5', '']]",1-0
BCF-ch,Brighton,1977.08.19,11,"Clarke, Peter H","Short, Nigel D",,,A46,"[['d4', 'e6'], ['Nf3', 'Nf6'], ['g3', 'b5'], ['Bg2', 'Bb7'], ['O-O', 'c5'], ['c3', 'Be7'], ['a4', 'cxd4'], ['cxd4', 'b4\n'], ['Nbd2', 'O-O'], ['Re1', 'd5'], ['Ne5', 'Nbd7'], ['Ndf3', 'Nxe5'], ['dxe5', 'Ne4'], ['Be3', 'Qa5'], ['Nd2', '']]",1/2-1/2
BCF-ch,Ayr,1978.08.07,1,"Short, Nigel D","Carleton, John J",,,C60,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'g6'], ['O-O', 'Bg7'], ['c3', 'd6'], ['h3', 'Nf6'], ['Re1', 'O-O'], ['d3', 'h6'], ['Be3', 'Nd7\n'], ['Qc1', 'Kh7'], ['d4', 'Ne7'], ['dxe5', 'dxe5'], ['Nbd2', 'c6'], ['Bf1', 'Qc7'], ['Qc2', 'Rd8'], ['Bc4', 'Rf8\n'], ['a4', 'b6'], ['b4', 'Bb7'], ['Nb3', 'Rad8'], ['a5', 'Nc8'], ['axb6', 'axb6'], ['Ba6', 'Rfe8'], ['c4', 'Nf8\n'], ['c5', 'b5'], ['Bxb7', 'Qxb7'], ['Qa2', 'Ne6'], ['Qa6', 'Qc7'], ['Na5', 'Ne7'], ['Qb6', 'Rd7'], ['Qxc7', 'Rxc7\n'], ['Red1', 'f5'], ['Rd6', 'fxe4'], ['Nd2', 'Nd4'], ['Nxe4', 'Nef5'], ['Bxd4', 'Nxd4'], ['f3', 'Ra8'], ['Rd1', 'Bf8\n'], ['f4', 'Bxd6'], ['cxd6', 'Rf7'], ['fxe5', 'Ne6'], ['Nxc6', 'Rf4'], ['Nc5', 'Ra2'], ['Rf1', '']]",1-0
BCF-ch,Ayr,1978.08.08,2,"Clarke, Peter H","Short, Nigel D",,,A40,"[['d4', 'e6'], ['c4', 'b6'], ['Nc3', 'Bb4'], ['Qc2', 'Bb7'], ['a3', 'Bxc3+'], ['Qxc3', 'f5'], ['b3', 'Nf6'], ['f3', 'O-O\n'], ['e3', 'Qe8'], ['Bb2', 'c5'], ['dxc5', 'bxc5'], ['Nh3', 'Nc6'], ['b4', 'e5'], ['Be2', 'f4'], ['b5', 'Nd8'], ['Qxe5', 'fxe3\n'], ['Qxc5', 'd5'], ['Rc1', 'Rc8'], ['Qd4', 'Ne6'], ['Qxe3', 'd4'], ['Bxd4', 'Nxd4'], ['Qxd4', 'Rd8'], ['Qb2', 'Ng4\n'], ['fxg4', 'Bxg2'], ['Rg1', 'Bxh3'], ['Qc3', 'Qf7'], ['Qg3', 'Qf6'], ['Rc3', 'Rde8'], ['Kd1', 'Qd4+'], ['Kc1', 'Rxe2\n'], ['Rd1', 'Rf1'], ['Qb8+', 'Kf7'], ['Rf3+', 'Kg6'], ['Qd6+', 'Qxd6']]",0-1
BCF-ch,Ayr,1978.08.09,3,"Short, Nigel D","Littlewood, John Eric",,,C60,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'g6'], ['O-O', 'Bg7'], ['c3', 'd6'], ['h3', 'Nf6'], ['Re1', 'O-O'], ['d4', 'Bd7\n'], ['Nbd2', 'exd4'], ['cxd4', 'Re8'], ['a3', 'a6'], ['Ba4', 'h6'], ['Bc2', 'Nh7'], ['d5', 'Nd4'], ['Nxd4', 'Bxd4\n'], ['Nf3', 'Bg7'], ['Rb1', 'Ng5'], ['Nh2', 'c6'], ['Bd2', 'Rc8'], ['Bd3', 'Qb6'], ['Ng4', 'cxd5'], ['exd5', 'Rxe1+\n'], ['Bxe1', 'Qd4'], ['Be2', 'Qxd1'], ['Bxd1', 'Bf5'], ['Ra1', 'Bxb2'], ['Ra2', 'Bg7'], ['Ne3', 'Bb1'], ['Re2', 'Ne4\n'], ['Bb4', 'Bd3'], ['Ra2', 'Bb1'], ['Re2', 'Bd3'], ['Ra2', 'Rc1'], ['Kh2', 'Bd4'], ['Bb3', 'Nxf2'], ['Rxf2', 'Bxe3\n'], ['Rf3', 'Bg1+'], ['Kg3', 'Be2'], ['Rf4', 'Bc5'], ['Bxc5', 'Rxc5'], ['Kf2', 'Rb5'], ['Ba4', 'Rb2'], ['Kg1', 'Bb5']]",0-1
BCF-ch,Ayr,1978.08.10,4,"Findlay, David John","Short, Nigel D",,,C17,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['e5', 'c5'], ['Qg4', 'Ne7'], ['dxc5', 'Nbc6'], ['Bd2', 'O-O'], ['Bd3', 'f5\n'], ['exf6', 'Rxf6'], ['Qh4', 'h6'], ['f4', 'Bxc5'], ['Nf3', 'Nb4'], ['g4', 'Nxd3+'], ['cxd3', 'Qf8'], ['Ne2', 'Ng6\n'], ['Qg3', 'Bd6'], ['O-O', 'Bd7'], ['Ne5', 'Be8'], ['Rac1', 'a5'], ['h4', 'Qe7'], ['g5', 'hxg5'], ['hxg5', 'Rf8\n'], ['Kg2', 'Bb4'], ['Be3', 'Rd8'], ['Nd4', 'Nxe5'], ['fxe5', 'Rxf1'], ['Rxf1', 'Bg6'], ['Rh1', 'Bxd3'], ['g6', 'Be4+\n'], ['Nf3', 'Bxf3+'], ['Qxf3', '']]",1-0
BCF-ch,Ayr,1978.08.11,5,"Littlewood, Norman","Short, Nigel D",,,A05,"[['Nf3', 'e6'], ['g3', 'b5'], ['Bg2', 'Bb7'], ['O-O', 'Nf6'], ['d3', 'c5'], ['b4', 'cxb4'], ['e4', 'Be7'], ['Nbd2', 'O-O\n'], ['Nb3', 'Nc6'], ['Re1', 'd6'], ['Bf1', 'a5'], ['Rb1', 'Ba6'], ['Nfd4', 'Rc8'], ['Nxc6', 'Rxc6'], ['Bg2', 'e5\n'], ['f4', 'Nd7'], ['Rf1', 'Nc5'], ['fxe5', 'dxe5'], ['Bb2', 'Nxb3'], ['axb3', 'Bc5+'], ['Kh1', 'Bd4'], ['Bxd4', 'Qxd4\n'], ['Ra1', 'Qb6'], ['d4', 'exd4'], ['e5', 'Bb7'], ['Rf4', 'Rc5'], ['Bxb7', 'Qxb7+'], ['Kg1', 'Rxe5'], ['Qxd4', 'Rfe8\n'], ['Raf1', 'f6'], ['R4f2', 'Qd5'], ['Qxd5+', 'Rxd5'], ['Ra1', 'Ra8'], ['Rf4', 'Rdd8'], ['Kf1', 'Kf7'], ['Ke2', 'g5\n'], ['Rf5', 'Re8+'], ['Kf3', 'Re5'], ['Rxe5', 'fxe5'], ['Ke4', 'Ke6'], ['Rd1', 'a4'], ['Rd5', 'a3'], ['Rxe5+', 'Kd6\n'], ['Rd5+', 'Kc6'], ['Rd1', 'g4'], ['Rf1', 'a2'], ['Ra1', 'Kc5'], ['Kd3', 'Kd5'], ['Ke3', 'h6'], ['Rd1+', 'Ke5\n'], ['Ra1', 'h5'], ['Kd3', 'h4'], ['gxh4', 'Rh8'], ['c4', 'Rxh4'], ['cxb5', 'Kd5'], ['Ke3', 'Rxh2'], ['Kf4', 'Rg2']]",0-1
BCF-ch,Ayr,1978.08.12,6,"Short, Nigel D","Horner, Jeff",,,B06,"[['e4', 'g6'], ['d4', 'Bg7'], ['Nc3', 'c6'], ['Bc4', 'e6'], ['e5', 'd5'], ['exd6', 'Qxd6'], ['Nf3', 'Nf6'], ['Bg5', 'Nbd7\n'], ['Bb3', 'b5'], ['a3', 'a6'], ['Qd2', 'Bb7'], ['Bf4', 'Qe7'], ['Bh6', 'O-O'], ['Bxg7', 'Kxg7'], ['O-O', 'c5\n'], ['Ne5', 'Rfd8'], ['Qe3', 'Qd6'], ['Qh6+', 'Kg8'], ['Nxd7', 'Rxd7'], ['dxc5', 'Qc6'], ['Qh3', 'Rd4'], ['Rad1', 'Rad8\n'], ['Rxd4', 'Rxd4'], ['Rd1', 'Rg4'], ['f3', 'Qxc5+'], ['Kf1', 'Rd4'], ['Rxd4', 'Qxd4'], ['Qg3', 'Bd5'], ['Bxd5', 'Nxd5\n'], ['Nxd5', 'exd5'], ['b4', 'h6'], ['Qe1', 'Kg7'], ['c3', 'Qc4+'], ['Kg1', 'Qf4'], ['h3', 'Kf6'], ['Kh1', 'h5\n'], ['Qd1', 'Ke6'], ['a4', 'Qe3'], ['axb5', 'axb5'], ['Qa1', 'Kf5'], ['Qf1', 'Qxc3'], ['Qxb5', 'Qe1+'], ['Kh2', 'Qe5+\n'], ['Kh1', 'Kf4'], ['Qc5', '']]",1/2-1/2
BCF-ch,Ayr,1978.08.14,7,"Botterill, George Steven","Short, Nigel D",,,A40,"[['d4', 'e6'], ['c4', 'b6'], ['a3', 'Ba6'], ['Qa4', 'Nf6'], ['Nc3', 'Be7'], ['Nf3', 'O-O'], ['d5', 'Qc8'], ['e4', 'exd5\n'], ['e5', 'Ne8'], ['Nxd5', 'Bd8'], ['Bd3', 'c6'], ['Nb4', 'Bb7'], ['Qc2', 'h6'], ['O-O', 'a5'], ['Na2', 'Na6\n'], ['Be3', 'Nc5'], ['Bxc5', 'bxc5'], ['Nc3', 'Nc7'], ['Rad1', 'Ne6'], ['Qe2', 'Nf4'], ['Qe3', 'Nxd3'], ['Rxd3', 'Bb6\n'], ['Ne4', 'd5'], ['exd6', 'Qe6'], ['Qf4', 'Ba6'], ['Ned2', 'Rfe8'], ['Re1', 'Qg6'], ['Rxe8+', 'Rxe8'], ['d7', 'Rd8\n'], ['Rb3', 'Qc2'], ['Rxb6', 'Qc1+'], ['Ne1', 'Qxe1+'], ['Nf1', 'Bxc4'], ['Qxc4', 'Rxd7'], ['Rb8+', 'Kh7\n'], ['Qc2+', 'g6'], ['Qc3', 'Qxc3'], ['bxc3', 'Rd3'], ['c4', 'Rxa3'], ['Rc8', 'Rc3'], ['Rxc6', 'Rxc4'], ['g3', 'a4\n'], ['Ne3', 'Rc1+'], ['Kg2', 'a3'], ['Ra6', 'Rc3'], ['Ra4', 'h5'], ['Nc4', 'a2'], ['Ne3', 'g5'], ['Rxa2', 'Rc1\n'], ['Ra6', 'c4'], ['Rc6', '']]",1-0
BCF-ch,Ayr,1978.08.15,8,"Short, Nigel D","Reid, Alan",,,C85,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Bxc6', 'dxc6'], ['d3', 'Nd7'], ['Nbd2', 'O-O\n'], ['Nc4', 'f6'], ['Nh4', 'Nc5'], ['Qf3', 'g6'], ['Bh6', 'Rf7'], ['Qg3', 'Ne6'], ['Kh1', 'Bf8'], ['Bxf8', 'Qxf8\n'], ['c3', 'c5'], ['a4', 'b6'], ['Qe3', 'Bb7'], ['Nf3', 'Rd8'], ['Rfd1', 'Rfd7'], ['Rd2', 'a5'], ['Ng1', 'Ba6\n'], ['Rad1', 'Qe8'], ['b3', 'Bxc4'], ['dxc4', 'Rxd2'], ['Rxd2', 'Rxd2'], ['Qxd2', 'Qd8'], ['Qxd8+', 'Nxd8']]",1/2-1/2
