Bankia op,Bankia,1989.??.??,2,"Golod, Vitali","Shulman, Yuri",,,A41,"[['d4', 'd6'], ['Nf3', 'Bg4'], ['e4', 'Nf6'], ['Nc3', 'e6'], ['Be2', 'd5'], ['Bg5', 'Be7'], ['exd5', 'exd5'], ['Ne5', 'Be6\n'], ['O-O', 'O-O'], ['Bd3', 'Nc6'], ['Nxc6', 'bxc6'], ['Na4', 'h6'], ['Bh4', 'Nd7'], ['Bxe7', 'Qxe7'], ['Re1', 'c5\n'], ['Bb5', 'cxd4'], ['Bxd7', 'Qxd7'], ['Qxd4', 'Rfe8'], ['Nc5', 'Qc6'], ['Re5', 'f6'], ['Re2', 'Bf7'], ['Rae1', 'Rxe2\n'], ['Rxe2', 'Re8'], ['Re3', 'Rxe3'], ['Qxe3', 'Qd6'], ['c3', 'Bg6'], ['b4', 'Kf7'], ['f3', 'Qe7']]",1-0
Wch U20,Halle,1995.??.??,2,"Rowson, Jonathan","Shulman, Yuri",,,C15,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['Qd3', 'Qh4'], ['e5', 'c5'], ['Bd2', 'Bd7'], ['Nf3', 'Qe7'], ['a3', 'Bxc3\n'], ['Qxc3', 'b6'], ['b4', 'c4'], ['a4', 'b5'], ['axb5', 'Bxb5'], ['g3', 'Nc6'], ['Bg2', 'Qc7'], ['h4', 'Nge7\n'], ['O-O', 'h6'], ['Kh2', 'O-O-O'], ['Ng1', 'Qb6'], ['Ne2', 'Kb7'], ['Be3', 'Rd7'], ['Qd2', 'Ka8'], ['Nc3', 'Rb8\n'], ['h5', 'Qd8']]",1/2-1/2
Wch U20,Halle,1995.??.??,3,"Shulman, Yuri","Kurniawan, Bobby",,,A70,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'e6'], ['Nc3', 'exd5'], ['cxd5', 'd6'], ['e4', 'a6'], ['a4', 'g6'], ['Bd3', 'Bg7'], ['h3', 'O-O\n'], ['Nf3', 'Re8'], ['O-O', 'Nbd7'], ['Re1', 'Qc7'], ['Bc4', 'Nb6'], ['Bf1', 'Bd7'], ['Bf4', 'Nh5'], ['Bh2', 'Be5\n'], ['Nxe5', 'dxe5'], ['Rc1', 'Qd6'], ['Qb3', 'Rab8'], ['a5', 'Nc8'], ['Nd1', 'Na7'], ['Ne3', 'Bb5'], ['Nc4', 'Bxc4\n'], ['Bxc4', 'Nf6'], ['Qe3', 'Nd7'], ['Be2', 'b6'], ['f4', 'f6'], ['fxe5', 'fxe5'], ['Bg4', 'bxa5'], ['Be6+', 'Rxe6\n'], ['dxe6', 'Qxe6'], ['Re2', 'Nc6'], ['Rf2', 'Rf8'], ['Rxf8+', 'Kxf8'], ['Bg3', 'Kg7'], ['Be1', 'a4'], ['Bd2', 'Qd6\n'], ['Kh2', 'Qd4'], ['Qe2', 'Qd6'], ['Be3', 'Nd4'], ['Qc4', 'Qb6'], ['Qxa4', 'Nf6'], ['Bg5', 'Ne6'], ['Bxf6+', 'Kxf6\n'], ['Qe8', 'Nf4'], ['Qf8+', 'Kg5'], ['Qe7+', 'Kh6'], ['Qf8+', 'Kh5'], ['Rxc5', 'g5'], ['Qf7+', 'Kh6'], ['Rc7', 'Qg6\n'], ['Qxg6+', 'hxg6'], ['Rc3', 'g4'], ['hxg4', 'Kg5'], ['Ra3', 'Ne6'], ['Rxa6', 'Nc5'], ['Ra5', 'Nb3'], ['Kg3', '']]",1-0
Wch U20,Halle,1995.??.??,4,"Iordachescu, Viorel","Shulman, Yuri",,,C00,"[['e4', 'e6'], ['d3', 'd5'], ['Nd2', 'Nf6'], ['Ngf3', 'b6'], ['c3', 'Be7'], ['Qa4+', 'Nfd7'], ['d4', 'O-O'], ['Bd3', 'a5\n'], ['exd5', 'exd5'], ['Qc2', 'Nf6'], ['O-O', 'Ba6'], ['Re1', 'Bxd3'], ['Qxd3', 'Re8']]",1/2-1/2
Wch U20,Halle,1995.??.??,5,"Shulman, Yuri","Vescovi, Giovanni",,,A59,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'b5'], ['cxb5', 'a6'], ['bxa6', 'g6'], ['Nc3', 'Bxa6'], ['e4', 'Bxf1'], ['Kxf1', 'd6\n'], ['Nge2', 'Bg7'], ['h3', 'Nbd7'], ['Kg1', 'O-O'], ['Kh2', 'Qb6'], ['Qc2', 'Rfb8'], ['Rb1', 'Ne5'], ['Rd1', 'Nc4\n'], ['Na4', 'Qb4'], ['Nec3', 'Rxa4'], ['a3', 'Qb3'], ['Qxb3', 'Rxb3'], ['Nxa4', 'Nxe4'], ['Be3', 'f5'], ['Rbc1', 'Nxe3\n'], ['fxe3', 'Bh6'], ['Re1', 'Bxe3'], ['Re2', 'Bf4+'], ['Kg1', 'Be3+'], ['Kh2', 'Bf4+'], ['Kg1', 'Be5'], ['Rd1', 'Bd4+\n'], ['Kh2', 'Be5+'], ['Kg1', 'Kf7'], ['Rc2', 'Bd4+'], ['Kh2', 'Kf6'], ['Nc3', 'Bxc3'], ['bxc3', 'Rxa3'], ['c4', 'Ke5\n'], ['Kg1', 'h5'], ['Kf1', 'h4'], ['Kg1', 'Kf4'], ['Rf1+', 'Ke5'], ['Rd1', 'Kf4'], ['Rf1+', 'Kg5'], ['Rf3', 'Ra1+\n'], ['Rf1', 'Ra4'], ['Rb1', 'Kf4'], ['Re1', 'Ke5'], ['Rd1', 'Ra3'], ['Kh2', 'Re3'], ['Kg1', 'Nc3'], ['Rdd2', 'Ne4\n'], ['Rd1', 'Nc3'], ['Rdd2', 'f4'], ['Kh2', 'Nb1'], ['Rd1', 'Nc3'], ['Rdd2', 'Ke4'], ['Kg1', 'Rd3'], ['Rb2', 'Rxd2\n'], ['Rxd2', 'Ke3'], ['Rb2', 'Ne2+'], ['Kf1', 'Ng3+'], ['Ke1', 'Kd3'], ['Rb8', 'Kxc4'], ['Rg8', 'Kd3'], ['Rg7', 'Nf5\n'], ['Rxg6', 'c4'], ['Rg8', 'c3'], ['Ra8', 'Ne3'], ['Ra2', 'Nxg2+']]",0-1
Wch U20,Halle,1995.??.??,6,"Shaked, Tal","Shulman, Yuri",,,C02,"[['e4', 'e6'], ['d4', 'd5'], ['e5', 'c5'], ['c3', 'Qb6'], ['Nf3', 'Nc6'], ['a3', 'c4'], ['Nbd2', 'Na5'], ['Be2', 'Bd7'], ['O-O', 'Ne7\n'], ['Rb1', 'h6'], ['Re1', 'O-O-O'], ['h4', 'f5'], ['h5', 'g5'], ['hxg6', 'Nxg6'], ['b4', 'cxb3'], ['c4', 'Nf4\n'], ['Bf1', 'Ba4'], ['c5', 'Qc7'], ['Rb2', 'Rg8'], ['g3', 'Nh5'], ['Nh2', 'Qf7'], ['Qf3', 'f4'], ['g4', 'Be7\n'], ['Bg2', 'Ng7'], ['Qc3', 'Nc6'], ['Nxb3', 'h5'], ['Na5', 'Rd7'], ['Bf1', 'Kb8'], ['Nxb7', 'Ka8'], ['Nd6', 'Bxd6\n'], ['cxd6', 'hxg4'], ['Bb5', 'Bxb5'], ['Rxb5', 'Nb8'], ['Re2', 'g3'], ['fxg3', 'fxg3'], ['Ng4', 'Qh5'], ['Reb2', 'Qxg4\n'], ['Rxb8+', 'Rxb8'], ['Qc6+', 'Rdb7'], ['d7', 'Qxd4+'], ['Kg2', 'Qh4'], ['Kg1', 'g2'], ['Kxg2', 'Nh5']]",0-1
Wch U20,Halle,1995.??.??,7,"Shulman, Yuri","Maherramzade, Javad",,,B80,"[['e4', 'c5'], ['Nf3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Be3', 'Be7'], ['f3', 'Nc6'], ['Qd2', 'a6\n'], ['O-O-O', 'Qc7'], ['g4', 'O-O'], ['g5', 'Nd7'], ['h4', 'b5'], ['Nxc6', 'Qxc6'], ['h5', 'Ne5'], ['g6', 'b4\n'], ['h6', 'fxg6'], ['hxg7', 'Rxf3'], ['Bd4', 'Nf7'], ['Rxh7', 'e5'], ['Bxe5', 'dxe5'], ['Nd5', 'Ra7'], ['Qh2', 'Bg5+\n'], ['Kb1', 'Bh6'], ['Rxh6', 'Nxh6'], ['Qxh6', 'Rxg7'], ['Qg5', 'Be6'], ['Be2', 'Rf8'], ['Ne7+', 'Rxe7'], ['Qxe7', 'Rc8\n'], ['Ka1', 'Bf7'], ['Bd3', 'Qe6'], ['Qxe6', 'Bxe6'], ['Rg1', 'Kf7'], ['b3', 'a5'], ['Kb2', 'Rh8'], ['a3', 'Rh2\n'], ['Rf1+', 'Ke7'], ['Rg1', 'Kf6'], ['Rf1+', 'Ke7'], ['Rg1', 'Kf6'], ['Rf1+', '']]",1/2-1/2
Wch U20,Halle,1995.??.??,8,"Shulman, Yuri","Oral, Tomas",,,D85,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'Bg7'], ['Nf3', 'c5'], ['Rb1', 'O-O\n'], ['Be2', 'cxd4'], ['cxd4', 'Qa5+'], ['Bd2', 'Qxa2'], ['O-O', 'a5'], ['d5', 'a4'], ['Qc1', 'b5'], ['Rxb5', 'Ba6\n'], ['Bc4', 'Bb2'], ['Bxa2', 'Bxc1'], ['Ra5', 'Bxd2'], ['Nxd2', 'Nd7'], ['Rc1', 'Bd3'], ['Rxa8', 'Rxa8'], ['Rc7', 'Rb8\n'], ['d6', 'Rb2'], ['dxe7', 'Nf6'], ['Rc8+', 'Kg7'], ['e5', 'Rxa2'], ['g3', 'Bb5'], ['exf6+', 'Kxf6'], ['e8=Q', 'Bxe8\n'], ['Rxe8', 'Rxd2'], ['Ra8', 'Rd4'], ['Ra7', 'h5'], ['h4', 'Ke6'], ['Kg2', 'Kd6'], ['Rxf7', 'Kc5'], ['Rf6', 'Rd6\n'], ['Rf8', 'Ra6'], ['Rc8+', 'Kb4'], ['Kf3', 'a3'], ['Rc1', 'a2'], ['Kf4', 'a1=Q'], ['Rxa1', 'Rxa1'], ['Kg5', 'Ra6\n'], ['f3', 'Kc4'], ['g4', 'hxg4'], ['fxg4', 'Kd5'], ['h5', 'gxh5'], ['gxh5', 'Ke6'], ['Kg6', 'Ke7+'], ['Kg7', 'Ra1\n'], ['h6', 'Rg1+'], ['Kh8', 'Kf6'], ['Kh7', 'Rg6']]",0-1
Wch U20,Halle,1995.??.??,9,"Sammalvuo, Tapani","Shulman, Yuri",,,B40,"[['e4', 'c5'], ['Nf3', 'e6'], ['d3', 'd5'], ['Nbd2', 'g6'], ['g3', 'Bg7'], ['Bg2', 'Ne7'], ['O-O', 'b6'], ['exd5', 'exd5\n'], ['d4', 'Bb7'], ['dxc5', 'bxc5'], ['Nb3', 'Nd7'], ['Bg5', 'O-O'], ['c4', 'd4'], ['Qe1', 'f6'], ['Na5', 'Bxf3\n'], ['Bxf3', 'Ne5'], ['Bxa8', 'Qxa8'], ['f4', 'Nf3+'], ['Rxf3', 'Qxf3'], ['Qxe7', 'fxg5'], ['Rf1', 'Qe3+\n'], ['Qxe3', 'dxe3'], ['fxg5', 'Re8'], ['Nb3', 'Bxb2'], ['Re1', 'Bd4'], ['Kg2', 'Rf8'], ['Re2', 'Rf5'], ['h4', 'Kf7\n'], ['Nc1', 'Ke6'], ['Nd3', 'Rf7'], ['Re1', 'Rb7'], ['Kf3', 'Rb6'], ['Ke4', 'Ra6'], ['Re2', 'Ra4'], ['Rc2', 'Kd6\n'], ['Nc1', 'Be5'], ['Ne2', 'Ra3'], ['g4', 'Ke6'], ['h5', 'Kd6'], ['hxg6', 'hxg6'], ['Nc1', 'a5'], ['Nd3', 'Bg3\n'], ['Kxe3', 'Bh4'], ['Ke4', 'Bxg5'], ['Rb2', 'Rc3']]",1/2-1/2
Wch U20,Halle,1995.??.??,10,"Quinn, Mark","Shulman, Yuri",,,E69,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['g3', 'Bg7'], ['Bg2', 'O-O'], ['c4', 'd6'], ['Nc3', 'Nbd7'], ['O-O', 'e5'], ['e4', 'c6\n'], ['b3', 'Re8'], ['h3', 'a5'], ['Rb1', 'exd4'], ['Nxd4', 'Nc5'], ['Re1', 'Nfd7'], ['Be3', 'Ne5'], ['Re2', 'a4\n'], ['Rd2', 'axb3'], ['axb3', 'Qe7'], ['Qc2', 'h5'], ['Rbd1', 'Ra3'], ['Nb1', 'Ra1'], ['Nc3', 'Ra3'], ['Nb1', 'Ra1\n'], ['Nc3', 'Rxd1+'], ['Qxd1', 'h4'], ['g4', 'Ned7'], ['Qc2', 'Na6'], ['Nde2', 'Ndc5'], ['Qd1', 'g5'], ['Nd4', 'Nb4\n'], ['Re2', 'Qe5'], ['Qd2', 'Be6'], ['Nd1', 'Ncd3'], ['Nxe6', 'fxe6'], ['Bxg5', 'Ra8'], ['Bxh4', 'Qa1'], ['Re3', 'Ra2\n'], ['Rxd3', 'Rxd2'], ['Rxd2', 'Be5'], ['Bg5', 'Na2'], ['f4', 'Bc3'], ['Rxa2', 'Bd4+'], ['Rf2', 'Qxd1+'], ['Bf1', 'Qf3\n'], ['Bh4', 'Qxe4'], ['Bg3', 'Qf3'], ['Bh4', 'c5'], ['Bg2', 'Qxf4'], ['Bxb7', 'Qh6'], ['Kg2', 'Qxh4'], ['Re2', 'Be5\n'], ['Re3', 'Qg5'], ['Rf3', 'Qd2+'], ['Rf2', 'Qd3'], ['Rf3', 'Qc2+']]",0-1
Wch U20,Halle,1995.??.??,11,"Shulman, Yuri","Hellsten, Johan",,,C29,"[['e4', 'e5'], ['Nc3', 'Nf6'], ['f4', 'd5'], ['fxe5', 'Nxe4'], ['Nf3', 'Bf5'], ['d4', 'Bb4'], ['Bd2', 'c5'], ['Bd3', 'Nxd2\n'], ['Qxd2', 'Nc6'], ['a3', 'Bxc3'], ['bxc3', 'h6'], ['O-O', 'Be6'], ['Bb5', 'Rc8'], ['Qf2', 'O-O'], ['Rab1', 'Qe7\n'], ['dxc5', 'Nd8'], ['Nd4', 'Qxc5'], ['Bd3', 'a6'], ['a4', 'Rc7'], ['Kh1', 'Re8'], ['Rb3', 'Bc8'], ['Qf4', 'Rce7\n'], ['Nf5', 'Bxf5'], ['Qxf5', 'g6'], ['Qf4', 'Kh7'], ['Qd4', 'Ne6'], ['Qg4', 'Qc7'], ['Rbb1', 'Nc5'], ['Qf4', '']]",1/2-1/2
Wch U20,Halle,1995.??.??,12,"Proehl, Holger","Shulman, Yuri",,,C09,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'c5'], ['exd5', 'exd5'], ['Ngf3', 'Nc6'], ['dxc5', 'Bxc5'], ['Nb3', 'Bd6'], ['Be2', 'Nge7\n'], ['O-O', 'O-O'], ['Nbd4', 'Re8'], ['c3', 'Ng6'], ['Re1', 'a6'], ['Bg5', 'Qc7'], ['Qb3', 'Be6'], ['Bf1', 'Rac8\n'], ['h3', 'h6'], ['Be3', 'Na5'], ['Qc2', 'Bd7'], ['Nf5', 'Bf8'], ['Rad1', 'Nc4'], ['Bc1', 'Rxe1'], ['Rxe1', 'Qa5\n'], ['Qb1', 'Qb6'], ['N5d4', 'Qf6'], ['Bd3', 'Nf4'], ['Bh7+', 'Kh8'], ['Bf5', 'Bxf5'], ['Nxf5', 'Ne6'], ['Ne3', 'Nxe3\n'], ['Bxe3', 'Nf4'], ['Bd4', 'Qg6']]",1/2-1/2
Wch U20,Halle,1995.??.??,13,"Shulman, Yuri","Pelletier, Yannick",,,D85,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['Nf3', 'Bg7'], ['e4', 'Nxc3'], ['bxc3', 'c5'], ['Rb1', 'O-O\n'], ['Be2', 'Nc6'], ['d5', 'Ne5'], ['Nxe5', 'Bxe5'], ['Qd2', 'e6'], ['f4', 'Bc7'], ['O-O', 'exd5'], ['exd5', 'Ba5\n'], ['f5', 'Bxf5'], ['Rxb7', 'Qf6'], ['Bb2', 'Rfb8'], ['Rb5', 'c4'], ['Rxb8+', 'Rxb8'], ['Kh1', 'Qe5'], ['d6', 'Rd8\n'], ['Ba3', '']]",1/2-1/2
EU-ch U20,Holon,1995.??.??,1,"Pcola, Pavel","Shulman, Yuri",,,C09,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'c5'], ['exd5', 'exd5'], ['Ngf3', 'Nc6'], ['Be2', 'cxd4'], ['O-O', 'Bd6'], ['Nb3', 'Nge7\n'], ['Nbxd4', 'O-O'], ['Bg5', 'h6'], ['Be3', 'a6'], ['c4', 'Nxd4'], ['Bxd4', 'dxc4'], ['Bxc4', 'b5'], ['Bb3', 'Bb7\n'], ['Be5', 'Bc5'], ['Rc1', 'Rc8'], ['Nh4', 'Qb6'], ['Rc3', '']]",1/2-1/2
EU-ch U20,Holon,1995.??.??,2,"Shulman, Yuri","Murdzia, Piotr",,,E17,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['g3', 'Bb7'], ['Bg2', 'Be7'], ['O-O', 'O-O'], ['Nc3', 'Na6'], ['Re1', 'd5\n'], ['cxd5', 'exd5'], ['Bf4', 'c5'], ['Rc1', 'Re8'], ['a3', 'h6'], ['Ne5', 'Bf8'], ['Nb5', 'Ne4'], ['dxc5', 'Naxc5\n'], ['b4', 'Ne6'], ['Be3', 'a6'], ['Nd4', 'a5'], ['Ndc6', 'Qd6'], ['Bxb6', 'axb4'], ['axb4', 'N6g5'], ['f4', 'f6\n'], ['Bc5', 'Qe6'], ['Nd4', 'Qa6'], ['Nd3', 'Nxc5'], ['Nxc5', 'Bxc5'], ['bxc5', 'Ne4'], ['c6', 'Qa3'], ['Qd3', 'Bc8\n'], ['Qxa3', '']]",1-0
EU-ch U20,Holon,1995.??.??,3,"Sutovskij, Emil","Shulman, Yuri",,,C07,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'c5'], ['Ngf3', 'Nc6'], ['Bb5', 'a6'], ['Bxc6+', 'bxc6'], ['O-O', 'Nf6'], ['e5', 'Nd7\n'], ['dxc5', 'Bxc5'], ['c4', 'a5'], ['Nb3', 'Ba6'], ['Nxc5', 'Nxc5'], ['Qd4', 'Ne4'], ['b3', 'O-O'], ['Ba3', 'c5\n'], ['Qe3', 'Rc8'], ['Rfd1', 'Bb7'], ['Ne1', 'd4'], ['Qf4', 'f6'], ['f3', 'Nc3'], ['Rd2', 'Qe8'], ['Bxc5', 'Rxc5\n'], ['Qxd4', 'Ne4'], ['fxe4', 'Rxe5'], ['Re2', 'Qg6'], ['Nd3', 'Rxe4'], ['Rxe4', 'Bxe4'], ['Nf4', 'Qf5'], ['Re1', 'Qxf4\n'], ['Rxe4', 'Qc1+'], ['Kf2', 'a4'], ['Rxe6', 'axb3'], ['axb3', 'Qc2+'], ['Re2', 'Qxb3'], ['Qd5+', 'Kh8\n'], ['Qd6', 'Rc8'], ['Qc7', 'Rg8'], ['h3', '']]",1/2-1/2
EU-ch U20,Holon,1995.??.??,4,"Shulman, Yuri","Bakhtadze, Giorgi",,,E92,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Nf3', 'O-O'], ['Be2', 'e5'], ['Be3', 'Ng4'], ['Bg5', 'f6\n'], ['Bh4', 'Nc6'], ['d5', 'Ne7'], ['Nd2', 'Nh6'], ['f3', 'g5'], ['Bf2', 'f5'], ['c5', 'g4'], ['fxg4', 'Nxg4'], ['Bxg4', 'fxg4\n'], ['O-O', 'Ng6'], ['Nc4', 'a6'], ['Be3', 'Nf4'], ['g3', 'Nh3+'], ['Kg2', 'Bf6'], ['cxd6', 'cxd6'], ['Nb6', 'Bg5\n'], ['Rxf8+', 'Qxf8'], ['Qe2', 'Bxe3'], ['Qxe3', 'Rb8'], ['Rf1', 'Qe7'], ['Qh6', 'Bd7'], ['Nc4', 'b5'], ['Nxd6', 'Rb6\n'], ['Nf5', 'Rxh6'], ['Nxe7+', 'Kh8'], ['Rf8+', 'Kg7'], ['Rd8', '']]",1-0
EU-ch U20,Holon,1995.??.??,5,"Stocek, Jiri","Shulman, Yuri",,,B43,"[['e4', 'c5'], ['Nf3', 'e6'], ['Nc3', 'a6'], ['d4', 'cxd4'], ['Nxd4', 'Qc7'], ['Bd3', 'Nf6'], ['Bg5', 'Nc6'], ['Nxc6', 'dxc6\n'], ['Qe2', 'Bd6'], ['O-O-O', 'b5'], ['Rhe1', 'h6'], ['Bh4', 'Nd7'], ['Bg3', 'Bxg3'], ['hxg3', 'e5'], ['Qe3', 'Qb6\n'], ['Qd2', 'Nc5']]",1/2-1/2
EU-ch U20,Holon,1995.??.??,6,"Shulman, Yuri","Gasimov, Ragim",,,E14,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'Bb4+'], ['Nbd2', 'O-O'], ['a3', 'Bxd2+'], ['Qxd2', 'b6'], ['e3', 'Bb7'], ['Be2', 'a5\n'], ['b3', 'd6'], ['O-O', 'Nbd7'], ['Bb2', 'Qe7'], ['b4', 'Ne4'], ['Qc2', 'f5'], ['Rfd1', 'Ndf6'], ['Nd2', 'Nxd2\n'], ['Qxd2', 'Ne4'], ['Qc2', 'Qg5'], ['d5', 'Rae8'], ['Bf3', 'Qg6'], ['Rab1', 'axb4'], ['axb4', 'Ng5'], ['Be2', 'b5\n'], ['Ra1', 'bxc4'], ['Bxc4', 'exd5'], ['Bxd5+', 'Bxd5'], ['Rxd5', 'Qf7'], ['Qd3', 'Ne6'], ['f3', 'Rb8'], ['Bc3', 'f4\n'], ['e4', 'Ra8'], ['Rda5', 'Rab8'], ['Ra7', 'Qd7'], ['Qc4', 'Kh8'], ['R1a5', 'Rb6'], ['Rf5', 'Re8'], ['b5', 'Nc5\n'], ['Rf7', 'Qe6'], ['Qd5', 'Rxb5'], ['Rxg7', 'Rb1+'], ['Kf2', 'Qxd5'], ['Re7+', 'Kg8'], ['Rxe8+', 'Kf7\n'], ['exd5', 'Kxe8'], ['Rxc7', 'Rc1'], ['Ba5', 'Rc2+'], ['Kf1', 'Rc1+'], ['Ke2', 'Rc2+'], ['Bd2', 'Ra2'], ['Kd1', 'Ra1+\n'], ['Kc2', 'Ra2+'], ['Kc3', 'Na4+'], ['Kb3', 'Rxd2'], ['Kxa4', 'Rxd5'], ['Rxh7', 'Rg5']]",1/2-1/2
EU-ch U20,Holon,1995.??.??,7,"Edzgveradze, Natalia","Shulman, Yuri",,,E90,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'g6'], ['Nc3', 'Bg7'], ['e4', 'O-O'], ['Bd3', 'd6'], ['Nf3', 'e5'], ['O-O', 'Nh5'], ['Re1', 'Nd7\n'], ['a3', 'a6'], ['Rb1', 'Nf4'], ['Bf1', 'Nf6'], ['b4', 'b6'], ['Na4', 'N6h5'], ['Be3', 'f5'], ['bxc5', 'bxc5\n'], ['Nb6', 'Ra7'], ['Nxc8', 'Qxc8'], ['Nd2', 'Nxg2'], ['Bxg2', 'f4'], ['Rf1', 'Bh6'], ['Rb3', 'Nf6'], ['Bh3', 'Qc7\n'], ['Qe2', 'Kh8'], ['Rfb1', 'fxe3'], ['fxe3', 'Qa5'], ['Be6', 'Raa8'], ['Qd3', 'Qd8'], ['Qe2', 'Nh5'], ['Qg2', 'Qh4\n'], ['Nf1', 'Rad8'], ['R1b2', 'Nf6'], ['Ng3', 'Ng4'], ['Re2', 'Rb8'], ['Rxb8', 'Rxb8'], ['Bxg4', 'Qxg4'], ['Nf1', 'Qxg2+\n'], ['Kxg2', 'Rb3'], ['Kf3', 'Kg7'], ['Rc2', 'Kf6'], ['Ra2', 'a5'], ['a4', 'Bg5'], ['Ke2', 'h5'], ['Kd2', 'Rb1\n'], ['Ke2', 'Bh4'], ['Nd2', 'Re1+'], ['Kf3', 'Bg5'], ['Ra3', 'Rh1'], ['Kg2', 'Rd1'], ['Nf3', 'Rb1'], ['Kf2', 'Rb2+\n'], ['Ke1', 'Bh6'], ['Nd2', 'Kg5'], ['Ke2', 'Bf8'], ['Ra1', 'Be7'], ['Rf1', 'Kh6'], ['Rb1', 'Ra2'], ['Rb7', 'Bg5\n'], ['Rd7', 'Ra3'], ['Nf1', 'Rxa4'], ['Rxd6', 'Rxc4'], ['Ra6', 'Ra4'], ['d6', 'Ra2+'], ['Nd2', 'a4'], ['d7', 'c4\n'], ['Rc6', 'a3'], ['Rxc4', 'Rb2'], ['Ra4', 'a2'], ['Kd3', 'Bf6'], ['Nf3', 'Rb6'], ['Rxa2', 'Rd6+'], ['Ke2', 'Rxd7\n'], ['Ra6', 'Kg7'], ['Ra5', 'Re7'], ['h4', 'Rb7'], ['Nxe5', 'Bxh4'], ['Nf3', 'Be7'], ['Kf2', 'Rb4'], ['e5', 'Rb7\n'], ['Kg3', 'Bb4'], ['Rd5', 'Ra7'], ['Ng5', 'Kh6'], ['e6', 'Be7'], ['Nf3', 'Ra6'], ['Nd4', 'Kg7'], ['Rd7', 'Kf6\n'], ['Rb7', 'g5'], ['Rb1', 'Kg6'], ['Kf3', 'g4+'], ['Ke4', 'Bf6'], ['Rd1', 'Bxd4'], ['exd4', 'Rxe6+'], ['Kd5', 'Re2\n'], ['Kc6', 'g3'], ['Rg1', 'h4'], ['d5', 'Kf5'], ['d6', 'Rc2+'], ['Kb7', 'Ke6'], ['Re1+', 'Kxd6'], ['Re4', 'g2\n'], ['Rg4', 'h3'], ['Rg6+', 'Ke5'], ['Rg3', 'h2']]",0-1
EU-ch U20,Holon,1995.??.??,8,"Shulman, Yuri","Malakhov, Vladimir",,,A44,"[['d4', 'c5'], ['d5', 'd6'], ['Nf3', 'e5'], ['e4', 'Be7'], ['h3', 'Nf6'], ['Nc3', 'O-O'], ['Be2', 'Na6'], ['Be3', 'Nc7\n'], ['a4', 'a6'], ['Qb1', 'Nd7'], ['O-O', 'Kh8'], ['b4', 'cxb4'], ['Qxb4', 'a5'], ['Qa3', 'Na6'], ['Bxa6', 'Rxa6\n'], ['Rab1', 'Nf6'], ['Rb5', 'Nh5'], ['Rfb1', 'Nf4'], ['Bxf4', 'exf4'], ['Ne2', 'g5'], ['Ned4', 'Bf6'], ['Nf5', 'Re8\n'], ['Qd3', 'Be5'], ['Rxb7', 'Bxb7'], ['Rxb7', 'Rb6'], ['Rxf7', 'Qb8'], ['Qe2', 'Bf6'], ['Nxg5', '']]",1-0
