BCF-ch U18 ,Rhyl,1969.??.??,?,"Miles, Anthony J","Dennis, JR.",,,C55,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Nf6'], ['d4', 'exd4'], ['O-O', 'Bc5'], ['e5', 'd5'], ['exf6', 'dxc4'], ['Re1+', 'Be6\n'], ['Ng5', 'Qd5'], ['Nc3', 'Qf5'], ['Nce4', 'Bb6'], ['fxg7', 'Rg8'], ['g4', 'Qg6'], ['Nxe6', 'fxe6'], ['Bg5', 'Rxg7\n'], ['Nf6+', 'Kf8'], ['Qf3', 'Rf7'], ['Rxe6', 'Qxg5'], ['Nxh7+', 'Kg7'], ['Qxf7+', 'Kxf7'], ['Nxg5+', 'Kg7\n'], ['h4', 'Rf8'], ['Rxc6', '']]",1-0
Islington-J,Islington,1970.??.??,6,"Moberly, R Walter L","Miles, Anthony J",,,C26,"[['e4', 'e5'], ['Nc3', 'Bc5'], ['Bc4', 'd6'], ['d3', 'Nf6'], ['h3', 'Nc6'], ['Bg5', 'h6'], ['Bh4', 'g5'], ['Bg3', 'Na5\n'], ['Bb3', 'Nxb3'], ['axb3', 'Be6'], ['Nge2', 'Nh5'], ['Qd2', 'c6'], ['Na4', 'Bb6'], ['Nxb6', 'axb6'], ['O-O', 'Rxa1\n'], ['Rxa1', 'O-O'], ['d4', 'Qf6'], ['dxe5', 'dxe5'], ['Qc3', 'Nf4'], ['Bxf4', 'gxf4'], ['Ra7', 'Bc8'], ['Kh2', 'Kh7\n'], ['Ra1', 'Rg8'], ['Rg1', 'Qh4'], ['Qxe5', 'Bxh3'], ['g3', 'fxg3+'], ['fxg3', 'Qg4'], ['Nf4', 'Rg5'], ['Qf6', 'Kg8\n'], ['Nxh3', 'Rh5'], ['Qh4', 'Qe2+'], ['Rg2', 'Qd1'], ['Qf4', 'Kg7'], ['g4', '']]",1-0
Islington-J,Islington,1970.??.??,7,"Miles, Anthony J","Mariotti, Sergio",,,B87,"[['e4', 'c5'], ['Nf3', 'd6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'a6'], ['Bc4', 'e6'], ['Bb3', 'b5'], ['Qe2', 'Bb7\n'], ['Bg5', 'Nbd7'], ['O-O-O', 'h6'], ['Bxf6', 'Qxf6'], ['Rhe1', 'Rc8'], ['Qd2', 'Be7'], ['f4', 'Nc5'], ['Kb1', 'O-O\n'], ['f5', 'Nxb3'], ['axb3', 'Rc5'], ['Rf1', 'e5'], ['Nde2', 'Rfc8'], ['b4', 'Rc4'], ['Ng3', 'Bf8'], ['Rf2', 'Qh4\n'], ['Qe3', 'Rxb4'], ['b3', 'd5'], ['Nxd5', 'Bc5'], ['Qe1', 'Bxf2'], ['Qxb4', 'Bxd5'], ['Rxd5', 'Bxg3'], ['hxg3', 'Qh1+\n'], ['Kb2', 'Qxg2'], ['Rd2', 'Qxg3'], ['c4', 'bxc4'], ['bxc4', 'Qe3'], ['Rd7', 'Qxe4'], ['Kc3', 'Qe1+'], ['Rd2', '']]",0-1
Staffordshire op,Staffordshire,1971.??.??,1,"Fellows, J.","Miles, Anthony J",,,A80,"[['Nf3', 'f5'], ['d4', 'g6'], ['b3', 'Bg7'], ['Bb2', 'Nf6'], ['c4', 'O-O'], ['e3', 'd6'], ['Nc3', 'c6'], ['Bd3', 'Qc7'], ['Rc1', 'Na6\n'], ['O-O', 'Bd7'], ['Qd2', 'Rae8'], ['Rfd1', 'e5'], ['Nb5', 'Qb8'], ['Nxd6', 'e4'], ['Nxe8', 'Rxe8'], ['Be2', 'exf3\n'], ['Bxf3', 'Ne4'], ['Bxe4', 'fxe4'], ['d5', 'Bxb2'], ['Qxb2', 'Nb4'], ['a3', 'Nd3'], ['Rxd3', 'exd3'], ['Qd4', 'Bf5\n'], ['d6', 'Re4'], ['Qxd3', 'Re6'], ['Qe2', 'Rxd6'], ['e4', 'Be6'], ['c5', 'Rd4'], ['b4', 'Qf4'], ['Re1', 'Rd2\n'], ['Qf1', 'Qf6'], ['Re3', 'Qd4'], ['h3', 'Bc4']]",0-1
Staffordshire op,Staffordshire,1971.??.??,2,"Miles, Anthony J","Anderton, David W",,,A04,"[['e4', 'e6'], ['d3', 'c5'], ['g3', 'Nc6'], ['Bg2', 'g6'], ['Nf3', 'Bg7'], ['O-O', 'Nge7'], ['Nbd2', 'O-O'], ['Re1', 'e5\n'], ['Nc4', 'd6'], ['a4', 'h6'], ['c3', 'Be6'], ['Rb1', 'f5'], ['Qe2', 'Rc8'], ['b3', 'a6'], ['Bb2', 'b5'], ['axb5', 'axb5\n'], ['Ncd2', 'b4'], ['cxb4', 'Nxb4'], ['Nc4', 'f4'], ['Rec1', 'g5'], ['Ne1', 'g4'], ['f3', 'h5'], ['Nc2', 'Nbc6\n'], ['Bc3', 'Ng6'], ['b4', 'cxb4'], ['Nxb4', 'Nd4'], ['Bxd4', 'exd4'], ['Rf1', 'Ne5'], ['Nd2', 'Bh6'], ['Rb2', 'Rc7\n'], ['Nd5', 'Bxd5'], ['exd5', 'fxg3'], ['hxg3', 'Be3+'], ['Kh1', 'h4'], ['fxg4', 'hxg3'], ['Rxf8+', 'Qxf8\n'], ['Bh3', 'Qh6'], ['Kg2', 'Ng6'], ['Kxg3', 'Qxh3+'], ['Kxh3', 'Nf4+'], ['Kg3', 'Nxe2+'], ['Kf3', 'Nc3']]",0-1
Staffordshire op,Staffordshire,1971.??.??,3,"Farley, RJM.","Miles, Anthony J",,,B02,"[['e4', 'Nf6'], ['e5', 'Nd5'], ['Nc3', 'Nb6'], ['d4', 'd6'], ['exd6', 'cxd6'], ['Bf4', 'N8d7'], ['Nf3', 'g6'], ['Qd2', 'Nf6\n'], ['Be2', 'Bd7'], ['O-O', 'Bg7'], ['h3', 'O-O'], ['Bh6', 'Rc8'], ['Rfe1', 'Nc4'], ['Bxc4', 'Rxc4'], ['Ne4', 'Nxe4\n'], ['Rxe4', 'Bxh6'], ['Qxh6', 'f6'], ['c3', 'Rf7'], ['Rae1', 'd5'], ['R4e2', 'Rc8'], ['Nh2', 'Kh8'], ['f4', 'b5\n'], ['g4', 'a5'], ['Nf3', 'Kg8'], ['g5', 'Qf8'], ['Qh4', 'Bf5'], ['gxf6', 'exf6'], ['Nd2', 'b4'], ['Re3', 'bxc3\n'], ['bxc3', 'Rg7'], ['Kh2', 'g5'], ['fxg5', 'Qd6+'], ['Kh1', 'fxg5'], ['Qh5', 'Rf8'], ['Re8', 'Bg6'], ['Rxf8+', 'Qxf8\n'], ['Qe2', 'Qd6'], ['Qe5', 'Qxe5'], ['Rxe5', 'Rc7'], ['Rxg5', 'Rxc3'], ['Kg1', 'Rd3'], ['Nf1', 'Rxd4'], ['Ne3', 'Ra4\n'], ['Nxd5', 'Rxa2'], ['Ne7+', 'Kf7'], ['Nxg6', 'hxg6'], ['h4', 'a4'], ['Ra5', 'a3'], ['Kf1', 'Ke6'], ['Ke1', 'Ra1+\n'], ['Kd2', 'a2']]",0-1
Staffordshire op,Staffordshire,1971.??.??,4,"Goodwin, E.","Miles, Anthony J",,,A56,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'g6'], ['Nc3', 'd6'], ['e4', 'e6'], ['f4', 'Bg7'], ['e5', 'dxe5'], ['fxe5', 'Nfd7\n'], ['dxe6', 'fxe6'], ['Qd6', 'Nxe5'], ['Qxd8+', 'Kxd8'], ['Bg5+', 'Kc7'], ['Nb5+', 'Kb6'], ['O-O-O', 'Nbc6\n'], ['Be2', 'a6'], ['Nc3', 'Kc7'], ['Nf3', 'b6'], ['Bf4', 'Rf8'], ['Nxe5', 'Bxe5'], ['Bxe5+', 'Nxe5'], ['Rhe1', 'Bd7\n'], ['Ne4', 'Rae8'], ['Bf1', 'Nc6'], ['a4', 'Nd4'], ['b4', 'Bxa4'], ['Rd3', 'Nc2']]",0-1
Staffordshire op,Staffordshire,1971.??.??,5,"Miles, Anthony J","Carleton, John J",,,C02,"[['e4', 'e6'], ['d4', 'd5'], ['e5', 'c5'], ['c3', 'Qb6'], ['Nf3', 'Bd7'], ['Be2', 'Bb5'], ['c4', 'Bxc4'], ['Bxc4', 'Qb4+\n'], ['Nbd2', 'dxc4'], ['a3', 'Qb5'], ['Qe2', 'Nd7'], ['Nxc4', 'Qc6'], ['O-O', 'b5'], ['Na5', 'Qb6'], ['Bd2', 'c4\n'], ['a4', 'c3'], ['Bxc3', 'b4'], ['Nc4', 'Qb7'], ['Bd2', 'Nh6'], ['Bxh6', 'gxh6'], ['Rac1', 'Be7'], ['d5', 'Qxd5\n'], ['Rfd1', 'Qb7'], ['Na5', 'Qb6'], ['Qe4', 'Rd8'], ['Nb7', 'Rb8'], ['Nd6+', 'Bxd6'], ['Rxd6', 'Qd8'], ['Rcd1', 'Rc8\n'], ['Rxd7', 'Qxd7'], ['Rxd7', 'Rc1+'], ['Ne1', 'Kxd7'], ['Qb7+', '']]",1-0
Birmingham,Birmingham,1972.03.25,1,"Clarke, Peter H","Miles, Anthony J",,,A43,"[['d4', 'c5'], ['d5', 'Nf6'], ['Nc3', 'd6'], ['e4', 'g6'], ['Nf3', 'Bg7'], ['Bb5+', 'Bd7'], ['a4', 'Na6'], ['O-O', 'Nc7\n'], ['Bxd7+', 'Qxd7'], ['h3', 'O-O'], ['Bf4', 'b5'], ['Qd3', 'a6'], ['Rfe1', 'c4'], ['Qe3', 'b4'], ['Ne2', 'Rfc8\n'], ['Bh2', 'a5'], ['Nfd4', 'Na6'], ['b3', 'Nc5']]",1/2-1/2
Birmingham,Birmingham,1972.03.26,2,"Miles, Anthony J","Dunkelblum, Arthur",,,B22,"[['e4', 'c5'], ['c3', 'Nf6'], ['e5', 'Nd5'], ['d4', 'cxd4'], ['Qxd4', 'e6'], ['Bc4', 'Nb6'], ['Bb3', 'Nc6'], ['Qe4', 'd6\n'], ['exd6', 'Bxd6'], ['Nf3', 'Nd7'], ['Qe2', 'O-O'], ['O-O', 'Nde5'], ['Nbd2', 'Qc7'], ['Nxe5', 'Bxe5'], ['Nf3', 'Bf4\n'], ['Re1', 'Bxc1'], ['Raxc1', 'Qe7'], ['Ne5', 'Nxe5'], ['Qxe5', 'b6'], ['Rcd1', 'Bb7'], ['Rd4', 'Rac8'], ['Red1', 'Rc5\n'], ['Qe3', 'Bc6'], ['Bc2', 'g6'], ['f3', 'Qf6'], ['Be4', 'Re5'], ['Qd3', 'Bxe4'], ['fxe4', 'Ra5'], ['a3', 'Qe5\n'], ['Rf1', 'Rc5'], ['Rd8', 'Rc7']]",1/2-1/2
Birmingham,Birmingham,1972.03.27,3,"Borngaesser, Rene","Miles, Anthony J",,,B07,"[['Nf3', 'g6'], ['e4', 'd6'], ['d4', 'Nf6'], ['Bd3', 'Bg7'], ['O-O', 'O-O'], ['Re1', 'Bg4'], ['Nbd2', 'Nc6'], ['h3', 'Bxf3\n'], ['Nxf3', 'e5'], ['d5', 'Ne7'], ['g4', 'Qd7'], ['Kh2', 'a6'], ['c4', 'b5'], ['cxb5', 'axb5'], ['Qb3', 'Rfb8\n'], ['Bd2', 'c6'], ['dxc6', 'Qxc6'], ['Rac1', 'Qb6'], ['Re2', 'd5'], ['Kg1', 'dxe4'], ['Bxe4', 'Nxe4'], ['Rxe4', 'Rd8\n'], ['Bg5', 'Qb7'], ['Rce1', 'h6'], ['Nxe5', 'Bxe5'], ['Rxe5', 'hxg5'], ['Rxe7', 'Qd5'], ['Re8+', 'Kh7'], ['Qxd5', '']]",1-0
