EU-ch U12,Tallinn,1997.??.??,1,"Mamedyarov, Shahriar","Naiditsch, Arkadij",,,A48,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['Bf4', 'Bg7'], ['e3', 'd6'], ['h3', 'O-O'], ['Nbd2', 'Nbd7'], ['Bc4', 'c6'], ['a4', 'Re8\n'], ['O-O', 'e5'], ['Bh2', 'e4'], ['Ne1', 'Nf8'], ['Qe2', 'a5'], ['c3', 'b6'], ['b4', 'axb4'], ['cxb4', 'd5'], ['Bb3', 'Ba6\n'], ['Qd1', 'Bxf1']]",0-1
Baku Cup,Baku,1998.??.??,?,"Mamedyarov, Shahriar","Aliev, Rasim",,,E06,"[['d4', 'd5'], ['c4', 'e6'], ['g3', 'Nf6'], ['Bg2', 'Be7'], ['Nf3', 'O-O'], ['O-O', 'c5'], ['cxd5', 'Nxd5'], ['dxc5', 'Bxc5\n'], ['a3', 'a5'], ['b3', 'b6'], ['Bb2', 'Bb7'], ['Qc2', 'Nd7'], ['Nbd2', 'Rc8'], ['Qd3', 'Qe7'], ['Ne4', 'Rfd8\n'], ['Rfd1', 'e5'], ['Bh3', 'N5f6'], ['Nxc5', 'Nxc5'], ['Qe3', 'Rxd1+'], ['Rxd1', 'Rd8'], ['Rxd8+', 'Qxd8\n'], ['b4', 'axb4'], ['axb4', 'e4'], ['Bxf6', 'gxf6'], ['Nd4', 'Nd7'], ['Nf5', 'Nf8'], ['Qh6', 'Ne6'], ['Ne3', 'Nf8\n'], ['Bf5', 'Ng6'], ['b5', 'Qd2'], ['h4', 'Qxe2'], ['h5', 'Qxb5'], ['hxg6', 'hxg6'], ['Bxg6', 'fxg6'], ['Qxg6+', 'Kf8\n'], ['Nf5', 'Qe5'], ['g4', 'e3'], ['Qg7+', 'Ke8'], ['Qxb7', 'e2'], ['Qa8+', 'Kf7'], ['Qb7+', 'Ke8'], ['Qc8+', 'Kf7\n'], ['Qc4+', 'Ke8'], ['Qc8+', 'Kf7'], ['Qd7+', 'Kf8'], ['Qd8+', 'Kf7'], ['Qd7+', 'Kf8'], ['Qd8+', 'Kf7'], ['Qd7+', 'Kf8\n'], ['Qd8+', 'Kf7']]",1/2-1/2
Baku Cup,Baku,1998.??.??,?,"Davidov, Samir","Mamedyarov, Shahriar",,,C54,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bc4', 'Bc5'], ['c3', 'Nf6'], ['d4', 'exd4'], ['cxd4', 'Bb4+'], ['Bd2', 'Bxd2+'], ['Nbxd2', 'd5\n'], ['exd5', 'Nxd5'], ['Qb3', 'Nce7'], ['O-O', 'O-O'], ['Ne5', 'c6'], ['Ne4', 'Qb6'], ['Nc5', 'Rd8'], ['Rfe1', 'Bf5\n'], ['Nxb7', 'Rdb8'], ['Nc5', 'Qa5'], ['Qf3', 'Bg6'], ['Nxg6', 'Nxg6'], ['Bxd5', 'cxd5'], ['Qxd5', 'Qd2\n'], ['Ne4', 'Qxb2'], ['Ng5', 'Nh8'], ['Qf5', 'g6'], ['Qf4', 'Rb6'], ['d5', 'Rd8'], ['Rad1', 'h6'], ['Ne4', 'f5\n'], ['Qc7', 'Nf7'], ['Nc5', 'Qxa2'], ['Nd7', 'Rd6'], ['Ne5', 'Nxe5'], ['Rxe5', 'Qa4'], ['Rde1', 'Rxd5'], ['Rxd5', 'Rxd5\n'], ['Qc8+', 'Kg7'], ['Re7+', 'Kf6'], ['Qe6+', 'Kg5'], ['h4+', '']]",1-0
Artek olJ,Artek,1999.09.10,1,"Mamedyarov, Shahriar","Ignatiev, Alexander",,,A48,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['Bf4', 'Bg7'], ['e3', 'd6'], ['h3', 'O-O'], ['Bc4', 'Nbd7'], ['O-O', 'Qe8'], ['c3', 'e5\n'], ['Bh2', 'Qe7'], ['Nbd2', 'e4'], ['Ne1', 'Re8'], ['a4', 'Nf8'], ['Kh1', 'h5'], ['Qb3', 'N8h7'], ['f3', 'exf3\n'], ['Nexf3', 'b6'], ['e4', 'Be6'], ['d5', 'Bd7'], ['e5', 'Ng4'], ['e6', 'fxe6'], ['dxe6', 'Bxe6'], ['hxg4', 'hxg4\n'], ['Rae1', 'Nf8'], ['Nd4', '']]",1-0
Artek olJ,Artek,1999.09.11,2,Gao Lu,"Mamedyarov, Shahriar",,,E81,"[['c4', 'Nf6'], ['Nc3', 'g6'], ['e4', 'd6'], ['d4', 'Bg7'], ['f3', 'O-O'], ['Bg5', 'b6'], ['Qd2', 'c5'], ['d5', 'Nbd7'], ['Nh3', 'a6\n'], ['a4', 'Qc7'], ['Be2', 'Nb8'], ['Nf2', 'e5'], ['O-O', 'a5'], ['Nd3', 'Ba6'], ['b3', 'Nbd7'], ['Bh6', 'Rae8\n'], ['Rf2', 'Qd8'], ['Raf1', 'Nh5'], ['Bxg7', 'Kxg7'], ['g4', 'Nhf6'], ['h4', 'Ng8'], ['h5', 'g5'], ['Ne1', 'h6\n'], ['Ng2', 'Ndf6'], ['Qb2', 'Qd7'], ['Ne3', 'Ne7'], ['Rg2', 'Nh7'], ['Bd1', 'f6'], ['Bc2', 'Kh8'], ['Ra1', 'Ra8\n'], ['Bd3', 'Rab8'], ['Rc2', 'Rfc8'], ['Ne2', 'Rc7'], ['Ng3', 'Qd8'], ['Rf2', 'Bc8']]",1/2-1/2
Artek olJ,Artek,1999.09.12,3,"Mamedyarov, Shahriar","Oliver, G.",,,D30,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['e3', 'e6'], ['Nbd2', 'Nbd7'], ['Bd3', 'Bd6'], ['O-O', 'b6'], ['e4', 'dxe4\n'], ['Nxe4', 'Nxe4'], ['Bxe4', 'Bb7'], ['b3', 'Qe7'], ['Bb2', 'Ba3'], ['Bc3', 'Bb4'], ['Bb2', 'Ba3'], ['Bc3', 'Bb4\n'], ['Bb2', 'Ba3']]",1-0
Artek olJ,Artek,1999.09.14,4,"Zigangirova, S.","Mamedyarov, Shahriar",,,C47,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Nc3', 'Nf6'], ['d4', 'Bb4'], ['Nxe5', 'Nxe4'], ['Qg4', 'Nxc3'], ['Qxg7', 'Qf6'], ['Qxf6', 'Nd5+\n'], ['c3', 'Nxf6'], ['Nxc6', 'Bxc3+'], ['bxc3', 'dxc6'], ['Ba3', 'Be6'], ['Bd3', 'Nd5'], ['Kd2', 'O-O-O'], ['g3', 'h5\n'], ['f4', 'Rde8'], ['f5', 'Bd7'], ['Rae1', 'Rhg8'], ['c4', 'Nf6'], ['Be7', 'Ng4'], ['Re2', 'Nf2'], ['Rxf2', 'Rxe7\n'], ['Rf4', 'f6'], ['Re1', 'Rxe1'], ['Kxe1', 'Be8'], ['Re4', 'Bd7'], ['Rf4', 'Kd8'], ['Ke2', 'Be8'], ['Kf3', 'Bf7\n'], ['Rh4', 'Ke7'], ['g4', 'hxg4+'], ['Kg3', 'Rd8'], ['Rxg4', 'c5'], ['d5', 'c6'], ['Be4', 'cxd5'], ['Bxd5', 'Bxd5\n'], ['cxd5', 'Rxd5'], ['Rg7+', 'Kd6'], ['Rxb7', 'c4'], ['Rb2', 'Rxf5'], ['h4', 'Ke6'], ['Rc2', 'Rc5'], ['Kf4', 'Kd5\n'], ['Rd2+', 'Kc6'], ['Ke3', 'Re5+'], ['Kd4', 'Rd5+'], ['Kc3', 'Rh5'], ['Rh2', 'Kd6'], ['Kxc4', 'Ke5'], ['Re2+', 'Kf5\n'], ['Rf2+', 'Ke5'], ['Re2+', 'Kf5'], ['Rf2+', 'Kg6'], ['Rg2+', 'Kh6'], ['Rf2', 'Rxh4+'], ['Kb5', 'Kg5'], ['a4', 'f5\n'], ['a5', 'f4'], ['Ka6', 'Rh7'], ['Rg2+', 'Kf5'], ['Rg8', 'Rf7'], ['Rb8', 'f3'], ['Rb3', 'f2'], ['Rf3+', 'Ke6\n'], ['Rxf2', 'Rxf2'], ['Kxa7', 'Kd6'], ['Kb6', 'Rb2+'], ['Ka7', '']]",0-1
Artek olJ,Artek,1999.09.15,5,"Pareshishvili, Giorgi","Mamedyarov, Shahriar",,,C77,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['Qe2', 'b5'], ['Bb3', 'Bc5'], ['c3', 'O-O'], ['O-O', 'd6\n'], ['d3', 'h6'], ['Rd1', 'Ba7'], ['Be3', 'Be6'], ['Bc2', 'Bxe3'], ['Qxe3', 'Qe7'], ['Nbd2', 'Rab8'], ['d4', 'Bd7\n'], ['Nf1', 'b4'], ['d5', 'Ng4'], ['Qe1', 'Na7'], ['h3', 'Nf6'], ['cxb4', 'Rfc8'], ['Qe3', 'c5'], ['bxc5', 'Rxc5\n'], ['Bb3', 'a5'], ['Rac1', 'Rbc8'], ['Rxc5', 'Rxc5'], ['Rd2', 'Qe8'], ['Rc2', 'Rxc2'], ['Bxc2', 'Qb8'], ['Qc3', 'Nb5\n'], ['Qc4', 'Na7'], ['b3', 'Bb5'], ['Qc3', 'Bxf1'], ['Kxf1', 'Qb6'], ['a4', 'Nd7'], ['Nd2', 'Qb4'], ['Qxb4', 'axb4\n'], ['Bd1', 'Kf8'], ['Bg4', 'Nc5'], ['Ke2', 'Ke7'], ['Kd1', 'Nd3'], ['Be2', 'Nc5'], ['Kc2', 'g6'], ['h4', 'Kd8\n'], ['Bg4', 'Ke7'], ['f3', 'Kd8'], ['Nc4', 'Ke7'], ['Nb2', 'Kd8'], ['Nd3', 'Na6'], ['Nc1', 'Nc8'], ['Bxc8', 'Kxc8\n'], ['Kd3', 'f5'], ['exf5', 'gxf5'], ['Kc4', 'h5'], ['Na2', 'Nc5'], ['Nxb4', 'e4'], ['Nc2', 'Kd7'], ['fxe4', 'Nxe4\n'], ['Ne3', 'f4'], ['Nf5', 'Kc7'], ['Nd4', 'Nd2+'], ['Kd3', 'Nf1'], ['Ne6+', 'Kb6'], ['Nxf4', 'Ng3'], ['b4', 'Ka6\n'], ['Kc4', 'Nf5'], ['Nxh5', 'Nxh4'], ['g4', 'Nf3'], ['Nf6', 'Kb6'], ['Kd3', 'Ng5'], ['Ke3', '']]",1-0
Artek olJ,Artek,1999.09.16,6,"Mamedyarov, Shahriar","Szilagyi, Zsolt",,,A57,"[['d4', 'Nf6'], ['c4', 'c5'], ['d5', 'b5'], ['Nf3', 'b4'], ['Bg5', 'd6'], ['Nbd2', 'Nbd7'], ['e4', 'g6'], ['Be2', 'Bg7\n'], ['h3', 'O-O'], ['O-O', 'Bb7'], ['Qc2', 'Qc7'], ['Nh2', 'Nb6'], ['f4', 'e6'], ['Rae1', 'Nfd7'], ['f5', 'Rfe8\n'], ['fxe6', 'fxe6'], ['Ng4', 'Ne5'], ['Nf6+', 'Bxf6'], ['Rxf6', 'Nf7'], ['Bh4', 'Nh8'], ['dxe6', 'Qg7'], ['Ref1', 'g5\n'], ['Bg3', 'Bc8'], ['Bg4', 'h5'], ['Rf7', 'Qd4+'], ['Bf2', 'Qe5'], ['Nf3', 'Nxf7'], ['exf7+', '']]",1-0
Artek olJ,Artek,1999.09.18,7,"Obraztsov, Sergej","Mamedyarov, Shahriar",,,C45,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['d4', 'exd4'], ['Nxd4', 'Qf6'], ['Nxc6', 'Bc5'], ['Qd2', 'dxc6'], ['Bd3', 'Be6'], ['O-O', 'O-O-O\n'], ['Nc3', 'Nh6'], ['Qg5', 'Qxg5'], ['Bxg5', 'f6'], ['Bh4', 'Nf7'], ['Rad1', 'h5'], ['Na4', 'Bd4'], ['c3', 'Bb6\n'], ['Nxb6+', 'cxb6'], ['f4', 'Bxa2'], ['e5', 'Rxd3'], ['Rxd3', 'Bc4'], ['Rg3', 'Bxf1'], ['Kxf1', 'g5'], ['fxg5', 'fxg5\n'], ['Bxg5', 'Nxe5'], ['Kg1', 'Rg8'], ['h4', 'Ng4'], ['Kf1', 'Rf8+'], ['Ke1', 'b5'], ['Be3', 'b6'], ['Kd2', 'c5\n'], ['Ke2', 'Kd7'], ['Bg1', 'a5'], ['Rd3+', 'Kc6'], ['Rd1', 'a4'], ['Ra1', 'Kd5'], ['Rd1+', 'Kc4'], ['Rd6', 'Rf6\n'], ['Rd2', 'Kb3']]",0-1
Artek olJ,Artek,1999.09.19,8,"Mamedyarov, Shahriar","Moradiabadi, A.",,,E63,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['c4', 'Bg7'], ['g3', 'O-O'], ['Bg2', 'd6'], ['O-O', 'Nc6'], ['Nc3', 'a6'], ['h3', 'Rb8\n'], ['e4', 'e5'], ['d5', 'Ne7'], ['b4', 'b5'], ['Nd2', 'bxc4'], ['Ba3', 'c6'], ['Rc1', 'cxd5'], ['Nxd5', 'Nfxd5\n'], ['exd5', 'Bh6'], ['Rxc4', 'Bd7'], ['Re1', 'Bb5'], ['Rc3', 'Rc8'], ['Rxc8', 'Nxc8'], ['Bf1', 'Bxf1'], ['Nxf1', 'Qd7\n'], ['Bc1', 'Qxh3'], ['Bxh6', 'Qxh6'], ['Qe2', 'Ne7'], ['Qxa6', 'Nf5'], ['Qd3', 'Qh3'], ['b5', 'Rb8'], ['a4', 'Nd4\n'], ['Nh2', 'f5'], ['Qf1', 'Qh6'], ['f4', 'e4'], ['Qf2', 'Rc8'], ['b6', 'Qg7'], ['Rd1', 'Nb3'], ['Nf1', 'Qb7\n'], ['Rb1', 'Nc5'], ['a5', 'Qxd5'], ['Ne3', 'Qd3'], ['Rd1', 'Qb5'], ['Qa2+', 'Kg7'], ['Qa1+', 'Kh6'], ['Nxf5+', 'gxf5\n'], ['Qf6+', 'Kh5'], ['Qg5+', '']]",1-0
Artek olJ,Artek,1999.09.20,9,"Zubov, Alexander","Mamedyarov, Shahriar",,,A48,"[['d4', 'Nf6'], ['Nf3', 'g6'], ['c3', 'Bg7'], ['h3', 'O-O'], ['Bf4', 'd6'], ['e3', 'b6'], ['Bc4', 'Bb7'], ['O-O', 'Nbd7\n'], ['a4', 'a6'], ['Re1', 'c5'], ['Nbd2', 'Ne4'], ['Nxe4', 'Bxe4'], ['Ng5', 'Bb7'], ['Qb3', 'Qe8'], ['Bd5', 'Bxd5\n'], ['Qxd5', 'Nf6'], ['Qb7', 'Qd7'], ['Qxd7', 'Nxd7'], ['Ne4', 'd5'], ['Nd2', 'cxd4'], ['exd4', 'e6'], ['Ra3', 'Rfc8\n'], ['Rb3', 'Rc6'], ['Kf1', 'f6'], ['Ke2', 'e5'], ['Be3', 'Rb8'], ['h4', 'Kf7'], ['Kd3', 'Re8'], ['g3', 'exd4\n'], ['cxd4', 'Rec8'], ['Rc3', 'Bf8'], ['Rec1', 'Nb8'], ['Bf4', 'Bb4'], ['Rxc6', 'Rxc6'], ['Nb3', 'Rxc1'], ['Nxc1', 'Nc6\n'], ['Bc7', 'b5'], ['axb5', 'axb5'], ['Ne2', 'Be1'], ['Ke3', 'Ba5'], ['Bxa5', 'Nxa5'], ['Kd3', 'Ke6'], ['g4', 'Nc6\n'], ['Nc3', 'b4'], ['Ne2', 'Na5'], ['Nf4+', 'Kd6'], ['h5', 'g5'], ['Ng2', 'Nc4'], ['Kc2', 'Ke6'], ['f4', 'f5\n'], ['fxg5', 'fxg4'], ['Nf4+', 'Kf5'], ['g6', 'hxg6'], ['hxg6', 'Kf6'], ['Nxd5+', 'Kxg6'], ['Kb3', 'Nd2+\n'], ['Kxb4', 'Kf5'], ['Kc3', 'Nf1'], ['Kd3', 'g3'], ['Nc3', 'Nh2'], ['b4', 'g2'], ['Ne2', 'Nf3'], ['b5', 'Ke6\n'], ['Nf4+', 'Kd7'], ['Nxg2', 'Kc7'], ['Ke4', 'Ng5+']]",1/2-1/2
