Sopron,Sopron,1934.??.??,?,"Szabo, Laszlo","Gereben, Erno",,,A95,"[['Nf3', 'e6'], ['c4', 'f5'], ['g3', 'Nf6'], ['Bg2', 'Be7'], ['O-O', 'O-O'], ['d4', 'd5'], ['Nc3', 'c6'], ['b3', 'Ne4'], ['Nxe4', 'fxe4\n'], ['Ne5', 'Nd7'], ['Nxd7', 'Bxd7'], ['f3', 'exf3'], ['Bxf3', 'Bf6'], ['Bb2', 'Be8'], ['e4', 'Bg6'], ['Re1', 'dxc4\n'], ['e5', 'Bg5'], ['bxc4', 'Qa5'], ['Be4', 'Bxe4'], ['Rxe4', 'Rf5'], ['Bc1', 'Bxc1'], ['Qxc1', 'Raf8'], ['Rf4', 'Qd8\n'], ['Qe3', 'Rxf4'], ['gxf4', 'Qh4'], ['Rf1', 'Qg4+'], ['Qg3', 'Qe2'], ['d5', 'Qxc4'], ['d6', 'Qd4+'], ['Kg2', 'Qd5+\n'], ['Kg1', 'Qxa2'], ['Rd1', 'Qe2'], ['Rd3', 'Rxf4'], ['Qxf4', 'Qxd3'], ['Qg5', 'Qd1+'], ['Kf2', 'Qd4+']]",1/2-1/2
Ljubljana,Ljubljana,1938.??.??,7,"Szabo, Laszlo","Foltys, Jan",,,C11,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['Bg5', 'dxe4'], ['Nxe4', 'Nbd7'], ['Nf3', 'Be7'], ['Nxf6+', 'Bxf6'], ['Qd2', 'b6\n'], ['Bb5', 'Bxg5'], ['Qxg5', 'Qxg5'], ['Nxg5', 'Ke7'], ['O-O-O', 'h6'], ['Bc6', 'Rb8'], ['Nh3', 'Bb7'], ['Bxb7', 'Rxb7\n'], ['d5', 'e5'], ['Rhe1', 'Rbb8'], ['Re3', 'a5'], ['f4', 'Kd6'], ['Rc3', 'Nc5'], ['fxe5+', 'Kxe5'], ['Rf3', 'Rhf8\n'], ['d6', 'cxd6'], ['Nf4', 'g5'], ['Re1+', 'Kd4'], ['Ne2+', 'Kd5'], ['Rf6', 'Ne6'], ['Ng3', 'Kc6'], ['Nf5', 'h5\n'], ['Nh6', 'Nc5'], ['Nxf7', 'Rbe8'], ['Ref1', 'Kc7'], ['Nxd6', '']]",1-0
Ljubljana,Ljubljana,1938.??.??,8,"Tartakower, Saviely","Szabo, Laszlo",,,C31,"[['e4', 'e5'], ['f4', 'd5'], ['d4', 'exf4'], ['exd5', 'Qh4+'], ['Kd2', 'Ne7'], ['Nc3', 'Bg4'], ['Nf3', 'Qh5'], ['h3', 'Bxf3\n'], ['Qxf3', 'Qxf3'], ['gxf3', 'Nf5'], ['Nb5', 'Kd8'], ['Bd3', 'Ng3'], ['Rg1', 'c5'], ['Kd1', 'g5'], ['d6', 'Nd7\n'], ['Bd2', 'cxd4'], ['Ba5+', 'b6'], ['Be1', 'a6'], ['Nxd4', 'Bxd6'], ['Bxg3', 'fxg3'], ['Nf5', 'Be5'], ['c3', 'Nc5\n'], ['Kc2', 'Kc7'], ['Rad1', 'h5'], ['Nxg3', 'g4'], ['f4', 'Bxf4'], ['Rdf1', 'Nxd3'], ['Kxd3', 'Rad8+'], ['Ke4', 'Bd6\n'], ['Rxf7+', 'Kc6'], ['hxg4', 'Rde8+'], ['Kd3', 'Bc5'], ['Rg2', 'Re3+'], ['Kc2', 'h4'], ['Nf5', 'Re4'], ['Rf6+', 'Kd5\n'], ['g5', 'Bf8'], ['Rd2+', 'Ke5'], ['Nd4', 'Rxd4'], ['cxd4+', 'Ke4'], ['Kc3', 'Ke3'], ['Rd1', 'Ke2'], ['Rff1', '']]",1-0
Ljubljana,Ljubljana,1938.??.??,9,"Szabo, Laszlo","Preinfalk, Anton",,,C86,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['Qe2', 'Be7'], ['O-O', 'b5'], ['Bb3', 'O-O'], ['c3', 'd5\n'], ['exd5', 'Nxd5'], ['Nxe5', 'Nf4'], ['Qe4', 'Nxe5'], ['Qxf4', 'Bd6'], ['Qe4', 'Rb8'], ['d4', 'Ng6'], ['Nd2', 'Qf6\n'], ['Qf3', 'Qh4'], ['h3', 'Rb6'], ['Ne4', 'Bb7'], ['Re1', 'Kh8'], ['d5', 'Ne5'], ['Qd1', 'Be7'], ['Ng3', 'Bc5\n'], ['Be3', 'Bxe3'], ['Rxe3', 'Nc4'], ['Re4', 'Qd8'], ['Rd4', 'Rd6'], ['Bxc4', 'bxc4'], ['Rxc4', 'Rxd5'], ['Rd4', 'Qa8\n'], ['Rxd5', 'Bxd5'], ['Nh5', 'f6'], ['Qg4', 'g6'], ['Nf4', 'Bf7'], ['Ne6', 'Bxe6'], ['Qxe6', 'Kg7'], ['Rd1', 'Rf7\n'], ['Rd7', 'Rxd7'], ['Qxd7+', 'Kh6'], ['Qxc7', 'Qe4'], ['Kh2', 'Qb1'], ['Qf4+', 'Kg7'], ['Qc7+', 'Kh6'], ['Qf7', 'Qf5\n'], ['Qa7', 'g5'], ['Qd4', 'Kg7'], ['c4', 'a5'], ['c5', 'Qc2'], ['b3', 'h5'], ['Qd6', 'Qxf2'], ['c6', 'f5'], ['c7', 'f4\n'], ['Qe7+', 'Kg6'], ['c8=Q', '']]",1-0
Ljubljana,Ljubljana,1938.??.??,10,"Vidmar, Milan Sr","Szabo, Laszlo",,,D93,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['Bf4', 'Bg7'], ['e3', 'O-O'], ['Nf3', 'c5'], ['cxd5', 'Nxd5'], ['Be5', 'Nc6\n'], ['Bxg7', 'Kxg7'], ['Qd2', 'cxd4'], ['Nxd4', 'Nxc3'], ['Qxc3', 'Nxd4'], ['Rd1', 'e5'], ['exd4', 'Bg4'], ['f3', 'Rc8\n'], ['Qe3', 'exd4'], ['Qxd4+', 'Qxd4'], ['Rxd4', 'Be6'], ['b3', 'Bf5'], ['Bc4', '']]",1/2-1/2
Ljubljana,Ljubljana,1938.??.??,11,"Szabo, Laszlo","Kostic, Boris",,,C55,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['d4', 'exd4'], ['Bc4', 'Nc6'], ['Ng5', 'd5'], ['exd5', 'Qe7+'], ['Kf1', 'Ne5'], ['Qxd4', 'h6\n'], ['Ne4', 'Nxc4'], ['Nxf6+', 'Qxf6'], ['Qxc4', 'Bd6'], ['Qe2+', 'Kf8'], ['Nc3', 'Bf5'], ['Be3', 'Qg6'], ['Rc1', 'a6\n'], ['Qd2', 'Kg8'], ['Ne2', 'Re8'], ['Ng3', 'Bd7'], ['c4', 'h5'], ['Qc2', 'Qxc2'], ['Rxc2', 'h4'], ['Ne2', 'h3\n'], ['g3', 'Bf5'], ['Rc1', 'b6'], ['Ke1', 'Be4'], ['Rg1', 'Bb4+'], ['Nc3', 'Bd3'], ['a3', 'Bc5'], ['Nd1', 'Re4\n'], ['Kd2', 'Bxc4'], ['Bxc5', 'bxc5'], ['Ne3', 'Rd4+'], ['Kc3', 'Bb5'], ['Rgd1', 'Rxd1'], ['Rxd1', 'Rh6\n'], ['b3', 'Rf6'], ['Rd2', 'a5'], ['a4', 'Ba6'], ['f4', 'Kf8'], ['Ng4', 'Rb6'], ['Ne5', 'Ke7'], ['Nc6+', 'Kd6\n'], ['Nxa5', 'Rb4'], ['Nc6', 'Re4'], ['Ne5', 'f6'], ['Ng4', 'Be2'], ['Nf2', 'Re3+'], ['Kc2', 'c4'], ['bxc4', 'Bxc4\n'], ['Nxh3', 'Bb3+'], ['Kb2', 'Bxa4'], ['Nf2', 'Bb3'], ['Nd1', 'Bxd1'], ['Rxd1', 'Re2+'], ['Kc3', 'Rxh2\n'], ['Kd4', 'Rg2'], ['Rd3', 'Re2'], ['Rd1', 'f5'], ['Ra1', 'Re4+'], ['Kd3', 'Kxd5'], ['Ra5+', 'c5'], ['Ra7', 'g5\n'], ['fxg5', 'Rg4'], ['Rd7+', 'Kc6'], ['Rg7', 'Rxg3+'], ['Kc4', 'Rg4+'], ['Kd3', 'Kd5'], ['Rd7+', 'Ke5'], ['Rc7', 'Kd6\n'], ['Rg7', 'c4+'], ['Ke2', 'c3'], ['g6', 'c2'], ['Kd2', 'Rc4'], ['Kc1', 'Ke6'], ['Ra7', 'Rc8'], ['g7', 'Kf6\n'], ['Rc7', 'Rg8'], ['Kxc2', 'Rxg7'], ['Rxg7', 'Kxg7'], ['Kd3', 'Kf6']]",1/2-1/2
Ljubljana,Ljubljana,1938.??.??,12,"Steiner, Lajos","Szabo, Laszlo",,,C90,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'b5'], ['Bb3', 'Be7'], ['Re1', 'd6'], ['c3', 'Na5\n'], ['Bc2', 'c5'], ['d4', 'Qc7'], ['h3', 'Bd7'], ['Nbd2', 'Rc8'], ['Bd3', 'O-O'], ['Nf1', 'Rfe8'], ['Bg5', 'h6\n'], ['Be3', 'Bf8'], ['Ng3', 'Rb8'], ['Nd2', 'Nc6'], ['d5', 'Ne7'], ['c4', 'Ng6'], ['Ne2', 'Nh5'], ['Kh2', 'Nhf4\n'], ['Qc2', 'Qd8'], ['Ng1', 'Nxd3'], ['Qxd3', 'Qc8'], ['b3', 'f5'], ['exf5', 'Bxf5'], ['Ne4', 'Qd8'], ['Ne2', 'Nh4\n'], ['N2g3', 'Bh7'], ['Qe2', 'Nf5'], ['Nxf5', 'Bxf5'], ['Ng3', 'Bh7'], ['f3', 'Qh4'], ['Bf2', 'Qf4'], ['Be3', 'Qh4\n'], ['Bf2', 'Qf4'], ['Be3', 'Qh4']]",1/2-1/2
Ljubljana,Ljubljana,1938.??.??,13,"Szabo, Laszlo","Trifunovic, Petar",,,B15,"[['e4', 'c6'], ['d4', 'd5'], ['Nc3', 'dxe4'], ['Nxe4', 'Nf6'], ['Nxf6+', 'exf6'], ['c3', 'Bd6'], ['Bd3', 'O-O'], ['Qc2', 'g6\n'], ['Ne2', 'Qc7'], ['Bh6', 'Re8'], ['O-O-O', 'Be6'], ['Kb1', 'Nd7'], ['h4', 'f5'], ['h5', 'Nf6'], ['hxg6', 'fxg6\n'], ['f3', 'Qf7'], ['c4', 'Rac8'], ['Nf4', 'Bxf4'], ['Bxf4', 'b5'], ['b3', 'a5'], ['a4', 'Re7'], ['Ka1', 'Rb7\n'], ['Rb1', 'Qf8'], ['Ka2', 'Rd8'], ['Qe2', 'Re8'], ['Be5', 'bxc4'], ['bxc4', 'Rb4'], ['Rxb4', 'axb4'], ['Kb2', 'Nd7\n'], ['f4', 'Nxe5'], ['fxe5', 'Qg7'], ['Bc2', 'c5'], ['dxc5', 'Qc7'], ['Re1', 'Qxc5'], ['Bb3', 'Qd4+'], ['Ka2', 'Rc8\n'], ['Qe3', 'Qxe3'], ['Rxe3', 'Kf7'], ['Kb2', 'Bxc4'], ['Bxc4+', 'Rxc4'], ['Kb3', 'Rc7'], ['Kxb4', 'Ke6\n'], ['a5', 'f4'], ['Re2', 'g5'], ['a6', 'g4'], ['Kb5', 'f3'], ['gxf3', 'gxf3'], ['Rf2', 'Rf7'], ['Kb6', 'Kxe5\n'], ['a7', 'Rxa7'], ['Kxa7', 'Kf4']]",1/2-1/2
Ljubljana,Ljubljana,1938.??.??,14,"Broeder, M.","Szabo, Laszlo",,,D95,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['e3', 'Bg7'], ['Qb3', 'e6'], ['Nf3', 'O-O'], ['Bd2', 'b6'], ['Rc1', 'Bb7\n'], ['Be2', 'Nbd7'], ['O-O', 'c5'], ['Rfd1', 'Qe7'], ['cxd5', 'exd5'], ['dxc5', 'Nxc5'], ['Qa3', 'Nfe4'], ['Be1', 'Rfd8\n'], ['Nxe4', 'dxe4'], ['Nd4', 'Qg5'], ['Bb4', 'Bf8'], ['Bxc5', 'Bxc5'], ['Qa4', 'Qf6'], ['Rc2', 'Bxd4'], ['Rxd4', 'Rxd4\n'], ['Qxd4', 'Qxd4'], ['exd4', 'Rc8'], ['Rxc8+', 'Bxc8'], ['Bc4', 'Kf8'], ['Kf1', 'f5'], ['Ke2', 'f4'], ['h4', 'h6\n'], ['g3', 'g5'], ['hxg5', 'hxg5'], ['gxf4', 'gxf4'], ['Kd2', 'Ke7'], ['Bd5', 'Bf5'], ['Kc3', 'Kd6'], ['Bb7', 'Bg6\n'], ['Ba8', '']]",1/2-1/2
Ljubljana,Ljubljana,1938.??.??,15,"Szabo, Laszlo","Furlani, Ljudmil",,,C90,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'Na5\n'], ['Bc2', 'c5'], ['d4', 'Qc7'], ['h3', 'Bd7'], ['Nbd2', 'Rc8'], ['Bd3', 'cxd4'], ['cxd4', 'Nc6'], ['Nf1', 'O-O\n'], ['Be3', 'Rfe8'], ['Rc1', 'Qb7'], ['Bb1', 'Bf8'], ['Bg5', 'Be7'], ['Qd3', 'Nh5'], ['Bd2', 'g6'], ['a3', 'Bf6\n'], ['Ne3', 'Nf4'], ['Qb3', 'Nxd4'], ['Nxd4', 'exd4'], ['Rxc8', 'Bxc8'], ['Ng4', 'Bxg4'], ['Bxf4', 'Be6\n'], ['Qg3', 'd5'], ['e5', 'Bg7'], ['Bd2', 'Qd7'], ['Qf4', 'Bf5'], ['Bxf5', 'Qxf5'], ['Qxf5', 'gxf5'], ['f4', 'Rc8\n'], ['Rc1', 'Rxc1+'], ['Bxc1', 'f6'], ['exf6', 'Bxf6'], ['Kf2', 'h5'], ['Ke2', 'Kf7'], ['Kd3', 'Ke6'], ['b3', 'Kd6\n'], ['Bb2', 'Ke6'], ['Bxd4', 'Be7'], ['Bb2', 'Bd6'], ['Bc1', 'Bc7'], ['Be3', 'Bd6'], ['b4', 'Bc7'], ['g3', 'Bd8\n'], ['Bd4', 'Bc7'], ['Ke3', 'Bd8'], ['Kf3', 'Be7'], ['g4', 'hxg4+'], ['hxg4', 'fxg4+'], ['Kxg4', 'Bd8'], ['Bc3', 'Be7\n'], ['f5+', 'Kf7'], ['Kf4', 'Bf6'], ['Be5', 'Ke7'], ['Bxf6+', 'Kxf6'], ['Kg4', 'd4'], ['Kf4', 'd3'], ['Ke3', '']]",1/2-1/2
Amsterdam KNSB,Amsterdam,1939.??.??,1,"Szabo, Laszlo","Euwe, Max",,,C83,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Nxe4'], ['d4', 'b5'], ['Bb3', 'd5'], ['dxe5', 'Be6\n'], ['c3', 'Be7'], ['Qe2', 'Nc5'], ['Bc2', 'd4'], ['Rd1', 'Bc4'], ['Qe1', 'd3'], ['Na3', 'Qc8'], ['Bb1', 'Qf5\n'], ['Nd4', 'Nxd4'], ['cxd4', 'Ne6'], ['Nxc4', 'bxc4'], ['Qc3', 'Rd8'], ['Qxc4', 'Nxd4'], ['Bxd3', 'Qxe5\n'], ['Be3', 'c5'], ['Qa4+', 'Kf8'], ['Bxd4', 'Rxd4'], ['Qxa6', 'g6'], ['Bc4', 'Kg7'], ['Rxd4', 'Qxd4'], ['Qb7', 'Qxc4\n'], ['Qxe7', 'Qd4'], ['Rb1', 'Rb8'], ['Qe3', 'Qxe3'], ['fxe3', 'c4'], ['Kf2', 'c3'], ['b3', 'Rd8'], ['Rc1', 'Rd2+\n'], ['Kf3', 'Rxa2'], ['Rxc3', 'Rb2'], ['h3', 'h5'], ['h4', 'Kf6'], ['g3', 'Ke5'], ['Rc5+', '']]",1/2-1/2
Amsterdam VARA,Amsterdam,1939.??.??,1,"Euwe, Max","Szabo, Laszlo",,,D45,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Nc3', 'e6'], ['e3', 'Be7'], ['Bd3', 'O-O'], ['O-O', 'dxc4'], ['Bxc4', 'b5\n'], ['Bd3', 'b4'], ['Na4', 'Ba6'], ['Ne5', 'Bxd3'], ['Nxd3', 'Nbd7'], ['Bd2', 'a5'], ['Rc1', 'Rc8'], ['f3', 'Nb6\n'], ['Ne5', 'c5'], ['Nxc5', 'Bxc5'], ['dxc5', 'Qd5'], ['cxb6', 'Qxe5'], ['Rxc8', 'Rxc8'], ['b7', 'Rd8'], ['e4', 'Qd4+\n'], ['Kh1', 'Qd7'], ['Qc2', 'Qxb7'], ['Rc1', 'h6'], ['Be3', 'Qb5'], ['Kg1', 'Rd3'], ['Kf2', 'b3'], ['a4', 'bxc2\n'], ['axb5', 'Rb3'], ['Rxc2', 'Rxb5'], ['Rc8+', 'Kh7'], ['Bd4', 'Nd7'], ['Rc7', 'Ne5'], ['Ke2', 'Kg6'], ['f4', 'Ng4\n'], ['Bc3', 'Nxh2'], ['Ra7', 'Ng4'], ['Rxa5', 'Rxa5'], ['Bxa5', 'f5'], ['b4', 'Nf6'], ['b5', 'Nxe4'], ['Bb4', 'Nf6\n'], ['b6', 'Nd7'], ['b7', 'Kh5'], ['Bd6', 'Kg4'], ['Kd3', 'Kh5'], ['Kc4', 'Kg6'], ['Kb5', 'Kf7'], ['Kc6', 'Ke8\n'], ['Bf8', 'g5'], ['Bxh6', 'gxf4'], ['Bxf4', 'e5'], ['Bg5', 'Nb8+'], ['Kd6', 'e4'], ['Ke6', 'Na6'], ['Kxf5', 'Kd7\n'], ['Bf4', 'e3'], ['b8=Q', '']]",1-0
Amsterdam VARA,Amsterdam,1939.??.??,2,"Szabo, Laszlo","Landau, Salo",,,D55,"[['Nf3', 'd5'], ['d4', 'Nf6'], ['c4', 'e6'], ['Bg5', 'Be7'], ['Nc3', 'O-O'], ['e3', 'Ne4'], ['Bxe7', 'Qxe7'], ['Qc2', 'Nxc3\n'], ['Qxc3', 'c6'], ['Bd3', 'dxc4'], ['Bxc4', 'b6'], ['O-O', 'Bb7'], ['Be2', 'Nd7'], ['Rac1', 'c5'], ['Rfd1', 'Rfd8\n'], ['Qa3', 'Kf8'], ['h3', 'Bd5'], ['Bb5', 'cxd4'], ['Qxe7+', 'Kxe7'], ['Nxd4', 'Rac8'], ['Nf5+', 'exf5\n'], ['Rxc8', 'Rxc8'], ['Rxd5', 'Nf6'], ['Re5+', 'Kd6'], ['Rxf5', 'Rc2'], ['g4', 'h6'], ['Kg2', 'Ke7'], ['Kf3', 'Rxb2\n'], ['Bc4', 'a5'], ['Re5+', 'Kd6'], ['Rf5', 'Ke7'], ['Re5+', 'Kd6'], ['Rf5', 'Ke7']]",1/2-1/2
Amsterdam KNSB,Amsterdam,1939.??.??,2,"Landau, Salo","Szabo, Laszlo",,,E56,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['e3', 'O-O'], ['Bd3', 'd5'], ['Nf3', 'c5'], ['O-O', 'Nc6'], ['cxd5', 'exd5\n'], ['dxc5', 'Bxc5'], ['a3', 'Bg4'], ['Be2', 'a5'], ['Qa4', 'd4'], ['Rd1', 'Bxf3'], ['Bxf3', 'Qb6'], ['Bxc6', 'dxc3\n'], ['Bb5', 'Rad8'], ['Rxd8', 'Rxd8'], ['bxc3', 'Nd5'], ['Bf1', 'Be7'], ['Qc2', 'Nxc3'], ['Bd2', 'Rc8'], ['Bxc3', 'Qc6']]",1/2-1/2
Amsterdam VARA,Amsterdam,1939.??.??,3,"Cortlever, Nicolaas","Szabo, Laszlo",,,B83,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Be2', 'e6'], ['O-O', 'Be7'], ['Kh1', 'O-O\n'], ['f4', 'Qc7'], ['Nb3', 'Rd8'], ['Bf3', 'Na5'], ['Nxa5', 'Qxa5'], ['Qe1', 'Qc7'], ['Be3', 'Bd7'], ['Qf2', 'Qa5\n'], ['e5', 'Ne8'], ['Bd4', 'Bc6'], ['Bxc6', 'bxc6'], ['Ne4', 'Qd5'], ['Nc3', 'Qc4'], ['b3', 'Qb4'], ['a3', 'Qb7\n'], ['f5', 'exf5'], ['Qxf5', 'f6'], ['Ne4', 'dxe5'], ['Ng5', 'g6'], ['Qe6+', 'Kh8'], ['Nf7+', 'Kg7'], ['Be3', 'h5\n'], ['Nxd8', 'Rxd8'], ['Rad1', 'Nd6'], ['Bc5', 'Qd7'], ['Rxd6', 'Bxd6'], ['Qxf6+', 'Kh7'], ['Rd1', 'Qg4\n'], ['Rxd6', 'Rxd6'], ['Qxd6', 'Qe2'], ['Qe7+', 'Kh6'], ['Qf8+', 'Kg5'], ['h3', '']]",1-0
Amsterdam KNSB,Amsterdam,1939.??.??,3,"Szabo, Laszlo","Cortlever, Nicolaas",,,C83,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Nxe4'], ['d4', 'b5'], ['Bb3', 'd5'], ['dxe5', 'Be6\n'], ['c3', 'Be7'], ['Nbd2', 'O-O'], ['Qe2', 'Nc5'], ['Nd4', 'Nxb3'], ['N2xb3', 'Qd7'], ['Nxc6', 'Qxc6'], ['Be3', 'Rfd8\n'], ['Rfd1', 'Bf5'], ['f3', 'Qg6'], ['Bc5', 'Bxc5+'], ['Nxc5', 'a5'], ['Qxb5', 'Rdb8'], ['Qe2', 'Qb6'], ['Qf2', 'Qxb2\n'], ['Qxb2', 'Rxb2'], ['Rxd5', 'Rc2'], ['Nb3', 'Be6'], ['Rxa5', 'Rd8'], ['Rc5', 'Bxb3'], ['axb3', 'h6'], ['Kh1', 'Rdd2\n'], ['Rg1', 'Rd7'], ['h3', 'Kh7'], ['Kh2', 'g5'], ['b4', 'Kg6'], ['Rc6+', 'Kg7'], ['h4', 'Re2'], ['hxg5', 'hxg5\n'], ['Rc5', 'Kg6'], ['Kg3', 'Re7'], ['Ra1', 'R2xe5'], ['Ra6+', 'Kf5'], ['Rxe5+', 'Kxe5'], ['Ra5+', 'Kf6\n'], ['Kg4', 'Re2'], ['g3', '']]",1-0
Amsterdam VARA,Amsterdam,1939.??.??,4,"Szabo, Laszlo","Flohr, Salo",,,E72,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['g3', 'e5'], ['dxe5', 'dxe5'], ['Qxd8+', 'Kxd8'], ['Nf3', 'Nbd7\n'], ['b3', 'c6'], ['Ba3', 'Bf8'], ['Bxf8', 'Rxf8'], ['O-O-O', 'Kc7'], ['Bg2', 'Re8'], ['Ne1', 'Nc5'], ['Nd3', 'Nxd3+\n'], ['Rxd3', 'Be6'], ['Na4', 'Rad8'], ['Nc5', 'Rxd3'], ['Nxd3', 'Nd7'], ['f4', 'exf4'], ['gxf4', 'Nf6'], ['Kd2', 'Rd8\n'], ['Kc3', 'Ng4'], ['Bf3', 'Nf6'], ['Rg1', 'Nd7'], ['Rg5', 'f5'], ['h4', 'fxe4'], ['Bxe4', 'Nf6'], ['Re5', 'Re8\n'], ['Nc5', 'Bc8'], ['Rxe8', 'Nxe8'], ['Kd4', 'Nf6'], ['b4', 'b6'], ['Nb3', 'Nxe4'], ['Kxe4', 'Be6'], ['c5', 'bxc5\n'], ['bxc5', 'Bxb3'], ['axb3', 'Kd7'], ['Ke5', 'Ke7'], ['b4', 'a6'], ['f5', 'gxf5'], ['Kxf5', 'Kf7']]",1/2-1/2
Amsterdam KNSB,Amsterdam,1939.??.??,4,"Flohr, Salo","Szabo, Laszlo",,,D16,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Nc3', 'dxc4'], ['a4', 'Bg4'], ['Ne5', 'Bh5'], ['Nxc4', 'e6'], ['Qb3', 'Na6\n'], ['e3', 'Nb4'], ['Na2', 'a5'], ['Nxb4', 'Bxb4+'], ['Bd2', 'Nd5'], ['Bxb4', 'Nxb4'], ['Ne5', 'O-O'], ['Nd3', 'Nxd3+\n'], ['Bxd3', 'e5'], ['dxe5', 'Qg5'], ['Be4', 'Qxe5'], ['f3', 'Rad8'], ['O-O', 'Rd2'], ['Rf2', 'Rxf2'], ['Kxf2', 'Qxh2\n'], ['Qxb7', 'f5'], ['Bxc6', 'Rb8'], ['Rh1', 'Qd6'], ['Rd1', 'Qh2'], ['Rh1', 'Qd6'], ['Rd1', '']]",1/2-1/2
Amsterdam KNSB,Amsterdam,1939.??.??,5,"Szabo, Laszlo","Fontein, J.",,,B53,"[['Nf3', 'c5'], ['e4', 'd6'], ['d4', 'Nf6'], ['Nc3', 'cxd4'], ['Qxd4', 'Nc6'], ['Bb5', 'Bd7'], ['Bxc6', 'Bxc6'], ['Bg5', 'Qb6\n'], ['Qxb6', 'axb6'], ['Bxf6', 'gxf6'], ['Nd4', 'Rg8'], ['O-O', 'e6'], ['Rfd1', 'f5'], ['Nxc6', 'bxc6'], ['exf5', 'exf5\n'], ['Rd3', 'Rg6'], ['Ne2', 'Re6'], ['Kf1', 'Rh6'], ['h3', 'Kd7'], ['Rb3', 'b5'], ['Rf3', 'Bg7'], ['c3', 'Be5\n'], ['Rxf5', 'Ke6'], ['Rf3', 'Rh4'], ['Re3', 'Kd7'], ['Rd1', 'Kc7'], ['a3', 'f5'], ['f4', 'Bxf4'], ['Re7+', 'Kb6\n'], ['g3', 'Rxh3'], ['Kg2', 'Bg5'], ['Rg7', 'Rh5'], ['Rxd6', 'Kc5'], ['Re6', 'Kc4'], ['Rxc6+', 'Kb3'], ['Rc5', 'Bf6\n'], ['Rxb5+', 'Kc2'], ['Rf7', 'Re8'], ['Nf4', 'Rh6'], ['Rxf5', 'Re1'], ['R7xf6', 'Rhh1'], ['Nh3', '']]",1-0
Amsterdam VARA,Amsterdam,1939.??.??,5,"Fontein, J.","Szabo, Laszlo",,,A47,"[['d4', 'Nf6'], ['Nf3', 'b6'], ['g3', 'Bb7'], ['Bg2', 'c5'], ['c3', 'e6'], ['O-O', 'Be7'], ['Bg5', 'h6'], ['Bxf6', 'Bxf6\n'], ['Nbd2', 'd5'], ['Re1', 'cxd4'], ['cxd4', 'Nc6'], ['Rc1', 'O-O'], ['Qa4', 'Qe8'], ['Qa3', 'Nxd4'], ['Nxd4', 'Bxd4\n'], ['e4', 'Qd7'], ['Rcd1', 'Rfd8'], ['Nf3', 'Bc5'], ['b4', 'Bf8'], ['exd5', 'Bxd5'], ['Ne5', 'Qb7'], ['Bxd5', 'Rxd5\n'], ['Rxd5', 'Qxd5'], ['Qc3', 'Bd6'], ['Nc6', 'a5'], ['bxa5', 'bxa5'], ['Qc2', 'a4'], ['Re5', 'Qf3'], ['Re3', 'Qh5\n'], ['Rd3', 'Qf5'], ['Qd1', 'Bc5'], ['Rd4', 'e5'], ['g4', 'Qe6'], ['Nd8', 'Qxa2'], ['Rd2', 'Qb3']]",0-1
