URS-chT,Riga,1975.??.??,?,"Velibekov, A.","Lputian, Smbat G",,,C06,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'Nf6'], ['e5', 'Nfd7'], ['Bd3', 'c5'], ['c3', 'Nc6'], ['Ne2', 'cxd4'], ['cxd4', 'f6\n'], ['exf6', 'Qxf6'], ['Nf3', 'Bd6'], ['O-O', 'O-O'], ['Bg5', 'Qf7'], ['Bh4', 'h6'], ['Bg3', 'Bxg3'], ['hxg3', 'e5\n'], ['dxe5', 'Ndxe5'], ['Nxe5', 'Nxe5'], ['Bc2', 'b6'], ['Nf4', 'Bb7'], ['Re1', 'Rae8'], ['f3', 'g5'], ['Rxe5', 'Rxe5\n'], ['Ng6', 'Rfe8'], ['Nxe5', 'Rxe5'], ['Qd3', 'Bc8'], ['g4', 'Bb7'], ['a4', 'Qe7'], ['Qg6+', 'Qg7'], ['Qd6', 'Qe7\n'], ['Qg6+', 'Qg7'], ['Qd3', 'Qc7'], ['Kf2', 'Ba6'], ['Qxa6', 'Qc5+'], ['Kg3', 'Qxc2'], ['Qxa7', 'Re2'], ['Qb8+', 'Kg7\n'], ['Kh3', 'Qxb2'], ['Qc7+', 'Kg6'], ['Rc1', 'Qf6'], ['Qc8', 'Kh7'], ['Rc6', 'Qf7'], ['Qd8', 'Re8'], ['Qd6', 'Kh8\n'], ['Rxb6', 'h5'], ['Qh6+', 'Qh7'], ['gxh5', 'Qxh6'], ['Rxh6+', 'Kg7'], ['Rd6', 'Ra8'], ['Rxd5', 'Kh6'], ['a5', 'Rf8\n'], ['Rd6+', '']]",1-0
Yerevan,Yerevan,1977.??.??,7,"Tseshkovsky, Vitaly","Lputian, Smbat G",,,C05,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'Nf6'], ['e5', 'Nfd7'], ['f4', 'c5'], ['c3', 'Nc6'], ['Ndf3', 'Qa5'], ['Be3', 'b5\n'], ['a3', 'Qb6'], ['Bd3', 'a5'], ['Ne2', 'Ba6'], ['O-O', 'b4'], ['axb4', 'axb4'], ['f5', 'c4'], ['fxe6', 'fxe6\n'], ['Bb1', 'Be7'], ['Nf4', 'Nf8'], ['Ng5', 'Kd7'], ['Ngxe6', 'Nxe6'], ['Bf5', '']]",1-0
Yerevan,Yerevan,1977.??.??,8,"Lputian, Smbat G","Averkin, Orest N",,,D94,"[['d4', 'Nf6'], ['c4', 'c5'], ['e3', 'g6'], ['Nc3', 'Bg7'], ['Nf3', 'O-O'], ['Be2', 'cxd4'], ['exd4', 'd5'], ['O-O', 'Nc6\n'], ['Re1', 'Be6'], ['Bf1', 'Bg4'], ['cxd5', 'Nxd5'], ['Be2', 'e6'], ['h3', 'Bxf3'], ['Bxf3', 'Bxd4'], ['Nxd5', 'exd5\n'], ['Qb3', 'Qf6'], ['Qxd5', 'Rfe8'], ['Bg5', 'Qf5'], ['Qxf5', 'gxf5'], ['Rxe8+', 'Rxe8'], ['Rd1', 'Bxb2\n'], ['Rb1', 'Ba3'], ['Rxb7', 'Re1+'], ['Kh2', 'Bd6+'], ['g3', 'Ne5'], ['Bd5', 'Rd1'], ['Bb3', '']]",1-0
Yerevan,Yerevan,1977.??.??,9,"Popov, N.","Lputian, Smbat G",,,E09,"[['d4', 'e6'], ['Nf3', 'd5'], ['c4', 'Nf6'], ['g3', 'Be7'], ['Bg2', 'O-O'], ['O-O', 'c6'], ['Qc2', 'b6'], ['b3', 'Nbd7\n'], ['Bb2', 'Ba6'], ['Nbd2', 'Rc8'], ['e4', 'c5'], ['dxc5', 'dxc4'], ['Nxc4', 'b5'], ['Ne3', 'Bxc5'], ['Qd3', 'Nb6\n'], ['Qe2', 'Nxe4'], ['a4', 'Nd5'], ['Nxd5', 'Qxd5'], ['Rad1', 'Qxb3'], ['Qxe4', 'Qxb2'], ['Ng5', 'g6'], ['Rb1', 'Qd4\n'], ['Qh4', 'h5'], ['Ne4', 'Qd3'], ['Nf6+', 'Kg7'], ['Nxh5+', 'gxh5'], ['Qg5+', 'Kh7'], ['Qxh5+', 'Kg7'], ['Qg5+', 'Kh7\n'], ['Rbe1', 'Qc3'], ['Qh4+', 'Kg7'], ['Qg5+', 'Kh7'], ['Qh5+', 'Kg8'], ['Re4', 'Rfd8'], ['Rfe1', 'Kf8'], ['Qh6+', '']]",0-1
Yerevan,Yerevan,1977.??.??,10,"Lputian, Smbat G","Akopian, Gagnik E",,,A93,"[['d4', 'e6'], ['Nf3', 'f5'], ['g3', 'Nf6'], ['Bg2', 'Be7'], ['O-O', 'O-O'], ['c4', 'd5'], ['b3', 'c6'], ['Qc2', 'Qe8'], ['Nc3', 'Nbd7\n'], ['cxd5', 'Nxd5'], ['Ne5', 'Bd6'], ['Nxc6', 'bxc6'], ['Nxd5', 'cxd5'], ['Qc6', 'Nb6'], ['Qxd6', 'Ba6\n'], ['Ba3', 'Rf7'], ['Rac1', 'Rd8'], ['Qe5', 'Nd7'], ['Qf4', 'Nf6'], ['Rc2', 'h6'], ['h4', 'Ne4'], ['Rfc1', 'Rfd7\n'], ['Qe5', 'Bb7'], ['Rc7', 'Kh7'], ['f3', 'Nf6'], ['Bf1', 'Rxc7'], ['Rxc7', 'Rd7'], ['e3', 'Qf7'], ['Rxd7', 'Qxd7\n'], ['Qd6', 'Qc8'], ['Bc5', 'a6'], ['a4', 'Bc6'], ['Bd3', 'Kg8'], ['b4', 'Bxa4'], ['Qxa6', 'Qxa6'], ['Bxa6', 'Ne8\n'], ['g4', 'fxg4'], ['fxg4', 'Kf7'], ['Kf2', 'Nc7'], ['Bd3', 'Nb5'], ['Kg3', 'g5'], ['Bb6', 'Ke7'], ['Bg6', 'Nc3\n'], ['Bc5+', 'Kf6'], ['h5', 'Kg7'], ['Bd3', 'Nb5'], ['Kf2', 'Na3'], ['Ba6', 'Kf7'], ['Ke2', 'Ke8'], ['Kd2', 'Nc4+\n'], ['Ke2', 'Na3'], ['Ke1', 'Kf7'], ['Kd2', 'Nc4+'], ['Kd3', 'Bd1'], ['b5', 'Bxg4'], ['b6', 'Nxb6'], ['Bxb6', 'Bxh5\n'], ['Bc7', 'Bf3'], ['Kd2', 'Kf6'], ['Bd3', 'Bg4'], ['Be5+', 'Kf7'], ['Bc7', 'Kf6'], ['Bd8+', 'Kg7'], ['Kc3', 'Bf3\n'], ['Kb4', 'h5'], ['Kc5', 'h4'], ['Kb4', 'Be4'], ['Bxe4', 'dxe4'], ['Kc5', 'Kg6'], ['d5', 'exd5'], ['Kxd5', 'Kf5\n'], ['Bc7', 'Kg4'], ['Kxe4', 'Kh3'], ['Kf3', 'g4+'], ['Kf2', 'g3+'], ['Kf3', 'Kh2'], ['e4', 'Kh3'], ['Bd6', 'Kh2\n'], ['Bf4', 'Kh3'], ['e5', 'g2']]",1-0
Yerevan,Yerevan,1977.??.??,11,"Donchenko, Anatoly G","Lputian, Smbat G",,,E06,"[['d4', 'e6'], ['c4', 'd5'], ['Nf3', 'Nf6'], ['Nc3', 'Be7'], ['g3', 'O-O'], ['Bg2', 'c6'], ['Qb3', 'dxc4'], ['Qxc4', 'b5\n'], ['Qd3', 'b4'], ['Na4', 'Qa5'], ['b3', 'Ba6'], ['Qc2', 'Nbd7'], ['Nd2', 'Rac8'], ['Nc4', 'Bxc4'], ['Qxc4', 'c5\n'], ['O-O', 'Rfd8'], ['Bb2', 'cxd4'], ['Qxd4', 'Nc5'], ['Qe5', 'Qa6'], ['Qe3', 'Nxa4'], ['bxa4', 'Rc2'], ['Rfd1', 'Rxd1+\n'], ['Rxd1', 'Rxb2'], ['Qd4', 'Qxe2']]",0-1
Yerevan,Yerevan,1977.??.??,13,"Lputian, Smbat G","Ivanov, Igor V",,,E14,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'c5'], ['e3', 'b6'], ['Nc3', 'Be7'], ['Bd3', 'Bb7'], ['O-O', 'cxd4'], ['exd4', 'd5\n'], ['Re1', 'dxc4'], ['Bxc4', 'O-O'], ['a3', 'Na6'], ['Ne5', 'Nc7'], ['Qd3', 'Rc8'], ['Bb3', 'Ncd5'], ['Bg5', 'Qd6\n'], ['Nb5', 'Qb8'], ['Bxd5', 'Bxd5'], ['Bxf6', 'Bxf6'], ['Nd7', 'Qf4'], ['Nxf8', 'Kxf8'], ['Rad1', 'Qg5\n'], ['Qg3', 'Qxg3'], ['hxg3', 'Rc2'], ['Nxa7', 'Rxb2'], ['Nc8', 'h5'], ['Rb1', 'Bxd4'], ['Rxb2', 'Bxb2'], ['Nxb6', 'Bxa3\n'], ['Nxd5', 'exd5'], ['Rd1', 'g6'], ['Rxd5', 'f5'], ['Kf1', 'Kf7'], ['Ke2', 'Bb2'], ['Kd3', 'Ke6'], ['Rb5', 'Bf6\n'], ['Rb6+', 'Kf7'], ['Kc4', 'Be5'], ['Kd5', 'Bc3'], ['Rc6', 'Bb2'], ['Rc2', 'Ba1'], ['Rc7+', 'Kf6'], ['Rc1', 'Bb2\n'], ['Rc2', 'Ba3'], ['Rc6+', 'Kf7'], ['Rb6', 'Bf8'], ['Rb7+', 'Kf6'], ['Rb8', 'Bh6'], ['Rc8', 'Kf7'], ['Rc7+', 'Kf6\n'], ['f4', 'h4'], ['Rh7', '']]",1-0
Yerevan,Yerevan,1977.??.??,14,"Malevinsky, Alexander A","Lputian, Smbat G",,,B33,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'e5'], ['Ndb5', 'd6'], ['Nd5', 'Nxd5'], ['exd5', 'Ne7\n'], ['c3', 'Nf5'], ['a4', 'Be7'], ['Bd3', 'O-O'], ['O-O', 'Nh4'], ['Be3', 'a6'], ['Na3', 'f5'], ['Nc4', 'e4'], ['Bc2', 'Qe8\n'], ['Bf4', 'Qg6'], ['Bg3', 'Nxg2'], ['Kxg2', 'f4'], ['Re1', 'fxg3'], ['fxg3', 'Bh3+'], ['Kg1', 'Rf4'], ['Qe2', 'Raf8\n'], ['Bxe4', 'Rxe4']]",0-1
Yerevan,Yerevan,1977.??.??,15,"Lputian, Smbat G","Doroshkievich, Vladimir K",,,D58,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Be7'], ['Bg5', 'O-O'], ['e3', 'h6'], ['Bh4', 'b6'], ['Qb3', 'Bb7\n'], ['Bxf6', 'Bxf6'], ['cxd5', 'exd5'], ['Rd1', 'c6'], ['Bd3', 'Na6'], ['O-O', 'Nc7'], ['e4', 'dxe4'], ['Bxe4', 'Ne6\n'], ['Rfe1', 'Qc7'], ['d5', 'Nc5'], ['Qc2', 'Rad8'], ['dxc6', 'Bxc3'], ['Rxd8', 'Rxd8'], ['Qxc3', 'Nxe4\n'], ['Rxe4', 'Qxc6']]",1/2-1/2
Yerevan,Yerevan,1977.??.??,16,"Petkevich, Jusefs","Lputian, Smbat G",,,E14,"[['d4', 'd5'], ['Nf3', 'e6'], ['e3', 'Nf6'], ['c4', 'Be7'], ['Nc3', 'O-O'], ['Bd3', 'b6'], ['O-O', 'Bb7'], ['b3', 'Nbd7\n'], ['Bb2', 'Ne4'], ['cxd5', 'exd5'], ['Qe2', 'a6'], ['Rfd1', 'Bd6'], ['Bxe4', 'dxe4'], ['Ne5', 'Qe7'], ['Nxd7', 'Qxd7\n'], ['Rac1', 'f5'], ['Qc2', 'Rae8'], ['d5', 'Rf6'], ['Ne2', 'Rh6'], ['h3', 'Qf7'], ['Nf4', 'Re7'], ['Ne6', 'Qh5\n'], ['Nf4', 'Qf7'], ['Ne6', 'Qh5'], ['Nf4', 'Qf7']]",1/2-1/2
Yerevan,Yerevan,1977.??.??,17,"Lputian, Smbat G","Eolian, Levon S",,,A51,"[['d4', 'Nf6'], ['c4', 'e5'], ['dxe5', 'Ne4'], ['Nf3', 'Nc6'], ['Nbd2', 'Nc5'], ['e3', 'd6'], ['exd6', 'Bxd6'], ['Be2', 'Qf6\n'], ['Nb3', 'O-O'], ['O-O', 'Rd8'], ['Nxc5', 'Bxc5'], ['Qb3', 'a5'], ['Bd2', 'a4'], ['Qc3', 'Qg6'], ['Rfd1', 'Bh3\n'], ['Bf1', 'Bg4'], ['Be2', 'Bh3'], ['Bf1', 'Bg4'], ['Be2', 'Bh3']]",1/2-1/2
