Burevestnik-ch sf,Moscow,1965.??.??,?,"Volovich, Anatoly A","Gulko, Boris F",,,A09,"[['Nf3', 'd5'], ['g3', 'Nc6'], ['c4', 'd4'], ['d3', 'e5'], ['Bg2', 'Bg4'], ['h3', 'Bf5'], ['O-O', 'Qd7'], ['Kh2', 'Nf6\n'], ['Na3', 'Be7'], ['Nc2', 'a5'], ['b3', 'O-O'], ['a3', 'h6'], ['Bd2', 'e4'], ['Nfe1', 'Rfd8'], ['dxe4', 'Bxe4\n'], ['f3', 'Bh7'], ['Nd3', 'Bd6'], ['Be1', 'Re8'], ['Bf2', 'Qe7'], ['Re1', 'Rad8'], ['Qd2', 'h5'], ['Kg1', 'h4\n'], ['g4', 'Bg3'], ['Bxg3', 'hxg3'], ['Qf4', 'a4'], ['bxa4', 'Na5'], ['Qxg3', 'Nxc4'], ['g5', 'Nd5'], ['f4', 'Nc3\n'], ['Bf3', 'Ne3'], ['Nxe3', 'Qxe3+'], ['Qf2', 'Bxd3'], ['exd3', 'Qxd3'], ['Bxb7', 'Re3'], ['Bg2', 'Rde8\n'], ['a5', 'Qb5'], ['f5', 'Qxa5'], ['g6', 'Qe5'], ['gxf7+', 'Kxf7'], ['Rxe3', 'Qxe3'], ['Qxe3', 'Rxe3'], ['Kf2', 'Re5\n'], ['Bf1', 'Rxf5+'], ['Ke1', 'Ke6'], ['a4', 'Ra5'], ['Bc4+', 'Kd6'], ['Bb3', 'Kc5'], ['Kd2', 'Kb4'], ['Bc2', 'Re5\n'], ['Rf1', 'Re2+'], ['Kd3', 'c5'], ['Rf7', 'c4+'], ['Kxd4', 'Rd2+'], ['Ke5', '']]",0-1
URS-ch45,Leningrad,1977.??.??,?,"Polugaevsky, Lev","Gulko, Boris F",,,B07,"[['Nf3', 'g6'], ['d4', 'd6'], ['e4', 'Nf6'], ['Nbd2', 'Bg7'], ['Bc4', 'O-O'], ['Bb3', 'Nc6'], ['c3', 'Bg4'], ['h3', 'Bxf3\n'], ['Qxf3', 'e5'], ['d5', 'Ne7'], ['Nc4', 'Nd7'], ['g4', 'Nc5'], ['Be3', 'b5'], ['Na3', 'Nxb3'], ['axb3', 'c6\n'], ['dxc6', 'Nxc6'], ['Nxb5', 'Qb8'], ['Qe2', 'a6'], ['Na3', 'Qxb3'], ['Nc4', 'd5'], ['exd5', 'Nd4'], ['cxd4', 'exd4\n'], ['Ra3', 'Qb5'], ['Ra5', 'Qb3'], ['Ra3', 'Qb5'], ['Ra5', 'Qb3'], ['Ra3', '']]",1/2-1/2
URS-ch45,Leningrad,1977.??.??,?,"Gulko, Boris F","Smyslov, Vassily",,,A25,"[['c4', 'e5'], ['g3', 'Nc6'], ['Bg2', 'g6'], ['Nc3', 'Bg7'], ['e3', 'd6'], ['Nge2', 'Nge7'], ['Rb1', 'a5'], ['d3', 'Be6\n'], ['Nd5', 'Qd7'], ['a3', 'O-O'], ['O-O', 'Kh8'], ['Bd2', 'f5'], ['f4', 'Bg8'], ['Qa4', 'Nxd5'], ['cxd5', 'Nb8\n'], ['Qc2', 'c6'], ['Nc3', 'Rc8'], ['dxc6', 'Nxc6'], ['Qa4', 'Rab8'], ['Qb5', 'Be6'], ['Nd5', 'Qf7'], ['Rbc1', 'Re8\n'], ['Nb6', 'exf4'], ['Rxf4', 'g5'], ['Rff1', 'Qg6'], ['Nc4', 'Bxc4'], ['Rxc4', 'f4'], ['Be4', 'Qh5'], ['exf4', 'Qe2\n'], ['Rf2', 'Qd1+'], ['Kg2', 'gxf4'], ['Bxf4', 'Nd4'], ['Qg5', 'Ne2'], ['Rc7', 'Rg8'], ['Qf5', '']]",1-0
URS-ch45,Leningrad,1977.??.??,?,"Gulko, Boris F","Petrosian, Tigran V",,,B06,"[['d4', 'g6'], ['e4', 'Bg7'], ['Nc3', 'd6'], ['Nge2', 'c6'], ['a4', 'e5'], ['Be3', 'Nf6'], ['dxe5', 'dxe5'], ['Qxd8+', 'Kxd8\n'], ['h3', 'Be6'], ['Ng1', 'Nbd7'], ['Nf3', 'h6'], ['Nd2', 'Kc7'], ['Bc4', 'Rhe8'], ['O-O-O', 'Bf8'], ['f4', 'Bc5\n'], ['Bxc5', 'Nxc5'], ['fxe5', 'Nfd7'], ['Bxe6', 'Rxe6'], ['Nf3', 'Nxe5'], ['Rhf1', 'Rf8'], ['Nd4', 'Re7\n'], ['b3', 'Ned7'], ['Rf4', 'a5'], ['Rdf1', 'h5'], ['Rd1', 'Nb6'], ['Rdf1', 'Ncd7'], ['Nf3', 'f6'], ['g4', 'hxg4\n'], ['Rxg4', 'g5'], ['h4', 'gxh4'], ['Rxh4', '']]",1/2-1/2
URS-ch45,Leningrad,1977.??.??,?,"Gulko, Boris F","Tal, Mihail",,,E20,"[['c4', 'e6'], ['Nc3', 'Nf6'], ['Nf3', 'Bb4'], ['g3', 'O-O'], ['Bg2', 'd5'], ['d4', 'dxc4'], ['O-O', 'Nc6'], ['Re1', 'Rb8\n'], ['a3', 'Be7'], ['Qa4', 'b5'], ['Nxb5', 'a6'], ['Nc3', 'Nxd4'], ['Nxd4', 'Qxd4'], ['Be3', 'Qe5'], ['Qxc4', 'Rxb2\n'], ['Bd4', 'Qf5'], ['Qxc7', 'Rd2'], ['Qxe7', '']]",1/2-1/2
URS-ch45,Leningrad,1977.??.??,?,"Kochyev, Alexander","Gulko, Boris F",,,A30,"[['Nf3', 'Nf6'], ['c4', 'c5'], ['g3', 'd5'], ['Bg2', 'Nc6'], ['d4', 'dxc4'], ['Qa4', 'cxd4'], ['O-O', 'Bd7'], ['Qxc4', 'Qb6\n'], ['e3', 'Rc8'], ['Nxd4', 'Na5'], ['Qd3', 'e5'], ['Nb3', 'Nc6'], ['Nc3', 'Be7'], ['e4', 'Nb4'], ['Qe2', 'Bg4\n'], ['Bf3', 'Bxf3'], ['Qxf3', 'Nc2'], ['Rb1', 'Nd4'], ['Nxd4', 'exd4'], ['e5', 'dxc3'], ['exf6', 'c2'], ['fxg7', 'Rg8\n'], ['Ra1', 'Rxg7'], ['Re1', 'Rg6'], ['Bf4', 'Qxb2'], ['Rac1', 'Re6'], ['Rxe6', 'fxe6'], ['Qh5+', 'Kd8'], ['Qxh7', 'Qd4\n'], ['h4', 'Rc4'], ['Qh5', 'Qd3']]",1/2-1/2
URS-ch45,Leningrad,1977.??.??,?,"Kuzmin, Gennadi P","Gulko, Boris F",,,C09,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'c5'], ['Ngf3', 'Nc6'], ['dxc5', 'Bxc5'], ['Bd3', 'Nge7'], ['O-O', 'O-O'], ['Nb3', 'Bb6\n'], ['exd5', 'exd5'], ['c3', 'Ng6'], ['Bc2', 'Re8'], ['Qd3', 'Bg4'], ['Bd2', 'Qf6'], ['Bg5', 'Nce5'], ['Bxf6', 'Nxd3\n'], ['Bxd3', 'Bxf3'], ['Bxg6', 'hxg6'], ['Bd4', 'Be2']]",1/2-1/2
Rubinstein mem,Polanica Zdroj,1977.??.??,1,"Hort, Vlastimil","Gulko, Boris F",,,D86,"[['c4', 'g6'], ['d4', 'Nf6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'Bg7'], ['Bc4', 'O-O'], ['Ne2', 'Qd7\n'], ['O-O', 'b6'], ['Be3', 'Bb7'], ['f3', 'Nc6'], ['Bb5', 'e6'], ['Rb1', 'Rad8'], ['Bg5', 'f6'], ['Bh4', 'g5'], ['Bf2', 'f5\n'], ['exf5', 'exf5'], ['Ng3', 'Qf7'], ['Re1', 'Ne7'], ['Bd3', 'Kh8'], ['Qb3', 'g4'], ['fxg4', 'fxg4'], ['Qxf7', 'Rxf7\n'], ['Nh5', 'Bh6'], ['Bh4', 'Bf8'], ['Bf6+', 'Kg8'], ['Be5', 'Nd5'], ['c4', 'Nb4'], ['Be4', 'Bxe4'], ['Rxe4', 'Be7\n'], ['Rxg4+', 'Kf8'], ['Ng7', 'Rc8'], ['Re1', 'Nxa2'], ['Ra1', 'Nc3'], ['d5', 'Bf6'], ['Ne6+', 'Ke7'], ['Bxc3', 'Bxc3\n'], ['Rxa7', 'Kd6'], ['Ng5', 'Re7'], ['Ne4+', 'Rxe4'], ['Rxe4', 'Ba5'], ['Re6+', '']]",1-0
Rubinstein mem,Polanica Zdroj,1977.??.??,2,"Gulko, Boris F","Ghitescu, Theodor",,,A65,"[['c4', 'Nf6'], ['Nc3', 'g6'], ['e4', 'd6'], ['d4', 'Bg7'], ['f3', 'c5'], ['d5', 'O-O'], ['Bg5', 'h6'], ['Be3', 'e6'], ['Qd2', 'exd5\n'], ['cxd5', 'Nbd7'], ['Nh3', 'Kh7'], ['Be2', 'a6'], ['a4', 'Rb8'], ['O-O', 'Qe7'], ['Nf2', 'b6'], ['Rae1', 'Bb7\n'], ['f4', 'Rbe8'], ['Bc4', 'Qd8'], ['Qd3', 'Qa8'], ['Bd2', 'Ng8'], ['e5', 'dxe5'], ['f5', 'e4'], ['Nfxe4', 'Ne5\n'], ['Qe2', 'Nxc4'], ['Qxc4', 'Bd4+'], ['Kh1', 'b5'], ['axb5', 'axb5'], ['fxg6+', 'fxg6'], ['Qxb5', 'Ba6\n'], ['Qd7+', 'Re7'], ['Rxf8', 'Qxf8'], ['Qd6', 'Bd3'], ['Rg1', 'Bxg1'], ['Kxg1', 'Qf1+']]",0-1
Rubinstein mem,Polanica Zdroj,1977.??.??,3,"Filipowicz, Andrzej","Gulko, Boris F",,,B33,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Qb6'], ['Nb3', 'Nf6'], ['Nc3', 'e6'], ['Bd3', 'd6'], ['O-O', 'a6\n'], ['Kh1', 'Qc7'], ['a4', 'b6'], ['f4', 'Bb7'], ['Qe1', 'Be7'], ['Qg3', 'g6'], ['Qh3', 'h5'], ['f5', 'Ng4'], ['fxe6', 'fxe6\n'], ['Be2', 'Nce5'], ['Nd4', 'Qd7'], ['Bf4', 'Bf6'], ['Nf3', 'Nf7'], ['Nd2', '']]",1/2-1/2
Rubinstein mem,Polanica Zdroj,1977.??.??,4,"Gulko, Boris F","Mascarinas, Rico",,,B83,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nf6'], ['Nc3', 'd6'], ['Be2', 'e6'], ['Be3', 'Be7'], ['O-O', 'O-O\n'], ['f4', 'e5'], ['Nb3', 'a5'], ['a4', 'Nb4'], ['Kh1', 'Qc7'], ['Nd2', 'exf4'], ['Bxf4', 'Rd8'], ['Rc1', 'Be6\n'], ['Nb5', 'Qb6'], ['c3', 'Nc6'], ['Nc4', 'Bxc4'], ['Bxc4', 'Ne5'], ['Ba2', 'Nxe4'], ['Bxe5', 'dxe5'], ['Bxf7+', 'Kh8\n'], ['Qe2', 'Ng5'], ['Ba2', 'Rac8'], ['Qxe5', 'Bf6'], ['Qf4', 'Ne6'], ['Qf5', 'Nf8'], ['Rcd1', 'g6'], ['Qf4', 'g5\n'], ['Qf5', 'Rxd1'], ['Rxd1', 'Rd8'], ['Rd5', 'Re8'], ['Qf1', 'Qe6'], ['Rxg5', 'Bxg5'], ['Bxe6', '']]",1-0
Rubinstein mem,Polanica Zdroj,1977.??.??,5,"Farago, Ivan","Gulko, Boris F",,,D93,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['Nf3', 'Bg7'], ['Bf4', 'O-O'], ['e3', 'c5'], ['dxc5', 'Qa5'], ['Rc1', 'Rd8\n'], ['Qa4', 'Qxc5'], ['b4', 'Qc6'], ['b5', 'Qc5'], ['Qb3', 'Bg4'], ['Na4', 'Qc8'], ['Be2', 'Ne4'], ['Rc2', 'Nd7\n'], ['cxd5', 'Ndc5'], ['Nxc5', 'Nxc5'], ['Qb4', 'b6'], ['O-O', 'Qf5'], ['Rc4', 'Qxd5'], ['h3', 'Bf5'], ['Rd1', 'Nd3\n'], ['Bxd3', 'Bxd3'], ['Rc7', 'Bf8'], ['Ne5', 'Qxb5'], ['Qd2', 'Rd5'], ['Nxd3', 'Rad8'], ['Qc2', 'Rxd3']]",1/2-1/2
Rubinstein mem,Polanica Zdroj,1977.??.??,6,"Torre, Eugenio","Gulko, Boris F",,,C64,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'Bc5'], ['O-O', 'Nd4'], ['Nxd4', 'Bxd4'], ['c3', 'Bb6'], ['d4', 'c6'], ['Ba4', 'd6\n'], ['Na3', 'Nf6'], ['Qd3', 'O-O'], ['Bg5', 'h6'], ['Bh4', 'g5'], ['Bg3', 'd5'], ['Bxe5', 'Nxe4'], ['f3', 'Nd6\n'], ['Bc2', 'Bf5'], ['Qd2', 'Bxc2'], ['Bxd6', 'Qxd6'], ['Nxc2', 'Bc7'], ['g3', 'Rae8'], ['Rae1', 'Qg6'], ['Rxe8', 'Rxe8\n'], ['Re1', 'Rxe1+'], ['Nxe1', 'Qe6'], ['Kg2', 'Kg7'], ['Nd3', 'Bd6'], ['Qe1', 'Qxe1'], ['Nxe1', '']]",1/2-1/2
Rubinstein mem,Polanica Zdroj,1977.??.??,7,"Gulko, Boris F","Lebredo, Gerardo",,,E61,"[['c4', 'e5'], ['g3', 'd6'], ['Nc3', 'g6'], ['d4', 'Nd7'], ['Bg2', 'Bg7'], ['e3', 'Ngf6'], ['Nge2', 'O-O'], ['b3', 'Re8\n'], ['Ba3', 'exd4'], ['Nxd4', 'Nc5'], ['O-O', 'Nfe4'], ['Nce2', 'a5'], ['Qc2', 'Qe7'], ['Rad1', 'Bd7'], ['Bc1', 'h5\n'], ['f3', 'Nf6'], ['e4', 'Nh7'], ['h4', 'a4'], ['b4', 'Na6'], ['a3', 'c5'], ['bxc5', 'dxc5'], ['Nb5', 'Bxb5\n'], ['cxb5', 'Nc7'], ['Qc4', 'Ra5'], ['Bh3', 'Nf8'], ['Bg5', 'Bf6'], ['Bxf6', 'Qxf6'], ['Nc3', 'Qb6'], ['Rd5', 'Nxd5\n'], ['Nxd5', 'Qd6'], ['Qc3', 'Qxg3+'], ['Bg2', 'Re5'], ['Qxa5', '']]",1-0
Rubinstein mem,Polanica Zdroj,1977.??.??,8,"Adamski, Jan","Gulko, Boris F",,,A09,"[['Nf3', 'd5'], ['c4', 'd4'], ['g3', 'Nc6'], ['Bg2', 'e5'], ['d3', 'Nf6'], ['O-O', 'Nd7'], ['e3', 'Be7'], ['exd4', 'exd4\n'], ['Re1', 'O-O'], ['Na3', 'Bf6'], ['Nd2', 'Nde5'], ['Be4', 'Re8'], ['Nc2', 'a5'], ['Qe2', 'Be6'], ['Qf1', 'Be7\n'], ['h3', '']]",1/2-1/2
Rubinstein mem,Polanica Zdroj,1977.??.??,9,"Gulko, Boris F","Espig, Lutz",,,A55,"[['c4', 'Nf6'], ['Nc3', 'e5'], ['Nf3', 'd6'], ['d4', 'Nbd7'], ['e4', 'Be7'], ['g3', 'O-O'], ['Bg2', 'c6'], ['O-O', 'Re8\n'], ['Re1', 'Bf8'], ['d5', 'a6'], ['Bf1', 'Be7'], ['Rb1', 'cxd5'], ['cxd5', 'b5'], ['b4', 'Nb6'], ['a4', 'bxa4\n'], ['Nxa4', 'Nxa4'], ['Qxa4', 'Bd7'], ['Qa3', 'Qb8'], ['Nd2', 'Rc8'], ['Nc4', 'Bb5'], ['Na5', 'Bxf1'], ['Kxf1', 'Qb5+\n'], ['Kg1', 'Rc2'], ['Rb2', 'Rxb2'], ['Qxb2', 'Bd8'], ['Nc6', 'Nxe4'], ['Rxe4', 'Qxd5'], ['Qc2', 'Qe6']]",1-0
Rubinstein mem,Polanica Zdroj,1977.??.??,10,"Vogt, Lothar","Gulko, Boris F",,,B28,"[['e4', 'c5'], ['Nf3', 'a6'], ['c3', 'e6'], ['d4', 'd5'], ['e5', 'Nc6'], ['Be2', 'Bd7'], ['O-O', 'Qc7'], ['a3', 'c4'], ['Bf4', 'Na5\n'], ['Nbd2', 'Ne7'], ['Qc2', 'h6'], ['h4', 'Nc8'], ['b4', 'cxb3'], ['Nxb3', 'Ba4'], ['Nfd2', 'Nb6'], ['Qa2', 'Nxb3\n'], ['Nxb3', 'Be7'], ['g3', 'O-O'], ['Rfc1', 'Bb5'], ['Bd1', 'Bd3'], ['Nd2', 'Rfc8'], ['a4', 'a5'], ['Nf3', 'Nc4\n'], ['Be2', 'Bxe2'], ['Qxe2', 'Qc6'], ['g4', 'Rab8'], ['h5', 'b5'], ['g5', 'hxg5'], ['Bxg5', 'Qe8'], ['axb5', 'Rxb5\n'], ['Kg2', 'Rb2'], ['Qd3', 'f6'], ['exf6', 'gxf6'], ['Bf4', 'Qxh5'], ['Rh1', 'Qg4+'], ['Kf1', 'Qf5'], ['Qxf5', 'exf5\n'], ['Nh4', '']]",1/2-1/2
Rubinstein mem,Polanica Zdroj,1977.??.??,11,"Gulko, Boris F","Ivkov, Borislav",,,C91,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['d4', 'Bg4'], ['Be3', 'exd4'], ['cxd4', 'Na5'], ['Bc2', 'Nc4'], ['Bc1', 'c5'], ['b3', 'Na5'], ['d5', 'Nd7\n'], ['Nbd2', 'Bf6'], ['Rb1', 'Bc3'], ['h3', 'Bxf3'], ['Qxf3', 'b4'], ['Rf1', 'Re8'], ['Qd3', 'Ne5'], ['Qe2', 'Qb6\n'], ['f4', 'Nd3'], ['Nf3', 'Nxc1'], ['Rbxc1', 'c4+'], ['Kh1', 'cxb3'], ['axb3', 'g6'], ['e5', 'dxe5'], ['fxe5', 'Qf6\n'], ['Qe3', 'Bxe5'], ['Ng5', 'Bb2'], ['Qg3', 'Qe5'], ['Qh4', 'Qg7'], ['Rxf7', 'Qxf7'], ['Nxf7', 'Bxc1'], ['d6', 'Nb7\n'], ['Be4', 'Rab8'], ['Bd5', 'Kg7'], ['Qd4+', '']]",1-0
Rubinstein mem,Polanica Zdroj,1977.??.??,12,"Quinteros, Miguel A","Gulko, Boris F",,,C07,"[['e4', 'e6'], ['d4', 'd5'], ['Nd2', 'c5'], ['Ngf3', 'Nf6'], ['exd5', 'Nxd5'], ['Nb3', 'cxd4'], ['Nbxd4', 'Be7'], ['Be2', 'O-O\n'], ['c4', 'Nf6'], ['O-O', 'b6'], ['Ne5', 'Bb7'], ['Bf3', 'Bxf3'], ['Ndxf3', 'Qc7'], ['b3', 'Nc6'], ['Bb2', 'Rfd8\n'], ['Qe2', 'h6'], ['Rfe1', 'Bb4'], ['Nxc6', 'Qxc6'], ['Bxf6', 'gxf6'], ['Red1', 'Bc5'], ['Rd3', 'Rxd3'], ['Qxd3', 'Qd6\n'], ['Qxd6', 'Bxd6'], ['Rd1', 'Rd8'], ['Kf1', 'Kf8'], ['Ke2', 'Ke7'], ['Rd3', 'Rc8'], ['Rd4', 'f5'], ['g3', 'a6\n'], ['Rd2', 'h5'], ['Kd3', 'Bc5'], ['Kc3', 'a5'], ['Re2', 'Kf6'], ['Ne1', 'h4'], ['Nd3', 'Bd6'], ['b4', 'hxg3\n'], ['hxg3', 'axb4+'], ['Kb3', 'Rh8'], ['Ka4', 'Rh2'], ['Rb2', 'e5'], ['Nxb4', 'Bc5'], ['Nd5+', 'Ke6'], ['Kb5', 'Rxf2\n'], ['Rb1', 'Rxa2'], ['Nxb6', 'Bf2'], ['Rb3', 'Bxb6'], ['Kxb6', 'Rc2'], ['c5', 'e4'], ['Kc6', 'f4'], ['gxf4', 'Kf5\n'], ['Rb7', 'f6'], ['Re7', 'Kxf4'], ['Kd6', 'e3'], ['c6', 'e2'], ['c7', 'Kf3'], ['Kd7', 'Kf2']]",0-1
Rubinstein mem,Polanica Zdroj,1977.??.??,13,"Gulko, Boris F","Diesen, Mark C",,,A19,"[['c4', 'Nf6'], ['Nc3', 'e6'], ['e4', 'c5'], ['e5', 'Ng8'], ['Nf3', 'Nc6'], ['d4', 'cxd4'], ['Nxd4', 'Nxe5'], ['Ndb5', 'a6\n'], ['Nd6+', 'Bxd6'], ['Qxd6', 'f6'], ['Be3', 'Ne7'], ['Bb6', 'Nf5'], ['Bxd8', 'Nxd6'], ['Bc7', 'Ke7'], ['c5', 'Ne8\n'], ['Bb6', 'd5'], ['cxd6+', 'Kxd6'], ['f4', 'Nd7'], ['Bd8', 'Nc7'], ['Ne4+', 'Kd5'], ['Nxf6+', 'gxf6'], ['Bxc7', 'Nc5\n'], ['Be2', 'Kc6'], ['Ba5', 'Bd7'], ['O-O', 'Kd6'], ['Rfd1+', 'Ke7'], ['Bf3', 'Bb5'], ['Bb4', 'Rac8'], ['a4', '']]",1-0
Rubinstein mem,Polanica Zdroj,1977.??.??,14,"Pokojowczyk, Jerzy","Gulko, Boris F",,,B28,"[['e4', 'c5'], ['Nf3', 'a6'], ['c3', 'e6'], ['d4', 'd5'], ['e5', 'Nc6'], ['Bd3', 'Bd7'], ['O-O', 'Qb6'], ['dxc5', 'Bxc5\n'], ['b4', 'Bf8'], ['Qe2', 'Nge7'], ['Nbd2', 'Ng6'], ['g3', 'Be7'], ['a3', 'f6'], ['Bxg6+', 'hxg6'], ['c4', 'fxe5\n'], ['cxd5', 'exd5'], ['Nxe5', 'Qd4'], ['Ndf3', 'Qe4'], ['Re1', 'Nxe5'], ['Nxe5', 'Qxe2'], ['Rxe2', 'Bb5\n'], ['Rd2', 'Bf6'], ['Bb2', 'O-O'], ['Nxg6', 'Bxb2'], ['Rxb2', 'Rfd8'], ['Rd2', 'd4'], ['Rad1', 'Kf7'], ['Ne5+', 'Kf6\n'], ['Ng4+', 'Kf5'], ['Rxd4', 'Rxd4'], ['Rxd4', 'Rc8'], ['Ne3+', 'Ke5'], ['Rd5+', 'Ke4'], ['Rg5', 'Kf3'], ['Rf5+', 'Ke2\n'], ['h4', 'Rc3'], ['g4', 'Rxa3'], ['Kg2', 'Rb3'], ['Rf4', 'b6'], ['Nf5', 'Bc6+'], ['Kh2', 'Kf1'], ['h5', 'a5\n'], ['g5', 'Bd7'], ['h6', 'gxh6'], ['gxh6', 'Rc3'], ['bxa5', 'bxa5'], ['Ng3+', 'Ke1'], ['Kg1', 'Bb5'], ['Re4+', 'Kd2\n'], ['Re5', 'Rc1+'], ['Kh2', 'Bd3'], ['Rxa5', 'Rc6'], ['Rh5', 'Rf6'], ['Kg1', 'Rf7'], ['Kg2', 'Bg6'], ['Rg5', 'Rf6\n'], ['f3', 'Kd3'], ['Nh5', 'Rf5'], ['Rxf5', 'Bxf5'], ['Nf6', '']]",1-0
Rubinstein mem,Polanica Zdroj,1977.??.??,15,"Gulko, Boris F","Schinzel, Wladyslaw",,,C11,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Nf6'], ['e5', 'Nfd7'], ['f4', 'c5'], ['Nf3', 'f6'], ['f5', 'cxd4'], ['fxe6', 'dxc3\n'], ['exd7+', 'Qxd7'], ['exf6', 'Bb4'], ['b3', 'O-O'], ['fxg7', 'Re8+'], ['Be2', 'Qe6'], ['Qd3', 'Na6'], ['Nd4', 'Qe4\n'], ['O-O', 'Qxd3'], ['Bxd3', 'Bc5'], ['Rf8+', 'Bxf8'], ['gxf8=Q+', 'Rxf8'], ['Ba3', 'Rf7'], ['Nb5', 'Bf5\n'], ['Bxf5', 'Rxf5'], ['Nxc3', 'Rc8'], ['Nb5', 'Rf6'], ['Rc1', 'Re8'], ['Rd1', 'Re2'], ['Nd4', 'Re4'], ['Nb5', 'Re2\n'], ['Nd4', 'Re3'], ['Nb5', 'Rfe6'], ['Kf1', 'R3e5'], ['h3', 'Nb8'], ['Nc7', 'Rc6'], ['Nxd5', 'Rxc2'], ['Bd6', 'Rf5+\n'], ['Kg1', 'Rff2'], ['Ne3', 'Rfd2'], ['Rf1', 'Rc8'], ['Bb4', 'Rxa2'], ['Nd5', 'Nc6'], ['Bc3', 'Rc2']]",1/2-1/2
Rubinstein mem,Polanica Zdroj,1977.??.??,16,"Kuzmin, Gennadi P","Gulko, Boris F",,,C98,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['O-O', 'Be7'], ['Re1', 'b5'], ['Bb3', 'd6'], ['c3', 'O-O\n'], ['h3', 'Na5'], ['Bc2', 'c5'], ['d4', 'Qc7'], ['Nbd2', 'Nc6'], ['d5', 'Na5'], ['Nf1', '']]",1/2-1/2
Rubinstein mem,Polanica Zdroj,1977.??.??,17,"Gulko, Boris F","Kirov, Nino",,,D97,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['Nf3', 'Bg7'], ['Qb3', 'dxc4'], ['Qxc4', 'O-O'], ['e4', 'a6'], ['Be2', 'b5\n'], ['Qb3', 'c5'], ['dxc5', 'Be6'], ['Qc2', 'Qc7'], ['Nd4', 'Bc4'], ['Be3', 'e5'], ['Nb3', 'Nc6'], ['O-O', 'Rad8\n'], ['Bxc4', 'bxc4'], ['Nd2', 'Nd4'], ['Qa4', 'Qxc5'], ['Qxc4', 'Qd6'], ['Nb3', 'Rc8'], ['Qa4', 'Ng4'], ['Rad1', 'Rfd8\n'], ['Nd5', 'f5'], ['f3', 'Nxe3'], ['Nxe3', 'Qb6'], ['Nxd4', 'Rxd4'], ['Rxd4', 'exd4'], ['Nd5', 'Qd6'], ['Qb3', 'Kh8\n'], ['Qd3', 'Qe5'], ['Qxa6', 'Re8'], ['Re1', 'd3'], ['Qxd3', 'Qxb2'], ['a4', 'fxe4'], ['fxe4', 'Ra8'], ['Kh1', 'Rxa4\n'], ['Nc7', 'Rd4'], ['Qf3', 'Rd8'], ['Ne6', 'Rg8'], ['Rd1', 'Qe5']]",1-0
Tallinn,Tallinn,1977.??.??,1,"Gulko, Boris F","Tal, Mihail",,,B22,"[['e4', 'c5'], ['c3', 'Nf6'], ['e5', 'Nd5'], ['d4', 'cxd4'], ['cxd4', 'd6'], ['Nf3', 'Nc6'], ['Bc4', 'Nb6'], ['Bb5', 'Bd7\n'], ['Nc3', 'e6'], ['Bg5', 'Be7'], ['Ne4', 'dxe5'], ['Nd6+', 'Kf8'], ['Bxe7+', 'Qxe7'], ['dxe5', 'a6'], ['Be2', 'Nd5\n'], ['Qc2', 'Rd8'], ['O-O', 'Nxe5'], ['Nxb7', 'Nxf3+'], ['Bxf3', 'Rc8'], ['Qd2', 'Bb5'], ['Bxd5', 'exd5\n'], ['Na5', 'Bxf1'], ['Rxf1', 'Qe4'], ['Nb7', 'Rc2'], ['Qa5', 'g6'], ['Nc5', 'Qd4'], ['b4', 'Kg7'], ['Qc7', 'Re2\n'], ['a3', 'Rhe8'], ['g3', 'Re1'], ['Kg2', 'Rxf1'], ['Kxf1', 'Qd1+'], ['Kg2', 'Re1'], ['h4', 'Qe2'], ['Qd6', 'Qf1+\n'], ['Kf3', 'Qh1+']]",0-1
