Tashkent,Tashkent,1985.??.??,?,"Serper, Grigory","Egin, Vladimir",,,C62,"[['e4', 'e5'], ['Nf3', 'd6'], ['Nc3', 'Nc6'], ['d4', 'exd4'], ['Nxd4', 'g6'], ['Bb5', 'Bd7'], ['O-O', 'Bg7'], ['Bxc6', 'bxc6\n'], ['f4', 'c5'], ['Nde2', 'f5'], ['exf5', 'gxf5'], ['Ng3', 'Ne7'], ['Re1', 'O-O'], ['Nh5', 'Bh8'], ['Be3', 'Bc6\n'], ['Bf2', 'Qe8'], ['Bh4', 'Qg6'], ['Ng3', 'Bd4+'], ['Kh1', 'Nc8'], ['Qd3', 'Qg4'], ['Bg5', 'h6'], ['Re6', 'hxg5\n'], ['Rg6+', 'Kh7'], ['Rxg5', 'Qxf4'], ['Nxf5', 'Bxg2+'], ['Rxg2', 'Qxf5'], ['Ne4', 'Ne7'], ['c3', 'Ng6\n'], ['Ng5+', 'Kh6']]",0-1
Novosibirsk,Novosibirsk,1989.??.??,?,"Lagunow, Alexander","Serper, Grigory",,,D14,"[['d4', 'd5'], ['Nf3', 'Nf6'], ['c4', 'c6'], ['cxd5', 'cxd5'], ['Nc3', 'Nc6'], ['Bf4', 'Bf5'], ['e3', 'e6'], ['Bd3', 'Bxd3\n'], ['Qxd3', 'Bd6'], ['Bxd6', 'Qxd6'], ['O-O', 'O-O'], ['Rfc1', '']]",1/2-1/2
Novosibirsk,Novosibirsk,1989.??.??,?,"Komarov, Dimitri","Serper, Grigory",,,E16,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'Bb4+'], ['Bd2', 'Qe7'], ['g3', 'b6'], ['Bg2', 'Bb7'], ['O-O', 'Bxd2'], ['Qxd2', 'd6\n'], ['Nc3', 'Ne4'], ['Nxe4', 'Bxe4'], ['Qe3', 'Bb7'], ['d5', 'e5'], ['Nh4', 'O-O'], ['f4', 'Nd7'], ['f5', 'Nf6\n'], ['Rad1', 'e4'], ['Bh3', 'c6'], ['dxc6', 'Bxc6'], ['Nf3', 'd5'], ['Nd4', 'Bb7'], ['g4', 'dxc4'], ['g5', 'Nd5\n'], ['Qg3', 'f6'], ['Ne6', 'Rfc8'], ['Bg2', 'fxg5'], ['Bxe4', 'Nf4'], ['Qf3', 'Bxe4'], ['Qxe4', 'Re8'], ['Qxc4', 'Rac8\n'], ['Qb3', 'Nxe6'], ['fxe6', 'Qxe6'], ['Qxe6+', 'Rxe6'], ['Rd2', 'h6'], ['Rf5', 'Rce8'], ['Kf2', 'Rf8'], ['Rxf8+', 'Kxf8\n'], ['Rd8+', 'Ke7'], ['Ra8', 'a5'], ['Ra7+', 'Kf6'], ['Rb7', 'g4'], ['e4', 'h5'], ['Ke3', 'g6'], ['Rb8', 'Kg5\n'], ['Kd4', 'Rd6+'], ['Ke3', 'Kh4'], ['e5', 'Rc6'], ['Ke4', 'Kh3'], ['Kd5', 'Rc5+'], ['Kd6', 'Kxh2'], ['e6', 'Rc2\n'], ['e7', 'Re2'], ['e8=Q', 'Rxe8'], ['Rxe8', 'g3'], ['Rg8', 'g2'], ['Rxg6', 'g1=Q'], ['Rxg1', 'Kxg1'], ['Ke5', '']]",0-1
Novosibirsk,Novosibirsk,1989.??.??,?,"Levin, Felix","Serper, Grigory",,,E18,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'b6'], ['g3', 'Bb7'], ['Bg2', 'Be7'], ['O-O', 'O-O'], ['Nc3', 'Ne4'], ['Nxe4', 'Bxe4\n'], ['Ne1', 'Bxg2'], ['Nxg2', 'd5'], ['Qa4', 'Qe8'], ['Qxe8', 'Rxe8'], ['cxd5', 'exd5'], ['Nf4', 'Rd8'], ['Rd1', 'g5\n'], ['Nd3', 'c5'], ['dxc5', 'bxc5'], ['Be3', 'Na6'], ['b3', '']]",1/2-1/2
Novosibirsk,Novosibirsk,1989.??.??,?,"Vekshenkov, Nikolai","Serper, Grigory",,,A55,"[['c4', 'Nf6'], ['Nc3', 'c6'], ['e4', 'e5'], ['Nf3', 'd6'], ['d4', 'Nbd7'], ['Be2', 'Be7'], ['O-O', 'a6'], ['d5', 'cxd5\n'], ['cxd5', 'b5'], ['b4', 'Nb6'], ['Be3', 'Ng4'], ['Bd2', 'Bd7'], ['Ne1', 'Nf6'], ['Nc2', 'O-O'], ['Ne3', 'Ne8\n'], ['Bd3', 'g6'], ['Qb1', 'Ng7'], ['a4', 'Nxa4'], ['Nxa4', 'bxa4'], ['Nc4', 'f5'], ['Na5', 'fxe4'], ['Bxe4', 'Bb5\n'], ['Nc6', 'Qd7'], ['Rc1', 'Bd8'], ['Nxd8', 'Raxd8'], ['Ra3', 'Rc8'], ['Rxc8', 'Rxc8'], ['Rg3', 'Rf8'], ['Rc3', 'Nf5\n'], ['Kh1', 'Nd4'], ['Be3', 'Ne2'], ['Rc2', 'Qg4'], ['Rc7', 'a3'], ['h3', 'Ng3+'], ['fxg3', 'Qe2'], ['Kh2', 'Rf1\n'], ['Bxg6', '']]",0-1
Novosibirsk,Novosibirsk,1989.??.??,?,"Varavin, Viktor","Serper, Grigory",,,B22,"[['e4', 'c5'], ['c3', 'd5'], ['exd5', 'Qxd5'], ['d4', 'Nf6'], ['Nf3', 'Nc6'], ['Be3', 'e6'], ['dxc5', 'Qxd1+'], ['Kxd1', 'Ng4\n'], ['b4', 'a5'], ['Bb5', 'Bd7'], ['a3', 'axb4'], ['Bxc6', 'Bxc6'], ['cxb4', 'Nxe3+'], ['fxe3', 'b6'], ['Nc3', 'bxc5\n'], ['b5', 'Bb7'], ['a4', 'g5'], ['Kc2', 'g4'], ['Nd2', 'f5'], ['a5', 'O-O-O'], ['Rhg1', 'Bh6'], ['a6', 'Bd5\n'], ['Rge1', 'Bxg2'], ['b6', 'Bg7'], ['b7+', 'Kc7'], ['Reb1', 'Bc6'], ['Ra3', 'h5'], ['Rab3', 'Rb8'], ['Nc4', 'Bxc3\n'], ['Kxc3', 'Be4'], ['Na5', 'h4'], ['a7', 'Bxb1'], ['axb8=Q+', 'Rxb8'], ['Rxb1', 'g3'], ['hxg3', 'hxg3\n'], ['Kd2', 'e5'], ['Ke2', 'f4'], ['e4', 'Kd6'], ['Kf3', 'Kc7'], ['Rb5', 'Rg8'], ['Rxc5+', 'Kb8'], ['Rc8+', '']]",1-0
Novosibirsk,Novosibirsk,1989.??.??,?,"Serper, Grigory","Semeniuk, Alexander A",,,D80,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['Bg5', 'Ne4'], ['Bh4', 'c5'], ['cxd5', 'Nxc3'], ['bxc3', 'Qxd5'], ['e3', 'cxd4\n'], ['Qxd4', 'Qxd4'], ['cxd4', 'e6'], ['Rb1', 'Be7'], ['Bxe7', 'Kxe7'], ['g3', 'Nd7'], ['Bg2', 'Rb8'], ['Ne2', 'b6\n'], ['Kd2', 'Ba6'], ['Rhc1', 'Rbc8'], ['f4', 'f5'], ['Rxc8', 'Rxc8'], ['Nc3', 'Nf6'], ['a4', 'Ne8'], ['Nb5', 'Bxb5\n'], ['axb5', 'Nd6'], ['Kd3', 'Rc7'], ['Bf3', 'Kf6'], ['g4', 'h6'], ['h4', 'g5'], ['fxg5+', 'hxg5'], ['hxg5+', 'Kxg5\n'], ['gxf5', 'exf5'], ['e4', 'fxe4+'], ['Bxe4', 'Kf6'], ['Rf1+', 'Ke6'], ['Re1', 'Nxe4'], ['Kxe4', 'Rh7\n'], ['Rg1', 'Rh4+'], ['Kd3', 'Rh7'], ['Rg5', 'Kd6'], ['Rg8', 'Rh1'], ['Rd8+', 'Ke6'], ['Re8+', 'Kd6']]",1/2-1/2
Novosibirsk,Novosibirsk,1989.??.??,?,"Serper, Grigory","Novik, Maxim",,,A29,"[['c4', 'e5'], ['Nc3', 'Nf6'], ['g3', 'd5'], ['cxd5', 'Nxd5'], ['Bg2', 'Nb6'], ['Nf3', 'Nc6'], ['O-O', 'Be7'], ['a3', 'O-O\n'], ['b4', 'Re8'], ['b5', 'Nd4'], ['Nxe5', 'Bf6'], ['f4', 'Bxe5'], ['fxe5', 'Rxe5'], ['e3', 'Nxb5'], ['Nxb5', 'Rxb5\n'], ['a4', 'Rf5'], ['a5', 'Nc4'], ['a6', 'Rxf1+'], ['Qxf1', 'Nd6'], ['Ba3', 'Rb8'], ['Bxd6', 'cxd6'], ['axb7', 'Bxb7\n'], ['Rxa7', 'Qb6'], ['Rxb7', 'Rxb7'], ['Bxb7', 'Qxb7'], ['Qd3', 'Qe7'], ['Qd5', 'g6'], ['Kg2', '']]",1/2-1/2
Novosibirsk,Novosibirsk,1989.??.??,?,"Serper, Grigory","Nenashev, Alexander",,,A65,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['e4', 'd6'], ['Bd3', 'O-O'], ['Nge2', 'c5'], ['d5', 'e6'], ['O-O', 'exd5\n'], ['cxd5', 'Ng4'], ['Bc2', 'Na6'], ['h3', 'Ne5'], ['f4', 'Nc4'], ['b3', 'Na5'], ['a3', 'b5'], ['Rb1', 'b4'], ['Na2', 'bxa3\n'], ['Bxa3', 'Rb8'], ['Kh2', 'Bd7'], ['Ng3', 'Nc7'], ['b4', 'Nb5'], ['Bc1', 'cxb4'], ['Rxb4', 'Qc7'], ['Qd3', 'Nd4\n'], ['Rxd4', 'Bb5'], ['Qd1', 'Bxf1'], ['Nxf1', 'Bxd4'], ['Qxd4', 'Qxc2'], ['Ne3', 'Qxa2'], ['Qf6', 'Rfe8\n'], ['Ng4', 'Rb7'], ['f5', 'g5'], ['Bxg5', 'Qb2'], ['e5', '']]",1-0
Novosibirsk,Novosibirsk,1989.??.??,?,"Serper, Grigory","Nasybullin, Vladislav",,,E11,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nf3', 'Bb4+'], ['Nbd2', 'O-O'], ['a3', 'Be7'], ['e4', 'd5'], ['Qc2', 'dxe4'], ['Nxe4', 'Nbd7\n'], ['Bd3', 'Nxe4'], ['Bxe4', 'Nf6'], ['Bd3', 'b6'], ['Be3', 'c5'], ['O-O-O', 'Qc7'], ['dxc5', 'bxc5'], ['Bd2', 'Bb7\n'], ['Bc3', 'Qf4+'], ['Kb1', 'Rfd8'], ['Rhe1', 'Qg4'], ['Re3', 'Qxg2'], ['Rg1', 'Qh3'], ['Ng5', 'Qxh2'], ['Reg3', 'h6\n'], ['Nh7', 'Qxg1+'], ['Rxg1', 'Ne8'], ['Be4', 'Rab8'], ['Bxb7', 'Rxb7'], ['Qe4', 'Rbd7'], ['Bxg7', 'Nxg7\n'], ['Qg4', 'Bg5'], ['Nxg5', 'f5'], ['Qe2', 'hxg5'], ['Rxg5', 'Kf7'], ['Qe5', 'Ne8'], ['Qxc5', 'Rc7'], ['Qe5', 'Rxc4\n'], ['Qh8', 'Ke7'], ['Qh7+', 'Kf6'], ['Rg6+', 'Ke5'], ['Qxa7', 'Nc7'], ['Qa5+', 'Rd5'], ['Qb6', 'Rd1+'], ['Ka2', 'Rcc1\n'], ['Qe3+', 'Kd5'], ['Rg7', 'Kc6'], ['Qa7', 'Kd6'], ['Qb6+', 'Rc6'], ['Qb4+', 'Ke5'], ['f4+', '']]",1-0
Novosibirsk,Novosibirsk,1989.??.??,?,"Serper, Grigory","Mukhametov, Eldar",,,D43,"[['d4', 'd5'], ['c4', 'c6'], ['Nf3', 'Nf6'], ['Nc3', 'e6'], ['g3', 'dxc4'], ['a4', 'c5'], ['dxc5', 'Qxd1+'], ['Nxd1', 'Nc6\n'], ['Ne3', 'Bxc5'], ['Bg2', 'Na5'], ['O-O', 'Nd5'], ['Nxd5', 'exd5'], ['Bd2', 'Nc6'], ['Rfd1', 'f6'], ['Be3', 'Bxe3\n'], ['fxe3', 'Be6'], ['Nd4', 'Nxd4'], ['Rxd4', 'O-O-O'], ['Rad1', 'Rhe8'], ['Kf2', 'Kc7'], ['Bxd5', 'Bxd5\n'], ['Rxd5', 'Rxd5'], ['Rxd5', 'Re5'], ['Rd4', 'Rc5'], ['h4', 'a6'], ['Rg4', 'g6'], ['Rf4', 'Rc6'], ['Ke1', 'Kb6\n'], ['Rd4', 'Kc5'], ['Kd2', 'Rb6'], ['Kc1', 'Rb4'], ['Rd7', 'h5'], ['Rg7', 'f5'], ['a5', 'b5'], ['axb6', 'Rxb6\n'], ['Re7', 'Kd5'], ['Rg7', 'Re6'], ['Kd2', 'Kc5'], ['Rg8', 'a5'], ['Rc8+', 'Kb4'], ['Rb8+', 'Kc5'], ['Ra8', 'Kb5\n'], ['Rb8+', 'Rb6'], ['Re8', 'Kc5'], ['Kc3', 'Rb3+'], ['Kc2', 'Kd5'], ['Re7', 'a4'], ['Re8', 'a3'], ['bxa3', 'Rxa3\n'], ['Rd8+', 'Ke6'], ['Kd2', 'Ra2+'], ['Ke1', 'Ra1+'], ['Kf2', 'Ra6'], ['e4', 'fxe4'], ['Ke3', 'Ra3+'], ['Kf4', 'c3\n'], ['e3', 'Ra1'], ['Rc8', 'Rc1'], ['Kxe4', 'c2'], ['Kd3', 'Rg1'], ['Rxc2', 'Rxg3'], ['Rc4', '']]",1/2-1/2
Novosibirsk,Novosibirsk,1989.??.??,?,"Serper, Grigory","Makarov, Marat",,,A89,"[['d4', 'f5'], ['Nf3', 'Nf6'], ['c4', 'd6'], ['Nc3', 'g6'], ['g3', 'Bg7'], ['Bg2', 'O-O'], ['O-O', 'Nc6'], ['d5', 'Na5\n'], ['Nd2', 'c5'], ['b3', 'Nxd5'], ['Bxd5+', 'e6'], ['Bb2', 'exd5'], ['cxd5', 'f4'], ['Qc2', 'Bh3'], ['Rfe1', 'fxg3\n'], ['hxg3', 'Qf6'], ['Nd1', 'Qf7'], ['Bxg7', 'Qxg7'], ['Qc3', 'b5'], ['Qxg7+', 'Kxg7'], ['Nc3', 'a6'], ['e4', 'g5\n'], ['e5', 'dxe5'], ['Nde4', 'h6'], ['Nxc5', 'Rac8'], ['N3e4', 'Bf5'], ['Rac1', 'Rfd8'], ['b4', 'Nc4'], ['Nc3', 'Rd6\n'], ['a4', 'bxa4'], ['g4', 'Bg6'], ['N3xa4', 'Nd2'], ['Ne6+', 'Kf6'], ['Rxc8', 'Nf3+'], ['Kf1', 'Bd3+'], ['Re2', 'Nd2+\n'], ['Ke1', 'Nf3+'], ['Kd1', 'Rxd5'], ['Re3', 'Bb5+'], ['Kc1', 'Bxa4'], ['Nc5', 'Bd1'], ['Ne4+', 'Ke7']]",1-0
Novosibirsk,Novosibirsk,1989.??.??,?,"Serper, Grigory","Kalinitschew, Sergey",,,D90,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['Qb3', 'Nb6'], ['Nf3', 'Bg7'], ['e3', 'O-O'], ['Be2', 'Be6\n'], ['Qc2', 'Bf5'], ['Qd1', 'c5'], ['O-O', 'cxd4'], ['Nxd4', 'Bd7'], ['e4', 'Nc6'], ['Be3', 'Nxd4'], ['Bxd4', 'Bc6\n'], ['Bxg7', 'Qxd1'], ['Rfxd1', 'Kxg7'], ['b3', 'Rfd8'], ['f3', 'Rac8'], ['Kf2', 'e5'], ['Ke3', 'Kf6'], ['Rxd8', 'Rxd8\n'], ['Rc1', 'Rc8'], ['a4', 'a5'], ['Rb1', 'Ke7'], ['b4', 'Nxa4'], ['Nxa4', 'Bxa4'], ['bxa5', 'Bc6'], ['Bb5', 'Ra8\n'], ['a6', 'Kd6'], ['Rd1+', 'Kc7'], ['Rc1', 'Kd6'], ['Rd1+', 'Kc7'], ['Rc1', 'Kd6'], ['axb7', 'Bxb7'], ['Rd1+', 'Kc5\n'], ['Rd7', 'Ra3+'], ['Kf2', 'Bxe4'], ['fxe4', 'Kxb5'], ['Rxf7', 'Kc4'], ['Rxh7', 'Kd4'], ['Rh4', 'Ra2+\n'], ['Kf3', 'Ra3+'], ['Kg4', 'Ra2'], ['Kh3', 'Re2'], ['Rg4', 'Rxe4'], ['Rxg6', 'Rf4'], ['Rd6+', 'Kc5'], ['Rd1', 'e4\n'], ['g4', 'e3'], ['Kg3', 'Rf8'], ['g5', 'Kc4'], ['Kg4', 'e2'], ['Re1', 'Kd3'], ['g6', 'Rf1'], ['Rxe2', 'Kxe2\n'], ['Kg5', '']]",1/2-1/2
Novosibirsk,Novosibirsk,1989.??.??,?,"Serper, Grigory","Janjgava, Lasha",,,D31,"[['c4', 'e6'], ['Nc3', 'd5'], ['cxd5', 'exd5'], ['d4', 'c6'], ['Bf4', 'Bd6'], ['Bg3', 'Nf6'], ['e3', 'Bf5'], ['Nge2', 'Be7\n'], ['Bf4', 'Qb6'], ['Qd2', 'Ne4'], ['Nxe4', 'Bxe4'], ['Nc3', 'Bf5'], ['Be2', 'Nd7'], ['O-O', 'O-O'], ['Bd3', 'Bxd3\n'], ['Qxd3', 'a5']]",1/2-1/2
Novosibirsk,Novosibirsk,1989.??.??,?,"Serper, Grigory","Chuchelov, Vladimir",,,D85,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'Bg7'], ['Qa4+', 'Nd7'], ['Nf3', 'O-O\n'], ['Bg5', 'h6'], ['Be3', 'c5'], ['Rc1', 'a6'], ['Qa3', 'b6'], ['Bd3', 'e6'], ['O-O', 'Bb7'], ['Rfd1', 'Qc7'], ['Nd2', 'Rfd8\n'], ['Bb1', 'Nf6'], ['f3', 'Rac8'], ['dxc5', 'bxc5'], ['Nc4', 'Rxd1+'], ['Rxd1', 'Rd8'], ['Rxd8+', 'Qxd8\n'], ['Bc2', 'Nd7'], ['Nd6', 'Bc6'], ['Qxa6', 'Qh4'], ['g3', 'Qf6'], ['Qxc6', 'Qxc3'], ['Bf2', 'Ne5'], ['Qxc5', 'Nxf3+\n'], ['Kf1', 'Qd2'], ['Qe3', 'Nxh2+'], ['Kg2', 'Qxc2'], ['Kxh2', 'Qxa2'], ['Qa7', 'Qxa7'], ['Bxa7', 'h5'], ['Nc4', 'e5\n'], ['Kg2', 'f6'], ['Bc5', 'Kf7'], ['Nd6+', 'Ke6'], ['Ne8', 'Bh8'], ['Nc7+', 'Kf7'], ['Kf3', 'Bg7'], ['Ke2', 'Bh6\n'], ['Kd3', 'Bc1'], ['Be3', 'Bxe3'], ['Kxe3', 'f5'], ['Nd5', 'Kg7'], ['Kf3', 'Kh6'], ['Kg2', 'Kg5'], ['Kh3', 'fxe4\n'], ['Ne3', 'h4'], ['g4', 'Kf4'], ['Ng2+', 'Kg5'], ['Nxh4', 'e3'], ['Kg3', 'e2'], ['Nf3+', 'Kf6'], ['Kf2', 'e4\n'], ['Ne1', 'Ke5'], ['Ke3', 'g5'], ['Nc2', '']]",1-0
Novosibirsk,Novosibirsk,1989.??.??,?,"Ronin, V.","Serper, Grigory",,,B26,"[['e4', 'c5'], ['Nc3', 'Nc6'], ['g3', 'g6'], ['Bg2', 'Bg7'], ['d3', 'd6'], ['Be3', 'Nd4'], ['Qd2', 'Qa5'], ['f4', 'Nf6\n'], ['h3', 'Rb8'], ['Nf3', 'Nxf3+'], ['Bxf3', 'b5'], ['Bg2', 'b4'], ['Nd1', 'Nd7'], ['O-O', 'f5'], ['exf5', 'gxf5\n'], ['Bf2', 'Bb7'], ['Qe2', 'Nf6'], ['Ne3', 'Bc8'], ['Bc6+', 'Kf8'], ['g4', 'h5'], ['g5', 'Ng8'], ['Rae1', 'Qd8\n'], ['Bf3', 'Bxb2'], ['Bxh5', 'Bc3'], ['Rd1', 'e6'], ['h4', 'Bb7'], ['Bf3', 'Ne7'], ['Bxb7', 'Rxb7'], ['Ng2', 'Qc8\n'], ['h5', 'Qe8'], ['h6', 'Nc6'], ['Nh4', 'Rbh7'], ['Kg2', 'Rg8'], ['Kh2', 'Bd4'], ['Rde1', 'Bxf2'], ['Qxf2', 'Nd4\n'], ['Re3', 'Qh5'], ['Rh3', 'Qg4'], ['Ng2', 'Qe2'], ['Qxe2', 'Nxe2'], ['Rh5', 'Nd4'], ['Nh4', 'Kf7'], ['Rg1', 'Rg6\n'], ['Rg2', 'a5'], ['Kg3', 'a4'], ['Nxg6', 'Kxg6'], ['Rh1', 'a3'], ['Re1', 'Re7'], ['Rh2', 'Rc7'], ['Kf2', 'Re7\n'], ['Re3', 'e5'], ['Kf1', 'e4'], ['dxe4', 'fxe4'], ['c3', 'Nf5'], ['Reh3', 'bxc3'], ['Rxc3', 'Kh7'], ['Rxa3', 'e3\n'], ['Rd3', 'c4'], ['Rd5', 'Ng3+'], ['Ke1', 'Ne4'], ['Re2', 'c3'], ['Rd3', 'Rb7'], ['Rc2', 'Rb1+'], ['Rd1', 'Rb7\n'], ['Ke2', 'Rb2'], ['Rc1', '']]",1-0
Novosibirsk,Novosibirsk,1989.??.??,?,"Karasev, Vladimir I","Serper, Grigory",,,A05,"[['Nf3', 'Nf6'], ['g3', 'd6'], ['Bg2', 'e5'], ['O-O', 'Be7'], ['d3', 'O-O'], ['e4', 'c6'], ['a4', 'Re8'], ['a5', 'Bf8'], ['Nc3', 'h6\n'], ['h3', 'd5'], ['Bd2', 'd4'], ['Nb1', 'c5'], ['Na3', 'Nc6'], ['Nc4', 'Rb8'], ['Nh4', 'b5'], ['axb6', 'axb6\n'], ['f4', 'Nd7'], ['Nf5', 'Re6'], ['h4', 'b5'], ['Nxe5', 'Ndxe5'], ['fxe5', 'Nxe5'], ['Bh3', 'Re8'], ['Ba5', 'Qf6\n'], ['Kh2', 'Qc6'], ['Bd2', 'Ra8'], ['Rxa8', 'Qxa8'], ['Bf4', 'Qc6'], ['g4', 'Bxf5'], ['exf5', 'Bd6'], ['Bg2', 'Qc7\n'], ['Kh1', 'Nc4'], ['Bxd6', 'Nxd6'], ['g5', 'hxg5'], ['hxg5', 'Re5'], ['Qg4', 'Qd7'], ['Rg1', 'Re8'], ['g6', 'Nxf5\n'], ['Be4', 'fxg6'], ['Qxg6', 'Rf8'], ['Rg2', 'Rf7'], ['Rg5', 'Ne3'], ['Qh7+', 'Kf8'], ['Qh8+', 'Ke7'], ['Qh4', 'Kf8\n'], ['Qh8+', 'Ke7'], ['Rxg7', 'Rxg7'], ['Qxg7+', 'Kd6'], ['Qg3+', 'Ke6'], ['Qg6+', 'Ke5'], ['Qg5+', 'Nf5\n'], ['Qh5', 'Kf4'], ['Qh2+', 'Kg4'], ['Qe2+', 'Kg5'], ['Qg2+', 'Kf6'], ['Qh3', 'Qe6'], ['Kg1', 'Ne3'], ['Qh4+', 'Kg7\n'], ['Qg5+', 'Kf7'], ['Bf3', 'Qf5'], ['Bh5+', 'Ke6'], ['Qg8+', 'Kf6'], ['Qf7+', 'Kg5'], ['Qxf5+', 'Kxf5\n'], ['Be8', 'Kf4'], ['Bxb5', 'Nd1'], ['Kf1', 'Ke3'], ['Ke1', 'Nxb2'], ['Be8', 'Nxd3+']]",1/2-1/2
Novosibirsk,Novosibirsk,1989.??.??,?,"Baburin, Alexander","Serper, Grigory",,,E38,"[['d4', 'Nf6'], ['c4', 'e6'], ['Nc3', 'Bb4'], ['Qc2', 'c5'], ['dxc5', 'Bxc5'], ['Nf3', 'd5'], ['Bg5', 'dxc4'], ['e4', 'h6\n'], ['Bh4', 'Be7'], ['Bxc4', 'O-O'], ['O-O', 'Nh5'], ['Bxe7', 'Qxe7'], ['e5', 'b6'], ['Qe4', 'Bb7'], ['Qg4', 'g6\n'], ['Ne4', 'Nd7'], ['Rad1', 'Rad8'], ['a3', 'Kg7'], ['b4', 'f5'], ['exf6+', 'Ndxf6'], ['Nxf6', 'Qxf6'], ['Nd4', 'Bc8\n'], ['Nxe6+', 'Bxe6'], ['Qxe6', 'Qxe6'], ['Bxe6', 'Nf4'], ['Bc4', 'g5'], ['Rfe1', 'Ng6'], ['f3', 'Rfe8'], ['Kf2', 'Rxd1\n'], ['Rxd1', 'Re7'], ['Bb5', 'Ne5'], ['Rc1', 'Nf7'], ['g3', 'Nd6'], ['Bd3', 'Nf7'], ['f4', 'gxf4'], ['gxf4', 'Rd7\n'], ['Ke3', 'Re7+'], ['Kf3', 'Rd7'], ['Bf5', 'Re7'], ['Rc6', 'Re1'], ['Rg6+', 'Kf8'], ['Be6', 'Ra1'], ['Ke4', 'Rxa3\n'], ['Bd5', 'Nd8'], ['Ke5', 'Rh3'], ['Rg8+', 'Ke7'], ['Rg7+', 'Kf8'], ['Rxa7', 'Rxh2'], ['Kd6', '']]",1-0
URS-ch U26,Tbilisi,1989.??.??,?,"Serper, Grigory","Akopian, Vladimir",,,C42,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Nxe5', 'd6'], ['Nf3', 'Nxe4'], ['d4', 'd5'], ['Bd3', 'Bd6'], ['O-O', 'O-O'], ['c4', 'c6\n'], ['cxd5', 'cxd5'], ['Nc3', 'Nxc3'], ['bxc3', 'Bg4'], ['Rb1', 'Nd7'], ['h3', 'Bh5'], ['Rxb7', 'Nb6'], ['Bd2', 'h6\n'], ['Re1', 'Qc8'], ['Ba6', 'Qc6'], ['Ne5', 'Qxb7'], ['Bxb7', 'Bxd1'], ['Bxa8', 'Bxe5'], ['dxe5', 'Ba4'], ['Bb7', 'Bb5\n'], ['Rb1', 'Bc4'], ['a3', 'Rb8'], ['Bc6', 'Rc8'], ['Bb5', 'Rc5'], ['Bxc4', 'Nxc4'], ['Bf4', 'Ra5'], ['h4', '']]",1/2-1/2
URS-ch U26,Tbilisi,1989.??.??,?,"Anastasian, Ashot","Serper, Grigory",,,D61,"[['d4', 'Nf6'], ['c4', 'c6'], ['Nc3', 'd5'], ['Nf3', 'e6'], ['Bg5', 'Be7'], ['e3', 'O-O'], ['Qc2', 'Nbd7'], ['O-O-O', 'a6\n'], ['Bd3', 'b5'], ['c5', 'b4'], ['Na4', 'h6'], ['Bf4', 'a5'], ['g4', 'Ba6'], ['Bxa6', 'Rxa6'], ['g5', 'Nh5'], ['gxh6', 'g6\n'], ['Rhg1', 'Kh7'], ['h4', 'Nxf4'], ['exf4', 'Bxh4'], ['Rg4', 'Bf6'], ['Rdg1', 'Rg8'], ['Ng5+', 'Bxg5'], ['fxg5', 'Qe7\n'], ['f4', 'Raa8'], ['R4g3', 'Rae8'], ['Qe2', 'f6'], ['Qa6', 'fxg5'], ['fxg5', 'Rgf8'], ['Qxc6', 'Rf4'], ['Rd1', 'Rf5\n'], ['Kb1', 'e5'], ['Qb7', 'Nf8'], ['Qxd5', 'e4'], ['Qd6', 'Qxd6'], ['cxd6', 'Rd5'], ['Nc5', 'e3'], ['Rg4', 'e2\n'], ['Re1', 'Kh8'], ['Re4', 'Rxe4'], ['Nxe4', 'Rxd4'], ['Rxe2', 'a4'], ['Kc2', 'Ne6'], ['Re1', 'Rd5'], ['Rd1', 'b3+\n'], ['axb3', 'axb3+'], ['Kc1', 'Re5'], ['Nf6', 'Re2'], ['d7', 'Nd8'], ['Rd3', 'Rc2+'], ['Kd1', 'Rc4'], ['Re3', 'Rd4+\n'], ['Ke1', 'Ne6'], ['Rxb3', 'Nf8'], ['Re3', '']]",1-0
