URS-ch sf,Irkutsk,1983.??.??,?,"Kaidanov, Grigory S","Tseshkovsky, Vitaly",,,A30,"[['Nf3', 'Nf6'], ['c4', 'c5'], ['g3', 'd5'], ['cxd5', 'Nxd5'], ['Bg2', 'Nc6'], ['d4', 'Nb6'], ['dxc5', 'Qxd1+'], ['Kxd1', 'Na4\n'], ['Nc3', 'Nxc5'], ['Be3', 'e5'], ['Nb5', 'Na6'], ['Nd2', 'Be7'], ['Rc1', 'Bd7'], ['Nc3', 'Nc7'], ['Nce4', 'Ne6\n'], ['Nc3', 'Nc7'], ['Nce4', 'Ne6']]",1/2-1/2
URS-ch sf,Irkutsk,1983.??.??,?,"Kaidanov, Grigory S","Vladimirov, Evgeny",,,A41,"[['d4', 'g6'], ['c4', 'Bg7'], ['Nc3', 'd6'], ['Nf3', 'Bg4'], ['g3', 'Bxf3'], ['exf3', 'e6'], ['Bg2', 'Ne7'], ['O-O', 'O-O\n'], ['Re1', 'Nd7'], ['d5', 'exd5'], ['cxd5', 'Re8'], ['Bh3', 'Nb6'], ['Qd3', 'Bxc3'], ['bxc3', 'Nexd5'], ['Bd2', 'Rxe1+\n'], ['Rxe1', 'c5'], ['f4', 'Qf6'], ['c4', 'Nb4'], ['Qf3', 'Nc2'], ['Rd1', 'Qe7'], ['Qd3', 'Nb4'], ['Bxb4', 'cxb4\n'], ['Qxd6', 'Qxd6'], ['Rxd6', 'Re8'], ['Bf1', 'Rc8'], ['f5', 'gxf5'], ['Kg2', 'Kf8'], ['Bd3', 'Ke7'], ['Rh6', 'Nxc4\n'], ['Bxf5', 'Rd8'], ['Rxh7', 'Rd2'], ['Kf3', 'Rxa2'], ['h4', 'b3'], ['h5', 'Kf6'], ['g4', 'Ra5']]",0-1
URS-ch sf,Irkutsk,1983.??.??,?,"Kaidanov, Grigory S","Zilberstein, Valery I",,,D87,"[['d4', 'Nf6'], ['c4', 'g6'], ['Nc3', 'd5'], ['cxd5', 'Nxd5'], ['e4', 'Nxc3'], ['bxc3', 'Bg7'], ['Bc4', 'O-O'], ['Be3', 'c5\n'], ['Ne2', 'Nc6'], ['O-O', 'Bd7'], ['Rb1', 'Na5'], ['Bd3', 'cxd4'], ['cxd4', 'b6'], ['Qd2', 'Rc8'], ['Rfc1', 'e5\n'], ['Ba6', 'Rxc1+'], ['Rxc1', 'b5'], ['dxe5', 'Nc4'], ['Qd4', 'Bxe5'], ['Qxa7', 'Nxe3'], ['fxe3', 'Bg4\n'], ['Qc5', 'Bxh2+'], ['Kxh2', 'Bxe2'], ['a4', 'Qh4+'], ['Kg1', 'Rd8'], ['Bxb5', 'Bxb5'], ['axb5', 'Qxe4\n'], ['b6', 'h5'], ['Qg5', 'Rd2'], ['Kh2', 'Kg7'], ['Rc8', 'Rb2'], ['Rb8', 'h4'], ['Rh8', 'Rxb6'], ['Rxh4', 'Qe6\n'], ['Qh6+', 'Kf6'], ['Qf8', 'Qd6+'], ['Rf4+', 'Kg5'], ['Qh8', '']]",1-0
URS-ch sf,Irkutsk,1983.??.??,?,"Kuzmin, Gennadi P","Kaidanov, Grigory S",,,C77,"[['e4', 'e5'], ['Nf3', 'Nc6'], ['Bb5', 'a6'], ['Ba4', 'Nf6'], ['d3', 'd6'], ['c4', 'g6'], ['Nc3', 'Bg7'], ['Nd5', 'Bd7\n'], ['O-O', 'h6'], ['Be3', 'O-O'], ['h3', 'Kh7'], ['Rc1', 'Nxd5'], ['cxd5', 'Ne7'], ['Bxd7', 'Qxd7'], ['d4', 'f5\n'], ['dxe5', 'fxe4'], ['Nh2', 'Bxe5'], ['Ng4', 'Bg7'], ['Bd4', 'Nf5'], ['Bxg7', 'Qxg7'], ['Re1', 'Rae8'], ['Rc4', 'h5\n'], ['Ne3', 'Re5'], ['Qc2', 'Rf7'], ['Qd2', 'b5'], ['Rc6', 'Nxe3'], ['Rxe3', 'Ref5'], ['Re2', 'Qe5'], ['Rxa6', 'Qxd5\n'], ['Qxd5', 'Rxd5'], ['Rc6', 'Rd1+'], ['Kh2', 'Rf1'], ['Kg3', 'R1xf2'], ['Rxf2', 'h4+'], ['Kxh4', 'Rxf2\n'], ['Rxc7+', 'Kh6'], ['Kg3', 'Rxb2'], ['Rd7', 'Rd2'], ['Kf4', 'd5'], ['g4', 'g5+'], ['Kf5', 'e3'], ['Re7', 'd4\n'], ['Ke5', 'd3'], ['Kd6', 'e2'], ['Kd7', '']]",1/2-1/2
URS-ch sf,Irkutsk,1983.??.??,?,"Lputian, Smbat G","Kaidanov, Grigory S",,,D21,"[['d4', 'd5'], ['c4', 'dxc4'], ['Nf3', 'a6'], ['e4', 'b5'], ['a4', 'Bb7'], ['axb5', 'axb5'], ['Rxa8', 'Bxa8'], ['Nc3', 'e6\n'], ['Nxb5', 'Bxe4'], ['Bxc4', 'Bxf3'], ['Qxf3', 'c6'], ['O-O', 'Qb6'], ['Nc3', 'Qxd4'], ['Qg3', 'Nd7'], ['Rd1', 'Qe5\n'], ['Bf4', 'Qa5'], ['Bc7', 'Qa7'], ['Ne4', 'Ngf6'], ['Nd6+', 'Bxd6'], ['Qxd6', 'g6'], ['b4', 'Qa4'], ['Re1', 'Nd5\n'], ['Bxd5', 'cxd5'], ['h4', 'd4'], ['Ba5', 'Qb3'], ['Rc1', '']]",1-0
URS-ch sf,Irkutsk,1983.??.??,?,"Palatnik, Semon","Kaidanov, Grigory S",,,E04,"[['c4', 'e6'], ['Nf3', 'd5'], ['d4', 'Nf6'], ['g3', 'dxc4'], ['Bg2', 'a6'], ['O-O', 'b5'], ['Ne5', 'Nd5'], ['a4', 'Bb7\n'], ['b3', 'cxb3'], ['e4', 'Nf6'], ['axb5', 'axb5'], ['Rxa8', 'Bxa8'], ['Qxb3', 'Qxd4'], ['Qxb5+', 'Nbd7\n'], ['Nxd7', 'Qxd7'], ['Qa6', 'Qd8'], ['Bf4', 'Be7'], ['Bxc7', 'Qxc7'], ['Qxa8+', 'Bd8'], ['Qa3', 'Qe7'], ['Qa4+', 'Qd7\n'], ['Qa3', 'Qe7'], ['Qa4+', 'Qd7'], ['Qa3', '']]",1/2-1/2
URS-ch sf,Irkutsk,1983.??.??,?,"Kaidanov, Grigory S","Arbakov, Valentin",,,A30,"[['Nf3', 'Nf6'], ['c4', 'c5'], ['g3', 'b6'], ['Bg2', 'Bb7'], ['O-O', 'e6'], ['d4', 'cxd4'], ['Qxd4', 'd6'], ['Nc3', 'a6\n'], ['Rd1', 'Qc7'], ['Be3', 'Nbd7'], ['Ng5', 'Bxg2'], ['Kxg2', 'Be7'], ['Nge4', 'O-O'], ['Nxd6', 'Rfd8'], ['Nde4', 'Ng4\n'], ['Nd2', 'f5'], ['Nf3', 'Bc5'], ['Qf4', 'Qxf4'], ['Bxf4', 'Nxf2'], ['Bc7', 'Nxd1'], ['Rxd1', 'Be7'], ['Bxd8', 'Rxd8\n'], ['Na4', 'b5'], ['cxb5', 'axb5'], ['Nc3', 'b4'], ['Na4', 'Kf7'], ['Rc1', 'g5'], ['Rc7', 'g4'], ['Nd4', 'Ne5\n'], ['e3', 'Rd7'], ['Rc8', 'Ra7'], ['b3', 'Bf6'], ['Kf2', 'h5'], ['Ke2', 'Nd7'], ['Nb5', 'Ra5'], ['Nd6+', 'Ke7\n'], ['Nc4', 'Ra7'], ['Rc6', 'h4'], ['Nd6', 'Ra8'], ['Nc8+', 'Kd8'], ['Ncb6', 'Nxb6'], ['Rxb6', 'Ke7'], ['Rb7+', 'Kf8\n'], ['Rxb4', 'h3'], ['Rc4', 'Kf7'], ['Rc2', 'Rb8'], ['Nc5', 'Be7'], ['Nd3', 'Bd6'], ['e4', 'Rb7'], ['Rc4', 'Bb8\n'], ['Rc1', 'Ba7'], ['e5', 'Bb8'], ['Rc5', 'Ba7'], ['Rc1', 'Bb8'], ['Rc8', 'Rb5'], ['b4', 'Bxe5'], ['a4', 'Rd5\n'], ['a5', 'Bd4'], ['a6', 'Rd7'], ['b5', 'Ra7'], ['Nc5', 'f4'], ['b6', 'Rxa6'], ['Nxa6', 'fxg3'], ['b7', 'Be5']]",1-0
URS-ch sf,Irkutsk,1983.??.??,?,"Panchenko, Alexander N","Kaidanov, Grigory S",,,C42,"[['e4', 'e5'], ['Nf3', 'Nf6'], ['Nxe5', 'd6'], ['Nf3', 'Nxe4'], ['Qe2', 'Qe7'], ['d3', 'Nf6'], ['Bg5', 'Nbd7'], ['Nc3', 'Qxe2+\n'], ['Bxe2', 'h6'], ['Bd2', 'c6'], ['O-O-O', 'Be7'], ['Rhe1', 'O-O'], ['Ne4', 'd5'], ['Nxf6+', 'Nxf6'], ['h3', 'Bd6\n'], ['Bf1', 'Bd7'], ['c3', 'Rfe8'], ['Kc2', 'Rxe1'], ['Rxe1', 'Re8'], ['Rxe8+', 'Bxe8'], ['Be3', 'c5'], ['b3', '']]",1/2-1/2
URS-ch sf,Irkutsk,1983.??.??,?,"Psakhis, Lev","Kaidanov, Grigory S",,,B83,"[['e4', 'c5'], ['Nf3', 'Nc6'], ['Nc3', 'e6'], ['d4', 'cxd4'], ['Nxd4', 'd6'], ['f4', 'Nf6'], ['Be3', 'Be7'], ['Be2', 'O-O\n'], ['O-O', 'e5'], ['Nf3', 'exf4'], ['Bxf4', 'Qb6+'], ['Kh1', 'Qxb2'], ['Nd5', 'Be6'], ['Nxe7+', 'Nxe7'], ['Bxd6', 'Rfd8\n'], ['e5', 'Nf5'], ['Ng5', 'Nxd6'], ['Nxe6', 'fxe6'], ['exf6', 'gxf6'], ['Bd3', 'f5'], ['Qe1', 'Qf6'], ['Qg3+', 'Kh8\n'], ['Rae1', 'Rd7'], ['Re2', 'Re8'], ['Rfe1', 'b6'], ['Qf4', 'Nf7'], ['h3', '']]",1/2-1/2
URS-ch sf,Irkutsk,1983.??.??,?,"Timoshchenko, Gennadi A","Kaidanov, Grigory S",,,A21,"[['c4', 'e5'], ['Nc3', 'Bb4'], ['Nd5', 'Ba5'], ['b4', 'c6'], ['bxa5', 'cxd5'], ['Nf3', 'e4'], ['Nd4', 'dxc4'], ['Qa4', 'Ne7\n'], ['Nb5', 'O-O'], ['Nd6', 'Nf5'], ['Nxf5', 'Qf6'], ['Ne7+', 'Qxe7'], ['Qxc4', 'Qe5'], ['Qc3', 'Qxc3'], ['dxc3', 'Nc6\n'], ['Ba3', 'Re8'], ['Bb4', 'd5']]",1/2-1/2
