US-op,Columbus,1977.??.??,?,"Farooqui, Zahiruddin","Seirawan, Yasser",,,C02,"[['e4', 'e6'], ['d4', 'd5'], ['e5', 'c5'], ['c3', 'Qb6'], ['Nf3', 'Bd7'], ['a3', 'Bb5'], ['Be2', 'Qa6'], ['Be3', 'Bxe2\n'], ['Qxe2', 'Qxe2+'], ['Kxe2', 'c4'], ['Nbd2', 'Nc6'], ['b3', 'cxb3'], ['Nxb3', 'Nge7'], ['Rhb1', 'Rc8'], ['Bd2', 'Nb8\n'], ['a4', 'Nd7'], ['a5', 'a6'], ['Ne1', 'Nc6'], ['Nd3', 'h5'], ['Nbc1', 'Rc7'], ['Nb2', 'Be7'], ['Kd3', 'Ndb8\n'], ['Ne2', 'Na7'], ['c4', 'dxc4+'], ['Nxc4', 'Nbc6'], ['Nb6', 'Nb5'], ['Rc1', 'O-O'], ['Ke4', 'Bd8'], ['f4', 'Re7\n'], ['d5', 'exd5+'], ['Nxd5', 'Rd7'], ['Be1', 'f5+'], ['exf6', 'Re8+'], ['Ne7+', 'Bxe7'], ['fxe7', 'Rdxe7+\n'], ['Kf3', 'Rxe2'], ['Bf2', 'Nbd4+'], ['Bxd4', 'Nxd4+']]",0-1
US-op,Columbus,1977.??.??,?,"Seirawan, Yasser","Tobin, Hugh",,,A38,"[['c4', 'g6'], ['Nc3', 'c5'], ['g3', 'Bg7'], ['Bg2', 'Nc6'], ['a3', 'Nf6'], ['Rb1', 'a5'], ['Nf3', 'O-O'], ['O-O', 'Rb8\n'], ['Ne1', 'd6'], ['Bxc6', 'bxc6'], ['d3', 'Bh3'], ['Ng2', 'Qd7'], ['Bd2', 'Rb7'], ['Qa4', 'Ra7'], ['Nd1', 'Rfa8\n'], ['Re1', 'd5'], ['Rc1', 'd4'], ['f3', 'e5'], ['Nf2', 'Be6'], ['e3', 'Bh6'], ['Qc2', 'Rb7'], ['exd4', 'Bxd2\n'], ['Qxd2', 'Qxd4'], ['Re2', 'Rab8'], ['Rc2', 'a4'], ['Ne3', 'Nh5'], ['Ned1', 'Ng7'], ['Kg2', 'h5'], ['Qg5', 'Bf5\n'], ['Rcd2', 'Re8'], ['Nc3', 'Ne6'], ['Qf6', 'Rbe7'], ['Qxe5', 'Qxe5'], ['Rxe5', 'Ra8'], ['Kf1', 'Rb7'], ['g4', 'Nd4\n'], ['Kg2', 'hxg4'], ['fxg4', 'Be6'], ['Nfe4', 'Nb3'], ['Rf2', 'Kg7'], ['Nxc5', 'Nxc5'], ['Rxc5', 'Bxg4\n'], ['Rxc6', 'Rd8'], ['Nxa4', 'Rxd3'], ['Nc3', 'Bh3+'], ['Kg1', 'Rxc3'], ['Rd2', 'Rf3'], ['Rf2', 'Rxf2'], ['Kxf2', 'Rxb2+\n'], ['Kg3', 'Rb3+'], ['Kf4', 'Rxa3'], ['c5', 'Be6'], ['Rb6', 'Rc3'], ['Rb5', 'Kf6']]",0-1
US-op,Columbus,1977.??.??,?,"Seirawan, Yasser","Winslow, Elliott C",,,A24,"[['c4', 'g6'], ['Nc3', 'Bg7'], ['g3', 'd6'], ['Bg2', 'Nf6'], ['Nf3', 'O-O'], ['O-O', 'e5'], ['d3', 'c6'], ['Rb1', 'Re8\n'], ['Nd2', 'Be6'], ['b4', 'd5'], ['b5', 'dxc4'], ['bxc6', 'Nxc6'], ['Nxc4', 'Rb8'], ['Ba3', 'Bxc4'], ['dxc4', 'Qa5\n'], ['Qc1', 'e4'], ['Bd6', 'Rbd8'], ['c5', 'Nd4'], ['e3', 'Nf3+'], ['Bxf3', 'exf3'], ['Rb5', 'Qa6'], ['Qb1', 'Qc6\n'], ['Rxb7', 'Qc8'], ['Qb3', 'Rf8'], ['Nd5', 'Qh3'], ['Nf4', 'Qh6'], ['h4', 'g5'], ['hxg5', 'Qxg5'], ['Bxf8', 'Rxf8\n'], ['c6', 'Ng4'], ['Qd5', 'Qh6'], ['Qh5', 'Qxc6'], ['Rxa7', 'Nf6'], ['Qf5', 'Rb8'], ['Nh5', 'h6'], ['Nxf6+', 'Bxf6\n'], ['Qf4', 'Rd8'], ['Rc7', '']]",1-0
Lone Pine,Lone Pine,1977.??.??,1,"Benko, Pal C","Seirawan, Yasser",,,C00,"[['e4', 'e6'], ['d3', 'd5'], ['Nd2', 'Nf6'], ['Ngf3', 'Be7'], ['g3', 'b6'], ['e5', 'Nfd7'], ['Bg2', 'Bb7'], ['h4', 'c5\n'], ['O-O', 'Qc7'], ['Re1', 'Nc6'], ['Qe2', 'h6'], ['h5', 'O-O-O'], ['Nf1', 'Kb8'], ['N1h2', 'b5'], ['Ng4', 'Nb6\n'], ['Bd2', 'd4'], ['Red1', 'Rd7'], ['Be1', 'Rc8'], ['Nd2', '']]",1/2-1/2
Lone Pine,Lone Pine,1977.??.??,2,"Seirawan, Yasser","Reshevsky, Samuel Herman",,,E19,"[['c4', 'Nf6'], ['Nc3', 'e6'], ['Nf3', 'b6'], ['g3', 'Bb7'], ['Bg2', 'Be7'], ['O-O', 'O-O'], ['d4', 'Ne4'], ['Qc2', 'Nxc3\n'], ['Qxc3', 'c5'], ['dxc5', 'bxc5'], ['Rd1', 'd6'], ['b3', 'Bf6'], ['Qc2', 'Nc6'], ['Bb2', 'Bxb2'], ['Qxb2', 'Qe7\n'], ['Qd2', 'Rfd8'], ['Qg5', 'Kf8'], ['Qh5', 'h6'], ['Rd2', 'Rd7']]",1/2-1/2
Lone Pine,Lone Pine,1977.??.??,3,"Seirawan, Yasser","Shamkovich, Leonid",,,A36,"[['c4', 'g6'], ['Nc3', 'Bg7'], ['g3', 'c5'], ['Bg2', 'Nc6'], ['Rb1', 'd6'], ['a3', 'a5'], ['Nf3', 'f5'], ['O-O', 'e5'], ['d3', 'Nf6\n'], ['Ne1', 'O-O'], ['Nc2', 'Nd4'], ['b4', 'axb4'], ['axb4', 'f4'], ['bxc5', 'dxc5'], ['Nxd4', 'cxd4'], ['Nd5', 'Nxd5\n'], ['Bxd5+', 'Kh8'], ['Bd2', 'Qd7'], ['Qb3', 'Qc7'], ['Qb6', 'Qxb6'], ['Rxb6', 'Ra2'], ['Rd1', 'Rf6'], ['Rbb1', 'Ra7\n'], ['Rb2', 'fxg3'], ['hxg3', 'Rfa6'], ['Rdb1', 'Ra2'], ['Bb4', 'h5'], ['Bc5', 'Rxb2'], ['Rxb2', 'Ra5'], ['Bd6', 'Ra7\n'], ['Be4', 'Kh7'], ['Bb8', 'Ra8'], ['Bc7', 'Bf6'], ['Rb5', 'Bf5'], ['Bxf5', 'gxf5'], ['Bxe5', 'Kg6'], ['Rb6', 'Ra6\n'], ['Rxf6+', 'Rxf6'], ['Bxf6', 'Kxf6'], ['f4', 'Ke6'], ['Kf2', 'Kd6'], ['e3', 'Kc5'], ['Kf3', 'dxe3'], ['Kxe3', 'b6\n'], ['Ke2', 'Kb4'], ['Kd2', 'Kb3'], ['Ke2', 'Kb4'], ['Kf2', 'Kb3'], ['Ke1', 'Kc3'], ['Ke2', '']]",1/2-1/2
Lone Pine,Lone Pine,1977.??.??,4,"Szabo, Laszlo","Seirawan, Yasser",,,C16,"[['e4', 'e6'], ['d4', 'd5'], ['Nc3', 'Bb4'], ['e5', 'Qd7'], ['Ne2', 'f6'], ['a3', 'Bxc3+'], ['Nxc3', 'fxe5'], ['Qh5+', 'Qf7\n'], ['Qxe5', 'c6'], ['Be2', 'Nd7'], ['Qg3', 'Ne7'], ['Bd3', 'O-O'], ['O-O', 'Nf5'], ['Qf4', 'Qf6'], ['Bxf5', 'Qxf5\n'], ['Qxf5', 'Rxf5'], ['Re1', 'Nb6'], ['a4', 'a5'], ['b3', 'Bd7'], ['Ba3', 'Rf6'], ['Be7', 'Rf7'], ['Bc5', 'Nc8\n'], ['Nd1', 'Ne7'], ['Nb2', 'Ng6'], ['Nd3', 'Bc8'], ['g3', 'Bd7'], ['h4', 'h5'], ['Re3', 'Bc8'], ['Rae1', 'Kh7\n'], ['Kg2', 'Kh6'], ['f3', 'Kh7'], ['Nf2', 'Kg8'], ['Nh3', 'Bd7'], ['Ng5', 'Rf6'], ['Nxe6', 'Bxe6'], ['Rxe6', 'Rxe6\n'], ['Rxe6', 'Kf7'], ['Re3', 'Kf6'], ['Kh3', 'Rh8'], ['Bd6', 'Rd8'], ['Bc7', 'Ra8'], ['Bd6', 'Rd8'], ['Bc5', 'Rh8\n'], ['Kg2', 'Rb8'], ['Bb6', 'Ra8'], ['Bc7', 'Nf8'], ['Be5+', 'Kf7'], ['g4', 'g6'], ['c4', 'Ne6'], ['f4', 'hxg4\n'], ['Kg3', 'dxc4'], ['bxc4', 'Rd8'], ['Rb3', 'Rd7'], ['Kxg4', 'Nxd4'], ['Rd3', 'c5'], ['Bxd4', 'cxd4'], ['Kf3', 'Kf6\n'], ['Ke4', 'Re7+'], ['Kxd4', 'Kf5'], ['Kc5', 'Rh7'], ['Rd5+', 'Kf6'], ['Kb6', 'Rxh4'], ['Rd4', 'Ke7'], ['c5', 'g5\n'], ['Re4+', 'Kf7'], ['Re5', 'Rxf4'], ['Rxg5', 'Rxa4'], ['Kxb7', 'Rb4+'], ['Kc7', 'Rc4'], ['c6', 'a4'], ['Kd7', 'Rd4+\n'], ['Kc8', 'Ke7'], ['c7', 'a3'], ['Rg7+', 'Ke6'], ['Kb7', 'Rb4+'], ['Kc6', 'Rc4+'], ['Kb7', 'a2'], ['Rg1', 'Rc3\n'], ['Ra1', 'Kd7']]",1/2-1/2
Lone Pine,Lone Pine,1977.??.??,5,"Diesen, Mark C","Seirawan, Yasser",,,D48,"[['Nf3', 'd5'], ['d4', 'Nf6'], ['c4', 'c6'], ['e3', 'e6'], ['Nc3', 'Nbd7'], ['Bd3', 'dxc4'], ['Bxc4', 'b5'], ['Bd3', 'a6\n'], ['e4', 'h6'], ['e5', 'Nd5'], ['Nxd5', 'cxd5'], ['O-O', 'Nb6'], ['Bf4', 'Bd7'], ['Qe2', 'Nc4'], ['b3', 'Na3\n'], ['Bc1', 'Qa5'], ['Ne1', 'Bb4'], ['Bb2', '']]",1/2-1/2
Lone Pine,Lone Pine,1977.??.??,6,"Seirawan, Yasser","Tarjan, James Edward",,,A36,"[['c4', 'c5'], ['Nc3', 'g6'], ['g3', 'Bg7'], ['Bg2', 'Nc6'], ['a3', 'a6'], ['Rb1', 'Rb8'], ['Qa4', 'd6'], ['Bxc6+', 'bxc6\n'], ['Qxc6+', 'Bd7'], ['Qg2', 'Bxc3'], ['dxc3', 'Nf6'], ['Nf3', 'Bf5'], ['Ra1', 'Qd7'], ['Nd2', 'O-O'], ['f3', 'a5\n'], ['e4', 'Be6'], ['Qe2', 'a4'], ['Nf1', 'Bh3'], ['Ne3', 'Rfe8'], ['Kf2', 'Qb7'], ['Rd1', '']]",1/2-1/2
Lone Pine,Lone Pine,1977.??.??,7,"Seirawan, Yasser","Frey, Kenneth",,,D31,"[['c4', 'e6'], ['Nc3', 'd5'], ['cxd5', 'exd5'], ['d4', 'c6'], ['Nf3', 'Bf5'], ['Qb3', 'Qb6'], ['Na4', 'Qxb3'], ['axb3', 'Nd7\n'], ['Bd2', 'Bc2'], ['b4', 'Bxa4'], ['Rxa4', 'Ngf6'], ['e3', 'a6'], ['Bd3', 'Bd6'], ['Bc3', 'O-O'], ['Nd2', 'Rfe8\n'], ['Nb3', 'Nb6'], ['Ra1', 'Bf8'], ['Nc5', 'Rab8'], ['O-O', 'Ne4'], ['Rae1', 'Nd6'], ['Re2', 'Na8'], ['f3', 'Nc7\n'], ['Be1', 'Ndb5'], ['Bg3', 'Bd6'], ['Kf2', 'Re7'], ['Rh1', 'Bxg3+'], ['hxg3', 'g6'], ['g4', 'Nd6'], ['g5', 'Ne6\n'], ['f4', 'Rbe8'], ['Rh3', 'Nxc5'], ['bxc5', 'Ne4+'], ['Bxe4', 'Rxe4'], ['Re1', 'Kg7'], ['g4', 'Rh8'], ['Reh1', 'Ree8\n'], ['f5', 'gxf5'], ['gxf5', 'f6'], ['gxf6+', 'Kxf6'], ['Rxh7', 'Rxh7'], ['Rxh7', 'Rb8'], ['Rh5', 'b6'], ['b4', 'bxc5\n'], ['bxc5', 'a5'], ['Kf3', 'a4'], ['Kf4', 'Ra8'], ['Rh6+', 'Kf7'], ['Ke5', 'Ra6'], ['Rh7+', 'Kg8'], ['Rh1', 'Kf7\n'], ['Kd6', 'Kf6'], ['Kc7', 'Kxf5'], ['Kb7', 'Ra5'], ['Kxc6', 'Ke4'], ['Kb6', 'Ra8'], ['Re1', 'a3'], ['c6', 'a2\n'], ['c7', 'Kd3'], ['Ra1', 'Kxe3'], ['Rxa2', 'Rxa2'], ['c8=Q', 'Rb2+'], ['Ka5', 'Rd2'], ['Qc1', 'Kd3'], ['Kb4', 'Rc2\n'], ['Qxc2+', '']]",1-0
